geo,private_share_of_total_health_spending_percent,time
blz,42.69,2004
blz,40.3,2005
blz,39.02,2006
blz,36.23,2007
blz,37.04,2008
blz,36.24,2009
blz,37.31,2010
ben,55.0,1995
ben,55.71,1996
ben,57.92,1997
ben,55.77,1998
ben,54.0,1999
ben,55.8,2000
ben,50.75,2001
ben,55.81,2002
ben,52.25,2003
ben,52.32,2004
ben,50.31,2005
ben,49.78,2006
ben,49.0,2007
ben,48.3,2008
ben,46.2,2009
ben,50.5,2010
btn,31.63,1995
btn,29.89,1996
btn,30.79,1997
btn,32.78,1998
btn,24.35,1999
btn,20.74,2000
btn,21.59,2001
btn,16.2,2002
btn,25.89,2003
btn,27.54,2004
btn,24.0,2005
btn,18.87,2006
btn,15.21,2007
btn,13.97,2008
btn,13.53,2009
btn,13.17,2010
bol,36.18,1995
bol,35.65,1996
bol,33.98,1997
bol,38.78,1998
bol,41.86,1999
bol,39.9,2000
bol,40.68,2001
bol,37.18,2002
bol,39.91,2003
bol,37.44,2004
bol,33.81,2005
bol,30.11,2006
bol,31.84,2007
bol,34.85,2008
bol,35.44,2009
bol,37.16,2010
bih,52.93,1995
bih,55.86,1996
bih,55.52,1997
bih,57.0,1998
bih,45.55,1999
bih,42.36,2000
bih,39.32,2001
bih,36.72,2002
bih,30.81,2003
bih,42.8,2004
bih,45.03,2005
bih,44.52,2006
bih,43.45,2007
bih,41.81,2008
bih,38.65,2009
bih,38.6,2010
bwa,47.64,1995
bwa,47.5,1996
bwa,43.5,1997
bwa,43.55,1998
bwa,42.24,1999
bwa,37.83,2000
bwa,29.98,2001
bwa,28.86,2002
bwa,31.49,2003
bwa,23.36,2004
bwa,25.72,2005
bwa,27.06,2006
bwa,23.53,2007
bwa,24.02,2008
bwa,23.98,2009
bwa,27.47,2010
bra,56.99,1995
bra,59.46,1996
bra,57.05,1997
bra,57.36,1998
bra,57.27,1999
bra,59.7,2000
bra,57.71,2001
bra,55.36,2002
bra,55.63,2003
bra,52.98,2004
bra,59.86,2005
bra,58.31,2006
bra,58.18,2007
bra,57.24,2008
bra,56.43,2009
bra,52.98,2010
brn,22.15,1995
brn,18.59,1996
brn,18.83,1997
brn,16.17,1998
brn,22.24,1999
brn,13.51,2000
brn,18.94,2001
brn,17.64,2002
brn,16.34,2003
brn,16.34,2004
brn,15.82,2005
brn,16.0,2006
brn,15.5,2007
brn,14.0,2008
brn,14.84,2009
brn,15.11,2010
bgr,26.04,1995
bgr,30.4,1996
bgr,28.34,1997
bgr,30.1,1998
bgr,33.67,1999
bgr,39.07,2000
bgr,41.61,2001
bgr,38.74,2002
bgr,37.88,2003
bgr,39.24,2004
bgr,39.08,2005
bgr,43.05,2006
bgr,41.79,2007
bgr,41.46,2008
bgr,44.65,2009
bgr,45.51,2010
bfa,61.26,1995
bfa,61.63,1996
bfa,58.94,1997
bfa,60.08,1998
bfa,58.81,1999
bfa,60.35,2000
bfa,62.62,2001
bfa,56.09,2002
bfa,53.57,2003
bfa,46.32,2004
bfa,40.46,2005
bfa,43.14,2006
bfa,39.73,2007
bfa,40.95,2008
bfa,50.27,2009
bfa,49.03,2010
bdi,67.77,1995
bdi,65.29,1996
bdi,71.19,1997
bdi,71.74,1998
bdi,71.22,1999
bdi,71.4,2000
bdi,66.71,2001
bdi,69.45,2002
bdi,73.85,2003
bdi,64.12,2004
bdi,65.22,2005
bdi,64.79,2006
bdi,62.3,2007
bdi,62.84,2008
bdi,63.95,2009
bdi,61.83,2010
khm,84.01,1995
khm,74.4,1996
khm,76.27,1997
khm,81.85,1998
khm,81.81,1999
khm,79.56,2000
khm,76.5,2001
khm,73.71,2002
khm,71.92,2003
khm,71.31,2004
khm,79.47,2005
khm,74.96,2006
khm,67.68,2007
khm,67.42,2008
khm,63.36,2009
khm,62.77,2010
cmr,76.68,1995
cmr,82.68,1996
cmr,78.9,1997
cmr,82.24,1998
cmr,81.18,1999
cmr,79.16,2000
cmr,75.96,2001
cmr,73.44,2002
cmr,73.2,2003
cmr,76.1,2004
cmr,76.4,2005
cmr,77.01,2006
cmr,77.56,2007
cmr,79.56,2008
cmr,74.1,2009
cmr,70.38,2010
can,28.75,1995
can,29.22,1996
can,29.88,1997
can,29.43,1998
can,30.03,1999
can,29.64,2000
can,30.02,2001
can,30.47,2002
can,29.83,2003
can,29.78,2004
can,29.78,2005
can,30.23,2006
can,29.78,2007
can,29.51,2008
can,29.38,2009
can,29.5,2010
cpv,19.27,1995
cpv,17.86,1996
cpv,17.88,1997
cpv,24.74,1998
cpv,26.11,1999
cpv,26.5,2000
cpv,24.23,2001
cpv,24.38,2002
cpv,26.07,2003
cpv,22.09,2004
cpv,22.73,2005
cpv,21.99,2006
cpv,24.93,2007
cpv,26.82,2008
cpv,25.95,2009
cpv,24.96,2010
caf,60.3,1995
caf,69.3,1996
caf,62.6,1997
caf,66.74,1998
caf,61.61,1999
caf,58.58,2000
caf,61.23,2001
caf,58.84,2002
caf,60.18,2003
