geo,breast_cancer_number_of_female_deaths,time
afg,874,2002
alb,300,2002
dza,2019,2002
ago,654,2002
arg,5362,2002
arm,561,2002
aus,2667,2002
aut,1637,2002
aze,557,2002
bhs,32,2002
bhr,40,2002
bgd,3376,2002
brb,47,2002
blr,1254,2002
bel,2712,2002
blz,9,2002
ben,406,2002
btn,74,2002
bol,357,2002
bih,600,2002
bwa,125,2002
bra,11280,2002
brn,12,2002
bgr,1115,2002
bfa,838,2002
bdi,294,2002
khm,453,2002
cmr,1162,2002
can,5305,2002
cpv,33,2002
caf,166,2002
tcd,309,2002
chl,1126,2002
chn,36630,2002
col,2253,2002
com,32,2002
cod,1161,2002
cog,163,2002
cri,238,2002
civ,989,2002
hrv,841,2002
cub,1068,2002
cyp,157,2002
cze,1953,2002
dnk,1390,2002
dji,37,2002
dom,378,2002
ecu,498,2002
egy,4911,2002
slv,138,2002
gnq,20,2002
eri,178,2002
est,252,2002
eth,3644,2002
fji,48,2002
fin,838,2002
fra,11640,2002
pyf,38,2002
gab,71,2002
gmb,24,2002
geo,1003,2002
deu,17990,2002
gha,1399,2002
grc,1569,2002
gum,16,2002
gtm,436,2002
gin,285,2002
gnb,87,2002
guy,37,2002
hti,62,2002
hnd,250,2002
hun,2340,2002
isl,43,2002
ind,44800,2002
idn,10880,2002
irn,2039,2002
irq,1081,2002
irl,688,2002
isr,978,2002
ita,11340,2002
jam,222,2002
jpn,9178,2002
jor,223,2002
kaz,1687,2002
ken,1699,2002
prk,517,2002
kor,1201,2002
kwt,83,2002
kgz,258,2002
lao,94,2002
lva,421,2002
lbn,362,2002
lso,77,2002
lbr,119,2002
lby,325,2002
ltu,549,2002
lux,75,2002
mkd,235,2002
mdg,729,2002
mwi,272,2002
mys,1292,2002
mli,499,2002
mlt,94,2002
mrt,185,2002
mus,57,2002
mex,4310,2002
mda,496,2002
mng,31,2002
mar,2003,2002
moz,170,2002
mmr,1800,2002
nam,110,2002
npl,799,2002
nzl,670,2002
nic,145,2002
ner,484,2002
nga,8454,2002
nor,726,2002
omn,43,2002
pak,11190,2002
pan,154,2002
png,118,2002
pry,265,2002
per,1497,2002
phl,7582,2002
pol,4781,2002
prt,1542,2002
pri,384,2002
qat,23,2002
rou,2982,2002
rus,21580,2002
rwa,191,2002
wsm,9,2002
sau,677,2002
sen,394,2002
scg,1729,2002
sle,321,2002
sgp,394,2002
svk,820,2002
svn,400,2002
slb,17,2002
som,368,2002
zaf,2790,2002
esp,5914,2002
lka,948,2002
sdn,1856,2002
sur,23,2002
swz,27,2002
swe,1516,2002
che,1404,2002
syr,955,2002
tjk,135,2002
tza,1626,2002
tha,1980,2002
nld,3767,2002
tgo,310,2002
tto,140,2002
tun,613,2002
tur,2970,2002
tkm,155,2002
uga,838,2002
ukr,7892,2002
are,77,2002
gbr,13300,2002
usa,42910,2002
ury,637,2002
uzb,789,2002
vut,7,2002
ven,1327,2002
vnm,2284,2002
yem,787,2002
zmb,289,2002
zwe,489,2002
