geo,population_aged_40_59_years_female_percent,time
bgd,27.93,2045
bgd,27.25,2050
brb,20.18,1950
brb,20.83,1955
brb,19.23,1960
brb,18.25,1965
brb,18.9,1970
brb,17.97,1975
brb,16.15,1980
brb,16.03,1985
brb,17.91,1990
brb,20.3,1995
brb,24.81,2000
brb,28.79,2005
brb,30.83,2010
brb,31.82,2015
brb,29.1,2020
brb,27.61,2025
brb,27.07,2030
brb,25.95,2035
brb,25.58,2040
brb,23.62,2045
brb,22.13,2050
blr,22.28,1950
blr,23.87,1955
blr,22.24,1960
blr,21.92,1965
blr,23.49,1970
blr,24.51,1975
blr,27.34,1980
blr,24.92,1985
blr,22.86,1990
blr,23.18,1995
blr,24.65,2000
blr,28.0,2005
blr,29.02,2010
blr,29.4,2015
blr,28.88,2020
blr,29.58,2025
blr,31.49,2030
blr,31.16,2035
blr,29.24,2040
blr,26.34,2045
blr,23.76,2050
bel,27.87,1950
bel,27.7,1955
bel,25.09,1960
bel,24.27,1965
bel,23.75,1970
bel,23.48,1975
bel,24.49,1980
bel,22.96,1985
bel,23.48,1990
bel,24.17,1995
bel,25.78,2000
bel,27.59,2005
bel,27.82,2010
bel,27.51,2015
bel,26.4,2020
bel,24.99,2025
bel,23.99,2030
bel,23.45,2035
bel,23.05,2040
bel,22.63,2045
bel,22.53,2050
blz,14.71,1950
blz,15.38,1955
blz,14.89,1960
blz,14.81,1965
blz,14.29,1970
blz,11.94,1975
blz,11.43,1980
blz,10.13,1985
blz,9.783,1990
blz,10.19,1995
blz,12.1,2000
blz,14.89,2005
blz,16.67,2010
blz,18.5,2015
blz,19.79,2020
blz,20.6,2025
blz,21.96,2030
blz,24.55,2035
blz,25.74,2040
blz,26.34,2045
blz,26.48,2050
ben,18.72,1950
ben,18.39,1955
ben,17.51,1960
ben,16.58,1965
ben,15.64,1970
ben,14.89,1975
ben,14.28,1980
ben,14.17,1985
ben,13.84,1990
ben,13.25,1995
ben,12.91,2000
ben,12.83,2005
ben,13.05,2010
ben,13.51,2015
ben,14.09,2020
ben,14.8,2025
ben,15.64,2030
ben,16.67,2035
ben,17.8,2040
ben,19.04,2045
ben,20.52,2050
btn,13.75,1950
btn,13.54,1955
btn,13.89,1960
btn,14.17,1965
btn,15.07,1970
btn,15.2,1975
btn,15.12,1980
btn,15.58,1985
btn,15.24,1990
btn,13.2,1995
btn,13.67,2000
btn,14.61,2005
btn,16.17,2010
btn,17.13,2015
btn,18.97,2020
btn,21.74,2025
btn,25.12,2030
btn,27.65,2035
btn,28.81,2040
btn,28.4,2045
btn,27.15,2050
bol,15.15,1950
bol,15.14,1955
bol,14.66,1960
bol,14.25,1965
bol,14.35,1970
bol,14.16,1975
bol,14.26,1980
bol,14.32,1985
bol,14.42,1990
bol,14.71,1995
bol,15.17,2000
bol,15.78,2005
bol,16.51,2010
bol,17.58,2015
bol,18.57,2020
bol,19.73,2025
bol,21.12,2030
bol,22.69,2035
bol,24.17,2040
