geo,gdpperemployee_us_inflation_adjusted,time
bel,47970,1995
bel,48360,1996
bel,49730,1997
bel,49920,1998
bel,50790,1999
bel,51730,2000
bel,51530,2001
bel,52380,2002
bel,52850,2003
bel,53860,2004
bel,53940,2005
bel,55030,2006
bol,8553,1980
bol,8442,1981
bol,8221,1982
bol,7675,1983
bol,7286,1984
bol,6955,1985
bol,6434,1986
bol,6382,1987
bol,6253,1988
bol,6195,1989
bol,6312,1990
bol,6639,1991
bol,6648,1992
bol,6772,1993
bol,7040,1994
bol,7178,1995
bol,7341,1996
bol,7357,1997
bol,7462,1998
bol,7245,1999
bol,7193,2000
bol,7215,2001
bol,7410,2002
bol,7031,2003
bol,7059,2004
bol,7097,2005
bih,8217,1990
bih,7857,1991
bih,14910,1992
bih,23120,1993
bih,25670,1994
bih,24560,1995
bih,16980,1996
bih,15200,1997
bih,17060,1998
bih,18210,1999
bih,18880,2000
bih,19610,2001
bih,21550,2002
bih,23000,2003
bih,24260,2004
bih,13950,2005
bra,15150,1980
bra,13970,1981
bra,13370,1982
bra,12870,1983
bra,12970,1984
bra,12820,1985
bra,13820,1986
bra,13860,1987
bra,13420,1988
bra,13550,1989
bra,12700,1990
bra,12730,1991
bra,12610,1992
bra,13150,1993
bra,13740,1994
bra,14130,1995
bra,14860,1996
bra,15250,1997
bra,15110,1998
bra,15020,1999
bra,14820,2000
bra,15180,2001
bra,15020,2002
bra,14890,2003
bra,14810,2004
bra,14710,2005
bgr,12240,1980
bgr,12480,1981
bgr,12800,1982
bgr,12470,1983
bgr,12880,1984
bgr,12480,1985
bgr,12770,1986
bgr,12760,1987
bgr,12730,1988
bgr,12800,1989
bgr,12150,1990
bgr,12790,1991
bgr,12920,1992
bgr,12930,1993
bgr,13090,1994
bgr,13290,1995
bgr,12030,1996
bgr,11820,1997
bgr,12310,1998
bgr,12860,1999
bgr,12920,2000
bgr,13550,2001
bgr,14130,2002
bgr,14410,2003
bgr,14980,2004
bgr,15500,2005
bgr,16050,2006
bfa,1545,1980
bfa,1586,1981
bfa,1596,1982
bfa,1546,1983
bfa,1533,1984
bfa,1695,1985
bfa,1916,1986
bfa,1828,1987
bfa,1927,1988
bfa,1850,1989
bfa,1776,1990
bfa,1892,1991
bfa,1845,1992
bfa,1862,1993
bfa,1838,1994
bfa,1897,1995
bfa,2059,1996
bfa,2140,1997
bfa,2237,1998
bfa,2343,1999
bfa,2308,2000
bfa,2388,2001
bfa,2416,2002
bfa,2522,2003
bfa,2536,2004
bfa,2624,2005
khm,2084,1980
khm,2040,1981
khm,2122,1982
khm,2202,1983
khm,2281,1984
khm,2360,1985
khm,2440,1986
khm,2337,1987
khm,2342,1988
khm,2347,1989
khm,2296,1990
khm,2394,1991
khm,2483,1992
khm,2503,1993
khm,2672,1994
khm,2297,1995
khm,2661,1996
khm,2845,1997
khm,2701,1998
khm,2664,1999
khm,3037,2000
khm,2765,2001
khm,2873,2002
khm,2885,2003
khm,2926,2004
khm,3258,2005
cmr,3148,1980
cmr,3615,1981
cmr,3793,1982
cmr,3976,1983
cmr,4184,1984
cmr,4464,1985
cmr,4667,1986
cmr,4282,1987
cmr,3909,1988
cmr,3445,1989
cmr,3265,1990
cmr,3038,1991
cmr,2844,1992
cmr,2668,1993
cmr,2520,1994
cmr,2534,1995
cmr,2602,1996
cmr,2678,1997
cmr,2750,1998
cmr,2811,1999
cmr,2873,2000
cmr,2954,2001
cmr,3006,2002
cmr,3065,2003
cmr,3137,2004
cmr,3140,2005
can,35980,1980
can,36050,1981
can,36090,1982
can,36880,1983
can,38040,1984
can,38970,1985
can,38800,1986
can,39250,1987
can,39950,1988
can,40010,1989
can,39840,1990
can,39700,1991
can,40450,1992
can,41200,1993
can,42310,1994
can,42740,1995
can,43040,1996
can,43940,1997
can,44640,1998
can,45940,1999
can,47190,2000
can,47460,2001
can,47690,2002
can,47440,2003
can,48160,2004
can,48890,2005
can,49280,2006
chl,20860,1980
chl,21780,1981
chl,18850,1982
chl,17580,1983
chl,17860,1984
chl,16480,1985
chl,16640,1986
chl,17110,1987
chl,17670,1988
chl,18880,1989
chl,18990,1990
chl,19810,1991
chl,21570,1992
chl,22640,1993
chl,23510,1994
chl,25690,1995
chl,27000,1996
chl,28300,1997
chl,28700,1998
chl,27960,1999
chl,28760,2000
chl,28400,2001
chl,28500,2002
chl,28760,2003
chl,29930,2004
