geo,long_term_unemployment_rate_percent,time
fin,1.1,1980
fin,1.1,1982
fin,0.9,1983
fin,0.9,1984
fin,0.9,1985
fin,0.7,1986
fin,0.9,1987
fin,0.0,1989
fin,0.9,1991
fin,5.7,1993
fin,5.4,1995
fin,4.5,1996
fin,4.2,1997
fin,3.5,1998
fin,2.9,1999
fin,2.7,2000
fin,2.2,2001
fin,2.1,2002
fin,2.1,2003
fin,2.0,2004
fin,2.0,2005
fin,1.8,2006
fin,1.5,2007
fra,2.1,1980
fra,2.5,1981
fra,2.4,1982
fra,2.8,1983
fra,3.3,1984
fra,4.0,1985
fra,4.0,1986
fra,4.3,1987
fra,4.0,1988
fra,3.6,1989
fra,3.2,1990
fra,3.1,1991
fra,3.3,1992
fra,3.5,1993
fra,4.4,1994
fra,4.6,1995
fra,4.5,1996
fra,4.8,1997
fra,4.9,1998
fra,4.5,1999
fra,4.0,2000
fra,3.1,2001
fra,2.8,2002
fra,3.4,2003
fra,3.5,2004
fra,3.5,2005
fra,3.6,2006
fra,3.1,2007
deu,1.7,1991
deu,2.1,1992
deu,3.0,1993
deu,3.8,1994
deu,3.9,1995
deu,4.1,1996
deu,4.8,1997
deu,5.0,1998
deu,4.5,1999
deu,4.0,2000
deu,3.8,2001
deu,4.0,2002
deu,4.9,2003
deu,5.4,2004
deu,6.0,2005
deu,5.7,2006
deu,4.8,2007
deu_west,2.6,1983
deu_west,2.9,1984
deu_west,3.3,1985
deu_west,3.1,1986
deu_west,3.2,1987
deu_west,2.9,1988
deu_west,2.8,1989
deu_west,2.3,1990
grc,2.6,1983
grc,3.0,1984
grc,3.4,1985
grc,3.1,1986
grc,3.3,1987
grc,3.5,1988
grc,3.8,1989
grc,3.5,1990
grc,3.6,1991
grc,3.9,1992
grc,4.8,1993
grc,4.5,1994
grc,4.6,1995
grc,5.4,1996
grc,5.3,1997
grc,5.9,1998
grc,6.5,1999
grc,6.2,2000
grc,5.4,2001
grc,5.2,2002
grc,5.3,2003
grc,5.6,2004
grc,5.2,2005
grc,4.9,2006
grc,4.1,2007
hun,2.0,1992
hun,4.1,1993
hun,4.5,1994
hun,5.0,1995
hun,5.2,1996
hun,4.2,1997
hun,3.6,1998
hun,3.4,1999
hun,3.1,2000
hun,2.7,2001
hun,2.6,2002
hun,2.5,2003
hun,2.7,2004
hun,3.3,2005
hun,3.4,2006
hun,3.5,2007
isl,0.2,1991
isl,0.2,1992
isl,0.5,1993
isl,0.7,1994
isl,0.7,1995
isl,0.7,1996
isl,0.6,1997
isl,0.4,1998
isl,0.2,1999
isl,0.2,2000
isl,0.3,2001
isl,0.3,2002
isl,0.2,2003
isl,0.3,2004
isl,0.3,2005
isl,0.2,2006
isl,0.1,2007
irl,5.3,1983
irl,7.4,1984
irl,11.1,1985
irl,11.4,1986
irl,11.5,1987
irl,11.1,1988
irl,10.5,1989
irl,9.2,1990
irl,9.6,1991
irl,8.6,1992
irl,8.8,1993
irl,9.0,1994
irl,7.1,1995
irl,6.8,1996
irl,5.6,1997
irl,2.8,1999
irl,1.2,2001
irl,1.2,2002
irl,1.6,2003
irl,1.5,2004
irl,1.4,2005
irl,1.5,2006
irl,1.4,2007
ita,4.8,1983
ita,5.9,1984
ita,6.1,1985
ita,7.0,1986
ita,6.9,1987
ita,7.4,1988
ita,7.5,1989
ita,6.6,1990
ita,6.8,1991
ita,5.2,1992
ita,5.8,1993
ita,6.8,1994
ita,7.3,1995
ita,7.9,1996
ita,8.0,1997
ita,7.1,1998
ita,7.0,1999
ita,6.5,2000
ita,6.0,2001
ita,5.4,2002
ita,5.1,2003
ita,3.8,2004
ita,3.8,2005
ita,3.4,2006
ita,2.8,2007
jam,4.0,1992
jam,4.9,1993
jam,4.6,1994
jam,4.1,1995
jam,4.1,1996
jam,4.0,1997
jam,3.9,1998
jam,4.2,1999
jam,4.5,2000
jam,4.8,2001
jpn,0.3,1980
jpn,0.3,1981
jpn,0.3,1982
jpn,0.3,1983
jpn,0.4,1984
jpn,0.4,1985
jpn,0.5,1986
jpn,0.6,1987
jpn,0.6,1988
jpn,0.4,1989
jpn,0.4,1990
jpn,0.4,1991
jpn,0.3,1992
jpn,0.4,1993
jpn,0.5,1994
jpn,0.5,1995
jpn,0.6,1996
jpn,0.7,1997
jpn,0.8,1998
jpn,1.0,1999
jpn,1.2,2000
jpn,1.2,2001
jpn,1.6,2002
jpn,1.7,2003
jpn,1.6,2004
jpn,1.5,2005
jpn,1.3,2006
jpn,1.2,2007
kor,0.1,1990
kor,0.1,1991
kor,0.1,1992
kor,0.1,1993
kor,0.1,1994
kor,0.1,1995
kor,0.1,1996
kor,0.1,1997
kor,0.1,1998
kor,0.2,1999
kor,0.1,2000
kor,0.1,2001
kor,0.1,2002
kor,0.0,2003
kor,0.0,2004
kor,0.0,2005
kor,0.0,2006
kor,0.0,2007
lva,9.6,1995
lva,10.0,1996
lva,8.8,1997
lva,7.5,1998
lva,7.2,1999
ltu,8.5,2000
ltu,9.6,2001
lux,1.1,1983
lux,0.7,1984
lux,1.2,1985
lux,0.7,1986
lux,0.9,1987
lux,0.4,1988
lux,0.6,1989
lux,0.6,1990
lux,0.3,1991
lux,0.2,1992
lux,0.7,1993
lux,1.0,1994
lux,0.7,1995
lux,0.9,1996
lux,0.9,1997
lux,0.9,1998
lux,0.8,1999
lux,0.5,2000
lux,0.5,2001
lux,0.7,2002
lux,0.9,2003
lux,1.1,2004
lux,1.2,2005
lux,1.4,2006
lux,1.3,2007
mex,0.1,1995
mex,0.1,1996
mex,0.1,1997
mex,0.0,1998
mex,0.0,1999
mex,0.0,2000
mex,0.0,2001
mex,0.0,2002
mex,0.0,2003
mex,0.0,2004
mex,0.1,2005
mex,0.1,2006
mex,0.1,2007
nam,10.9,1997
nld,5.5,1983
nld,6.0,1985
nld,5.1,1987
nld,5.0,1988
nld,4.2,1989
nld,3.8,1990
nld,3.4,1991
nld,2.4,1992
nld,2.9,1993
nld,3.2,1994
nld,3.2,1995
nld,3.0,1996
nld,2.5,1997
nld,1.9,1998
nld,1.4,1999
nld,0.7,2002
nld,1.1,2003
nld,1.5,2004
nld,2.0,2005
nld,1.8,2006
nld,1.3,2007
ant,6.7,1992
ant,6.5,1993
ant,5.0,1994
ant,6.1,1995
ant,5.5,1996
ant,7.7,1997
ant,8.4,1998
nzl,0.2,1986
nzl,0.3,1987
nzl,0.6,1988
nzl,1.0,1989
nzl,1.2,1990
nzl,2.3,1991
nzl,3.0,1992
nzl,2.9,1993
nzl,2.4,1994
nzl,1.4,1995
nzl,1.1,1996
nzl,1.2,1997
nzl,1.3,1998
nzl,1.3,1999
nzl,1.0,2000
nzl,0.8,2001
nzl,0.7,2002
nzl,0.5,2003
nzl,0.4,2004
nzl,0.3,2005
nzl,0.2,2006
nzl,0.2,2007
nor,0.1,1983
nor,0.4,1984
nor,0.2,1985
nor,0.1,1987
nor,0.3,1988
nor,0.5,1989
nor,0.9,1990
nor,1.0,1991
nor,1.2,1992
nor,1.5,1993
nor,1.4,1994
nor,1.0,1995
nor,0.7,1996
nor,0.5,1997
nor,0.3,1998
nor,0.2,1999
nor,0.2,2000
nor,0.2,2001
nor,0.2,2002
nor,0.3,2003
nor,0.4,2004
nor,0.4,2005
nor,0.5,2006
nor,0.2,2007
pan,3.1,1991
pan,2.8,1992
pan,2.3,1993
pan,2.3,1994
pan,2.7,1995
pan,2.9,1996
pan,2.4,1997
pan,2.8,1998
pan,2.0,1999
pan,2.1,2000
pan,3.6,2001
pol,4.7,1992
pol,5.3,1993
pol,5.8,1994
pol,5.3,1995
pol,4.8,1996
pol,4.3,1997
pol,3.9,1998
pol,4.4,1999
pol,6.1,2000
pol,7.9,2001
pol,9.7,2002
pol,9.8,2003
pol,9.1,2004
pol,9.3,2005
pol,7.0,2006
pol,4.4,2007
prt,4.7,1986
prt,4.0,1987
prt,2.9,1988
prt,2.4,1989
prt,2.1,1990
prt,1.6,1991
prt,1.2,1992
prt,1.8,1993
prt,2.8,1994
prt,3.4,1995
prt,3.6,1996
prt,3.4,1997
prt,2.0,1998
prt,1.8,1999
prt,1.6,2000
prt,1.5,2001
prt,1.6,2002
prt,2.0,2003
prt,2.7,2004
prt,3.5,2005
prt,3.8,2006
prt,3.7,2007
rou,3.1,1994
rou,3.2,1995
rou,2.9,1996
rou,3.2,1997
rou,3.1,1998
rou,3.5,1999
rus,0.5,1992
rus,0.7,1993
rus,1.5,1994
rus,2.2,1995
rus,2.5,1996
rus,1.3,1997
rus,1.6,1998
svk,5.7,1994
svk,7.0,1995
svk,5.8,1996
svk,6.0,1997
svk,6.4,1998
svk,7.7,1999
svk,10.1,2000
svk,10.4,2001
svk,11.2,2002
svk,10.7,2003
svk,11.0,2004
svk,11.0,2005
svk,9.7,2006
svk,7.8,2007
svn,3.9,1993
svn,3.9,1994
esp,3.6,1980
esp,5.4,1981
esp,7.4,1982
esp,8.9,1983
esp,10.5,1984
esp,11.8,1985
esp,11.8,1986
esp,12.2,1987
esp,11.5,1988
esp,9.8,1989
esp,8.5,1990
esp,8.1,1991
esp,8.5,1992
esp,11.2,1993
esp,13.3,1994
esp,12.8,1995
esp,12.2,1996
esp,11.3,1997
esp,9.9,1998
esp,7.8,1999
esp,6.4,2000
esp,4.2,2001
esp,4.3,2002
esp,4.2,2003
esp,3.8,2004
esp,2.6,2005
esp,2.2,2006
esp,2.0,2007
sur,8.6,1993
sur,6.4,1994
sur,3.7,1995
sur,5.8,1996
sur,6.0,1997
sur,4.4,1998
swe,0.1,1980
swe,0.1,1981
swe,0.3,1982
swe,0.4,1983
swe,0.4,1984
swe,0.3,1985
swe,0.2,1986
swe,0.4,1987
swe,0.3,1988
swe,0.2,1989
swe,0.2,1990
swe,0.4,1991
swe,0.8,1992
swe,1.5,1993
swe,2.5,1994
swe,2.5,1995
swe,3.0,1996
swe,3.4,1997
swe,2.8,1998
swe,2.1,1999
swe,1.5,2000
swe,1.1,2001
swe,1.1,2002
swe,1.0,2003
swe,1.2,2004
swe,0.7,2007
che,0.3,1991
che,0.5,1992
che,0.7,1993
che,1.1,1994
che,1.1,1995
che,0.9,1996
che,1.1,1997
che,1.2,1998
che,1.2,1999
che,0.8,2000
che,0.7,2001
che,0.6,2002
che,1.1,2003
che,1.4,2004
che,1.7,2005
che,1.5,2006
che,1.5,2007
tto,5.1,1991
tto,5.1,1992
tto,5.1,1993
tto,4.7,1994
tto,4.0,1995
tto,4.5,1996
tto,4.2,1997
tto,3.9,1998
tto,3.4,1999
tto,3.2,2000
tto,3.0,2001
tur,4.2,1988
tur,3.5,1989
tur,3.6,1990
tur,3.2,1991
tur,3.6,1992
tur,4.0,1993
tur,3.8,1994
tur,2.7,1995
tur,2.8,1996
tur,2.7,1997
tur,2.7,1998
tur,2.1,1999
tur,1.3,2000
tur,1.7,2001
tur,2.9,2002
tur,2.5,2003
tur,4.0,2004
tur,4.1,2005
tur,3.5,2006
tur,3.0,2007
gbr,4.9,1984
gbr,5.7,1985
gbr,5.4,1986
gbr,5.2,1987
gbr,3.8,1988
gbr,2.9,1989
gbr,2.4,1990
gbr,2.4,1991
gbr,3.4,1992
gbr,4.4,1993
gbr,4.4,1994
gbr,3.8,1995
gbr,3.3,1996
gbr,2.8,1997
gbr,2.1,1998
gbr,1.8,1999
gbr,1.6,2000
gbr,1.3,2001
gbr,1.1,2002
gbr,1.1,2003
gbr,1.0,2004
gbr,1.0,2005
gbr,1.2,2006
gbr,1.3,2007
usa,0.3,1980
usa,0.5,1981
usa,0.7,1982
usa,1.3,1983
usa,0.9,1984
usa,0.7,1985
usa,0.6,1986
usa,0.5,1987
usa,0.4,1988
usa,0.3,1989
usa,0.3,1990
usa,0.4,1991
usa,0.8,1992
usa,0.8,1993
usa,0.7,1994
usa,0.5,1995
usa,0.5,1996
usa,0.4,1997
usa,0.4,1998
usa,0.3,1999
usa,0.2,2000
usa,0.3,2001
usa,0.5,2002
usa,0.7,2003
usa,0.7,2004
usa,0.6,2005
usa,0.5,2006
usa,0.5,2007
