geo,long_term_unemployment_rate_percent,time
arm,30.5,2001
abw,0.9,1994
abw,2.4,1997
aus,1.2,1980
aus,1.1,1981
aus,1.3,1982
aus,2.5,1983
aus,2.8,1984
aus,2.5,1985
aus,2.2,1986
aus,2.3,1987
aus,2.0,1988
aus,1.5,1989
aus,1.5,1990
aus,2.3,1991
aus,3.6,1992
aus,4.0,1993
aus,3.5,1994
aus,2.7,1995
aus,2.4,1996
aus,2.6,1997
aus,2.3,1998
aus,2.0,1999
aus,1.6,2000
aus,1.5,2001
aus,1.4,2002
aus,1.3,2003
aus,1.1,2004
aus,0.9,2005
aus,0.9,2006
aus,0.7,2007
aut,1.0,1994
aut,1.3,1995
aut,1.3,1996
aut,1.4,1997
aut,1.6,1998
aut,1.4,1999
aut,1.2,2000
aut,0.9,2001
aut,0.9,2002
aut,1.1,2003
aut,1.4,2004
aut,1.3,2005
aut,1.3,2006
aut,1.2,2007
bhs,3.8,1991
bhs,5.5,1992
bhs,5.0,1993
bhs,5.8,1994
bhs,4.1,1995
bhs,4.3,1996
bhs,3.6,1997
bhs,2.9,1998
bhs,2.4,1999
brb,13.4,1992
brb,15.0,1993
brb,13.0,1994
brb,14.1,1995
brb,8.7,1996
brb,8.5,1997
brb,6.8,1998
brb,5.1,1999
brb,4.7,2000
brb,4.6,2001
bel,7.5,1983
bel,8.0,1984
bel,7.7,1985
bel,7.8,1986
bel,8.2,1987
bel,7.7,1988
bel,6.2,1989
bel,4.9,1990
bel,4.3,1991
bel,4.0,1992
bel,4.3,1993
bel,5.6,1994
bel,5.8,1995
bel,5.8,1996
bel,5.4,1997
bel,5.7,1998
bel,5.2,1999
bel,3.7,2000
bel,3.2,2001
bel,3.4,2002
bel,3.5,2003
bel,3.7,2004
bel,4.2,2005
bel,4.6,2006
bel,3.8,2007
blz,3.8,1993
blz,4.5,1994
blz,5.6,1995
blz,6.2,1996
blz,6.5,1997
blz,7.4,1998
blz,6.9,1999
bwa,8.1,1995
bgr,8.8,1993
bgr,9.0,1994
bgr,7.8,1995
bgr,6.4,1996
bgr,8.4,1997
bgr,8.0,1998
bgr,8.3,1999
can,0.4,1980
can,0.4,1981
can,0.8,1982
can,1.4,1983
can,1.3,1984
can,1.3,1985
can,1.0,1986
can,0.9,1987
can,0.7,1988
can,0.6,1989
can,0.6,1990
can,0.9,1991
can,1.5,1992
can,1.8,1993
can,1.8,1994
can,1.5,1995
can,1.6,1996
can,1.4,1997
can,1.1,1998
can,0.9,1999
can,0.7,2000
can,0.7,2001
can,0.7,2002
can,0.7,2003
can,0.7,2004
can,0.6,2005
can,0.5,2006
can,0.4,2007
chl,2.7,1986
chl,2.3,1987
chl,1.8,1988
chl,1.3,1989
chl,1.2,1990
chl,1.4,1991
chl,3.0,1992
chl,2.8,1993
chl,4.2,1994
chl,3.4,1995
cri,0.4,1980
cri,0.9,1981
cri,1.4,1982
cri,1.4,1983
cri,0.9,1984
cri,0.9,1985
cri,1.2,1986
cri,0.7,1987
cri,0.8,1988
cri,0.3,1989
cri,0.5,1990
cri,0.4,1991
cri,0.5,1992
cri,0.4,1993
cri,0.3,1994
cri,0.4,1995
cri,0.7,1996
cri,0.8,1997
cri,0.6,1998
cri,0.7,1999
cri,0.7,2000
cri,0.7,2001
hrv,9.1,2000
hrv,8.9,2001
hrv,8.6,2002
cze,0.7,1993
cze,0.9,1994
cze,1.1,1995
cze,1.1,1996
cze,1.3,1997
cze,1.9,1998
cze,3.1,1999
cze,4.1,2000
cze,4.2,2001
cze,3.7,2002
cze,3.9,2003
cze,4.3,2004
cze,4.2,2005
cze,3.9,2006
cze,2.8,2007
dnk,4.2,1983
dnk,2.9,1984
dnk,2.7,1985
dnk,1.7,1986
dnk,1.5,1987
dnk,1.5,1988
dnk,1.7,1989
dnk,2.5,1990
dnk,2.9,1991
dnk,2.4,1992
dnk,2.7,1993
dnk,2.6,1994
dnk,2.0,1995
dnk,1.8,1996
dnk,1.5,1997
dnk,1.3,1998
dnk,1.0,1999
dnk,0.9,2000
dnk,0.9,2001
dnk,0.8,2002
dnk,1.1,2003
dnk,1.2,2004
dnk,1.2,2005
dnk,0.8,2006
dnk,0.7,2007
dma,10.2,1997
dom,0.4,1996
dom,0.2,1997
dom,0.2,2000
slv,0.6,1996
est,4.5,1997
est,4.6,1998
