geo,age_at_1st_marriage_women,time
ita,23.94,1970
ita,29.17,2005
jam,21.06,1970
jam,33.2,2005
jpn,17.93,1685
jpn,16.95,1710
jpn,18.18,1735
jpn,18.25,1760
jpn,19.03,1785
jpn,21.11,1800
jpn,20.2,1810
jpn,20.79,1860
jpn,20.6,1879
jpn,21.1,1920
jpn,21.8,1930
jpn,23.3,1940
jpn,23.6,1950
jpn,24.7,1955
jpn,25.0,1960
jpn,24.8,1965
jpn,24.65,1970
jpn,24.4,1975
jpn,26.7,1990
jpn,28.57,2005
jor,21.5,1975
jor,25.86,2005
kaz,18.2,1897
kaz,23.36,2005
ken,19.2,1969
ken,21.45,2005
kor,16.5,1925
kor,16.7,1930
kor,21.7,1960
kor,23.28,1970
kor,27.07,2005
kwt,19.55,1970
kwt,25.07,2005
kgz,21.84,2005
lva,25.7,1897
lva,28.16,2005
lbn,23.18,1970
lso,20.07,1976
lso,21.31,2005
lbr,18.73,1970
lbr,20.16,2005
lby,18.73,1973
lby,29.19,2005
ltu,24.7,1897
ltu,26.13,2005
lux,21.4,1970
lux,27.84,2005
mkd,22.88,2005
mdg,20.28,1975
mdg,19.85,2005
mwi,17.8,1977
mwi,18.94,2005
mys,18.3,1940
mys,19.4,1955
mys,22.06,1970
mys,25.12,2005
mdv,17.55,1977
mdv,21.82,2005
mli,18.0,1950
mli,18.07,1976
mli,18.49,2005
mlt,24.01,1967
mlt,22.17,1985
mtq,26.16,1967
mtq,33.27,2005
mrt,19.47,1977
mrt,21.78,2005
mus,22.45,1972
mus,22.55,2005
mex,21.19,1970
mex,22.73,2005
mda,20.2,1897
mda,20.87,2005
mng,23.66,2005
mne,25.94,2005
mar,18.0,1960
mar,19.6,1971
mar,21.6,1979
mar,22.2,1982
mar,23.5,1987
mar,25.0,1994
mar,26.9,2003
mar,26.44,2005
moz,19.88,1970
moz,18.74,2005
mmr,21.26,1973
mmr,24.54,2005
nam,21.75,1960
nam,27.53,2005
npl,15.9,1946
npl,15.8,1960
npl,17.46,1971
npl,18.98,2005
nld,26.5,1780
nld,26.46,1815
nld,26.57,1825
nld,27.12,1835
nld,26.79,1845
nld,27.65,1855
nld,27.47,1865
nld,26.65,1875
nld,26.02,1885
nld,25.65,1895
nld,25.76,1906
nld,26.14,1948
nld,25.9,1950
nld,24.2,1970
nld,25.05,1980
nld,26.27,1986
nld,30.51,2005
ant,24.86,1971
ant,30.23,2005
ncl,21.63,1969
ncl,30.37,2005
nzl,24.7,1915
nzl,24.5,1920
nzl,24.4,1925
nzl,24.6,1930
nzl,24.7,1935
nzl,24.4,1940
nzl,23.8,1945
nzl,23.3,1950
nzl,22.3,1955
nzl,21.8,1960
nzl,21.5,1965
nzl,21.4,1970
nzl,30.01,2005
nic,20.22,1971
nic,20.45,2005
ner,15.79,1959
ner,17.6,2005
nga,20.91,2005
nor,27.0,1775
nor,28.0,1840
nor,26.59,1946
nor,23.67,1960
nor,22.77,1970
nor,23.52,1980
nor,26.25,1990
nor,31.62,2005
omn,21.67,2005
pak,16.5,1815
pak,17.0,1930
pak,18.4,1960
pak,19.71,1972
pak,20.3,1980
pak,22.13,2005
pan,20.43,1970
pan,21.92,2005
png,20.62,1970
png,20.62,1980
png,20.8,1996
png,20.8,2005
pry,21.67,1972
pry,22.7,2005
per,21.81,1972
per,23.57,2005
phl,20.9,1903
phl,21.9,1939
phl,22.1,1948
phl,22.3,1960
phl,22.82,1970
phl,23.2,1975
phl,22.4,1980
phl,23.18,2005
pol,24.23,1950
pol,23.43,1965
pol,22.89,1970
pol,22.7,1989
pol,25.3,2005
prt,23.25,1970
prt,23.93,1991
prt,23.93,2005
pri,22.14,1970
pri,22.59,1996
pri,22.59,2005
qat,21.44,1982
qat,25.79,2005
reu,22.47,1974
reu,30.51,2005
rou,22.56,1957
rou,21.81,1970
rou,22.3,1976
rou,22.25,1984
rou,25.3,2005
rus,17.5,1710
rus,20.4,1897
rus,23.59,2005
rwa,20.1,1970
rwa,22.58,2005
lca,28.68,1970
lca,33.66,1991
lca,32.26,2005
vct,28.36,1970
vct,30.93,1991
vct,30.93,2005
wsm,21.99,1971
wsm,23.95,2005
stp,15.56,1981
stp,17.76,2005
sau,25.84,2005
sen,18.67,1970
sen,21.54,2005
srb,25.94,2005
sle,19.76,2005
sgp,19.4,1930
sgp,20.8,1945
sgp,23.6,1965
sgp,24.25,1970
sgp,27.1,1990
sgp,26.51,2005
svk,24.38,1945
svk,21.98,1960
svk,21.72,1970
svk,21.79,1989
svk,26.36,2005
svn,30.3,2005
slb,22.31,1970
slb,21.23,2005
zaf,25.75,1980
zaf,27.9,2005
esp,24.19,1887
esp,24.47,1900
esp,25.06,1910
esp,25.76,1920
esp,25.83,1930
esp,26.65,1940
esp,26.43,1950
esp,24.52,1971
esp,23.4,1979
esp,24.6,1987
esp,29.31,2005
lka,16.9,1800
lka,16.9,1870
lka,18.3,1901
lka,20.8,1911
lka,21.4,1921
lka,20.7,1946
lka,20.9,1953
lka,22.1,1963
lka,23.5,1971
lka,25.1,1975
lka,24.7,1984
lka,25.26,2005
sdn,18.71,1973
sdn,22.67,2005
sur,18.62,1964
sur,18.62,1970
swz,21.2,1960
swz,23.9,1969
swz,24.3,1970
swz,24.7,1971
swz,24.6,1972
swz,24.9,1973
swz,24.6,1974
swz,24.6,1975
swz,24.7,1976
swz,24.7,1977
swz,25.4,1978
swz,24.7,1979
swz,25.96,2005
swe,26.0,1775
swe,27.1,1870
swe,27.1,1880
swe,26.8,1890
swe,26.8,1900
swe,26.4,1910
swe,26.5,1920
swe,26.5,1930
swe,26.5,1940
swe,25.9,1948
swe,25.0,1960
swe,23.7,1970
swe,25.2,1980
swe,27.7,1990
swe,32.4,2005
che,26.26,1946
che,25.94,1948
che,25.59,1950
che,22.87,1970
che,23.14,1980
che,25.87,1990
che,29.12,2005
syr,20.67,1970
twn,18.1,1905
twn,19.1,1915
twn,19.2,1920
twn,19.2,1925
twn,19.4,1930
twn,19.7,1935
twn,19.6,1940
twn,21.1,1955
twn,21.8,1965
twn,23.3,1975
twn,23.8,1980
twn,25.9,1990
twn,27.8,2005
tjk,20.91,2005
tza,19.13,1978
tza,19.97,2005
tha,21.1,1945
tha,22.1,1955
tha,21.6,1960
tha,21.97,1970
tha,22.8,1980
tha,24.06,2005
tgo,21.35,2005
ton,24.31,1976
ton,25.5,2005
tto,24.01,1970
tto,26.78,2005
tun,19.5,1956
tun,20.8,1966
tun,22.7,1975
tun,24.3,1984
tun,25.2,1989
tun,26.3,1994
tun,29.2,2001
tun,29.2,2005
tur,20.1,1975
tur,23.05,2005
tkm,23.37,2005
uga,17.7,1969
uga,20.25,2005
ukr,20.8,1897
ukr,21.45,1979
ukr,22.82,2005
are,18.0,1975
are,23.09,2005
gbr,25.6,1616
gbr,26.6,1666
gbr,25.3,1716
gbr,23.5,1766
gbr,22.6,1791
gbr,24.3,1840
gbr,24.6,1866
gbr,25.64,1925
gbr,26.12,1930
gbr,25.67,1935
gbr,25.09,1940
gbr,24.08,1945
gbr,24.17,1948
gbr,24.0,1949
gbr,23.93,1950
gbr,23.78,1951
gbr,23.7,1952
gbr,22.76,1958
gbr,22.17,1968
gbr,22.35,1971
gbr,22.98,1980
gbr,24.79,1989
gbr,29.75,2005
usa,23.0,1780
usa,22.8,1860
usa,22.0,1890
usa,21.9,1900
usa,21.6,1910
usa,21.2,1920
usa,21.3,1930
usa,21.5,1940
usa,20.3,1950
usa,20.3,1960
usa,20.8,1970
usa,22.0,1980
usa,23.9,1990
usa,24.1,1991
usa,24.4,1992
usa,24.5,1993
usa,24.5,1994
usa,24.5,1995
usa,24.8,1996
usa,25.0,1997
usa,25.0,1998
usa,25.1,1999
usa,25.1,2000
usa,25.1,2001
usa,25.3,2002
usa,25.3,2003
usa,25.3,2004
usa,25.3,2005
ury,22.48,1975
ury,23.3,2005
uzb,20.58,2005
vut,22.04,1979
vut,22.61,2005
ven,20.15,1971
ven,22.75,2005
pse,21.93,1967
pse,22.86,2005
esh,17.97,1970
vir,20.83,1960
vir,29.91,2005
yem,16.7,1957
yem,16.9,1979
yem,20.67,1997
yem,21.67,2005
zmb,18.23,1969
zmb,20.53,2005
zwe,20.3,1982
zwe,21.03,2005
