geo,population_growth_annual_percent_with_projections,time
eth,2.558,1968
eth,2.586,1973
eth,1.443,1978
eth,2.956,1983
eth,3.25,1988
eth,3.31,1993
eth,2.79,1998
eth,2.614,2003
eth,2.588,2008
eth,2.489,2013
eth,2.3,2018
eth,2.084,2023
eth,1.869,2028
eth,1.664,2033
eth,1.481,2038
eth,1.303,2043
eth,1.121,2048
fro,0.235,1953
fro,1.483,1958
fro,1.183,1963
fro,1.203,1968
fro,1.063,1973
fro,1.249,1978
fro,0.963,1983
fro,0.779,1988
fro,-1.847,1993
fro,1.072,1998
fro,1.287,2003
fro,0.629,2008
fro,0.604,2013
fro,0.611,2018
fro,0.57,2023
fro,0.449,2028
fro,0.303,2033
fro,0.202,2038
fro,0.145,2043
fro,0.129,2048
flk,-0.529,1953
flk,-0.534,1958
flk,-0.654,1963
flk,-0.796,1968
flk,-0.736,1973
flk,-0.645,1978
flk,0.011,1983
flk,1.46,1988
flk,4.061,1993
flk,3.34,1998
flk,0.517,2003
flk,0.412,2008
flk,0.268,2013
flk,0.136,2018
flk,0.0,2023
flk,-0.103,2028
flk,-0.176,2033
flk,-0.224,2038
flk,-0.206,2043
flk,-0.168,2048
fji,3.014,1953
fji,3.185,1958
fji,3.269,1963
fji,2.292,1968
fji,2.034,1973
fji,1.909,1978
fji,2.238,1983
fji,0.415,1988
fji,1.19,1993
fji,0.86,1998
fji,0.647,2003
fji,0.62,2008
fji,0.463,2013
fji,0.31,2018
fji,0.394,2023
fji,0.286,2028
fji,0.174,2033
fji,0.025,2038
fji,-0.123,2043
fji,-0.262,2048
fin,1.097,1953
fin,0.9,1958
fin,0.596,1963
fin,0.183,1968
fin,0.453,1973
fin,0.287,1978
fin,0.507,1983
fin,0.341,1988
fin,0.481,1993
fin,0.255,1998
fin,0.273,2003
fin,0.383,2008
fin,0.318,2013
fin,0.235,2018
fin,0.134,2023
fin,0.04,2028
fin,-0.052,2033
fin,-0.104,2038
fin,-0.111,2043
fin,-0.094,2048
fra,0.736,1953
fra,1.021,1958
fra,1.312,1963
fra,0.804,1968
fra,0.757,1973
fra,0.458,1978
fra,0.528,1983
fra,0.517,1988
fra,0.403,1993
fra,0.385,1998
fra,0.628,2003
fra,0.525,2008
fra,0.399,2013
fra,0.32,2018
fra,0.256,2023
fra,0.213,2028
fra,0.175,2033
fra,0.123,2038
fra,0.057,2043
fra,0.001,2048
guf,2.298,1953
guf,2.553,1958
guf,4.117,1963
guf,3.709,1968
guf,3.06,1973
guf,3.975,1978
guf,5.084,1983
guf,5.581,1988
guf,3.513,1993
guf,3.49,1998
guf,4.025,2003
guf,2.711,2008
guf,2.419,2013
guf,2.221,2018
guf,2.037,2023
guf,1.832,2028
guf,1.613,2033
guf,1.406,2038
guf,1.232,2043
guf,1.091,2048
pyf,2.678,1953
pyf,2.677,1958
pyf,3.148,1963
pyf,3.546,1968
pyf,3.153,1973
pyf,3.038,1978
pyf,2.825,1983
pyf,2.316,1988
pyf,1.987,1993
pyf,1.786,1998
pyf,1.577,2003
pyf,1.295,2008
pyf,1.191,2013
pyf,1.03,2018
pyf,0.849,2023
pyf,0.679,2028
pyf,0.535,2033
pyf,0.43,2038
pyf,0.322,2043
pyf,0.211,2048
gab,0.28,1953
gab,0.419,1958
gab,0.652,1963
gab,1.071,1968
gab,2.345,1973
gab,2.709,1978
gab,2.999,1983
gab,3.139,1988
gab,3.15,1993
gab,2.574,1998
gab,2.089,2003
gab,1.841,2008
gab,1.752,2013
gab,1.645,2018
gab,1.475,2023
gab,1.304,2028
gab,1.137,2033
gab,1.003,2038
gab,0.886,2043
gab,0.769,2048
gmb,1.5,1953
gmb,2.638,1958
gmb,2.997,1963
gmb,3.081,1968
gmb,3.666,1973
gmb,3.493,1978
gmb,3.529,1983
gmb,3.95,1988
gmb,3.836,1993
gmb,3.646,1998
gmb,3.18,2003
gmb,2.746,2008
gmb,2.517,2013
gmb,2.299,2018
gmb,2.135,2023
gmb,1.979,2028
gmb,1.827,2033
gmb,1.67,2038
gmb,1.513,2043
gmb,1.361,2048
geo,1.698,1953
geo,1.601,1958
geo,1.473,1963
geo,1.002,1968
geo,0.834,1973
geo,0.661,1978
geo,0.826,1983
geo,0.644,1988
geo,-1.486,1993
geo,-1.322,1998
geo,-1.217,2003
geo,-1.13,2008
geo,-0.653,2013
geo,-0.502,2018
geo,-0.482,2023
geo,-0.567,2028
geo,-0.629,2033
geo,-0.684,2038
geo,-0.761,2043
geo,-0.837,2048
deu,0.562,1953
deu,0.696,1958
deu,0.847,1963
deu,0.572,1968
deu,0.129,1973
deu,-0.098,1978
deu,-0.155,1983
deu,0.445,1988
deu,0.544,1993
deu,0.111,1998
deu,0.081,2003
deu,-0.086,2008
deu,-0.174,2013
deu,-0.228,2018
deu,-0.292,2023
deu,-0.357,2028
deu,-0.421,2033
deu,-0.478,2038
deu,-0.526,2043
deu,-0.559,2048
gha,3.016,1953
gha,3.177,1958
gha,2.913,1963
gha,2.139,1968
gha,2.696,1973
gha,1.952,1978
gha,3.302,1983
gha,2.81,1988
gha,2.833,1993
gha,2.487,1998
gha,2.305,2003
gha,2.093,2008
gha,2.025,2013
gha,1.872,2018
gha,1.726,2023
gha,1.581,2028
gha,1.462,2033
gha,1.357,2038
gha,1.245,2043
gha,1.124,2048
gib,0.921,1953
gib,0.613,1958
gib,1.532,1963
gib,1.218,1968
gib,0.718,1973
gib,0.954,1978
gib,0.139,1983
gib,0.266,1988
gib,0.394,1993
gib,0.118,1998
gib,1.214,2003
gib,0.232,2008
gib,0.199,2013
gib,0.126,2018
gib,0.023,2023
gib,-0.114,2028
gib,-0.21,2033
gib,-0.246,2038
gib,-0.255,2043
gib,-0.267,2048
grc,1.03,1953
grc,0.902,1958
grc,0.515,1963
grc,0.558,1968
grc,0.569,1973
grc,1.276,1978
grc,0.596,1983
grc,0.45,1988
grc,0.983,1993
grc,0.5,1998
grc,0.221,2003
grc,0.215,2008
grc,0.138,2013
grc,0.04,2018
grc,-0.018,2023
grc,-0.07,2028
grc,-0.088,2033
grc,-0.109,2038
grc,-0.141,2043
grc,-0.195,2048
grl,2.746,1953
grl,4.262,1958
grl,3.665,1963
grl,3.378,1968
grl,1.315,1973
grl,0.249,1978
grl,1.148,1983
grl,0.875,1988
grl,0.023,1993
grl,0.207,1998
grl,0.35,2003
grl,0.036,2008
grl,0.02,2013
grl,-0.077,2018
grl,-0.273,2023
grl,-0.501,2028
grl,-0.328,2033
grl,-0.449,2038
grl,-0.535,2043
grl,-0.626,2048
grd,1.099,1953
grd,2.07,1958
grd,1.024,1963
grd,-0.036,1968
grd,-0.426,1973
grd,-0.767,1978
grd,2.309,1983
grd,-0.741,1988
grd,0.812,1993
grd,0.207,1998
grd,0.254,2003
grd,0.356,2008
grd,0.42,2013
grd,0.341,2018
grd,0.122,2023
grd,-0.135,2028
grd,-0.336,2033
grd,-0.469,2038
grd,-0.606,2043
grd,-0.812,2048
glp,2.335,1953
glp,3.066,1958
glp,1.753,1963
glp,1.271,1968
glp,0.524,1973
glp,-0.097,1978
glp,1.647,1983
glp,1.693,1988
glp,0.92,1993
glp,1.182,1998
glp,1.192,2003
glp,0.506,2008
glp,0.387,2013
glp,0.313,2018
glp,0.219,2023
glp,0.11,2028
glp,0.008,2033
glp,-0.101,2038
glp,-0.214,2043
glp,-0.321,2048
gum,1.109,1953
gum,1.345,1958
gum,2.368,1963
gum,2.369,1968
gum,2.196,1973
gum,2.22,1978
gum,2.284,1983
gum,2.284,1988
gum,1.668,1993
gum,1.277,1998
gum,1.659,2003
gum,1.3,2008
gum,1.177,2013
gum,1.085,2018
gum,0.971,2023
gum,0.82,2028
gum,0.654,2033
gum,0.503,2038
gum,0.38,2043
gum,0.304,2048
gtm,2.801,1953
gtm,2.692,1958
gtm,2.693,1963
gtm,2.694,1968
gtm,2.707,1973
gtm,2.452,1978
gtm,2.468,1983
gtm,2.313,1988
gtm,2.321,1993
gtm,2.308,1998
gtm,2.474,2003
gtm,2.465,2008
gtm,2.421,2013
gtm,2.176,2018
gtm,1.933,2023
gtm,1.698,2028
gtm,1.476,2033
gtm,1.27,2038
gtm,1.081,2043
gtm,0.903,2048
gin,1.689,1953
gin,1.83,1958
gin,2.009,1963
gin,2.143,1968
gin,0.982,1973
gin,2.736,1978
gin,2.585,1983
gin,3.09,1988
gin,3.921,1993
gin,2.285,1998
gin,1.904,2003
gin,2.26,2008
gin,2.747,2013
gin,2.569,2018
gin,2.365,2023
gin,2.173,2028
gin,1.998,2033
gin,1.832,2038
gin,1.666,2043
gin,1.502,2048
gnb,1.792,1953
gnb,0.941,1958
gnb,0.147,1963
gnb,0.171,1968
gnb,2.827,1973
gnb,3.69,1978
gnb,1.892,1983
gnb,2.132,1988
gnb,2.628,1993
gnb,2.234,1998
gnb,2.436,2003
gnb,2.243,2008
gnb,2.302,2013
gnb,2.217,2018
gnb,2.12,2023
gnb,1.991,2028
gnb,1.862,2033
gnb,1.74,2038
gnb,1.631,2043
gnb,1.52,2048
guy,2.781,1953
guy,3.136,1958
guy,2.525,1963
guy,1.903,1968
guy,0.679,1973
guy,1.118,1978
guy,-0.136,1983
guy,-0.569,1988
guy,0.256,1993
guy,-0.068,1998
guy,0.199,2003
guy,-0.063,2008
guy,-0.186,2013
guy,-0.249,2018
guy,-0.34,2023
guy,-0.517,2028
guy,-0.807,2033
guy,-1.116,2038
guy,-1.376,2043
guy,-1.61,2048
hti,1.753,1953
hti,1.914,1958
hti,1.995,1963
hti,1.95,1968
hti,1.75,1973
hti,2.022,1978
hti,2.3,1983
hti,2.146,1988
hti,2.013,1993
hti,1.909,1998
hti,1.689,2003
hti,1.589,2008
hti,1.456,2013
hti,1.35,2018
hti,1.246,2023
hti,1.121,2028
hti,0.989,2033
hti,0.854,2038
hti,0.733,2043
hti,0.624,2048
hos,0.022,1953
hos,0.0,1958
hos,-1.159,1963
hos,-5.544,1968
hos,2.356,1973
hos,-0.082,1978
hos,0.57,1983
hos,0.607,1988
hos,0.284,1993
hos,0.153,1998
hos,-0.102,2003
hos,0.051,2008
hos,0.0,2013
hos,0.0,2018
hos,-0.231,2023
hos,-0.286,2028
hos,-0.29,2033
hos,-0.027,2038
hos,0.132,2043
hos,0.21,2048
hnd,2.885,1953
hnd,3.069,1958
hnd,3.221,1963
hnd,2.684,1968
hnd,2.875,1973
hnd,3.137,1978
hnd,3.062,1983
hnd,2.918,1988
hnd,2.623,1993
hnd,2.175,1998
hnd,2.022,2003
hnd,1.995,2008
hnd,1.928,2013
hnd,1.714,2018
hnd,1.491,2023
hnd,1.275,2028
hnd,1.072,2033
hnd,0.881,2038
hnd,0.755,2043
hnd,0.637,2048
hun,1.017,1953
hun,0.321,1958
hun,0.336,1963
hun,0.359,1968
hun,0.373,1973
hun,0.331,1978
hun,-0.241,1983
hun,-0.409,1988
hun,-0.063,1993
hun,-0.229,1998
hun,-0.271,2003
hun,-0.208,2008
hun,-0.2,2013
hun,-0.22,2018
hun,-0.246,2023
hun,-0.288,2028
hun,-0.33,2033
hun,-0.329,2038
hun,-0.304,2043
hun,-0.284,2048
isl,1.996,1953
isl,2.157,1958
isl,1.74,1963
isl,1.222,1968
isl,1.32,1973
isl,0.908,1978
isl,1.128,1983
isl,1.08,1988
isl,0.972,1993
isl,0.992,1998
isl,1.016,2003
isl,2.149,2008
isl,1.39,2013
isl,0.968,2018
isl,0.691,2023
isl,0.437,2028
isl,0.315,2033
isl,0.224,2038
isl,0.147,2043
isl,0.064,2048
ind,1.789,1953
ind,1.95,1958
ind,2.059,1963
ind,2.137,1968
ind,2.206,1973
ind,2.299,1978
ind,2.241,1983
ind,2.137,1988
ind,2.007,1993
ind,1.794,1998
ind,1.621,2003
ind,1.431,2008
ind,1.272,2013
ind,1.098,2018
ind,0.916,2023
ind,0.732,2028
ind,0.575,2033
ind,0.477,2038
ind,0.368,2043
ind,0.249,2048
idn,1.667,1953
idn,2.082,1958
idn,2.219,1963
idn,2.346,1968
idn,2.324,1973
idn,2.198,1978
idn,2.043,1983
idn,1.772,1988
idn,1.531,1993
idn,1.39,1998
idn,1.313,2003
idn,1.179,2008
idn,0.98,2013
idn,0.805,2018
idn,0.701,2023
idn,0.613,2028
idn,0.502,2033
idn,0.365,2038
idn,0.225,2043
idn,0.097,2048
irn,2.421,1953
irn,2.567,1958
irn,2.736,1963
irn,2.925,1968
irn,2.926,1973
irn,3.302,1978
irn,4.158,1983
irn,3.17,1988
irn,1.841,1993
irn,1.456,1998
irn,1.122,2003
irn,1.183,2008
irn,1.133,2013
irn,1.051,2018
irn,0.795,2023
irn,0.633,2028
irn,0.549,2033
irn,0.466,2038
irn,0.333,2043
irn,0.159,2048
irq,2.968,1953
irq,2.445,1958
irq,2.832,1963
irq,3.345,1968
irq,3.258,1973
irq,3.09,1978
irq,2.753,1983
irq,2.327,1988
irq,2.968,1993
irq,3.234,1998
irq,2.716,2003
irq,2.165,2008
irq,2.627,2013
irq,2.285,2018
irq,2.105,2023
irq,1.804,2028
irq,1.613,2033
irq,1.423,2038
irq,1.249,2043
irq,1.092,2048
irl,-0.326,1953
irl,-0.605,1958
irl,0.294,1963
irl,0.533,1968
irl,1.459,1973
irl,1.361,1978
irl,0.795,1983
irl,-0.137,1988
irl,0.529,1993
irl,1.052,1998
irl,1.92,2003
irl,1.833,2008
irl,1.253,2013
irl,1.035,2018
irl,0.854,2023
irl,0.744,2028
irl,0.699,2033
irl,0.665,2038
irl,0.591,2043
irl,0.48,2048
gbm,-1.06,1953
gbm,-1.589,1958
gbm,0.905,1963
gbm,2.224,1968
gbm,1.429,1973
gbm,1.319,1978
gbm,-0.213,1983
gbm,1.744,1988
gbm,0.526,1993
gbm,1.248,1998
gbm,0.916,2003
gbm,0.068,2008
gbm,0.031,2013
gbm,0.001,2018
gbm,-0.034,2023
gbm,-0.108,2028
gbm,-0.215,2033
gbm,-0.293,2038
gbm,-0.331,2043
gbm,-0.349,2048
isr,6.58,1953
isr,3.802,1958
isr,3.849,1963
isr,2.458,1968
isr,2.949,1973
isr,2.281,1978
isr,1.723,1983
isr,1.91,1988
isr,3.489,1993
isr,2.483,1998
isr,1.903,2003
isr,1.699,2008
isr,1.426,2013
isr,1.199,2018
isr,1.084,2023
isr,1.0,2028
isr,0.907,2033
isr,0.786,2038
isr,0.655,2043
isr,0.536,2048
ita,0.749,1953
ita,0.563,1958
ita,0.78,1963
ita,0.717,1968
ita,0.665,1973
ita,0.41,1978
ita,0.203,1983
ita,0.04,1988
ita,0.073,1993
ita,-0.032,1998
ita,0.528,2003
ita,0.489,2008
ita,0.168,2013
ita,-0.065,2018
ita,-0.13,2023
ita,-0.157,2028
ita,-0.166,2033
ita,-0.182,2038
ita,-0.222,2043
ita,-0.282,2048
jam,1.887,1953
jam,1.102,1958
jam,1.552,1963
jam,1.197,1968
jam,1.482,1973
jam,1.162,1978
jam,1.467,1983
jam,0.588,1988
jam,0.845,1993
jam,0.807,1998
jam,0.765,2003
jam,0.461,2008
jam,0.407,2013
jam,0.344,2018
jam,0.22,2023
jam,0.054,2028
jam,-0.122,2033
jam,-0.284,2038
jam,-0.418,2043
jam,-0.549,2048
jpn,1.449,1953
jpn,0.909,1958
jpn,1.017,1963
jpn,1.264,1968
jpn,1.328,1973
jpn,0.906,1978
jpn,0.692,1983
jpn,0.374,1988
jpn,0.362,1993
jpn,0.2,1998
jpn,0.117,2003
jpn,-0.071,2008
jpn,-0.191,2013
jpn,-0.341,2018
jpn,-0.47,2023
jpn,-0.566,2028
jpn,-0.639,2033
jpn,-0.703,2038
jpn,-0.754,2043
jpn,-0.787,2048
jor,6.85,1953
jor,5.95,1958
jor,4.216,1963
jor,7.661,1968
jor,3.537,1973
jor,2.778,1978
jor,3.915,1983
jor,3.685,1988
jor,5.593,1993
jor,2.402,1998
jor,2.74,2003
jor,3.018,2008
jor,1.444,2013
jor,1.553,2018
jor,1.461,2023
jor,1.265,2028
jor,1.088,2033
jor,0.923,2038
jor,0.796,2043
jor,0.647,2048
kaz,3.518,1953
kaz,4.475,1958
kaz,3.502,1963
kaz,1.922,1968
kaz,1.507,1973
kaz,1.078,1978
kaz,1.122,1983
kaz,0.929,1988
kaz,-0.745,1993
kaz,-1.256,1998
kaz,0.315,2003
kaz,0.723,2008
kaz,0.669,2013
kaz,0.529,2018
kaz,0.355,2023
kaz,0.255,2028
kaz,0.235,2033
kaz,0.23,2038
kaz,0.172,2043
kaz,0.053,2048
ken,2.769,1953
ken,2.989,1958
ken,3.183,1963
ken,3.374,1968
ken,3.621,1973
ken,3.75,1978
ken,3.783,1983
ken,3.524,1988
ken,3.195,1993
ken,2.684,1998
ken,2.606,2003
ken,2.636,2008
ken,2.556,2013
ken,2.278,2018
ken,2.023,2023
ken,1.865,2028
ken,1.738,2033
ken,1.592,2038
ken,1.426,2043
ken,1.267,2048
kir,2.066,1953
kir,2.61,1958
kir,2.781,1963
kir,2.939,1968
kir,1.995,1973
kir,2.426,1978
kir,2.688,1983
kir,2.747,1988
kir,1.453,1993
kir,1.679,1998
kir,1.815,2003
kir,1.576,2008
kir,1.489,2013
kir,1.429,2018
kir,1.328,2023
kir,1.169,2028
kir,0.972,2033
kir,0.789,2038
kir,0.658,2043
kir,0.564,2048
kwt,5.371,1953
kwt,6.669,1958
kwt,10.53,1963
kwt,9.169,1968
kwt,6.038,1973
kwt,6.237,1978
kwt,4.48,1983
kwt,4.396,1988
kwt,-4.34,1993
kwt,5.121,1998
kwt,3.84,2003
kwt,2.443,2008
kwt,2.038,2013
kwt,1.767,2018
kwt,1.55,2023
kwt,1.381,2028
kwt,1.246,2033
kwt,1.109,2038
kwt,0.946,2043
kwt,0.781,2048
kgz,1.786,1953
kgz,2.654,1958
kgz,3.388,1963
kgz,2.829,1968
kgz,2.138,1973
kgz,1.898,1978
kgz,2.022,1983
kgz,1.814,1988
kgz,0.88,1993
kgz,1.52,1998
kgz,1.047,2003
kgz,1.222,2008
kgz,1.145,2013
kgz,0.938,2018
kgz,0.699,2023
kgz,0.511,2028
kgz,0.424,2033
kgz,0.332,2038
kgz,0.201,2043
kgz,0.052,2048
lao,2.504,1953
lao,2.351,1958
lao,2.343,1963
lao,2.4,1968
lao,2.491,1973
lao,1.196,1978
lao,2.428,1983
lao,2.809,1988
lao,2.675,1993
lao,2.332,1998
lao,1.691,2003
lao,1.808,2008
lao,1.759,2013
lao,1.699,2018
lao,1.564,2023
lao,1.357,2028
lao,1.161,2033
lao,1.02,2038
lao,0.906,2043
lao,0.783,2048
lva,0.666,1953
lva,1.025,1958
lva,1.322,1963
lva,0.807,1968
lva,0.806,1973
lva,0.448,1978
lva,0.528,1983
lva,0.643,1988
lva,-1.328,1993
lva,-0.972,1998
lva,-0.701,2003
lva,-0.457,2008
lva,-0.391,2013
lva,-0.407,2018
lva,-0.483,2023
lva,-0.502,2028
lva,-0.559,2033
lva,-0.525,2038
lva,-0.47,2043
lva,-0.444,2048
lbn,2.232,1953
lbn,3.151,1958
lbn,2.911,1963
lbn,2.236,1968
lbn,2.278,1973
lbn,0.342,1978
lbn,0.75,1983
lbn,0.567,1988
lbn,3.202,1993
lbn,1.551,1998
lbn,1.576,2003
lbn,0.83,2008
lbn,0.79,2013
lbn,0.713,2018
lbn,0.639,2023
lbn,0.512,2028
lbn,0.35,2033
lbn,0.21,2038
lbn,0.116,2043
lbn,0.032,2048
lso,1.415,1953
lso,1.556,1958
lso,1.839,1963
lso,2.023,1968
lso,2.141,1973
lso,2.397,1978
lso,2.566,1983
lso,1.68,1988
lso,1.483,1993
lso,1.803,1998
lso,1.099,2003
lso,0.873,2008
lso,0.792,2013
lso,0.69,2018
lso,0.545,2023
lso,0.449,2028
lso,0.362,2033
lso,0.297,2038
lso,0.241,2043
lso,0.192,2048
lbr,2.067,1953
lbr,2.945,1958
lbr,3.05,1963
lbr,2.967,1968
lbr,2.676,1973
lbr,3.11,1978
lbr,2.961,1983
lbr,-0.436,1988
lbr,-2.163,1993
lbr,7.463,1998
lbr,3.319,2003
lbr,4.144,2008
lbr,2.572,2013
lbr,2.374,2018
lbr,2.18,2023
lbr,1.99,2028
lbr,1.809,2033
lbr,1.639,2038
lbr,1.476,2043
lbr,1.32,2048
lby,1.802,1953
lby,3.614,1958
lby,3.698,1963
lby,4.117,1968
lby,4.249,1973
lby,4.336,1978
lby,4.573,1983
lby,2.51,1988
lby,2.044,1993
lby,2.014,1998
lby,2.048,2003
lby,2.0,2008
lby,1.789,2013
lby,1.457,2018
lby,1.124,2023
lby,0.9,2028
lby,0.813,2033
lby,0.784,2038
lby,0.698,2043
lby,0.545,2048
lie,1.507,1953
lie,2.201,1958
lie,2.443,1963
lie,2.639,1968
lie,1.73,1973
lie,1.591,1978
lie,1.48,1983
lie,1.322,1988
lie,1.304,1993
lie,1.199,1998
lie,1.097,2003
lie,0.832,2008
lie,0.75,2013
lie,0.715,2018
lie,0.674,2023
lie,0.599,2028
lie,0.494,2033
lie,0.402,2038
lie,0.327,2043
lie,0.302,2048
ltu,0.472,1953
ltu,1.109,1958
ltu,1.342,1963
ltu,1.101,1968
ltu,1.006,1973
ltu,0.665,1978
ltu,0.755,1983
ltu,0.847,1988
ltu,-0.369,1993
ltu,-0.726,1998
ltu,-0.489,2003
ltu,-0.965,2008
ltu,-0.7,2013
ltu,-0.548,2018
ltu,-0.488,2023
ltu,-0.517,2028
ltu,-0.574,2033
ltu,-0.619,2038
ltu,-0.616,2043
ltu,-0.597,2048
lux,0.599,1953
lux,0.582,1958
lux,1.085,1963
lux,0.458,1968
lux,1.133,1973
lux,0.288,1978
lux,0.14,1983
lux,0.809,1988
lux,1.352,1993
lux,1.342,1998
lux,1.204,2003
lux,1.161,2008
lux,1.119,2013
lux,1.113,2018
lux,1.122,2023
lux,1.101,2028
lux,1.012,2033
lux,0.909,2038
lux,0.831,2043
lux,0.784,2048
mdg,2.152,1953
mdg,2.305,1958
mdg,2.432,1963
mdg,2.55,1968
mdg,2.716,1973
mdg,2.751,1978
mdg,2.559,1983
mdg,2.845,1988
mdg,3.037,1993
mdg,3.04,1998
mdg,2.849,2003
mdg,2.686,2008
mdg,2.521,2013
mdg,2.338,2018
mdg,2.145,2023
mdg,1.953,2028
mdg,1.768,2033
mdg,1.592,2038
mdg,1.429,2043
mdg,1.274,2048
mwi,1.906,1953
mwi,2.153,1958
mwi,2.379,1963
mwi,2.562,1968
mwi,3.103,1973
mwi,3.275,1978
mwi,3.127,1983
mwi,5.258,1988
mwi,1.414,1993
mwi,3.077,1998
mwi,2.866,2003
mwi,2.781,2008
mwi,2.743,2013
mwi,2.639,2018
mwi,2.434,2023
mwi,2.204,2028
mwi,1.978,2033
mwi,1.791,2038
mwi,1.638,2043
mwi,1.499,2048
mys,2.721,1953
mys,3.018,1958
mys,3.094,1963
mys,2.657,1968
mys,2.435,1973
mys,2.317,1978
mys,2.604,1983
mys,2.878,1988
mys,2.578,1993
mys,2.446,1998
mys,1.932,2003
mys,1.705,2008
mys,1.469,2013
mys,1.274,2018
mys,1.066,2023
mys,0.872,2028
mys,0.756,2033
mys,0.646,2038
mys,0.531,2043
mys,0.412,2048
mdv,1.773,1953
mdv,1.894,1958
mdv,2.007,1963
mdv,2.173,1968
mdv,2.461,1973
mdv,2.821,1978
mdv,2.99,1983
mdv,3.207,1988
mdv,2.794,1993
mdv,1.879,1998
mdv,1.428,2003
mdv,1.42,2008
mdv,1.452,2013
mdv,1.381,2018
mdv,1.193,2023
mdv,0.96,2028
mdv,0.772,2033
mdv,0.66,2038
mdv,0.569,2043
mdv,0.445,2048
mli,1.592,1953
mli,1.814,1958
mli,1.761,1963
mli,1.768,1968
mli,1.782,1973
mli,1.699,1978
mli,1.795,1983
mli,1.932,1988
mli,1.967,1993
mli,1.942,1998
mli,2.346,2003
mli,2.372,2008
mli,2.362,2013
mli,2.237,2018
mli,2.078,2023
mli,1.91,2028
mli,1.787,2033
mli,1.68,2038
mli,1.56,2043
mli,1.425,2048
mlt,0.128,1953
mlt,-0.128,1958
mlt,-0.454,1963
mlt,-0.151,1968
mlt,0.1,1973
mlt,1.267,1978
mlt,1.211,1983
mlt,0.895,1988
mlt,0.957,1993
mlt,0.58,1998
mlt,0.69,2003
mlt,0.366,2008
mlt,0.327,2013
mlt,0.265,2018
mlt,0.168,2023
mlt,0.048,2028
mlt,-0.082,2033
mlt,-0.174,2038
mlt,-0.203,2043
mlt,-0.192,2048
mhl,1.329,1953
mhl,1.079,1958
mhl,3.287,1963
mhl,3.311,1968
mhl,4.529,1973
mhl,3.571,1978
mhl,4.519,1983
mhl,4.203,1988
mhl,1.514,1993
mhl,0.439,1998
mhl,1.683,2003
mhl,2.226,2008
mhl,1.862,2013
mhl,1.466,2018
mhl,1.087,2023
mhl,0.883,2028
mhl,0.848,2033
mhl,0.727,2038
mhl,0.477,2043
mhl,0.168,2048
mtq,2.037,1953
mtq,2.733,1958
mtq,1.998,1963
mtq,0.886,1968
mtq,0.183,1973
mtq,-0.144,1978
mtq,0.863,1983
mtq,1.062,1988
mtq,0.597,1993
mtq,0.8,1998
mtq,0.667,2003
mtq,0.392,2008
mtq,0.257,2013
mtq,0.189,2018
mtq,0.113,2023
mtq,0.004,2028
mtq,-0.127,2033
mtq,-0.26,2038
mtq,-0.378,2043
mtq,-0.474,2048
mrt,2.664,1953
mrt,2.898,1958
mrt,2.923,1963
mrt,2.895,1968
mrt,2.839,1973
mrt,2.819,1978
mrt,2.736,1983
mrt,2.563,1988
mrt,2.65,1993
mrt,2.747,1998
mrt,2.735,2003
mrt,2.399,2008
mrt,2.066,2013
mrt,1.839,2018
mrt,1.649,2023
mrt,1.508,2028
mrt,1.391,2033
mrt,1.259,2038
mrt,1.106,2043
mrt,0.946,2048
mus,2.914,1953
mus,2.915,1958
mus,2.636,1963
mus,1.854,1968
mus,1.531,1973
mus,1.594,1978
mus,1.004,1983
mus,0.782,1988
mus,1.323,1993
mus,1.142,1998
mus,0.94,2003
mus,0.695,2008
mus,0.616,2013
mus,0.515,2018
mus,0.406,2023
mus,0.277,2028
mus,0.147,2033
mus,0.042,2038
mus,-0.026,2043
mus,-0.077,2048
myt,4.507,1953
myt,4.678,1958
myt,4.741,1963
myt,3.775,1968
myt,4.175,1973
myt,3.903,1978
myt,5.079,1983
myt,5.3,1988
myt,5.544,1993
myt,3.971,1998
myt,3.213,2003
myt,2.638,2008
myt,2.368,2013
myt,2.208,2018
myt,2.013,2023
myt,1.753,2028
myt,1.466,2033
myt,1.258,2038
myt,1.147,2043
myt,1.043,2048
mex,3.016,1953
mex,3.23,1958
mex,3.174,1963
mex,3.112,1968
mex,3.039,1973
mex,2.615,1978
mex,1.908,1983
mex,1.921,1988
mex,1.886,1993
mex,1.65,1998
mex,1.133,2003
mex,0.985,2008
mex,0.864,2013
mex,0.707,2018
mex,0.606,2023
mex,0.495,2028
mex,0.351,2033
mex,0.183,2038
mex,0.012,2043
mex,-0.153,2048
fsm,2.009,1953
fsm,2.295,1958
fsm,2.731,1963
fsm,2.772,1968
fsm,1.951,1973
fsm,2.447,1978
fsm,3.438,1983
fsm,3.066,1988
fsm,2.202,1993
fsm,1.287,1998
fsm,1.564,2003
fsm,1.297,2008
fsm,1.212,2013
fsm,1.168,2018
fsm,1.07,2023
fsm,0.925,2028
fsm,0.781,2033
fsm,0.637,2038
fsm,0.51,2043
fsm,0.418,2048
fsm,3.377,1953
fsm,3.233,1958
fsm,3.188,1963
fsm,3.243,1968
fsm,0.55,1973
fsm,2.891,1978
fsm,3.214,1983
fsm,2.34,1988
fsm,2.147,1993
fsm,-0.024,1998
fsm,0.428,2003
fsm,0.306,2008
fsm,0.482,2013
fsm,0.644,2018
fsm,0.715,2023
fsm,0.561,2028
fsm,0.372,2033
fsm,0.166,2038
