energy_from_solid_biofuels_percent,geo,time
25.52,lva,2000
26.45,lva,2002
26.71,lva,2005
27.82,lva,2010
2.621,lbn,2000
2.548,lbn,2002
2.773,lbn,2005
1.856,lbn,2010
0.8419,lby,2000
0.8612,lby,2002
0.8801,lby,2005
0.8888,lby,2010
9.05,ltu,2000
8.222,ltu,2002
9.432,ltu,2005
13.56,ltu,2010
0.4555,lux,2000
0.426,lux,2002
0.8996,lux,2005
1.132,lux,2010
7.967,mkd,2000
5.814,mkd,2002
5.323,mkd,2005
6.873,mkd,2010
6.121,mys,2000
5.917,mys,2002
5.059,mys,2005
4.713,mys,2010
0.0,mlt,2000
0.0,mlt,2002
0.0,mlt,2005
0.0,mlt,2010
6.154,mex,2000
5.64,mex,2002
5.212,mex,2005
4.669,mex,2010
2.377,mda,2000
2.7,mda,2002
2.211,mda,2005
2.751,mda,2010
5.513,mng,2000
6.506,mng,2002
6.408,mng,2005
4.459,mng,2010
15.0,mne,2000
15.0,mne,2002
2.1,mne,2005
3.075,mne,2010
4.258,mar,2000
4.038,mar,2002
3.528,mar,2005
2.937,mar,2010
89.47,moz,2000
86.91,moz,2002
82.99,moz,2005
81.61,moz,2010
71.55,mmr,2000
74.52,mmr,2002
68.67,mmr,2005
75.26,mmr,2010
17.68,nam,2000
17.8,nam,2002
14.65,nam,2005
12.96,nam,2010
85.84,npl,2000
87.27,npl,2002
86.28,npl,2005
84.51,npl,2010
0.5696,nld,2000
0.7927,nld,2002
1.076,nld,2005
1.65,nld,2010
0.0,ant,2000
0.0,ant,2002
0.0,ant,2005
0.0,ant,2010
6.342,nzl,2000
6.69,nzl,2002
7.292,nzl,2005
6.073,nzl,2010
52.17,nic,2000
50.29,nic,2002
50.64,nic,2005
45.18,nic,2010
81.73,nga,2000
79.8,nga,2002
78.58,nga,2005
83.88,nga,2010
4.596,nor,2000
4.441,nor,2002
4.261,nor,2005
3.842,nor,2010
0.0,omn,2000
0.0,omn,2002
0.0,omn,2005
0.0,omn,2010
37.81,pak,2000
38.3,pak,2002
34.89,pak,2005
34.08,pak,2010
17.9,pan,2000
18.66,pan,2002
15.69,pan,2005
12.78,pan,2010
58.08,pry,2000
55.24,pry,2002
54.75,pry,2005
50.01,pry,2010
18.28,per,2000
19.07,per,2002
16.64,per,2005
15.68,per,2010
20.32,phl,2000
19.91,phl,2002
18.46,phl,2005
16.51,phl,2010
4.025,pol,2000
4.391,pol,2002
4.509,pol,2005
5.78,pol,2010
10.51,prt,2000
10.28,prt,2002
10.25,prt,2005
10.97,prt,2010
0.0,qat,2000
0.0,qat,2002
0.0,qat,2005
0.0,qat,2010
7.631,rou,2000
6.167,rou,2002
8.238,rou,2005
11.38,rou,2010
0.629,rus,2000
0.5774,rus,2002
0.5358,rus,2005
0.4202,rus,2010
7.106e-05,sau,2000
6.156e-05,sau,2002
4.947e-05,sau,2005
4.253e-05,sau,2010
48.53,sen,2000
45.6,sen,2002
42.7,sen,2005
46.33,sen,2010
6.027,srb,2000
5.203,srb,2002
4.999,srb,2005
6.571,srb,2010
0.0,sgp,2000
0.0,sgp,2002
0.0,sgp,2005
0.0,sgp,2010
0.5145,svk,2000
1.468,svk,2002
1.948,svk,2005
4.068,svk,2010
7.083,svn,2000
6.229,svn,2002
6.436,svn,2005
7.929,svn,2010
11.78,zaf,2000
12.12,zaf,2002
10.77,zaf,2005
10.69,zaf,2010
2.97,esp,2000
2.956,esp,2002
2.943,esp,2005
3.719,esp,2010
53.71,lka,2000
52.59,lka,2002
51.35,lka,2005
51.2,lka,2010
81.45,sdn,2000
79.64,sdn,2002
75.22,sdn,2005
68.66,sdn,2010
16.21,swe,2000
13.72,swe,2002
15.39,swe,2005
19.32,swe,2010
2.665,che,2000
2.637,che,2002
2.908,che,2005
3.638,che,2010
0.03181,syr,2000
0.03182,syr,2002
0.02791,syr,2005
0.02956,syr,2010
0.1955,twn,2000
0.1485,twn,2002
0.1621,twn,2005
0.2364,twn,2010
0.0,tjk,2000
0.0,tjk,2002
0.0,tjk,2005
0.0,tjk,2010
93.04,tza,2000
91.48,tza,2002
88.88,tza,2005
88.43,tza,2010
20.19,tha,2000
17.01,tha,2002
17.27,tha,2005
18.59,tha,2010
83.2,tgo,2000
84.52,tgo,2002
84.08,tgo,2005
82.67,tgo,2010
0.4632,tto,2000
0.3564,tto,2002
0.2364,tto,2005
0.06689,tto,2010
12.78,tun,2000
12.89,tun,2002
13.49,tun,2005
14.0,tun,2010
8.504,tur,2000
8.077,tur,2002
6.31,tur,2005
4.231,tur,2010
0.0,tkm,2000
0.0,tkm,2002
0.0,tkm,2005
0.0,tkm,2010
0.1955,ukr,2000
0.1929,ukr,2002
0.183,ukr,2005
1.131,ukr,2010
0.0,are,2000
0.0,are,2002
0.0,are,2005
0.0,are,2010
0.2955,gbr,2000
