geo,population_aged_60plus_years_both_sexes_percent,time
bgd,18.7,2045
bgd,21.21,2050
brb,8.531,1950
brb,9.292,1955
brb,9.914,1960
brb,11.02,1965
brb,11.76,1970
brb,13.82,1975
brb,14.11,1980
brb,13.33,1985
brb,13.51,1990
brb,13.13,1995
brb,13.44,2000
brb,13.89,2005
brb,15.62,2010
brb,18.22,2015
brb,22.22,2020
brb,25.95,2025
brb,29.62,2030
brb,32.28,2035
brb,33.73,2040
brb,34.69,2045
brb,35.71,2050
blr,12.56,1950
blr,12.2,1955
blr,11.74,1960
blr,12.34,1965
blr,13.18,1970
blr,14.22,1975
blr,13.74,1980
blr,14.58,1985
blr,16.52,1990
blr,17.78,1995
blr,19.03,2000
blr,18.1,2005
blr,18.3,2010
blr,19.59,2015
blr,22.05,2020
blr,24.36,2025
blr,25.63,2030
blr,27.39,2035
blr,29.35,2040
blr,32.13,2045
blr,35.03,2050
bel,15.91,1950
bel,16.61,1955
bel,17.63,1960
bel,18.43,1965
bel,18.96,1970
bel,19.18,1975
bel,18.38,1980
bel,19.49,1985
bel,20.56,1990
bel,21.44,1995
bel,22.03,2000
bel,22.02,2005
bel,23.37,2010
bel,25.0,2015
bel,26.99,2020
bel,29.08,2025
bel,30.67,2030
bel,31.64,2035
bel,32.07,2040
bel,32.29,2045
bel,32.34,2050
blz,5.797,1950
blz,5.128,1955
blz,6.383,1960
blz,5.714,1965
blz,5.738,1970
blz,6.716,1975
blz,6.25,1980
blz,5.521,1985
blz,6.283,1990
blz,5.479,1995
blz,5.952,2000
blz,5.319,2005
blz,6.051,2010
blz,6.122,2015
blz,7.754,2020
blz,9.429,2025
blz,11.16,2030
blz,13.25,2035
blz,15.04,2040
blz,17.11,2045
blz,19.57,2050
ben,11.08,1950
ben,9.605,1955
ben,8.814,1960
ben,8.279,1965
ben,7.723,1970
ben,7.143,1975
ben,6.545,1980
ben,5.921,1985
ben,5.421,1990
ben,5.031,1995
ben,4.941,2000
ben,5.008,2005
ben,5.015,2010
ben,5.109,2015
ben,5.355,2020
ben,5.79,2025
ben,6.357,2030
ben,6.991,2035
ben,7.744,2040
ben,8.614,2045
ben,9.594,2050
btn,4.167,1950
btn,3.571,1955
btn,4.444,1960
btn,4.297,1965
btn,4.054,1970
btn,4.735,1975
btn,4.728,1980
btn,4.99,1985
btn,5.302,1990
btn,6.114,1995
btn,6.774,2000
btn,6.626,2005
btn,7.062,2010
btn,7.792,2015
btn,8.77,2020
btn,9.595,2025
btn,11.1,2030
btn,12.74,2035
btn,15.23,2040
btn,18.63,2045
btn,21.62,2050
bol,5.603,1950
bol,5.554,1955
bol,5.493,1960
bol,5.545,1965
bol,5.533,1970
bol,5.568,1975
bol,5.524,1980
bol,5.632,1985
bol,5.997,1990
bol,6.228,1995
bol,6.468,2000
bol,6.699,2005
bol,7.18,2010
bol,7.786,2015
bol,8.585,2020
bol,9.507,2025
bol,10.64,2030
bol,12.11,2035
bol,13.66,2040
bol,15.41,2045
bol,17.51,2050
bih,6.083,1950
bih,5.601,1955
bih,6.006,1960
bih,6.565,1965
bih,7.744,1970
bih,8.113,1975
bih,7.999,1980
bih,8.705,1985
bih,10.45,1990
bih,13.23,1995
bih,16.59,2000
bih,17.67,2005
bih,19.1,2010
bih,21.71,2015
bih,24.54,2020
bih,27.45,2025
bih,29.81,2030
bih,31.88,2035
bih,33.95,2040
bih,36.43,2045
bih,39.18,2050
bwa,7.039,1950
bwa,6.61,1955
bwa,5.556,1960
bwa,5.369,1965
bwa,4.624,1970
bwa,4.162,1975
bwa,3.866,1980
bwa,4.052,1985
bwa,4.145,1990
bwa,4.325,1995
bwa,4.762,2000
bwa,5.38,2005
bwa,5.915,2010
bwa,6.888,2015
bwa,7.589,2020
bwa,7.913,2025
bwa,7.929,2030
bwa,7.983,2035
bwa,8.808,2040
bwa,10.44,2045
bwa,12.4,2050
bra,4.869,1950
bra,5.039,1955
bra,5.323,1960
bra,5.424,1965
bra,5.699,1970
bra,6.01,1975
bra,6.192,1980
bra,6.315,1985
bra,6.807,1990
bra,7.344,1995
bra,8.128,2000
bra,8.896,2005
bra,10.15,2010
bra,11.91,2015
bra,14.02,2020
bra,16.55,2025
bra,18.88,2030
bra,21.21,2035
bra,23.91,2040
bra,26.88,2045
bra,29.3,2050
brn,6.122,1950
brn,7.812,1955
brn,6.098,1960
brn,5.825,1965
brn,5.385,1970
brn,4.969,1975
brn,4.639,1980
brn,4.444,1985
brn,4.28,1990
brn,4.068,1995
brn,4.491,2000
brn,4.878,2005
brn,5.882,2010
brn,7.937,2015
brn,10.0,2020
brn,11.15,2025
brn,13.58,2030
brn,15.4,2035
brn,17.19,2040
brn,19.12,2045
brn,20.73,2050
bgr,10.16,1950
bgr,10.64,1955
bgr,11.39,1960
bgr,12.95,1965
bgr,14.71,1970
bgr,16.09,1975
bgr,15.65,1980
bgr,17.49,1985
bgr,19.28,1990
bgr,21.35,1995
bgr,22.16,2000
bgr,22.88,2005
bgr,24.53,2010
bgr,25.94,2015
bgr,27.32,2020
bgr,28.64,2025
bgr,30.18,2030
bgr,32.24,2035
bgr,34.73,2040
bgr,36.58,2045
bgr,38.2,2050
bfa,3.774,1950
bfa,4.334,1955
bfa,4.682,1960
bfa,4.866,1965
bfa,4.887,1970
bfa,4.891,1975
bfa,4.752,1980
bfa,4.505,1985
