geo,time,hdi_human_development_index
afg,1980,0.198
afg,1990,0.246
afg,2000,0.23
afg,2005,0.34
afg,2006,0.354
afg,2007,0.363
afg,2008,0.37
afg,2009,0.387
afg,2011,0.398
alb,1990,0.656
alb,2000,0.691
alb,2005,0.721
alb,2006,0.724
alb,2007,0.729
alb,2008,0.733
alb,2009,0.734
alb,2011,0.739
dza,1980,0.454
dza,1990,0.551
dza,2000,0.624
dza,2005,0.667
dza,2006,0.673
dza,2007,0.68
dza,2008,0.686
dza,2009,0.691
dza,2011,0.698
and,2011,0.838
ago,2000,0.384
ago,2005,0.445
ago,2006,0.459
ago,2007,0.471
ago,2008,0.476
ago,2009,0.481
ago,2011,0.486
atg,2011,0.764
arg,1980,0.669
arg,1990,0.697
arg,2000,0.749
arg,2005,0.765
arg,2006,0.773
arg,2007,0.78
arg,2008,0.786
arg,2009,0.788
arg,2011,0.797
arm,2000,0.643
arm,2005,0.689
arm,2006,0.703
arm,2007,0.715
arm,2008,0.719
arm,2009,0.712
arm,2011,0.716
aus,1980,0.85
aus,1990,0.873
aus,2000,0.906
aus,2005,0.918
aus,2006,0.92
aus,2007,0.922
aus,2008,0.924
aus,2009,0.926
aus,2011,0.929
aut,1980,0.74
aut,1990,0.79
aut,2000,0.839
aut,2005,0.86
aut,2006,0.866
aut,2007,0.87
aut,2008,0.876
aut,2009,0.879
aut,2011,0.885
aze,2011,0.731
bhs,2000,0.752
bhs,2005,0.766
bhs,2006,0.768
bhs,2007,0.77
bhs,2008,0.771
bhs,2009,0.769
bhs,2011,0.771
bhr,1980,0.651
bhr,1990,0.721
bhr,2000,0.773
bhr,2005,0.795
bhr,2006,0.799
bhr,2007,0.804
bhr,2008,0.806
bhr,2009,0.805
bhr,2011,0.806
bgd,1980,0.303
bgd,1990,0.352
bgd,2000,0.422
bgd,2005,0.462
bgd,2006,0.47
bgd,2007,0.478
bgd,2008,0.484
bgd,2009,0.491
bgd,2011,0.5
brb,2005,0.787
brb,2006,0.79
brb,2007,0.791
brb,2008,0.792
brb,2009,0.79
brb,2011,0.793
blr,2005,0.723
blr,2006,0.731
blr,2007,0.738
blr,2008,0.744
blr,2009,0.746
blr,2011,0.756
bel,1980,0.757
bel,1990,0.811
bel,2000,0.876
bel,2005,0.873
bel,2006,0.877
bel,2007,0.88
bel,2008,0.882
bel,2009,0.883
bel,2011,0.886
blz,1980,0.619
blz,1990,0.651
blz,2000,0.668
blz,2005,0.689
blz,2006,0.69
blz,2007,0.692
blz,2008,0.695
blz,2009,0.696
blz,2011,0.699
ben,1980,0.252
ben,1990,0.316
ben,2000,0.378
ben,2005,0.409
ben,2006,0.411
ben,2007,0.414
ben,2008,0.419
ben,2009,0.422
ben,2011,0.427
btn,2011,0.522
bol,1980,0.507
bol,1990,0.56
bol,2000,0.612
bol,2005,0.649
bol,2006,0.65
bol,2007,0.645
bol,2008,0.651
bol,2009,0.656
bol,2011,0.663
bih,2005,0.717
bih,2006,0.72
bih,2007,0.725
bih,2008,0.73
bih,2009,0.73
bih,2011,0.733
bwa,1980,0.446
bwa,1990,0.594
bwa,2000,0.585
bwa,2005,0.601
bwa,2006,0.611
bwa,2007,0.618
bwa,2008,0.624
bwa,2009,0.626
bwa,2011,0.633
bra,1980,0.549
bra,1990,0.6
bra,2000,0.665
bra,2005,0.692
bra,2006,0.695
bra,2007,0.7
bra,2008,0.705
bra,2009,0.708
bra,2011,0.718
brn,1980,0.75
brn,1990,0.784
brn,2000,0.818
brn,2005,0.83
brn,2006,0.834
brn,2007,0.835
brn,2008,0.834
brn,2009,0.835
brn,2011,0.838
bgr,1990,0.698
bgr,2000,0.715
bgr,2005,0.749
bgr,2006,0.753
bgr,2007,0.758
bgr,2008,0.765
bgr,2009,0.766
bgr,2011,0.771
bfa,2005,0.302
bfa,2006,0.307
bfa,2007,0.313
bfa,2008,0.321
bfa,2009,0.326
bfa,2011,0.331
bdi,1980,0.2
bdi,1990,0.25
bdi,2000,0.245
bdi,2005,0.267
bdi,2006,0.281
bdi,2007,0.289
bdi,2008,0.301
bdi,2009,0.308
bdi,2011,0.316
khm,2000,0.438
khm,2005,0.491
khm,2006,0.501
khm,2007,0.508
khm,2008,0.513
khm,2009,0.513
khm,2011,0.523
cmr,1980,0.37
cmr,1990,0.427
cmr,2000,0.427
cmr,2005,0.449
cmr,2006,0.451
cmr,2007,0.459
cmr,2008,0.466
cmr,2009,0.475
cmr,2011,0.482
can,1980,0.817
can,1990,0.857
can,2000,0.879
can,2005,0.892
can,2006,0.897
can,2007,0.9
can,2008,0.903
can,2009,0.903
can,2011,0.908
cpv,2000,0.523
cpv,2005,0.543
cpv,2006,0.555
cpv,2007,0.56
cpv,2008,0.563
cpv,2009,0.564
cpv,2011,0.568
caf,1980,0.283
caf,1990,0.31
caf,2000,0.306
caf,2005,0.311
caf,2006,0.316
caf,2007,0.323
caf,2008,0.327
caf,2009,0.334
caf,2011,0.343
tcd,2000,0.286
tcd,2005,0.312
tcd,2006,0.311
tcd,2007,0.313
tcd,2008,0.316
tcd,2009,0.323
tcd,2011,0.328
chl,1980,0.63
chl,1990,0.698
chl,2000,0.749
chl,2005,0.779
chl,2006,0.78
chl,2007,0.789
chl,2008,0.796
