energy_production_total,geo,time
2418.0,alb,1971
2961.0,alb,1972
3001.0,alb,1973
2707.0,alb,1974
2909.0,alb,1975
3078.0,alb,1976
3170.0,alb,1977
3476.0,alb,1978
3386.0,alb,1979
3428.0,alb,1980
2687.0,alb,1981
2650.0,alb,1982
2808.0,alb,1983
3011.0,alb,1984
2809.0,alb,1985
2998.0,alb,1986
2903.0,alb,1987
2891.0,alb,1988
2901.0,alb,1989
2449.0,alb,1990
1915.0,alb,1991
1398.0,alb,1992
1326.0,alb,1993
1278.0,alb,1994
1236.0,alb,1995
1325.0,alb,1996
1102.0,alb,1997
1085.0,alb,1998
1070.0,alb,1999
986.0,alb,2000
882.9,alb,2001
959.3,alb,2002
1046.0,alb,2003
1153.0,alb,2004
1166.0,alb,2005
1192.0,alb,2006
1055.0,alb,2007
1153.0,alb,2008
1254.0,alb,2009
41510.0,dza,1971
54740.0,dza,1972
56490.0,dza,1973
53270.0,dza,1974
53040.0,dza,1975
58790.0,dza,1976
62080.0,dza,1977
69510.0,dza,1978
75780.0,dza,1979
65740.0,dza,1980
67190.0,dza,1981
67340.0,dza,1982
74110.0,dza,1983
77040.0,dza,1984
80760.0,dza,1985
84110.0,dza,1986
88810.0,dza,1987
90970.0,dza,1988
94780.0,dza,1989
100100.0,dza,1990
102600.0,dza,1991
104200.0,dza,1992
104900.0,dza,1993
100600.0,dza,1994
106700.0,dza,1995
112700.0,dza,1996
121700.0,dza,1997
127100.0,dza,1998
137000.0,dza,1999
142200.0,dza,2000
136800.0,dza,2001
143100.0,dza,2002
155300.0,dza,2003
157900.0,dza,2004
166700.0,dza,2005
164900.0,dza,2006
164300.0,dza,2007
162000.0,dza,2008
152300.0,dza,2009
9118.0,ago,1971
10520.0,ago,1972
11680.0,ago,1973
12110.0,ago,1974
11400.0,ago,1975
11160.0,ago,1976
10710.0,ago,1977
10180.0,ago,1978
11000.0,ago,1979
11300.0,ago,1980
10300.0,ago,1981
10400.0,ago,1982
12910.0,ago,1983
14290.0,ago,1984
15740.0,ago,1985
18340.0,ago,1986
22320.0,ago,1987
27060.0,ago,1988
27190.0,ago,1989
28650.0,ago,1990
29960.0,ago,1991
32750.0,ago,1992
30540.0,ago,1993
32950.0,ago,1994
36410.0,ago,1995
39790.0,ago,1996
41560.0,ago,1997
42970.0,ago,1998
43550.0,ago,1999
43680.0,ago,2000
43460.0,ago,2001
51430.0,ago,2002
51350.0,ago,2003
57610.0,ago,2004
70910.0,ago,2005
79990.0,ago,2006
95050.0,ago,2007
105800.0,ago,2008
101000.0,ago,2009
30560.0,arg,1971
30960.0,arg,1972
30530.0,arg,1973
30880.0,arg,1974
30640.0,arg,1975
31040.0,arg,1976
32700.0,arg,1977
33920.0,arg,1978
36350.0,arg,1979
38810.0,arg,1980
39450.0,arg,1981
39980.0,arg,1982
41990.0,arg,1983
42930.0,arg,1984
42560.0,arg,1985
42870.0,arg,1986
43320.0,arg,1987
46260.0,arg,1988
47240.0,arg,1989
48420.0,arg,1990
50220.0,arg,1991
54320.0,arg,1992
56950.0,arg,1993
62400.0,arg,1994
66880.0,arg,1995
72040.0,arg,1996
77470.0,arg,1997
79680.0,arg,1998
80060.0,arg,1999
82260.0,arg,2000
84490.0,arg,2001
81340.0,arg,2002
84270.0,arg,2003
87130.0,arg,2004
84690.0,arg,2005
