geo,urban_population_growth_annual_percent,time
afg,4.892,1960
afg,5.281,1961
afg,5.212,1962
afg,5.152,1963
afg,5.102,1964
afg,5.059,1965
afg,5.65,1966
afg,5.541,1967
afg,5.485,1968
afg,5.492,1969
afg,5.525,1970
afg,6.536,1971
afg,6.418,1972
afg,6.221,1973
afg,5.926,1974
afg,5.55,1975
afg,6.046,1976
afg,5.925,1977
afg,5.811,1978
afg,5.705,1979
afg,5.605,1980
afg,3.863,1981
afg,3.839,1982
afg,3.816,1983
afg,3.793,1984
afg,3.77,1985
afg,3.517,1986
afg,3.496,1987
afg,3.475,1988
afg,3.456,1989
afg,3.437,1990
afg,4.631,1991
afg,4.614,1992
afg,4.598,1993
afg,4.582,1994
afg,4.567,1995
afg,4.152,1996
afg,4.135,1997
afg,4.12,1998
afg,4.104,1999
afg,4.09,2000
afg,4.091,2001
afg,4.075,2002
afg,4.06,2003
afg,4.045,2004
afg,4.031,2005
afg,4.025,2006
afg,4.01,2007
afg,3.995,2008
afg,3.981,2009
afg,3.967,2010
afg,4.001,2011
alb,5.632,1960
alb,3.434,1961
alb,3.388,1962
alb,3.332,1963
alb,3.27,1964
alb,3.203,1965
alb,3.124,1966
alb,3.051,1967
alb,2.979,1968
alb,2.909,1969
alb,2.841,1970
alb,3.064,1971
alb,2.998,1972
alb,2.938,1973
alb,2.884,1974
alb,2.837,1975
alb,2.842,1976
alb,2.803,1977
alb,2.766,1978
alb,2.729,1979
alb,2.696,1980
alb,2.771,1981
alb,2.684,1982
alb,2.696,1983
alb,2.835,1984
alb,3.026,1985
alb,3.301,1986
alb,3.445,1987
alb,3.251,1988
alb,2.638,1989
alb,1.769,1990
alb,1.421,1991
alb,0.5824,1992
alb,0.02186,1993
alb,-0.1185,1994
alb,0.07126,1995
alb,0.5325,1996
alb,0.7565,1997
alb,0.9866,1998
alb,1.179,1999
alb,1.337,2000
alb,2.577,2001
alb,2.743,2002
alb,2.834,2003
alb,2.819,2004
alb,2.728,2005
alb,2.801,2006
alb,2.69,2007
alb,2.596,2008
alb,2.534,2009
alb,2.493,2010
alb,2.375,2011
dza,4.934,1960
dza,6.465,1961
dza,6.199,1962
dza,6.052,1963
dza,6.047,1964
dza,6.138,1965
dza,3.523,1966
dza,3.736,1967
dza,3.885,1968
dza,3.948,1969
dza,3.952,1970
dza,3.427,1971
dza,3.441,1972
dza,3.463,1973
dza,3.5,1974
dza,3.545,1975
dza,4.746,1976
dza,4.74,1977
dza,4.741,1978
dza,4.751,1979
dza,4.759,1980
dza,5.313,1981
dza,5.277,1982
dza,5.201,1983
dza,5.075,1984
dza,4.919,1985
dza,4.624,1986
dza,4.469,1987
dza,4.331,1988
dza,4.218,1989
dza,4.12,1990
dza,3.956,1991
dza,3.86,1992
dza,3.726,1993
dza,3.544,1994
dza,3.336,1995
dza,3.432,1996
dza,3.24,1997
dza,3.103,1998
dza,3.037,1999
dza,3.023,2000
dza,3.381,2001
dza,3.36,2002
dza,3.341,2003
dza,3.319,2004
dza,3.294,2005
dza,3.107,2006
dza,3.092,2007
dza,3.065,2008
dza,3.02,2009
dza,2.964,2010
dza,2.594,2011
asm,2.904,1961
asm,3.634,1962
asm,4.102,1963
asm,4.229,1964
asm,4.125,1965
asm,3.961,1966
asm,3.852,1967
asm,3.661,1968
asm,3.404,1969
asm,3.108,1970
asm,2.801,1971
asm,2.552,1972
asm,2.338,1973
asm,2.158,1974
asm,2.042,1975
asm,1.9,1976
asm,1.824,1977
asm,1.972,1978
asm,2.407,1979
asm,3.02,1980
asm,4.04,1981
asm,4.539,1982
asm,4.864,1983
asm,4.962,1984
asm,4.907,1985
asm,4.765,1986
asm,4.681,1987
