geo,stomach_cancer_new_cases_per_100000_men,time
afg,18.5,2002
alb,16.5,2002
dza,5.9,2002
ago,14.1,2002
arg,14.6,2002
arm,21.7,2002
aus,9.8,2002
aut,13.5,2002
aze,36.0,2002
bhs,16.5,2002
bhr,8.2,2002
bgd,1.6,2002
brb,21.5,2002
blr,41.9,2002
bel,9.4,2002
blz,25.7,2002
ben,3.4,2002
btn,6.8,2002
bol,19.4,2002
bih,18.6,2002
bwa,3.8,2002
bra,20.6,2002
brn,16.0,2002
bgr,19.8,2002
bfa,2.3,2002
bdi,7.4,2002
khm,16.1,2002
cmr,0.6,2002
can,13.61,1983
can,12.49,1984
can,11.97,1985
can,12.01,1986
can,11.82,1987
can,11.38,1988
can,11.2,1989
can,10.58,1990
can,10.49,1991
can,9.8,1992
can,9.57,1993
can,9.38,1994
can,9.07,1995
can,9.24,1996
can,8.64,1997
can,9.1,2002
cpv,3.4,2002
caf,13.4,2002
tcd,13.4,2002
chl,46.1,2002
chn,41.4,2002
col,36.0,2002
com,7.4,2002
cod,18.9,2002
cog,1.9,2002
cri,54.46,1980
cri,44.81,1981
cri,45.94,1982
cri,47.53,1983
cri,42.61,1984
cri,45.13,1985
cri,42.88,1986
cri,35.65,1987
cri,41.04,1988
cri,41.89,1989
cri,34.13,1990
cri,40.05,1991
cri,35.16,1992
cri,35.41,1993
cri,35.5,1994
cri,40.64,1995
cri,40.06,1996
cri,36.02,1997
cri,41.2,2002
civ,4.1,2002
hrv,23.5,2002
cub,7.1,2002
cyp,6.8,2002
cze,22.37,1983
cze,21.46,1984
cze,21.89,1985
cze,20.15,1986
cze,20.13,1987
cze,20.7,1988
cze,21.01,1989
cze,18.64,1990
cze,18.79,1991
cze,18.68,1992
cze,18.07,1993
cze,17.89,1994
cze,17.58,1995
cze,17.86,1996
cze,15.76,1997
cze,14.8,2002
dnk,33.09,1953
dnk,32.07,1954
dnk,33.34,1955
dnk,31.5,1956
dnk,29.04,1957
dnk,30.23,1958
dnk,28.15,1959
dnk,28.92,1960
dnk,26.1,1961
dnk,26.62,1962
dnk,24.11,1963
dnk,23.45,1964
dnk,24.03,1965
dnk,21.91,1966
dnk,22.14,1967
dnk,21.83,1968
dnk,20.73,1969
dnk,20.15,1970
dnk,18.45,1971
dnk,18.64,1972
dnk,18.57,1973
dnk,17.39,1974
dnk,16.45,1975
dnk,15.15,1976
dnk,16.23,1977
dnk,15.55,1978
dnk,15.28,1979
dnk,14.32,1980
dnk,13.97,1981
dnk,13.33,1982
dnk,14.6,1983
dnk,12.81,1984
dnk,11.9,1985
dnk,11.65,1986
dnk,11.23,1987
dnk,10.36,1988
dnk,9.28,1989
dnk,9.33,1990
dnk,7.63,1991
dnk,8.82,1992
dnk,8.73,1993
dnk,8.69,1994
dnk,8.26,1995
dnk,7.99,1996
dnk,7.47,1997
dnk,7.9,2002
dji,7.4,2002
dom,13.4,2002
ecu,37.8,2002
egy,3.4,2002
slv,23.6,2002
gnq,13.4,2002
eri,7.4,2002
est,62.84,1968
est,58.85,1969
est,50.13,1970
est,46.58,1971
est,50.09,1972
est,49.28,1973
est,52.46,1974
est,45.98,1975
est,47.06,1976
est,45.25,1977
est,41.61,1978
est,41.82,1979
est,43.4,1980
est,37.99,1981
est,39.33,1982
est,37.53,1983
est,39.6,1984
est,37.59,1985
est,35.91,1986
est,34.06,1987
est,35.16,1988
est,36.53,1989
est,32.13,1990
est,34.73,1991
est,31.86,1992
est,33.54,1993
est,32.61,1994
est,33.31,1995
est,32.49,1996
est,29.61,1997
est,30.5,2002
eth,6.9,2002
fji,6.3,2002
fin,69.13,1953
fin,63.24,1954
fin,61.15,1955
fin,58.71,1956
fin,56.09,1957
fin,54.99,1958
fin,54.54,1959
fin,50.7,1960
fin,50.16,1961
fin,48.8,1962
fin,43.75,1963
fin,45.41,1964
fin,41.55,1965
fin,39.57,1966
fin,38.22,1967
fin,40.04,1968
fin,35.03,1969
fin,33.95,1970
fin,32.81,1971
fin,32.27,1972
fin,30.73,1973
fin,28.02,1974
fin,28.49,1975
fin,27.01,1976
fin,25.77,1977
fin,24.76,1978
fin,25.72,1979
fin,23.95,1980
fin,23.39,1981
fin,21.08,1982
fin,20.64,1983
fin,21.78,1984
fin,20.48,1985
fin,17.37,1986
fin,19.89,1987
fin,16.28,1988
fin,16.7,1989
fin,16.34,1990
fin,15.45,1991
fin,14.34,1992
fin,13.11,1993
fin,13.45,1994
fin,12.12,1995
fin,13.15,1996
fin,11.22,1997
fin,9.6,2002
fra,10.4,2002
pyf,24.7,2002
gab,1.8,2002
gmb,2.4,2002
geo,19.6,2002
deu,15.1,2002
gha,3.4,2002
grc,12.0,2002
gum,5.5,2002
gtm,15.2,2002
gin,5.9,2002
gnb,3.4,2002
guy,13.9,2002
hti,28.8,2002
hnd,15.2,2002
hkg,24.28,1983
hkg,22.11,1984
hkg,21.94,1985
hkg,22.11,1986
hkg,20.67,1987
hkg,19.88,1988
hkg,21.39,1989
hkg,19.28,1990
hkg,19.26,1991
hkg,17.97,1992
hkg,16.11,1993
hkg,17.14,1994
hkg,16.36,1995
hkg,15.67,1996
hkg,15.88,1997
hun,20.5,2002
isl,71.29,1958
isl,67.96,1959
isl,52.31,1960
isl,74.3,1961
isl,57.4,1962
isl,68.61,1963
isl,50.96,1964
isl,47.35,1965
isl,43.3,1966
isl,43.96,1967
isl,44.92,1968
isl,38.67,1969
isl,32.49,1970
isl,43.94,1971
isl,40.38,1972
isl,38.06,1973
isl,35.71,1974
isl,38.14,1975
isl,36.44,1976
isl,20.72,1977
isl,29.45,1978
isl,31.92,1979
isl,22.7,1980
isl,32.9,1981
isl,29.81,1982
isl,28.38,1983
isl,28.48,1984
isl,30.0,1985
isl,27.09,1986
isl,26.9,1987
isl,16.76,1988
isl,22.08,1989
isl,20.51,1990
isl,26.08,1991
isl,17.76,1992
isl,17.83,1993
isl,13.98,1994
isl,11.64,1995
isl,14.04,1996
isl,19.65,1997
isl,12.5,2002
ind,5.7,2002
idn,3.5,2002
irn,26.1,2002
irq,4.5,2002
irl,11.6,2002
isr,12.5,2002
ita,18.8,2002
jam,26.2,2002
jpn,62.0,2002
jor,6.6,2002
kaz,41.5,2002
ken,11.5,2002
prk,69.7,2002
kor,69.7,2002
kwt,4.8,2002
kgz,36.1,2002
lao,3.2,2002
lva,24.6,2002
lbn,7.0,2002
lso,5.2,2002
lbr,4.0,2002
lby,4.1,2002
ltu,25.8,2002
lux,13.3,2002
mkd,28.5,2002
mdg,7.4,2002
mwi,2.1,2002
mys,13.2,2002
mli,17.2,2002
mlt,14.3,2002
mrt,3.4,2002
mus,14.0,2002
mex,13.1,2002
mda,20.9,2002
mng,39.2,2002
mar,5.8,2002
moz,0.9,2002
mmr,11.7,2002
nam,2.6,2002
npl,6.8,2002
nld,12.4,2002
nzl,12.78,1983
nzl,12.09,1984
nzl,14.96,1985
nzl,12.54,1986
nzl,12.19,1987
nzl,11.37,1988
nzl,11.85,1989
nzl,11.09,1990
nzl,11.43,1991
nzl,13.18,1992
nzl,10.35,1993
nzl,9.46,1994
nzl,9.56,1995
nzl,10.31,1996
nzl,9.35,1997
nzl,10.3,2002
nic,24.1,2002
ner,2.3,2002
nga,1.8,2002
nor,42.98,1953
nor,40.11,1954
nor,39.5,1955
nor,38.01,1956
nor,36.63,1957
nor,36.46,1958
nor,32.98,1959
nor,33.77,1960
nor,32.56,1961
nor,29.73,1962
nor,29.74,1963
nor,29.08,1964
nor,29.37,1965
nor,28.62,1966
nor,27.56,1967
nor,28.38,1968
