geo,life_expectancy_at_birth_with_projections,time
afg,28.21,1800
afg,28.2,1801
afg,28.19,1802
afg,28.18,1803
afg,28.17,1804
afg,28.16,1805
afg,28.15,1806
afg,28.14,1807
afg,28.13,1808
afg,28.12,1809
afg,28.11,1810
afg,28.1,1811
afg,28.09,1812
afg,28.08,1813
afg,28.07,1814
afg,28.06,1815
afg,28.05,1816
afg,28.04,1817
afg,28.03,1818
afg,28.02,1819
afg,28.01,1820
afg,28.0,1821
afg,27.99,1822
afg,27.98,1823
afg,27.97,1824
afg,27.95,1825
afg,27.94,1826
afg,27.93,1827
afg,27.92,1828
afg,27.91,1829
afg,27.9,1830
afg,27.89,1831
afg,27.88,1832
afg,27.87,1833
afg,27.86,1834
afg,27.85,1835
afg,27.84,1836
afg,27.83,1837
afg,27.82,1838
afg,27.81,1839
afg,27.8,1840
afg,27.79,1841
afg,27.78,1842
afg,27.77,1843
afg,27.76,1844
afg,27.75,1845
afg,27.74,1846
afg,27.73,1847
afg,27.72,1848
afg,27.71,1849
afg,27.7,1850
afg,27.69,1851
afg,27.68,1852
afg,27.67,1853
afg,27.66,1854
afg,27.65,1855
afg,27.64,1856
afg,27.63,1857
afg,27.62,1858
afg,27.61,1859
afg,27.6,1860
afg,27.59,1861
afg,27.58,1862
afg,27.57,1863
afg,27.56,1864
afg,27.54,1865
afg,27.53,1866
afg,27.52,1867
afg,27.51,1868
afg,27.5,1869
afg,27.49,1870
afg,27.48,1871
afg,27.47,1872
afg,27.46,1873
afg,27.45,1874
afg,27.44,1875
afg,27.43,1876
afg,27.42,1877
afg,27.41,1878
afg,27.4,1879
afg,27.39,1880
afg,27.38,1881
afg,27.37,1882
afg,27.36,1883
afg,27.35,1884
afg,27.34,1885
afg,27.33,1886
afg,27.32,1887
afg,27.31,1888
afg,27.3,1889
afg,27.29,1890
afg,27.28,1891
afg,27.27,1892
afg,27.26,1893
afg,27.25,1894
afg,27.24,1895
afg,27.23,1896
afg,27.22,1897
afg,27.21,1898
afg,27.2,1899
afg,27.19,1900
afg,27.18,1901
afg,27.17,1902
afg,27.16,1903
afg,27.15,1904
afg,27.14,1905
afg,27.12,1906
afg,27.11,1907
afg,27.1,1908
afg,27.09,1909
afg,27.08,1910
afg,27.07,1911
afg,27.06,1912
afg,27.05,1913
afg,27.04,1914
afg,27.03,1915
afg,27.02,1916
afg,27.01,1917
afg,7.045,1918
afg,26.99,1919
afg,26.98,1920
afg,26.97,1921
afg,26.96,1922
afg,26.95,1923
afg,26.94,1924
afg,26.93,1925
afg,26.92,1926
afg,26.91,1927
afg,26.9,1928
afg,26.89,1929
afg,26.88,1930
afg,26.87,1931
afg,26.86,1932
afg,26.85,1933
afg,26.84,1934
afg,26.83,1935
afg,26.82,1936
afg,26.81,1937
afg,26.8,1938
afg,26.79,1939
afg,26.78,1940
afg,26.77,1941
afg,26.76,1942
afg,26.75,1943
afg,26.74,1944
afg,26.73,1945
afg,26.71,1946
afg,26.7,1947
afg,26.69,1948
afg,26.68,1949
afg,26.67,1950
afg,26.93,1951
afg,27.45,1952
afg,27.96,1953
afg,28.48,1954
afg,29.0,1955
afg,29.51,1956
afg,30.03,1957
afg,30.54,1958
afg,31.06,1959
afg,31.57,1960
afg,32.09,1961
afg,32.61,1962
afg,33.12,1963
afg,33.64,1964
afg,34.15,1965
afg,34.66,1966
afg,35.17,1967
afg,35.67,1968
afg,36.17,1969
afg,36.66,1970
afg,37.14,1971
afg,37.61,1972
afg,38.08,1973
afg,38.53,1974
afg,38.98,1975
afg,39.42,1976
afg,39.85,1977
afg,40.3,1978
afg,40.76,1979
afg,41.24,1980
afg,41.77,1981
afg,42.35,1982
afg,42.98,1983
afg,43.66,1984
afg,44.4,1985
afg,45.19,1986
afg,46.02,1987
afg,46.88,1988
afg,47.74,1989
afg,48.6,1990
afg,49.44,1991
afg,50.25,1992
afg,51.02,1993
afg,51.74,1994
afg,52.4,1995
afg,52.99,1996
afg,53.53,1997
