geo,inequality_index_gini,time
slv,46.19,2006
slv,46.97,2007
slv,46.75,2008
slv,48.33,2009
est,22.97,1988
est,39.5,1993
est,30.06,1995
est,37.64,1998
est,37.0,2000
est,36.9,2001
est,36.81,2002
est,35.78,2003
est,36.0,2004
eth,32.42,1982
eth,39.96,1995
eth,30.0,2000
eth,29.83,2005
fji,46.81,2003
fji,42.83,2009
fin,26.88,2000
fra,32.74,1995
gab,41.45,2005
gmb,50.23,1998
gmb,47.28,2003
geo,37.13,1996
geo,41.88,1997
geo,37.26,1998
geo,41.06,1999
geo,41.09,2000
geo,41.04,2001
geo,40.31,2002
geo,40.37,2003
geo,41.05,2005
geo,41.11,2006
geo,39.37,2007
geo,41.34,2008
deu,28.31,2000
gha,35.35,1988
gha,35.99,1989
gha,38.13,1992
gha,40.75,1998
gha,42.76,2006
grc,34.27,2000
gtm,58.26,1987
gtm,59.6,1989
gtm,55.8,1998
gtm,54.28,2000
gtm,59.19,2002
gtm,56.08,2003
gtm,54.5,2004
gtm,55.89,2006
gin,46.84,1991
gin,44.87,1994
gin,40.3,2003
gin,39.35,2007
gnb,47.84,1993
gnb,35.52,2002
guy,51.55,1993
guy,44.54,1998
hti,59.21,2001
hnd,55.09,1986
hnd,59.49,1989
hnd,57.36,1990
hnd,51.85,1991
hnd,51.83,1992
hnd,53.47,1993
hnd,55.01,1994
hnd,55.49,1995
hnd,55.72,1996
hnd,52.73,1997
hnd,57.43,1998
hnd,55.36,1999
hnd,54.38,2001
hnd,58.89,2002
hnd,58.71,2003
hnd,58.49,2004
hnd,59.65,2005
hnd,57.56,2006
hnd,56.16,2007
hnd,61.33,2008
hnd,56.95,2009
hkg,43.44,1996
hun,20.96,1987
hun,25.05,1989
hun,27.94,1993
hun,24.93,1998
hun,27.77,1999
hun,27.32,2000
hun,26.92,2001
hun,26.82,2002
hun,30.04,2004
hun,31.18,2007
ind,35.09,1978
ind,31.11,1983
ind,31.88,1988
ind,30.82,1994
ind,33.38,2005
idn,30.47,1984
idn,29.27,1987
idn,29.19,1990
idn,29.31,1993
idn,31.33,1996
idn,28.99,1999
idn,29.74,2002
