foreign_direct_investment_net_inflows_percent_of_gdp,geo,time
0.01315,afg,1970
0.02458,afg,1971
0.009401,afg,1972
0.01558,afg,1973
0.001565,afg,1976
-0.008126,afg,1977
0.03245,afg,1979
0.2471,afg,1980
0.005174,afg,1981
0.02762,afg,2001
1.152,afg,2002
1.213,afg,2003
3.277,afg,2004
3.977,afg,2005
3.082,afg,2006
2.503,afg,2007
2.513,afg,2008
1.302,afg,2009
0.4387,afg,2010
2.819,alb,1992
4.723,alb,1993
2.669,alb,1994
2.887,alb,1995
2.99,alb,1996
2.163,alb,1997
1.65,alb,1998
1.2,alb,1999
3.879,alb,2000
5.067,alb,2001
3.034,alb,2002
3.15,alb,2003
4.572,alb,2004
3.134,alb,2005
3.562,alb,2006
6.187,alb,2007
7.391,alb,2008
8.009,alb,2009
9.414,alb,2010
1.647,dza,1970
0.01182,dza,1971
0.6136,dza,1972
0.5852,dza,1973
2.71,dza,1974
0.7649,dza,1975
1.055,dza,1976
0.8509,dza,1977
0.5126,dza,1978
0.07729,dza,1979
0.8234,dza,1980
0.02978,dza,1981
-0.1185,dza,1982
0.0008558,dza,1983
0.001495,dza,1984
0.0006866,dza,1985
0.008347,dza,1986
0.005561,dza,1987
0.02203,dza,1988
0.02174,dza,1989
0.0005398,dza,1990
0.02546,dza,1991
0.0625,dza,1992
0.5752,dza,1996
0.5397,dza,1997
1.259,dza,1998
0.5995,dza,1999
0.5112,dza,2000
2.008,dza,2001
1.867,dza,2002
0.9317,dza,2003
1.037,dza,2004
1.056,dza,2005
1.533,dza,2006
1.224,dza,2007
1.518,dza,2008
1.998,dza,2009
1.415,dza,2010
4.086,ago,1985
3.682,ago,1986
1.612,ago,1987
1.643,ago,1988
2.154,ago,1989
-3.263,ago,1990
5.45,ago,1991
4.982,ago,1992
5.716,ago,1993
4.195,ago,1994
9.374,ago,1995
2.399,ago,1996
5.363,ago,1997
17.28,ago,1998
40.16,ago,1999
9.624,ago,2000
24.01,ago,2001
14.63,ago,2002
25.11,ago,2003
7.329,ago,2004
-4.256,ago,2005
-0.08351,ago,2006
-1.478,ago,2007
1.995,ago,2008
2.921,ago,2009
-3.8,ago,2010
3.326,atg,1977
-9.218,atg,1978
9.215,atg,1979
17.81,atg,1980
18.0,atg,1981
16.67,atg,1982
3.262,atg,1983
2.536,atg,1984
7.728,atg,1985
9.191,atg,1986
13.47,atg,1987
9.729,atg,1988
11.54,atg,1989
15.48,atg,1990
13.35,atg,1991
4.637,atg,1992
3.338,atg,1993
4.957,atg,1994
6.371,atg,1995
3.577,atg,1996
3.957,atg,1997
3.673,atg,1998
7.945,atg,1999
5.373,atg,2000
12.4,atg,2001
8.001,atg,2002
19.19,atg,2003
8.7,atg,2004
21.59,atg,2005
30.86,atg,2006
25.66,atg,2007
12.64,atg,2008
6.435,atg,2009
7.981,atg,2010
0.2842,arg,1970
0.3775,arg,1971
0.2065,arg,1972
0.1908,arg,1973
0.02474,arg,1974
0.106,arg,1975
0.4782,arg,1976
0.2536,arg,1977
0.4304,arg,1978
0.2975,arg,1979
0.881,arg,1980
1.064,arg,1981
0.2693,arg,1982
0.1779,arg,1983
0.3388,arg,1984
1.039,arg,1985
0.5174,arg,1986
-0.0171,arg,1987
0.9088,arg,1988
1.341,arg,1989
1.299,arg,1990
1.286,arg,1991
1.937,arg,1992
1.18,arg,1993
1.412,arg,1994
2.174,arg,1995
2.553,arg,1996
3.128,arg,1997
2.439,arg,1998
8.461,arg,1999
3.666,arg,2000
0.8062,arg,2001
2.106,arg,2002
1.275,arg,2003
2.694,arg,2004
2.874,arg,2005
2.587,arg,2006
2.482,arg,2007
2.977,arg,2008
1.308,arg,2009
1.913,arg,2010
0.1886,arm,1992
0.06659,arm,1993
0.6083,arm,1994
1.724,arm,1995
1.1,arm,1996
3.168,arm,1997
11.66,arm,1998
6.613,arm,1999
5.451,arm,2000
3.298,arm,2001
4.66,arm,2002
4.306,arm,2003
6.93,arm,2004
4.885,arm,2005
7.098,arm,2006
7.591,arm,2007
8.021,arm,2008
8.99,arm,2009
6.083,arm,2010
21.19,abw,1991
-3.858,abw,1992
-1.655,abw,1993
-5.874,abw,1994
-0.4188,abw,1995
6.121,abw,1996
12.79,abw,1997
5.018,abw,1998
26.87,abw,1999
-6.886,abw,2000
-14.11,abw,2001
13.67,abw,2002
2.154,aus,1970
2.518,aus,1971
2.006,aus,1972
0.2286,aus,1973
1.484,aus,1974
0.4637,aus,1975
0.9836,aus,1976
1.024,aus,1977
1.405,aus,1978
1.095,aus,1979
1.236,aus,1980
1.315,aus,1981
1.207,aus,1982
1.67,aus,1983
0.192,aus,1984
1.133,aus,1985
2.909,aus,1986
2.764,aus,1987
3.093,aus,1988
2.401,aus,1989
2.582,aus,1990
1.309,aus,1991
1.735,aus,1992
1.371,aus,1993
1.535,aus,1994
3.243,aus,1995
1.531,aus,1996
1.744,aus,1997
1.485,aus,1998
0.8483,aus,1999
3.267,aus,2000
2.171,aus,2001
4.278,aus,2002
1.713,aus,2003
5.983,aus,2004
-5.112,aus,2005
3.523,aus,2006
4.793,aus,2007
4.454,aus,2008
2.948,aus,2009
2.702,aus,2010
0.7382,aut,1970
0.8051,aut,1971
0.664,aut,1972
0.5486,aut,1973
0.5068,aut,1974
0.1989,aut,1975
0.2139,aut,1976
0.1893,aut,1977
0.2313,aut,1978
0.2553,aut,1979
0.2937,aut,1980
0.4646,aut,1981
0.2942,aut,1982
0.3023,aut,1983
0.171,aut,1984
0.2517,aut,1985
0.19,aut,1986
0.3327,aut,1987
0.3297,aut,1988
0.4453,aut,1989
0.3963,aut,1990
0.2091,aut,1991
0.747,aut,1992
0.5997,aut,1993
1.052,aut,1994
0.7966,aut,1995
1.881,aut,1996
1.262,aut,1997
2.177,aut,1998
1.417,aut,1999
4.439,aut,2000
3.081,aut,2001
0.1533,aut,2002
2.795,aut,2003
1.336,aut,2004
26.77,aut,2005
1.235,aut,2006
17.06,aut,2007
1.594,aut,2008
3.018,aut,2009
-6.763,aut,2010
10.81,aze,1995
19.75,aze,1996
28.13,aze,1997
23.01,aze,1998
11.14,aze,1999
2.464,aze,2000
3.969,aze,2001
22.33,aze,2002
45.15,aze,2003
40.97,aze,2004
12.68,aze,2005
-2.783,aze,2006
-14.37,aze,2007
0.03024,aze,2008
1.069,aze,2009
1.088,aze,2010
2.274,bhs,1976
4.404,bhs,1977
-0.1321,bhs,1978
0.8423,bhs,1979
0.307,bhs,1980
2.411,bhs,1981
0.1774,bhs,1982
-0.3463,bhs,1983
-0.2401,bhs,1984
-1.301,bhs,1985
-0.5339,bhs,1986
