suicide_age_45_59_per_100000_people,geo,time
12.33,arg,1966
15.47,arg,1967
16.62,arg,1968
15.16,arg,1969
14.41,arg,1970
9.726,arg,1977
10.58,arg,1978
10.45,arg,1979
11.5,arg,1980
13.33,arg,1981
10.19,arg,1982
9.627,arg,1983
11.18,arg,1984
10.73,arg,1985
12.02,arg,1986
11.92,arg,1987
11.84,arg,1988
10.93,arg,1989
10.97,arg,1990
8.954,arg,1991
10.64,arg,1992
9.922,arg,1993
10.48,arg,1994
10.05,arg,1995
11.48,arg,1996
10.27,arg,1997
10.13,arg,1998
10.04,arg,1999
11.79,arg,2000
12.2,arg,2001
11.97,arg,2002
11.05,arg,2003
10.34,arg,2004
9.676,arg,2005
9.413,arg,2006
8.852,arg,2007
17.14,aus,1950
17.97,aus,1951
19.48,aus,1952
21.19,aus,1953
18.78,aus,1954
19.59,aus,1955
20.27,aus,1956
25.7,aus,1957
24.47,aus,1958
23.33,aus,1959
20.76,aus,1960
25.7,aus,1961
29.07,aus,1962
31.88,aus,1963
28.81,aus,1964
29.32,aus,1965
28.23,aus,1966
28.23,aus,1967
24.99,aus,1968
21.98,aus,1969
24.54,aus,1970
25.68,aus,1971
24.43,aus,1972
21.66,aus,1973
21.63,aus,1974
20.08,aus,1975
19.51,aus,1976
19.83,aus,1977
18.35,aus,1978
19.49,aus,1979
16.49,aus,1980
18.15,aus,1981
16.41,aus,1982
16.4,aus,1983
17.39,aus,1984
14.98,aus,1985
18.11,aus,1986
18.0,aus,1987
16.35,aus,1988
15.15,aus,1989
15.8,aus,1990
16.63,aus,1991
15.72,aus,1992
14.48,aus,1993
15.68,aus,1994
15.17,aus,1995
14.57,aus,1996
15.82,aus,1997
14.73,aus,1998
15.34,aus,1999
13.17,aus,2000
14.95,aus,2001
13.63,aus,2002
13.11,aus,2003
12.07,aus,2004
11.52,aus,2006
40.02,aut,1955
38.79,aut,1956
40.75,aut,1957
39.75,aut,1958
44.28,aut,1959
36.88,aut,1960
38.19,aut,1961
36.47,aut,1962
35.95,aut,1963
41.17,aut,1964
40.06,aut,1965
35.83,aut,1966
35.74,aut,1967
36.48,aut,1968
36.7,aut,1969
40.32,aut,1970
34.99,aut,1971
37.32,aut,1972
37.55,aut,1973
37.57,aut,1974
36.64,aut,1975
35.77,aut,1976
34.31,aut,1977
36.95,aut,1978
38.05,aut,1979
38.91,aut,1980
39.25,aut,1981
39.93,aut,1982
40.68,aut,1983
39.93,aut,1984
37.44,aut,1985
37.23,aut,1986
35.62,aut,1987
32.68,aut,1988
32.41,aut,1989
31.92,aut,1990
27.04,aut,1991
32.03,aut,1992
26.85,aut,1993
29.79,aut,1994
27.97,aut,1995
28.68,aut,1996
24.05,aut,1997
26.12,aut,1998
24.71,aut,1999
24.83,aut,2000
24.71,aut,2001
23.54,aut,2002
23.11,aut,2003
21.21,aut,2004
22.36,aut,2005
20.12,aut,2006
19.25,aut,2007
20.15,aut,2008
10.26,aze,1981
7.731,aze,1982
8.464,aze,1985
6.824,aze,1986
