exports_percent_of_gdp,geo,time
4.453,afg,1961
4.878,afg,1962
9.172,afg,1963
8.889,afg,1964
11.26,afg,1965
8.571,afg,1966
6.773,afg,1967
8.9,afg,1968
10.09,afg,1969
9.784,afg,1970
10.92,afg,1971
14.76,afg,1972
12.95,afg,1973
14.02,afg,1974
12.68,afg,1975
13.22,afg,1976
11.66,afg,1977
10.84,afg,1978
32.44,afg,2002
42.3,afg,2003
32.93,afg,2004
30.55,afg,2005
27.64,afg,2006
22.93,afg,2007
26.68,afg,2008
22.86,afg,2009
20.12,afg,2010
18.11,afg,2011
23.12,alb,1980
22.98,alb,1981
19.38,alb,1982
18.2,alb,1983
17.41,alb,1984
16.24,alb,1985
15.06,alb,1986
15.47,alb,1987
16.38,alb,1988
17.94,alb,1989
14.87,alb,1990
7.225,alb,1991
11.49,alb,1992
15.42,alb,1993
11.35,alb,1994
12.48,alb,1995
12.32,alb,1996
10.47,alb,1997
10.76,alb,1998
17.29,alb,1999
19.14,alb,2000
20.52,alb,2001
20.42,alb,2002
20.62,alb,2003
21.54,alb,2004
22.27,alb,2005
25.09,alb,2006
28.78,alb,2007
29.51,alb,2008
28.41,alb,2009
32.43,alb,2010
33.8,alb,2011
46.24,dza,1961
19.79,dza,1962
24.68,dza,1963
25.08,dza,1964
22.6,dza,1965
25.99,dza,1966
23.43,dza,1967
23.14,dza,1968
23.79,dza,1969
22.07,dza,1970
18.44,dza,1971
20.45,dza,1972
25.5,dza,1973
38.75,dza,1974
33.69,dza,1975
33.05,dza,1976
30.59,dza,1977
25.54,dza,1978
31.15,dza,1979
34.34,dza,1980
34.59,dza,1981
30.92,dza,1982
27.94,dza,1983
25.71,dza,1984
23.58,dza,1985
12.85,dza,1986
14.27,dza,1987
15.51,dza,1988
18.64,dza,1989
23.44,dza,1990
29.12,dza,1991
25.32,dza,1992
21.78,dza,1993
22.53,dza,1994
26.19,dza,1995
29.76,dza,1996
30.91,dza,1997
22.58,dza,1998
26.81,dza,1999
41.18,dza,2000
36.25,dza,2001
35.08,dza,2002
38.27,dza,2003
40.07,dza,2004
47.65,dza,2005
48.61,dza,2006
46.61,dza,2007
46.27,dza,2008
29.29,dza,2009
30.83,dza,2010
35.72,ago,1985
38.55,ago,1986
32.59,ago,1987
33.02,ago,1988
33.87,ago,1989
38.91,ago,1990
30.26,ago,1991
68.79,ago,1992
53.9,ago,1993
85.36,ago,1994
82.72,ago,1996
68.49,ago,1997
56.72,ago,1998
86.3,ago,1999
89.63,ago,2000
75.39,ago,2001
74.95,ago,2002
69.57,ago,2003
69.69,ago,2004
86.02,ago,2005
79.84,ago,2006
76.4,ago,2007
78.1,ago,2008
55.06,ago,2009
62.41,ago,2010
64.98,ago,2011
47.7,atg,1977
61.6,atg,1978
81.79,atg,1979
67.3,atg,1980
73.22,atg,1981
67.82,atg,1982
61.35,atg,1983
74.74,atg,1984
75.14,atg,1985
84.11,atg,1986
79.6,atg,1987
78.74,atg,1988
81.0,atg,1989
88.95,atg,1990
90.08,atg,1991
96.11,atg,1992
96.22,atg,1993
58.8,atg,1994
85.3,atg,1995
75.67,atg,1996
76.45,atg,1997
75.14,atg,1998
72.54,atg,1999
62.9,atg,2000
60.32,atg,2001
55.79,atg,2002
57.59,atg,2003
59.0,atg,2004
54.42,atg,2005
48.03,atg,2006
