children_out_of_school_primary_female,geo,time
38390,bwa,1973
35910,bwa,1974
31020,bwa,1975
27800,bwa,1976
24690,bwa,1977
24600,bwa,1978
23820,bwa,1979
20380,bwa,1980
16110,bwa,1981
13930,bwa,1983
14660,bwa,1984
13590,bwa,1985
13980,bwa,1986
13740,bwa,1987
13560,bwa,1988
13940,bwa,1989
14780,bwa,1990
12380,bwa,1991
14490,bwa,1992
16510,bwa,1993
17630,bwa,1994
32530,bwa,1995
32460,bwa,1996
28110,bwa,1998
29060,bwa,1999
26720,bwa,2000
23920,bwa,2001
23320,bwa,2002
22470,bwa,2003
22830,bwa,2004
21160,bwa,2005
19700,bwa,2006
20120,bwa,2007
19600,bwa,2008
18040,bwa,2009
524700,bra,2004
213900,bra,2005
190,brn,1977
244,brn,1978
1791,brn,1979
2253,brn,1980
3084,brn,1981
3687,brn,1982
3777,brn,1983
3846,brn,1984
3634,brn,1986
1101,brn,1991
452,brn,1992
52,brn,1994
544,brn,2010
597,brn,2011
14450,bgr,1996
11000,bgr,1997
6742,bgr,1998
4651,bgr,1999
4913,bgr,2000
4395,bgr,2001
5381,bgr,2002
4989,bgr,2003
4917,bgr,2004
8134,bgr,2005
8889,bgr,2006
4155,bgr,2007
1446,bgr,2008
334,bgr,2009
325,bgr,2010
409900,bfa,1971
418100,bfa,1972
475600,bfa,1977
488600,bfa,1978
501200,bfa,1979
511400,bfa,1980
520000,bfa,1981
527700,bfa,1982
537000,bfa,1983
549900,bfa,1984
559500,bfa,1985
567600,bfa,1986
580100,bfa,1987
596900,bfa,1988
613000,bfa,1989
633600,bfa,1991
645600,bfa,1992
655400,bfa,1993
664900,bfa,1994
671100,bfa,1995
691000,bfa,1998
702700,bfa,1999
707900,bfa,2000
712400,bfa,2001
726300,bfa,2002
730300,bfa,2003
717300,bfa,2004
690800,bfa,2005
663900,bfa,2006
618300,bfa,2007
558000,bfa,2008
530600,bfa,2009
587000,bfa,2010
530700,bfa,2011
253400,bdi,1973
274800,bdi,1978
280600,bdi,1980
280600,bdi,1981
278200,bdi,1982
266100,bdi,1983
256500,bdi,1984
246600,bdi,1985
240000,bdi,1986
225600,bdi,1987
