children_out_of_school_primary_female,geo,time
160500,lbr,2006
149300,lbr,2007
160800,lbr,2008
178500,lbr,2009
193600,lbr,2011
46870,lby,1971
1,lie,2003
1,lie,2004
3,lie,2006
18,lie,2007
7,lie,2008
15,lie,2010
4457,ltu,1998
3397,ltu,1999
1872,ltu,2000
1843,ltu,2001
2072,ltu,2002
4503,ltu,2003
7023,ltu,2004
6935,ltu,2005
5803,ltu,2006
3840,ltu,2007
2667,ltu,2008
2033,ltu,2009
2587,ltu,2010
1161,lux,1972
1266,lux,1973
997,lux,1974
1113,lux,1975
1124,lux,1976
1151,lux,1977
1256,lux,1978
2833,lux,1981
1926,lux,1982
2084,lux,1983
2159,lux,1984
2110,lux,1986
2484,lux,1987
1688,lux,1988
329,lux,1999
308,lux,2000
457,lux,2001
417,lux,2002
571,lux,2003
455,lux,2004
242,lux,2005
201,lux,2006
267,lux,2007
418,lux,2008
761,lux,2010
2341,mac,1990
2144,mac,1992
2754,mac,1999
2686,mac,2000
2960,mac,2001
2707,mac,2002
2388,mac,2003
2164,mac,2004
1942,mac,2005
1756,mac,2006
1701,mac,2007
1725,mac,2008
1873,mac,2009
2023,mac,2010
2219,mac,2011
3651,mkd,1998
3745,mkd,1999
1558,mkd,2000
1003,mkd,2001
1593,mkd,2002
2554,mkd,2003
2685,mkd,2004
2828,mkd,2005
3473,mkd,2006
3621,mkd,2007
4269,mkd,2008
3163,mkd,2009
482,mkd,2010
197300,mdg,1972
240400,mdg,1989
237500,mdg,1990
213100,mdg,1991
336100,mdg,1995
371200,mdg,1996
354200,mdg,1999
348400,mdg,2000
342000,mdg,2001
343500,mdg,2002
239900,mdg,2003
28000,mwi,2007
198400,mys,1970
197500,mys,1971
191100,mys,1972
50570,mys,1994
82820,mys,1999
32540,mys,2000
49140,mys,2001
77670,mys,2002
80680,mys,2003
56170,mys,2004
65920,mys,2005
438,mdv,1998
539,mdv,1999
220,mdv,2000
335,mdv,2001
351,mdv,2002
379,mdv,2005
411,mdv,2006
509,mdv,2007
564,mdv,2008
757,mdv,2009
671,mdv,2010
383400,mli,1971
568200,mli,1999
536300,mli,2002
551400,mli,2003
546500,mli,2004
534500,mli,2005
533600,mli,2006
527900,mli,2007
485100,mli,2009
481500,mli,2010
474300,mli,2011
2539,mlt,1971
2510,mlt,1972
2405,mlt,1973
2006,mlt,1974
1562,mlt,1975
906,mlt,1976
111,mlt,1982
880,mlt,1983
945,mlt,1984
732,mlt,1985
1012,mlt,1986
1467,mlt,1987
1547,mlt,1988
1435,mlt,1989
1285,mlt,1990
1313,mlt,1991
1455,mlt,1992
1548,mlt,1993
1867,mlt,1994
1937,mlt,1995
1540,mlt,1996
1334,mlt,1997
1099,mlt,1998
972,mlt,1999
927,mlt,2000
1112,mlt,2001
1227,mlt,2002
1288,mlt,2003
1189,mlt,2004
1562,mlt,2005
1157,mlt,2007
1004,mlt,2008
1353,mlt,2009
683,mlt,2010
89,mhl,2002
100500,mrt,1994
91620,mrt,1995
85730,mrt,1996
79340,mrt,1998
81020,mrt,1999
82450,mrt,2000
77550,mrt,2001
74800,mrt,2002
72300,mrt,2003
56230,mrt,2004
58910,mrt,2005
53320,mrt,2006
50750,mrt,2007
59070,mrt,2008
62290,mrt,2009
61450,mrt,2010
18260,mus,1972
17320,mus,1973
15820,mus,1974
13810,mus,1975
13630,mus,1976
10790,mus,1977
11340,mus,1978
11860,mus,1979
9720,mus,1980
6341,mus,1981
2982,mus,1982
2851,mus,1983
3322,mus,1984
2523,mus,1985
5032,mus,1986
2935,mus,1987
1137,mus,1988
349,mus,1991
2745,mus,1993
5165,mus,1994
7228,mus,1995
7436,mus,1996
7127,mus,1997
5791,mus,1998
5097,mus,1999
4741,mus,2000
4805,mus,2001
3786,mus,2002
3765,mus,2003
4368,mus,2004
3937,mus,2005
3518,mus,2006
3349,mus,2007
3486,mus,2008
3498,mus,2009
3216,mus,2010
2845,mus,2011
979700,mex,1971
62410,mex,1997
50720,mex,1998
9237,mex,1999
9509,mex,2000
8149,mex,2001
7437,mex,2002
8016,mex,2003
7280,mex,2004
13520,mex,2005
10110,mex,2006
27830,mex,2007
22700,mex,2008
10520,mex,2009
7407,mex,2010
9634,mda,2000
6466,mda,2001
4693,mda,2002
3936,mda,2003
3396,mda,2004
6178,mda,2005
7900,mda,2006
8578,mda,2007
7914,mda,2008
7930,mda,2009
7228,mda,2010
7018,mda,2011
16740,mng,1995
14510,mng,1996
18520,mng,1997
14200,mng,1998
12460,mng,1999
9306,mng,2000
6682,mng,2001
7575,mng,2002
15710,mng,2003
8504,mng,2004
11080,mng,2005
5647,mng,2006
7077,mng,2007
4011,mng,2008
3538,mng,2009
1654,mng,2010
1947,mng,2011
732,mne,2011
835500,mar,1975
800200,mar,1976
761600,mar,1977
729400,mar,1978
712600,mar,1979
698900,mar,1980
681500,mar,1981
704700,mar,1982
700100,mar,1983
689700,mar,1984
711500,mar,1985
733400,mar,1986
760600,mar,1987
789400,mar,1988
829500,mar,1989
834600,mar,1990
1018000,mar,1991
1033000,mar,1992
1015000,mar,1993
973000,mar,1994
920400,mar,1995
869700,mar,1996
831500,mar,1997
803000,mar,1998
675500,mar,1999
552400,mar,2000
441300,mar,2001
335300,mar,2002
293500,mar,2003
288300,mar,2004
269000,mar,2005
246500,mar,2006
221200,mar,2007
201600,mar,2008
187700,mar,2009
116300,mar,2010
75240,mar,2011
532800,moz,1973
438600,moz,1979
448000,moz,1980
469800,moz,1981
486100,moz,1982
405400,moz,1983
403000,moz,1985
419100,moz,1986
555200,moz,1987
610700,moz,1989
631200,moz,1991
648900,moz,1992
668500,moz,1993
669900,moz,1994
661700,moz,1995
942500,moz,1998
899600,moz,1999
847400,moz,2000
785900,moz,2001
851600,moz,2002
635400,moz,2004
539800,moz,2005
463200,moz,2006
364800,moz,2007
296800,moz,2008
268400,moz,2009
242900,moz,2010
294000,moz,2011
675300,mmr,1971
584000,mmr,1973
741800,mmr,1974
714800,mmr,1978
22180,nam,1989
22650,nam,1990
20250,nam,1992
14510,nam,1998
13900,nam,1999
12240,nam,2000
11260,nam,2001
8877,nam,2002
9670,nam,2003
14630,nam,2004
15290,nam,2005
18720,nam,2006
17140,nam,2007
19930,nam,2008
20910,nam,2009
21780,nam,2010
682700,npl,1983
678300,npl,1984
662300,npl,1988
652500,npl,1999
560500,npl,2000
39000,nld,1971
42960,nld,1972
46140,nld,1973
52340,nld,1974
54520,nld,1975
49380,nld,1976
47400,nld,1977
45510,nld,1978
43170,nld,1979
44730,nld,1980
50520,nld,1981
64910,nld,1982
75800,nld,1983
80090,nld,1984
77460,nld,1985
41760,nld,1986
25650,nld,1987
13190,nld,1988
7872,nld,1989
8006,nld,1990
13040,nld,1991
21700,nld,1992
23420,nld,1993
5501,nld,1994
3210,nld,1995
7324,nld,1999
6849,nld,2000
12950,nld,2003
17460,nld,2004
16540,nld,2005
12350,nld,2006
6380,nld,2007
1697,nzl,1973
1751,nzl,1974
2001,nzl,1982
2956,nzl,1983
1965,nzl,1991
4278,nzl,1992
4763,nzl,1994
2453,nzl,1995
2075,nzl,1996
844,nzl,1998
819,nzl,1999
1503,nzl,2000
5182,nzl,2001
2214,nzl,2002
3601,nzl,2003
3412,nzl,2004
2214,nzl,2005
2022,nzl,2006
1043,nzl,2007
845,nzl,2008
660,nzl,2009
600,nzl,2010
91960,nic,1971
94330,nic,1973
92990,nic,1980
104000,nic,1982
105400,nic,1983
114400,nic,1984
100100,nic,1985
106500,nic,1986
104500,nic,1987
105600,nic,1988
115400,nic,1989
111900,nic,1990
106600,nic,1991
94390,nic,1992
93540,nic,1993
91270,nic,1994
97970,nic,1995
72280,nic,1999
64740,nic,2000
55130,nic,2001
33600,nic,2002
31440,nic,2003
25250,nic,2004
22280,nic,2005
27230,nic,2006
25660,nic,2007
20450,nic,2008
21090,nic,2010
344700,ner,1973
355200,ner,1974
457900,ner,1986
497600,ner,1989
509300,ner,1990
518300,ner,1991
542800,ner,1992
621100,ner,1997
652900,ner,1999
669800,ner,2000
670400,ner,2001
670400,ner,2002
664700,ner,2003
661000,ner,2004
679500,ner,2005
685800,ner,2006
692100,ner,2007
667200,ner,2008
641200,ner,2009
607300,ner,2010
558000,ner,2011
4171000,nga,1999
3946000,nga,2000
3985000,nga,2003
3965000,nga,2004
3978000,nga,2005
3929000,nga,2006
4343000,nga,2007
5128000,nga,2008
5404000,nga,2009
5488000,nga,2010
1351,nor,1978
1790,nor,1979
2708,nor,1981
3110,nor,1982
4342,nor,1984
6101,nor,1985
6002,nor,1986
4448,nor,1987
3705,nor,1988
1974,nor,1989
223,nor,1990
377,nor,1992
1679,nor,1993
2282,nor,1994
2801,nor,1995
2608,nor,1996
1230,nor,1997
328,nor,1998
641,nor,1999
331,nor,2000
310,nor,2001
298,nor,2002
278,nor,2003
956,nor,2004
2593,nor,2005
2088,nor,2006
2059,nor,2007
1702,nor,2008
1788,nor,2009
1587,nor,2010
62430,omn,1973
61850,omn,1974
60710,omn,1975
61610,omn,1976
62480,omn,1978
62510,omn,1979
63630,omn,1981
64180,omn,1982
63200,omn,1983
60280,omn,1984
59060,omn,1985
52200,omn,1986
54170,omn,1987
57400,omn,1988
58460,omn,1989
58380,omn,1990
57470,omn,1991
56840,omn,1992
51330,omn,1993
49320,omn,1994
48040,omn,1995
45140,omn,1996
42080,omn,1997
36330,omn,1998
31840,omn,1999
27800,omn,2000
22400,omn,2001
20520,omn,2002
22160,omn,2003
4556,omn,2009
2284,omn,2010
4450,omn,2011
5235000,pak,2001
5136000,pak,2003
4732000,pak,2004
4459000,pak,2005
4576000,pak,2006
3980000,pak,2007
3796000,pak,2008
3501000,pak,2009
3241000,pak,2010
3345000,pak,2011
49,plw,1999
46,plw,2000
29700,pan,1970
20170,pan,1971
17690,pan,1972
15880,pan,1973
15460,pan,1975
16190,pan,1976
13920,pan,1978
15520,pan,1979
17140,pan,1980
18810,pan,1981
19640,pan,1982
20640,pan,1983
19910,pan,1984
17360,pan,1985
17020,pan,1986
14610,pan,1987
15590,pan,1988
13360,pan,1989
14180,pan,1990
7270,pan,1999
2553,pan,2000
1791,pan,2001
2612,pan,2002
2640,pan,2004
2331,pan,2005
2260,pan,2006
2526,pan,2007
2963,pan,2008
6429,pan,2009
3672,pan,2010
5297,pan,2011
136000,png,1989
142100,png,1990
44980,pry,1970
44280,pry,1972
51790,pry,1975
50880,pry,1976
49370,pry,1977
45910,pry,1978
43220,pry,1979
38260,pry,1980
33660,pry,1981
22950,pry,1982
33920,pry,1983
35340,pry,1984
36250,pry,1985
40180,pry,1986
39220,pry,1987
36460,pry,1988
32090,pry,1989
29250,pry,1990
24670,pry,1991
23590,pry,1992
22640,pry,1993
35410,pry,1994
20440,pry,1996
12040,pry,1999
6970,pry,2000
8272,pry,2001
16190,pry,2002
19270,pry,2003
20790,pry,2004
18930,pry,2005
26910,pry,2006
37770,pry,2007
49710,pry,2008
60170,pry,2009
67830,pry,2010
272600,per,1970
142100,per,1981
168700,per,1995
11100,per,1998
2257,per,2004
2269,per,2005
2946,per,2006
2682,per,2007
25450,per,2008
43500,per,2009
26350,per,2010
47330,per,2011
239500,phl,1981
184300,phl,1982
259100,phl,1983
439000,phl,1984
253000,phl,1986
299000,phl,1987
163800,phl,1988
106800,phl,1989
139800,phl,1990
209700,phl,1991
492000,phl,1998
549000,phl,1999
492100,phl,2001
448300,phl,2002
450400,phl,2003
482500,phl,2004
535000,phl,2005
646300,phl,2006
675600,phl,2007
673100,phl,2008
661600,phl,2009
50210,pol,1999
46380,pol,2000
38650,pol,2001
41280,pol,2002
45270,pol,2003
51160,pol,2004
57470,pol,2005
58850,pol,2006
58710,pol,2007
57690,pol,2008
46930,pol,2009
36410,pol,2010
60890,prt,1973
61500,prt,1974
39100,prt,1976
34430,prt,1977
21950,prt,1978
23360,prt,1980
20180,prt,1981
6796,prt,1991
7220,prt,1994
18460,prt,1999
2153,prt,2001
1826,prt,2002
4782,prt,2004
3779,prt,2005
4324,prt,2006
8154,prt,2008
1569,prt,2009
1119,prt,2010
17870,pri,2010
21380,pri,2011
1595,qat,1971
1040,qat,1972
948,qat,1973
1117,qat,1974
651,qat,1976
886,qat,1977
536,qat,1978
675,qat,1981
1041,qat,1983
905,qat,1984
1030,qat,1985
528,qat,1986
1861,qat,1987
2190,qat,1988
2700,qat,1989
3489,qat,1990
4662,qat,1991
5423,qat,1992
5152,qat,1993
3486,qat,1994
51,qat,1999
56,qat,2000
445,qat,2001
1952,qat,2002
1412,qat,2006
2352,qat,2007
1392,qat,2008
669,qat,2009
1438,qat,2010
2432,qat,2011
146500,rou,1993
93760,rou,1994
63680,rou,1995
57220,rou,1996
59720,rou,1997
34070,rou,1998
49780,rou,1999
44400,rou,2000
37050,rou,2001
17900,rou,2002
4275,rou,2004
4783,rou,2005
21490,rou,2006
26470,rou,2007
31540,rou,2008
32480,rou,2009
54370,rou,2010
123700,rus,1994
238700,rus,1995
139200,rus,2006
129800,rus,2007
118300,rus,2008
92840,rus,2009
169700,rwa,1973
183600,rwa,1974
195800,rwa,1975
193200,rwa,1977
189700,rwa,1978
162400,rwa,2001
130000,rwa,2002
86160,rwa,2003
123800,rwa,2004
106900,rwa,2005
49890,rwa,2007
60170,rwa,2008
523,kna,1985
285,kna,1986
74,kna,2005
304,kna,2007
548,kna,2008
212,kna,2009
455,kna,2010
370,kna,2011
337,lca,1981
256,lca,1982
656,lca,1990
736,lca,1991
1131,lca,1999
470,lca,2000
464,lca,2001
491,lca,2002
555,lca,2003
819,lca,2004
1055,lca,2005
760,lca,2006
810,lca,2007
829,lca,2008
849,lca,2009
1111,lca,2010
1183,lca,2011
615,vct,1984
266,vct,1986
225,vct,2005
166,wsm,1998
834,wsm,1999
950,wsm,2000
463,wsm,2001
396,wsm,2010
523,wsm,2011
56,smr,2009
227,stp,1983
140,stp,1984
1364,stp,1999
493,stp,2007
257,stp,2008
477900,sau,1979
276200,sau,2005
253100,sau,2007
218900,sau,2008
164200,sau,2009
314600,sen,1978
317700,sen,1979
324500,sen,1980
330000,sen,1981
334600,sen,1982
338300,sen,1983
345800,sen,1984
352500,sen,1985
330800,sen,1986
343700,sen,1988
364100,sen,1990
379500,sen,1992
379500,sen,1996
357400,sen,1997
344400,sen,1998
364400,sen,1999
340700,sen,2000
331200,sen,2001
300700,sen,2003
266300,sen,2004
224400,sen,2005
228400,sen,2006
216000,sen,2007
191600,sen,2008
195300,sen,2009
191500,sen,2010
186100,sen,2011
2458,srb,2007
2933,srb,2008
6110,srb,2009
8099,srb,2010
8397,srb,2011
646,syc,1979
291,syc,1993
105,syc,1994
80,syc,1995
75,syc,1996
89,syc,1998
254,syc,1999
224,syc,2000
325,syc,2001
251,syc,2002
245,syc,2005
184700,sle,1983
2515,svn,1995
1895,svn,1996
2012,svn,1997
959,svn,1998
1718,svn,1999
1571,svn,2000
1774,svn,2001
1441,svn,2002
1188,svn,2003
487,svn,2004
1221,svn,2005
1786,svn,2006
2055,svn,2007
1748,svn,2008
1562,svn,2009
1437,svn,2010
8365,slb,2005
6625,slb,2006
6922,slb,2007
5007,slb,2010
295100,som,1976
330200,som,1977
377900,som,1978
419000,som,1979
458200,som,1980
673900,zaf,1970
294200,zaf,1991
184300,zaf,1994
150200,zaf,1995
122600,zaf,1998
88630,zaf,1999
185400,zaf,2000
161900,zaf,2001
152600,zaf,2002
150300,zaf,2003
170900,zaf,2004
214500,zaf,2005
236300,zaf,2006
211100,zaf,2007
260800,zaf,2008
316500,zaf,2009
62710,esp,1971
43370,esp,1972
36220,esp,1973
1718,esp,1977
23780,esp,1978
19000,esp,1979
5689,esp,1999
1034,esp,2000
1146,esp,2001
1309,esp,2002
2650,esp,2003
2139,esp,2004
5576,esp,2005
5820,esp,2006
4310,esp,2007
3198,esp,2008
1251,esp,2009
2009,esp,2010
1171,lka,2006
7149,lka,2007
21390,lka,2008
50850,lka,2009
47620,lka,2010
1572000,sdn,1999
1609000,sdn,2000
1563000,sdn,2001
2592,sur,1977
2242,sur,1978
74,sur,1988
1508,sur,2001
1745,sur,2002
1614,sur,2003
2306,sur,2005
3331,sur,2006
4939,sur,2007
3582,sur,2008
2791,sur,2009
19590,swz,1970
20200,swz,1971
19920,swz,1972
19210,swz,1973
19100,swz,1974
18340,swz,1975
18440,swz,1976
18470,swz,1977
18760,swz,1978
18690,swz,1979
16520,swz,1981
17100,swz,1982
17650,swz,1983
18130,swz,1984
17360,swz,1985
19060,swz,1986
19250,swz,1987
20770,swz,1988
21690,swz,1989
20890,swz,1990
22130,swz,1991
22760,swz,1992
25300,swz,1993
25480,swz,1994
25650,swz,1995
29070,swz,1996
30320,swz,1998
31550,swz,1999
30380,swz,2000
29480,swz,2001
29400,swz,2002
28730,swz,2003
25360,swz,2004
24170,swz,2005
18280,swz,2006
14650,swz,2007
18940,swz,2009
15430,swz,2010
12060,swe,1982
5681,swe,1987
4518,swe,1988
3456,swe,1989
1188,swe,1990
352,swe,1991
3178,swe,2000
2536,swe,2002
4683,swe,2003
11590,swe,2004
15350,swe,2005
15170,swe,2006
10990,swe,2007
4957,swe,2008
2829,swe,2009
2713,swe,2010
69300,che,1977
66880,che,1978
59470,che,1981
57500,che,1982
55810,che,1983
54850,che,1984
53490,che,1985
51270,che,1986
47360,che,1987
42810,che,1988
38440,che,1989
34770,che,1990
33240,che,1991
33760,che,1992
35680,che,1993
38090,che,1994
26400,che,1995
21900,che,1996
749,che,1999
745,che,2000
600,che,2001
539,che,2002
465,che,2003
2172,che,2004
4132,che,2005
4751,che,2006
5156,che,2007
3427,che,2008
2049,che,2009
1273,che,2010
254200,syr,1971
213800,syr,1973
211500,syr,1978
211600,syr,1979
195800,syr,1980
191800,syr,1981
183100,syr,1982
177400,syr,1983
157900,syr,1984
139700,syr,1985
119100,syr,1986
24160,syr,2006
24370,syr,2007
20520,syr,2008
16380,syr,2009
25260,tjk,2000
27070,tjk,2001
16620,tjk,2002
18920,tjk,2003
15370,tjk,2004
14170,tjk,2005
16410,tjk,2006
14700,tjk,2007
14940,tjk,2008
14380,tjk,2009
13260,tjk,2010
573900,tza,1981
669400,tza,1982
704800,tza,1983
876100,tza,1985
935600,tza,1986
1009000,tza,1987
1084000,tza,1988
1123000,tza,1989
1174000,tza,1990
1231000,tza,1991
1273000,tza,1992
1330000,tza,1993
1398000,tza,1994
1442000,tza,1995
1481000,tza,1996
1505000,tza,1997
1550000,tza,1998
1564000,tza,1999
1479000,tza,2000
1373000,tza,2001
918800,tza,2002
656000,tza,2003
506600,tza,2004
352100,tza,2005
148900,tza,2006
76870,tza,2008
1015000,tha,1973
1020000,tha,1974
211000,tha,2006
250400,tha,2007
292500,tha,2008
306800,tha,2009
31090,tls,2005
26760,tls,2008
20330,tls,2009
13860,tls,2010
114700,tgo,1971
115100,tgo,1972
94780,tgo,1978
92680,tgo,1979
93180,tgo,1980
103800,tgo,1982
108500,tgo,1983
130900,tgo,1984
139700,tgo,1985
154100,tgo,1986
139900,tgo,1987
141700,tgo,1988
144700,tgo,1989
142100,tgo,1990
135300,tgo,1991
149300,tgo,1994
120900,tgo,1995
98900,tgo,1996
109200,tgo,1997
964,ton,1970
1007,ton,1971
487,ton,1972
900,ton,1974
213,ton,1975
476,ton,1983
128,ton,1985
241,ton,1986
507,ton,1990
486,ton,1993
443,ton,1998
805,ton,1999
11480,tto,1971
12370,tto,1972
12150,tto,1973
10980,tto,1974
8815,tto,1975
4990,tto,1976
5174,tto,1977
6600,tto,1978
10410,tto,1979
13040,tto,1980
7913,tto,1981
6703,tto,1982
5243,tto,1983
5956,tto,1984
5228,tto,1985
6485,tto,1986
4990,tto,1987
4237,tto,1988
6078,tto,1989
7139,tto,1990
10190,tto,1991
11370,tto,1992
12950,tto,1993
15210,tto,1996
15590,tto,1997
6571,tto,1999
5195,tto,2000
4354,tto,2001
5429,tto,2002
4576,tto,2003
3759,tto,2004
5780,tto,2005
2446,tto,2007
3278,tto,2008
3462,tto,2009
1826,tto,2010
174600,tun,1971
181000,tun,1975
173100,tun,1978
165800,tun,1979
157200,tun,1980
145600,tun,1981
130300,tun,1982
113400,tun,1983
96780,tun,1984
90630,tun,1985
83810,tun,1986
78350,tun,1987
78660,tun,1988
74820,tun,1989
75800,tun,1990
67060,tun,1991
60850,tun,1992
50660,tun,1993
41210,tun,1996
44900,tun,1997
43200,tun,1999
31330,tun,2000
20710,tun,2001
752400,tur,1974
454400,tur,1994
437900,tur,1995
377600,tur,1997
307500,tur,1999
257500,tur,2000
254000,tur,2003
213400,tur,2004
179200,tur,2005
128700,tur,2006
103300,tur,2009
52960,tur,2010
97,tca,2002
268,tca,2003
134,tca,2004
199,tca,2005
822500,uga,1979
832600,uga,1981
821400,uga,1982
723700,uga,1986
157500,uga,2009
265600,uga,2010
170200,uga,2011
51770,ukr,2002
108700,ukr,2003
98280,ukr,2004
81620,ukr,2005
79420,ukr,2006
75260,ukr,2007
73830,ukr,2008
75470,ukr,2009
64240,ukr,2010
55840,ukr,2011
6212,are,1978
9429,are,1980
12540,are,1981
11140,are,1982
15230,are,1983
16690,are,1984
18350,are,1985
19340,are,1986
12800,are,1987
11420,are,1988
7790,are,1989
3945,are,1990
3220,are,1991
7697,are,1992
9757,are,1993
11320,are,1994
10130,are,1995
12160,are,1996
16350,are,1997
15370,are,1998
20960,are,1999
27140,are,2000
30560,are,2001
22530,are,2002
9548,are,2003
5202,are,2004
2412,are,2005
2844,are,2006
21470,gbr,1971
39050,gbr,1972
61420,gbr,1973
75050,gbr,1974
80440,gbr,1975
81040,gbr,1976
78290,gbr,1977
80570,gbr,1978
81070,gbr,1979
52760,gbr,1980
58570,gbr,1981
82100,gbr,1982
118700,gbr,1983
130000,gbr,1984
145600,gbr,1985
110500,gbr,1986
50870,gbr,1987
17490,gbr,1988
956,gbr,1989
10550,gbr,1990
44860,gbr,1991
78780,gbr,1992
4307,gbr,1998
509,gbr,1999
377,gbr,2000
6,gbr,2002
8,gbr,2003
10190,gbr,2004
678,gbr,2005
23,gbr,2006
27360,gbr,2007
4357,gbr,2008
5518,gbr,2009
7136,gbr,2010
737600,usa,1986
541700,usa,1987
232800,usa,1990
272300,usa,1991
510400,usa,1993
513700,usa,1994
390300,usa,1995
443700,usa,1996
352400,usa,1999
360600,usa,2000
253500,usa,2001
434600,usa,2002
482400,usa,2003
591100,usa,2004
490300,usa,2005
361300,usa,2006
248900,usa,2007
225200,usa,2008
247000,usa,2009
462400,usa,2010
22080,ury,1984
11320,ury,1991
8488,ury,1992
7360,ury,1993
9930,ury,1994
10720,ury,1995
11380,ury,1996
3944,ury,2005
1412,ury,2008
1270,ury,2009
87020,uzb,2007
97580,uzb,2008
101500,uzb,2009
92760,uzb,2010
86350,uzb,2011
1527,vut,1981
3017,vut,1989
260,vut,1998
420,vut,1999
461,vut,2004
205100,ven,1999
160600,ven,2000
115100,ven,2001
67290,ven,2002
88870,ven,2003
86180,ven,2004
105500,ven,2005
98150,ven,2006
85690,ven,2007
90980,ven,2009
80030,ven,2010
82520,ven,2011
11260,pse,1999
14320,pse,2000
20530,pse,2001
23300,pse,2002
25480,pse,2003
29540,pse,2004
34810,pse,2005
32140,pse,2006
32210,pse,2007
28350,pse,2008
25460,pse,2009
24950,pse,2010
22840,pse,2011
916600,yem,1999
696200,yem,2003
651500,yem,2004
606200,yem,2005
604500,yem,2008
567700,yem,2010
597200,yem,2011
100500,zmb,1972
106600,zmb,1976
110400,zmb,1977
118100,zmb,1978
121700,zmb,1979
123300,zmb,1980
124200,zmb,1981
127100,zmb,1982
120800,zmb,1983
118100,zmb,1984
114000,zmb,1986
131800,zmb,1988
200500,zmb,1994
219300,zmb,1995
262200,zmb,1998
281400,zmb,1999
281100,zmb,2000
284800,zmb,2001
261500,zmb,2002
127100,zmb,2004
28000,zmb,2005
26880,zmb,2006
31350,zmb,2007
47130,zmb,2009
76290,zmb,2010
196300,zwe,1998
