geo,population_aged_5_9_years_total_number,time
afg,1091000,1950
afg,1231000,1955
afg,1295000,1960
afg,1457000,1965
afg,1660000,1970
afg,1909000,1975
afg,2025000,1980
afg,1799000,1985
afg,1869000,1990
afg,2716000,1995
afg,3126000,2000
afg,3751000,2005
afg,4385000,2010
afg,4956000,2015
afg,5676000,2020
afg,6364000,2025
afg,6978000,2030
afg,7432000,2035
afg,7723000,2040
afg,7928000,2045
afg,8101000,2050
alb,154000,1950
alb,168000,1955
alb,214000,1960
alb,274000,1965
alb,311000,1970
alb,315000,1975
alb,316000,1980
alb,343000,1985
alb,352000,1990
alb,350000,1995
alb,318000,2000
alb,286000,2005
alb,219000,2010
alb,221000,2015
alb,236000,2020
alb,241000,2025
alb,227000,2030
alb,201000,2035
alb,182000,2040
alb,179000,2045
alb,181000,2050
dza,1122000,1950
dza,1289000,1955
dza,1510000,1960
dza,1789000,1965
dza,2195000,1970
dza,2517000,1975
dza,2826000,1980
dza,3284000,1985
dza,3785000,1990
dza,3795000,1995
dza,3603000,2000
dza,2997000,2005
dza,3139000,2010
dza,3420000,2015
dza,3595000,2020
dza,3563000,2025
dza,3335000,2030
dza,3075000,2035
dza,2944000,2040
dza,2952000,2045
dza,3032000,2050
ago,538000,1950
ago,582000,1955
ago,699000,1960
ago,791000,1965
ago,895000,1970
ago,1009000,1975
ago,1153000,1980
ago,1405000,1985
ago,1622000,1990
ago,1927000,1995
ago,2210000,2000
ago,2455000,2005
ago,2842000,2010
ago,3045000,2015
ago,3399000,2020
ago,3683000,2025
ago,3887000,2030
ago,4012000,2035
ago,4104000,2040
ago,4195000,2045
ago,4277000,2050
arg,1710000,1950
arg,1937000,1955
arg,2121000,1960
arg,2248000,1965
arg,2331000,1970
arg,2454000,1975
arg,2751000,1980
arg,3283000,1985
arg,3220000,1990
arg,3338000,1995
arg,3448000,2000
arg,3406000,2005
arg,3317000,2010
arg,3397000,2015
arg,3411000,2020
arg,3357000,2025
arg,3261000,2030
arg,3153000,2035
arg,3044000,2040
arg,3041000,2045
arg,3019000,2050
arm,109000,1950
arm,154000,1955
arm,242000,1960
arm,324000,1965
arm,358000,1970
arm,306000,1975
arm,304000,1980
arm,324000,1985
arm,369000,1990
arm,344000,1995
arm,272000,2000
arm,193000,2005
arm,206000,2010
arm,225000,2015
arm,231000,2020
arm,214000,2025
arm,189000,2030
arm,175000,2035
arm,172000,2040
arm,173000,2045
arm,169000,2050
abw,5000,1950
abw,6000,1955
abw,8000,1960
abw,8000,1965
abw,8000,1970
abw,6000,1975
abw,5000,1980
abw,5000,1985
abw,5000,1990
abw,6000,1995
abw,7000,2000
abw,7000,2005
abw,7000,2010
abw,6000,2015
abw,6000,2020
abw,6000,2025
abw,7000,2030
abw,6000,2035
abw,6000,2040
abw,6000,2045
abw,6000,2050
aus,707000,1950
aus,941000,1955
aus,1021000,1960
aus,1151000,1965
aus,1255000,1970
aus,1240000,1975
aus,1307000,1980
aus,1181000,1985
aus,1261000,1990
aus,1293000,1995
aus,1354000,2000
aus,1337000,2005
aus,1333000,2010
aus,1403000,2015
aus,1442000,2020
aus,1477000,2025
aus,1507000,2030
aus,1521000,2035
aus,1534000,2040
aus,1562000,2045
aus,1600000,2050
aut,561000,1950
aut,508000,1955
aut,481000,1960
aut,568000,1965
aut,640000,1970
aut,614000,1975
aut,499000,1980
aut,432000,1985
aut,462000,1990
aut,463000,1995
aut,473000,2000
aut,428000,2005
aut,411000,2010
aut,395000,2015
aut,392000,2020
aut,401000,2025
aut,405000,2030
aut,401000,2035
aut,392000,2040
aut,390000,2045
aut,396000,2050
aze,232000,1950
aze,299000,1955
aze,472000,1960
aze,709000,1965
aze,822000,1970
aze,759000,1975
aze,677000,1980
aze,700000,1985
aze,819000,1990
aze,933000,1995
aze,890000,2000
aze,690000,2005
aze,663000,2010
aze,781000,2015
aze,817000,2020
aze,767000,2025
aze,678000,2030
aze,619000,2035
aze,614000,2040
aze,629000,2045
aze,621000,2050
bhs,10000,1950
bhs,11000,1955
bhs,15000,1960
bhs,21000,1965
bhs,26000,1970
bhs,27000,1975
bhs,28000,1980
bhs,26000,1985
bhs,29000,1990
bhs,28000,1995
bhs,31000,2000
bhs,30000,2005
bhs,28000,2010
bhs,28000,2015
bhs,28000,2020
bhs,28000,2025
bhs,27000,2030
bhs,27000,2035
bhs,27000,2040
bhs,26000,2045
bhs,26000,2050
bhr,16000,1950
bhr,19000,1955
bhr,22000,1960
bhr,33000,1965
bhr,34000,1970
bhr,40000,1975
bhr,40000,1980
bhr,44000,1985
bhr,52000,1990
bhr,56000,1995
bhr,64000,2000
bhr,65000,2005
bhr,71000,2010
bhr,69000,2015
bhr,69000,2020
bhr,68000,2025
bhr,67000,2030
bhr,69000,2035
bhr,70000,2040
bhr,70000,2045
bhr,69000,2050
bgd,5464000,1950
bgd,6086000,1955
bgd,7597000,1960
bgd,8642000,1965
bgd,9963000,1970
bgd,11490000,1975
bgd,13360000,1980
bgd,15400000,1985
bgd,16850000,1990
bgd,17160000,1995
bgd,17170000,2000
bgd,17390000,2005
bgd,17240000,2010
bgd,16120000,2015
bgd,16060000,2020
bgd,15990000,2025
bgd,15620000,2030
bgd,14970000,2035
bgd,14230000,2040
bgd,13760000,2045
bgd,13560000,2050
brb,22000,1950
brb,27000,1955
brb,29000,1960
brb,31000,1965
brb,32000,1970
brb,25000,1975
brb,26000,1980
brb,21000,1985
brb,21000,1990
brb,20000,1995
brb,18000,2000
brb,15000,2005
brb,14000,2010
brb,14000,2015
brb,14000,2020
brb,14000,2025
brb,13000,2030
brb,12000,2035
brb,12000,2040
brb,12000,2045
brb,12000,2050
blr,570000,1950
blr,625000,1955
blr,787000,1960
blr,953000,1965
blr,917000,1970
blr,746000,1975
blr,732000,1980
blr,744000,1985
blr,815000,1990
blr,804000,1995
blr,610000,2000
blr,473000,2005
blr,456000,2010
blr,477000,2015
blr,461000,2020
blr,425000,2025
blr,383000,2030
blr,346000,2035
blr,329000,2040
blr,330000,2045
blr,327000,2050
bel,542000,1950
bel,694000,1955
bel,704000,1960
bel,758000,1965
bel,784000,1970
bel,727000,1975
bel,659000,1980
bel,609000,1985
bel,597000,1990
bel,597000,1995
bel,607000,2000
bel,587000,2005
bel,585000,2010
bel,614000,2015
bel,614000,2020
bel,622000,2025
bel,618000,2030
bel,610000,2035
bel,605000,2040
bel,609000,2045
bel,616000,2050
blz,8000,1950
blz,10000,1955
blz,14000,1960
blz,18000,1965
blz,19000,1970
blz,21000,1975
blz,23000,1980
blz,23000,1985
blz,28000,1990
blz,31000,1995
blz,35000,2000
blz,36000,2005
blz,36000,2010
blz,36000,2015
blz,37000,2020
blz,37000,2025
blz,36000,2030
blz,35000,2035
blz,33000,2040
blz,32000,2045
blz,32000,2050
ben,240000,1950
ben,245000,1955
ben,270000,1960
ben,314000,1965
ben,373000,1970
ben,439000,1975
ben,510000,1980
ben,605000,1985
ben,711000,1990
ben,835000,1995
ben,981000,2000
ben,1132000,2005
ben,1297000,2010
ben,1494000,2015
ben,1661000,2020
ben,1775000,2025
ben,1863000,2030
ben,1937000,2035
ben,2006000,2040
ben,2060000,2045
ben,2090000,2050
btn,23000,1950
btn,27000,1955
btn,29000,1960
btn,34000,1965
btn,40000,1970
btn,47000,1975
btn,57000,1980
btn,68000,1985
btn,77000,1990
btn,77000,1995
btn,78000,2000
btn,71000,2005
btn,72000,2010
btn,69000,2015
btn,72000,2020
btn,73000,2025
btn,70000,2030
btn,64000,2035
btn,62000,2040
btn,62000,2045
btn,63000,2050
bol,351000,1950
bol,409000,1955
bol,461000,1960
bol,522000,1965
bol,584000,1970
bol,662000,1975
bol,766000,1980
bol,816000,1985
bol,899000,1990
bol,1003000,1995
bol,1124000,2000
bol,1159000,2005
bol,1209000,2010
bol,1216000,2015
bol,1211000,2020
bol,1192000,2025
bol,1164000,2030
bol,1127000,2035
bol,1082000,2040
bol,1035000,2045
bol,991000,2050
bih,278000,1950
bih,368000,1955
bih,421000,1960
bih,428000,1965
bih,423000,1970
bih,376000,1975
bih,350000,1980
bih,331000,1985
bih,350000,1990
bih,264000,1995
bih,222000,2000
bih,220000,2005
bih,181000,2010
bih,170000,2015
bih,165000,2020
bih,159000,2025
bih,148000,2030
bih,136000,2035
bih,126000,2040
bih,121000,2045
bih,118000,2050
bwa,55000,1950
bwa,58000,1955
bwa,82000,1960
bwa,95000,1965
bwa,108000,1970
bwa,126000,1975
bwa,150000,1980
bwa,181000,1985
bwa,208000,1990
bwa,218000,1995
bwa,218000,2000
bwa,216000,2005
bwa,211000,2010
bwa,225000,2015
bwa,233000,2020
bwa,234000,2025
bwa,229000,2030
bwa,223000,2035
bwa,220000,2040
bwa,220000,2045
bwa,218000,2050
bra,7013000,1950
bra,8613000,1955
bra,10420000,1960
bra,12090000,1965
bra,13970000,1970
bra,14310000,1975
bra,15060000,1980
bra,16830000,1985
bra,18310000,1990
bra,17530000,1995
bra,16640000,2000
bra,17350000,2005
bra,17230000,2010
bra,15160000,2015
bra,13760000,2020
bra,13020000,2025
bra,12260000,2030
bra,11620000,2035
bra,11270000,2040
bra,10860000,2045
bra,10780000,2050
brn,6000,1950
brn,7000,1955
brn,13000,1960
brn,16000,1965
brn,19000,1970
brn,21000,1975
brn,24000,1980
brn,29000,1985
brn,29000,1990
brn,32000,1995
brn,36000,2000
brn,36000,2005
brn,35000,2010
brn,36000,2015
brn,36000,2020
brn,36000,2025
brn,38000,2030
brn,39000,2035
brn,39000,2040
brn,39000,2045
brn,40000,2050
bgr,610000,1950
bgr,704000,1955
bgr,688000,1960
bgr,654000,1965
bgr,632000,1970
bgr,630000,1975
bgr,660000,1980
bgr,662000,1985
bgr,585000,1990
bgr,521000,1995
bgr,409000,2000
bgr,326000,2005
bgr,330000,2010
bgr,355000,2015
bgr,347000,2020
bgr,318000,2025
bgr,285000,2030
bgr,261000,2035
bgr,256000,2040
bgr,262000,2045
bgr,261000,2050
bfa,533000,1950
bfa,550000,1955
bfa,592000,1960
bfa,687000,1965
bfa,785000,1970
bfa,894000,1975
bfa,1016000,1980
bfa,1170000,1985
bfa,1352000,1990
bfa,1544000,1995
bfa,1772000,2000
bfa,2034000,2005
bfa,2366000,2010
bfa,3021000,2015
bfa,3271000,2020
bfa,3456000,2025
bfa,3627000,2030
bfa,3829000,2035
bfa,4028000,2040
bfa,4158000,2045
bfa,4198000,2050
bdi,322000,1950
bdi,353000,1955
bdi,434000,1960
bdi,467000,1965
bdi,506000,1970
bdi,546000,1975
bdi,590000,1980
bdi,677000,1985
bdi,839000,1990
bdi,976000,1995
bdi,994000,2000
bdi,998000,2005
bdi,1035000,2010
bdi,1146000,2015
bdi,1257000,2020
bdi,1292000,2025
bdi,1260000,2030
bdi,1219000,2035
bdi,1213000,2040
bdi,1243000,2045
bdi,1265000,2050
khm,592000,1950
khm,662000,1955
khm,744000,1960
khm,854000,1965
khm,976000,1970
khm,1018000,1975
khm,925000,1980
khm,921000,1985
khm,1611000,1990
khm,1739000,1995
khm,1878000,2000
