debt_to_foreigners_by_public_and_private_percent_of_gni,geo,time
11.32,afg,2006
19.38,afg,2007
19.62,afg,2008
45.77,alb,1991
92.94,alb,1992
64.64,alb,1993
44.36,alb,1994
18.59,alb,1995
16.07,alb,1996
23.25,alb,1997
22.82,alb,1998
20.55,alb,1999
28.22,alb,2000
26.06,alb,2001
24.62,alb,2002
25.66,alb,2003
20.35,alb,2004
24.05,alb,2005
25.92,alb,2006
25.93,alb,2007
29.72,alb,2008
39.32,alb,2009
40.54,alb,2010
19.81,dza,1970
25.03,dza,1971
23.0,dza,1972
34.63,dza,1973
25.62,dza,1974
30.12,dza,1975
35.11,dza,1976
51.43,dza,1977
61.02,dza,1978
57.55,dza,1979
47.06,dza,1980
42.63,dza,1981
40.19,dza,1982
34.4,dza,1983
30.43,dza,1984
32.39,dza,1985
36.37,dza,1986
37.44,dza,1987
45.69,dza,1988
50.68,dza,1989
46.95,dza,1990
65.5,dza,1991
59.66,dza,1992
54.52,dza,1993
74.11,dza,1994
83.52,dza,1995
75.83,dza,1996
67.24,dza,1997
66.45,dza,1998
60.42,dza,1999
48.75,dza,2000
42.2,dza,2001
41.65,dza,2002
36.04,dza,2003
27.25,dza,2004
17.35,dza,2005
5.078,dza,2006
4.409,dza,2007
3.497,dza,2008
3.886,dza,2009
3.392,dza,2010
93.65,ago,1989
104.6,ago,1990
91.35,ago,1991
286.8,ago,1992
326.7,ago,1993
581.2,ago,1994
311.9,ago,1995
179.3,ago,1996
155.1,ago,1997
206.2,ago,1998
218.3,ago,1999
126.3,ago,2000
114.4,ago,2001
89.26,ago,2002
71.1,ago,2003
54.13,ago,2004
44.49,ago,2005
23.87,ago,2006
22.24,ago,2007
21.43,ago,2008
24.2,ago,2009
24.58,ago,2010
19.11,arg,1970
18.59,arg,1971
19.8,arg,1972
13.7,arg,1973
10.5,arg,1974
14.53,arg,1975
18.13,arg,1976
20.31,arg,1977
23.0,arg,1978
30.53,arg,1979
35.6,arg,1980
46.38,arg,1981
55.04,arg,1982
46.82,arg,1983
65.15,arg,1984
60.89,arg,1985
49.52,arg,1986
55.18,arg,1987
48.74,arg,1988
92.93,arg,1989
46.05,arg,1990
35.57,arg,1991
30.44,arg,1992
27.57,arg,1993
29.47,arg,1994
38.86,arg,1995
41.65,arg,1996
44.13,arg,1997
47.95,arg,1998
50.84,arg,1999
50.93,arg,2000
56.94,arg,2001
153.2,arg,2002
131.8,arg,2003
112.6,arg,2004
70.76,arg,2005
55.47,arg,2006
45.91,arg,2007
37.21,arg,2008
40.41,arg,2009
36.14,arg,2010
12.15,arm,1993
16.3,arm,1994
25.28,arm,1995
31.71,arm,1996
36.73,arm,1997
41.16,arm,1998
47.45,arm,1999
46.65,arm,2000
59.17,arm,2001
64.6,arm,2002
64.22,arm,2003
53.47,arm,2004
36.6,arm,2005
30.36,arm,2006
30.55,arm,2007
28.07,arm,2008
56.11,arm,2009
64.76,arm,2010
0.8949,aze,1993
3.407,aze,1994
10.56,aze,1995
14.07,aze,1996
12.85,aze,1997
15.94,aze,1998
23.77,aze,1999
27.76,aze,2000
24.6,aze,2001
25.3,aze,2002
25.08,aze,2003
23.14,aze,2004
16.73,aze,2005
13.62,aze,2006
12.59,aze,2007
10.4,aze,2008
11.26,aze,2009
14.88,aze,2010
6.155,bgd,1973
10.08,bgd,1974
8.668,bgd,1975
19.8,bgd,1976
24.31,bgd,1977
21.27,bgd,1978
19.07,bgd,1979
21.59,bgd,1980
20.94,bgd,1981
26.84,bgd,1982
30.26,bgd,1983
27.43,bgd,1984
29.69,bgd,1985
36.65,bgd,1986
39.98,bgd,1987
39.12,bgd,1988
38.93,bgd,1989
39.94,bgd,1990
41.08,bgd,1991
41.32,bgd,1992
41.43,bgd,1993
44.46,bgd,1994
40.22,bgd,1995
36.2,bgd,1996
32.62,bgd,1997
34.05,bgd,1998
34.66,bgd,1999
31.8,bgd,2000
30.57,bgd,2001
33.3,bgd,2002
33.44,bgd,2003
32.89,bgd,2004
29.01,bgd,2005
30.38,bgd,2006
28.97,bgd,2007
26.42,bgd,2008
24.42,bgd,2009
22.81,bgd,2010
5.951,blr,1993
8.7,blr,1994
12.17,blr,1995
13.31,blr,1996
14.84,blr,1997
15.79,blr,1998
18.7,blr,1999
16.86,blr,2000
18.98,blr,2001
19.89,blr,2002
18.1,blr,2003
17.39,blr,2004
15.65,blr,2005
14.38,blr,2006
22.7,blr,2007
20.06,blr,2008
35.33,blr,2009
46.78,blr,2010
7.932,blz,1970
7.619,blz,1971
8.032,blz,1972
6.501,blz,1973
5.708,blz,1974
4.562,blz,1975
10.35,blz,1976
18.45,blz,1977
25.65,blz,1978
48.96,blz,1979
32.65,blz,1980
31.49,blz,1981
40.0,blz,1982
54.81,blz,1983
48.96,blz,1984
59.24,blz,1985
54.51,blz,1986
50.9,blz,1987
43.22,blz,1988
39.12,blz,1989
35.13,blz,1990
37.28,blz,1991
36.1,blz,1992
36.03,blz,1993
35.54,blz,1994
42.62,blz,1995
45.6,blz,1996
71.34,blz,1997
51.09,blz,1998
57.26,blz,1999
79.32,blz,2000
89.87,blz,2001
100.1,blz,2002
118.6,blz,2003
102.9,blz,2004
102.0,blz,2005
96.15,blz,2006
94.83,blz,2007
87.18,blz,2008
86.64,blz,2009
80.26,blz,2010
13.11,ben,1970
15.48,ben,1971
11.6,ben,1972
17.92,ben,1973
19.52,ben,1974
17.65,ben,1975
20.22,ben,1976
28.32,ben,1977
30.55,ben,1978
38.22,ben,1979
33.87,ben,1980
42.18,ben,1981
60.1,ben,1982
73.79,ben,1983
74.65,ben,1984
88.14,ben,1985
79.28,ben,1986
81.14,ben,1987
73.35,ben,1988
73.1,ben,1989
62.0,ben,1990
62.73,ben,1991
75.95,ben,1992
61.49,ben,1993
94.55,ben,1994
71.07,ben,1995
63.72,ben,1996
66.36,ben,1997
61.78,ben,1998
62.21,ben,1999
61.88,ben,2000
62.02,ben,2001
57.38,ben,2002
41.87,ben,2003
39.89,ben,2004
36.11,ben,2005
13.86,ben,2006
14.08,ben,2007
