geo,malaria_cases_per_100000_reported,time
dza,0.6012,1990
dza,0.8838,1991
dza,0.3995,1992
dza,0.3094,1993
dza,0.743,1994
dza,0.3786,1995
dza,0.7684,1996
dza,0.6743,1997
dza,2.331,1999
dza,1.773,2000
dza,1.405,2001
dza,0.9773,2002
ago,2313.0,1990
ago,10530.0,1991
ago,6981.0,1992
ago,6236.0,1993
ago,5578.0,1994
ago,1271.0,1995
ago,6896.0,1997
ago,8818.0,1998
ago,10840.0,1999
ago,11740.0,2000
ago,8729.0,2001
ago,12640.0,2002
ago,21380.0,2003
ago,15920.0,2004
ago,14470.0,2005
ago,13790.0,2006
ben,1793.0,1990
ben,2212.0,1991
ben,5217.0,1992
ben,6969.0,1993
ben,9113.0,1994
ben,9331.0,1995
ben,9725.0,1996
ben,10150.0,1997
ben,9554.0,1998
ben,10120.0,1999
ben,9788.0,2000
ben,9615.0,2001
ben,10160.0,2002
ben,10290.0,2003
ben,10370.0,2004
ben,9463.0,2005
ben,9839.0,2006
bwa,786.3,1990
bwa,1021.0,1991
bwa,344.9,1992
bwa,3717.0,1993
bwa,1936.0,1994
bwa,1124.0,1995
bwa,4992.0,1996
bwa,6221.0,1997
bwa,3573.0,1998
bwa,4270.0,1999
bwa,4130.0,2000
bwa,2751.0,2001
bwa,1626.0,2002
bwa,13190.0,2003
bwa,1234.0,2004
bwa,612.3,2005
bwa,1023.0,2006
bfa,5597.0,1990
bfa,4915.0,1991
bfa,4467.0,1992
bfa,5184.0,1993
bfa,4735.0,1994
bfa,4878.0,1995
bfa,5512.0,1996
bfa,6186.0,1997
bfa,6446.0,1998
bfa,7530.0,1999
bfa,8693.0,2000
bfa,2875.0,2001
bfa,9388.0,2002
bfa,11030.0,2003
bfa,11450.0,2004
bfa,11600.0,2005
bfa,14350.0,2006
bdi,1632.0,1990
bdi,9766.0,1991
bdi,13000.0,1992
bdi,13670.0,1993
bdi,13510.0,1994
bdi,14940.0,1995
bdi,15430.0,1996
bdi,10520.0,1997
bdi,10660.0,1998
bdi,29620.0,1999
bdi,45850.0,2000
bdi,49210.0,2001
bdi,37580.0,2002
bdi,30980.0,2003
bdi,23130.0,2004
bdi,30050.0,2005
bdi,26450.0,2006
cmr,7101.0,1990
cmr,6252.0,1991
cmr,5125.0,1992
cmr,3591.0,1993
cmr,1380.0,1994
cmr,5579.0,1995
cmr,6460.0,1996
cmr,5332.0,1997
cmr,4391.0,1998
cmr,1559.0,2005
cmr,3491.0,2006
cpv,19.42,1990
cpv,21.99,1991
cpv,10.19,1992
cpv,11.52,1993
cpv,5.363,1994
cpv,31.66,1995
cpv,18.75,1996
cpv,4.758,1997
cpv,9.531,1998
cpv,6.588,1999
cpv,3.251,2001
cpv,0.4234,2002
cpv,1.241,2003
cpv,0.8078,2004
cpv,1.381,2005
cpv,1.35,2006
caf,5799.0,1990
caf,4048.0,1991
caf,2831.0,1992
caf,2512.0,1993
caf,2442.0,1994
caf,2926.0,1995
caf,2692.0,1996
caf,2751.0,1997
caf,2849.0,1998
caf,3377.0,1999
caf,2319.0,2000
caf,3135.0,2001
caf,1924.0,2003
caf,3137.0,2004
caf,3146.0,2005
caf,2682.0,2006
tcd,3477.0,1990
tcd,3907.0,1991
tcd,3527.0,1992
tcd,3500.0,1993
tcd,4017.0,1994
tcd,4105.0,1995
tcd,3764.0,1996
tcd,4496.0,1997
tcd,5007.0,1998
tcd,4808.0,1999
tcd,4362.0,2000
tcd,4715.0,2001
tcd,5074.0,2002
tcd,4895.0,2003
tcd,4026.0,2004
tcd,3927.0,2005
tcd,3822.0,2006
com,2095.0,1993
com,2349.0,1994
com,2587.0,1995
com,2483.0,1996
com,581.4,1998
com,1440.0,1999
com,517.6,2001
com,5648.0,2004
com,3704.0,2005
com,6699.0,2006
cog,1339.0,1990
cog,1300.0,1991
cog,823.5,1992
cog,587.5,1993
cog,1324.0,1994
cog,1003.0,1995
cog,487.3,1996
cog,321.2,1997
cog,563.7,1998
cog,4276.0,2006
civ,4006.0,1990
civ,3529.0,1991
civ,4051.0,1992
civ,2983.0,1993
civ,5043.0,1995
civ,7191.0,1996
civ,6200.0,1997
civ,8751.0,2000
civ,6864.0,2001
civ,6273.0,2002
civ,6322.0,2003
civ,6977.0,2004
civ,6892.0,2005
civ,6627.0,2006
cod,425.9,1996
cod,291.5,1998
cod,3046.0,1999
cod,1903.0,2000
cod,4226.0,2001
cod,7950.0,2003
cod,8260.0,2006
gnq,7522.0,1990
gnq,6514.0,1991
gnq,7070.0,1992
gnq,4911.0,1993
gnq,3976.0,1994
gnq,3280.0,1995
eri,2526.0,1995
eri,3978.0,1996
eri,7423.0,1998
eri,4140.0,1999
eri,3234.0,2000
eri,3280.0,2001
eri,1872.0,2002
eri,1569.0,2003
eri,638.2,2004
eri,534.4,2005
eri,216.3,2006
eth,377.0,1992
eth,540.2,1993
eth,613.4,1994
eth,684.3,1995
eth,770.1,1996
eth,797.4,1997
eth,920.3,1998
eth,959.1,1999
eth,552.5,2000
eth,3178.0,2001
eth,3439.0,2002
eth,4188.0,2003
eth,7411.0,2004
eth,4256.0,2005
eth,4641.0,2006
gab,6259.0,1990
gab,8487.0,1991
gab,10340.0,1992
gab,7084.0,1993
gab,7994.0,1994
gab,5194.0,1995
gab,6864.0,1996
gab,5182.0,1997
gab,7077.0,1998
gab,8044.0,2001
gab,7771.0,2005
gab,9010.0,2006
gmb,23120.0,1990
gmb,21550.0,1991
gmb,18120.0,1992
gmb,26830.0,1994
gmb,11720.0,1995
gmb,22140.0,1996
gmb,26110.0,1997
gmb,9560.0,1999
gmb,10000.0,2005
gmb,16010.0,2006
gha,9235.0,1990
gha,8565.0,1991
gha,8775.0,1992
gha,10010.0,1993
gha,9600.0,1994
gha,10780.0,1995
gha,11940.0,1996
gha,11860.0,1997
gha,9072.0,1998
gha,14700.0,1999
gha,16630.0,2000
gha,14770.0,2001
gha,14890.0,2002
gha,16470.0,2003
gha,15490.0,2004
gha,15320.0,2005
gha,15260.0,2006
gin,360.7,1990
gin,282.4,1991
gin,8579.0,1994
gin,8197.0,1995
gin,10260.0,1996
gin,10390.0,1997
gin,10370.0,1998
gin,10040.0,1999
gin,10190.0,2001
gin,9986.0,2002
gin,8441.0,2003
gin,9927.0,2004
gin,9445.0,2005
gin,9093.0,2006
gnb,8050.0,1990
gnb,6116.0,1991
gnb,5179.0,1992
gnb,14190.0,1993
gnb,16570.0,1995
gnb,526.6,1996
gnb,843.4,1997
gnb,163.1,1998
gnb,14830.0,1999
gnb,17970.0,2000
gnb,17450.0,2001
gnb,13900.0,2002
gnb,12980.0,2003
gnb,10480.0,2004
gnb,11620.0,2005
gnb,9038.0,2006
ken,22950.0,1994
ken,15860.0,1995
ken,13420.0,1996
ken,272.0,1998
ken,403.2,1999
ken,237.4,2000
ken,10170.0,2001
ken,10090.0,2002
ken,15070.0,2003
ken,21760.0,2004
ken,25790.0,2005
ken,21770.0,2006
lbr,10520.0,1996
lbr,33360.0,1997
lbr,28820.0,1998
lbr,3390.0,2005
lbr,30880.0,2006
mdg,1408.0,1995
mdg,7262.0,1999
mdg,8141.0,2001
mdg,9325.0,2002
mdg,12460.0,2003
mdg,8042.0,2004
mdg,6585.0,2005
mdg,5285.0,2006
mwi,40980.0,1990
mwi,47520.0,1993
mwi,47630.0,1994
mwi,59930.0,1996
mwi,26030.0,1997
mwi,27290.0,1998
mwi,37150.0,1999
mwi,32480.0,2000
mwi,32010.0,2001
mwi,22710.0,2002
mwi,26710.0,2003
mwi,22270.0,2004
mwi,27890.0,2005
mwi,30980.0,2006
mli,3246.0,1990
mli,3588.0,1991
mli,3475.0,1992
mli,3569.0,1993
mli,3092.0,1994
mli,1092.0,1995
mli,332.4,1996
mli,4179.0,1997
mli,129.3,1998
mli,5451.0,1999
mli,5464.0,2000
mli,5952.0,2001
mli,6817.0,2002
mli,7406.0,2003
mli,17480.0,2004
mli,8291.0,2005
mli,8544.0,2006
mrt,1383.0,1990
mrt,2109.0,1991
mrt,2228.0,1992
mrt,2084.0,1993
mrt,7210.0,1994
mrt,9637.0,1995
mrt,7918.0,1996
mrt,8053.0,1997
mrt,6942.0,1998
mrt,10170.0,1999
mrt,10100.0,2000
mrt,9232.0,2001
mrt,8255.0,2002
mrt,11360.0,2003
mrt,7801.0,2004
mrt,7542.0,2005
mrt,6178.0,2006
mus,5.11,1990
mus,4.492,1991
mus,6.101,1992
mus,4.926,1993
mus,5.852,1994
mus,4.09,1995
mus,7.207,1996
mus,5.65,1997
mus,4.473,1998
mus,6.217,1999
mus,5.228,2000
mus,5.095,2001
moz,77.89,1996
moz,1121.0,1998
moz,13170.0,1999
moz,18020.0,2000
moz,21150.0,2001
moz,24000.0,2002
moz,24800.0,2003
moz,27950.0,2004
moz,28720.0,2005
moz,30210.0,2006
nam,24310.0,1993
nam,24930.0,1994
nam,16620.0,1995
nam,20260.0,1996
nam,22300.0,1997
nam,19640.0,1998
nam,23340.0,1999
nam,27620.0,2000
nam,28150.0,2001
nam,22950.0,2002
nam,23790.0,2003
nam,30630.0,2004
nam,16790.0,2005
nam,12980.0,2006
ner,14870.0,1990
ner,10010.0,1991
ner,10360.0,1992
ner,8396.0,1993
ner,8995.0,1994
ner,8380.0,1995
ner,12080.0,1996
ner,9807.0,1997
ner,8434.0,1998
ner,7603.0,1999
ner,5814.0,2000
ner,11630.0,2001
ner,7440.0,2002
ner,5513.0,2003
ner,5939.0,2004
ner,6165.0,2005
ner,6454.0,2006
nga,1183.0,1990
nga,935.4,1991
nga,1218.0,1992
nga,953.2,1993
nga,1109.0,1994
nga,1040.0,1995
nga,1026.0,1996
nga,997.1,1997
nga,1794.0,1998
nga,1617.0,1999
nga,1985.0,2000
nga,1760.0,2001
nga,1984.0,2002
nga,1937.0,2003
nga,2399.0,2004
nga,2499.0,2005
nga,2752.0,2006
rwa,17580.0,1990
rwa,18890.0,1991
rwa,20790.0,1992
rwa,12010.0,1993
rwa,6471.0,1994
rwa,24660.0,1995
rwa,19520.0,1996
rwa,20920.0,1997
rwa,18240.0,1998
rwa,11840.0,1999
rwa,11700.0,2001
rwa,12180.0,2002
rwa,13530.0,2003
rwa,14240.0,2004
rwa,17740.0,2005
rwa,14990.0,2006
stp,40600.0,1995
stp,36120.0,1996
stp,35970.0,1997
stp,34040.0,1998
stp,26900.0,1999
stp,31030.0,2000
stp,30880.0,2001
stp,35110.0,2002
stp,32400.0,2003
stp,35920.0,2004
stp,14660.0,2005
stp,4701.0,2006
sen,5106.0,1994
sen,6945.0,1995
sen,9020.0,1997
sen,9678.0,1998
sen,11380.0,1999
sen,10840.0,2000
sen,8782.0,2001
sen,8819.0,2002
sen,12650.0,2003
sen,10420.0,2004
sen,11440.0,2005
sen,12880.0,2006
sle,172.4,1996
sle,4964.0,1997
sle,5830.0,1998
sle,9346.0,1999
sle,9521.0,2001
sle,10300.0,2002
sle,10170.0,2003
sle,6598.0,2004
sle,4186.0,2005
sle,2798.0,2006
zaf,18.65,1990
zaf,12.52,1991
zaf,7.462,1992
zaf,33.62,1993
zaf,25.38,1994
zaf,21.08,1995
zaf,63.76,1996
zaf,53.48,1997
zaf,60.09,1998
zaf,115.0,1999
zaf,142.3,2000
zaf,57.6,2001
zaf,33.6,2002
zaf,28.58,2003
zaf,28.18,2004
zaf,16.18,2005
zaf,25.06,2006
swz,3974.0,1996
swz,2378.0,1997
swz,432.4,1998
swz,2925.0,1999
swz,4307.0,2000
swz,1749.0,2001
swz,1364.0,2002
swz,1040.0,2003
swz,851.3,2004
swz,789.9,2005
swz,331.4,2006
tgo,20460.0,1990
tgo,19200.0,1991
tgo,15220.0,1992
tgo,13150.0,1993
tgo,7495.0,1994
tgo,7542.0,1996
tgo,7566.0,1997
tgo,7321.0,1998
tgo,7903.0,1999
tgo,7368.0,2000
tgo,8945.0,2001
tgo,10170.0,2002
tgo,8300.0,2003
tgo,8515.0,2004
tgo,7015.0,2005
tgo,8836.0,2006
uga,12750.0,1992
uga,7401.0,1993
uga,10660.0,1994
uga,6739.0,1995
uga,10270.0,1997
uga,12240.0,1998
uga,12820.0,1999
uga,35340.0,2001
uga,37280.0,2002
uga,40530.0,2003
uga,42810.0,2004
uga,55270.0,2005
uga,42790.0,2006
tza,42030.0,1990
tza,33080.0,1991
tza,28200.0,1992
tza,31180.0,1993
tza,27470.0,1994
tza,8153.0,1995
tza,16180.0,1996
tza,3593.0,1997
tza,94580.0,1998
tza,1284.0,1999
tza,935.1,2001
tza,1037.0,2002
tza,31130.0,2003
tza,31720.0,2004
tza,29740.0,2005
tza,26780.0,2006
zmb,23810.0,1990
zmb,28040.0,1991
zmb,34450.0,1992
zmb,39940.0,1993
zmb,38930.0,1994
zmb,29620.0,1995
zmb,33860.0,1996
