geo,infectious_tb_detection_rate_percent_dots_only,time
gmb,65,2006
gmb,64,2007
geo,18,1995
geo,35,1996
geo,34,1998
geo,45,1999
geo,34,2000
geo,58,2001
geo,57,2002
geo,58,2003
geo,78,2004
geo,90,2005
geo,110,2006
geo,113,2007
deu,63,1997
deu,62,1998
deu,62,1999
deu,53,2001
deu,57,2002
deu,54,2003
deu,54,2004
deu,52,2005
deu,54,2006
deu,54,2007
gha,16,1995
gha,14,1996
gha,32,1997
gha,33,1998
gha,31,1999
gha,38,2000
gha,41,2001
gha,41,2002
gha,40,2003
gha,37,2004
gha,37,2005
gha,38,2006
gha,36,2007
grc,0,2003
grc,0,2005
grc,0,2007
gum,90,2000
gum,90,2001
gum,90,2002
gum,0,2003
gum,90,2004
gum,90,2005
gum,90,2006
gum,90,2007
gtm,43,1995
gtm,57,1996
gtm,56,1997
gtm,56,1998
gtm,56,1999
gtm,50,2000
gtm,40,2001
gtm,44,2002
gtm,42,2003
gtm,54,2004
gtm,54,2005
gtm,55,2006
gtm,40,2007
gin,45,1995
gin,53,1996
gin,51,1997
gin,54,1998
gin,53,1999
gin,55,2000
gin,53,2001
gin,52,2002
gin,51,2003
gin,53,2004
gin,54,2005
gin,55,2006
gin,53,2007
gnb,46,2000
gnb,43,2002
gnb,55,2003
gnb,73,2004
gnb,78,2005
gnb,68,2006
guy,11,2000
guy,21,2001
guy,10,2002
guy,31,2003
guy,27,2004
guy,41,2005
guy,50,2006
guy,39,2007
hti,2,1997
hti,11,1998
hti,22,1999
hti,19,2000
hti,25,2001
hti,33,2002
hti,37,2003
hti,37,2004
hti,44,2005
hti,45,2006
hti,49,2007
hnd,2,1998
hnd,15,1999
hnd,106,2000
hnd,125,2001
hnd,129,2002
hnd,91,2003
hnd,86,2004
hnd,89,2005
hnd,88,2006
hnd,87,2007
hun,36,1999
hun,25,2000
hun,36,2001
hun,39,2002
hun,41,2003
hun,49,2004
hun,42,2005
hun,48,2006
hun,51,2007
isl,68,2001
isl,60,2002
isl,31,2003
isl,58,2004
isl,44,2005
isl,85,2006
isl,0,2007
ind,0,1995
ind,1,1996
ind,1,1997
ind,2,1998
ind,7,1999
ind,12,2000
ind,23,2001
ind,30,2002
ind,44,2003
ind,56,2004
ind,60,2005
ind,64,2006
ind,68,2007
idn,1,1995
idn,4,1996
idn,7,1997
idn,12,1998
idn,19,1999
idn,20,2000
idn,21,2001
idn,30,2002
idn,37,2003
idn,53,2004
idn,66,2005
idn,73,2006
idn,68,2007
irn,42,1995
irn,12,1997
irn,35,1998
irn,54,1999
irn,58,2000
irn,61,2001
irn,61,2002
irn,62,2003
irn,63,2004
irn,62,2005
irn,67,2006
irn,68,2007
irq,5,1998
irq,13,1999
irq,51,2000
irq,55,2001
irq,59,2002
irq,53,2003
irq,49,2004
irq,44,2005
irq,40,2006
irq,37,2007
irl,0,2003
irl,0,2005
irl,0,2007
isr,7,2000
isr,73,2001
isr,69,2002
isr,65,2003
isr,39,2004
isr,42,2005
isr,31,2006
isr,61,2007
ita,14,1996
ita,9,1997
ita,13,1998
ita,56,1999
ita,31,2000
ita,10,2001
ita,60,2002
ita,73,2003
ita,53,2004
ita,65,2005
ita,71,2006
ita,0,2007
jam,92,1996
jam,95,1997
jam,90,1998
jam,101,1999
jam,100,2000
jam,83,2001
jam,66,2002
jam,88,2003
jam,75,2004
jam,57,2005
jam,65,2006
jam,83,2007
jpn,23,2000
jpn,32,2001
jpn,37,2002
jpn,46,2003
jpn,51,2004
jpn,67,2005
jpn,78,2006
jpn,77,2007
jor,106,1995
jor,76,1998
jor,77,1999
jor,70,2000
jor,78,2001
jor,75,2002
jor,91,2003
jor,73,2004
jor,66,2005
jor,78,2006
jor,81,2007
kaz,4,1998
kaz,79,1999
kaz,94,2000
kaz,93,2001
kaz,95,2002
kaz,87,2003
kaz,81,2004
kaz,74,2005
kaz,67,2006
kaz,69,2007
ken,58,1995
ken,60,1996
ken,56,1997
ken,60,1998
ken,60,1999
ken,53,2000
ken,61,2001
ken,63,2002
ken,65,2003
ken,68,2004
ken,70,2005
ken,72,2006
ken,72,2007
kir,7,1997
kir,33,1998
kir,37,1999
kir,34,2000
kir,40,2001
kir,52,2002
kir,63,2003
kir,90,2004
kir,79,2005
kir,82,2006
kir,66,2007
kwt,62,1999
kwt,65,2000
kwt,62,2001
kwt,71,2002
kwt,70,2003
kwt,85,2004
kwt,63,2005
kwt,95,2006
kwt,90,2007
kgz,3,1996
kgz,4,1997
kgz,31,1998
kgz,58,1999
kgz,42,2000
kgz,48,2002
kgz,56,2003
kgz,61,2004
kgz,66,2005
kgz,64,2006
kgz,60,2007
lao,24,1996
lao,33,1997
lao,40,1998
lao,45,1999
lao,40,2000
lao,41,2001
lao,48,2002
lao,48,2003
lao,57,2004
lao,72,2005
lao,77,2006
lao,78,2007
lva,71,1996
lva,70,1997
lva,72,1998
lva,64,1999
lva,72,2000
lva,76,2001
lva,77,2002
lva,84,2003
lva,83,2004
lva,83,2005
lva,84,2006
lva,89,2007
lbn,41,1995
lbn,75,1999
lbn,65,2000
lbn,64,2001
lbn,63,2002
lbn,63,2003
lbn,72,2004
lbn,65,2005
lbn,52,2006
lbn,62,2007
lso,63,1995
lso,74,1996
lso,87,1997
lso,78,1998
lso,78,2000
lso,71,2002
lso,79,2003
lso,90,2004
lso,90,2005
lso,84,2006
lso,16,2007
lbr,30,1996
lbr,44,1998
lbr,32,2000
lbr,27,2001
lbr,56,2002
lbr,36,2003
lbr,66,2004
lbr,55,2005
lbr,69,2006
lby,148,1999
lby,113,2000
lby,138,2002
lby,149,2003
lby,175,2004
lby,176,2005
lby,154,2006
lby,162,2007
ltu,3,1999
ltu,2,2000
ltu,30,2001
ltu,56,2002
ltu,87,2003
ltu,86,2004
ltu,99,2005
ltu,103,2006
ltu,90,2007
lux,41,2001
lux,63,2002
lux,119,2003
lux,77,2004
lux,55,2005
lux,4,2006
lux,0,2007
mdg,52,1995
mdg,65,1996
mdg,67,1998
mdg,67,2001
mdg,65,2002
mdg,71,2003
mdg,71,2004
mdg,65,2005
mdg,74,2006
mdg,69,2007
mwi,42,1995
mwi,44,1996
mwi,47,1997
mwi,51,1998
mwi,45,1999
mwi,44,2000
mwi,44,2001
mwi,40,2002
mwi,39,2003
mwi,43,2004
mwi,43,2005
mwi,43,2006
mwi,41,2007
mys,64,1995
mys,68,1996
mys,73,2000
mys,73,2001
mys,70,2002
mys,69,2003
mys,67,2004
mys,72,2005
mys,80,2006
mys,80,2007
mdv,107,1995
mdv,103,1996
mdv,96,1997
mdv,93,1998
mdv,97,1999
mdv,75,2000
mdv,71,2001
mdv,75,2002
mdv,89,2003
mdv,90,2004
mdv,94,2005
mdv,79,2006
mdv,92,2007
mli,17,1995
mli,19,1996
mli,21,1997
mli,20,1998
mli,19,1999
mli,17,2000
mli,20,2002
mli,21,2003
mli,20,2004
mli,22,2005
mli,23,2006
mli,23,2007
mlt,35,1996
mlt,22,1997
mlt,45,1998
mlt,72,1999
mlt,41,2000
mlt,26,2001
mlt,43,2002
mlt,18,2003
mlt,18,2004
mlt,45,2005
mlt,37,2006
mlt,74,2007
mrt,44,2004
mrt,29,2005
mrt,36,2006
mrt,39,2007
mus,86,1995
mus,83,1998
mus,93,1999
mus,88,2000
mus,66,2001
mus,67,2002
mus,77,2003
mus,92,2004
mus,87,2005
mus,68,2006
mus,69,2007
mex,13,1997
mex,26,1998
mex,36,1999
mex,64,2000
mex,89,2001
mex,72,2002
mex,86,2003
mex,78,2004
mex,93,2005
mex,97,2006
mex,99,2007
fsm,12,1995
fsm,19,1996
fsm,24,2000
fsm,13,2001
fsm,38,2002
fsm,47,2003
fsm,65,2004
fsm,62,2005
fsm,82,2006
fsm,97,2007
mng,8,1995
mng,6,1996
mng,31,1997
mng,60,1998
mng,67,1999
mng,61,2000
mng,71,2001
mng,72,2002
mng,66,2003
mng,77,2004
mng,78,2005
mng,88,2006
mng,76,2007
mar,91,1995
mar,93,1996
mar,93,1997
mar,90,1998
mar,91,1999
mar,89,2000
mar,90,2001
mar,92,2002
mar,93,2003
mar,91,2004
mar,96,2005
mar,94,2006
mar,93,2007
moz,59,1995
moz,55,1996
moz,53,1997
moz,53,1998
moz,50,1999
moz,47,2000
moz,45,2001
moz,45,2002
moz,45,2003
moz,46,2004
moz,47,2005
moz,49,2006
moz,49,2007
mmr,27,1996
mmr,27,1997
mmr,30,1998
mmr,34,1999
mmr,50,2000
mmr,60,2001
mmr,69,2002
mmr,78,2003
mmr,88,2004
mmr,102,2005
mmr,111,2006
mmr,116,2007
nam,22,1995
nam,85,1996
nam,88,1997
nam,90,1998
nam,85,1999
nam,82,2000
nam,84,2001
nam,81,2002
nam,90,2003
nam,82,2004
nam,83,2005
nam,87,2006
nam,84,2007
nru,90,2000
nru,90,2001
nru,90,2002
nru,90,2003
nru,90,2006
nru,90,2007
npl,5,1996
npl,11,1997
npl,16,1998
npl,45,1999
npl,57,2000
npl,58,2001
npl,61,2002
npl,66,2003
npl,67,2004
npl,67,2005
npl,64,2006
npl,66,2007
nld,77,1995
nld,49,1996
nld,44,1997
nld,37,1998
nld,47,1999
nld,46,2000
nld,51,2001
nld,55,2002
nld,48,2003
nld,63,2004
nld,42,2005
nld,36,2006
nld,11,2007
ncl,90,1995
ncl,90,1996
ncl,90,1999
ncl,90,2000
ncl,90,2001
ncl,90,2002
ncl,90,2003
ncl,90,2004
ncl,90,2005
ncl,90,2006
ncl,90,2007
nzl,40,2000
nzl,41,2001
nzl,51,2002
nzl,62,2003
nzl,65,2004
nzl,50,2005
nzl,65,2006
nzl,60,2007
nic,72,1995
nic,81,1996
nic,81,1997
nic,82,1998
nic,80,1999
nic,78,2000
nic,82,2001
nic,75,2002
nic,82,2003
nic,80,2004
nic,78,2005
nic,83,2006
nic,97,2007
ner,31,1997
ner,33,1998
ner,37,1999
ner,41,2000
ner,44,2001
ner,42,2002
ner,51,2003
ner,46,2004
ner,52,2005
ner,51,2006
ner,53,2007
nga,11,1995
nga,11,1996
nga,11,1997
nga,11,1998
nga,12,1999
nga,12,2000
nga,12,2001
nga,11,2002
nga,15,2003
nga,17,2004
nga,18,2005
nga,20,2006
nga,23,2007
niu,0,2001
niu,90,2002
niu,0,2003
niu,0,2004
niu,0,2005
niu,0,2006
mnp,90,2000
mnp,90,2001
mnp,90,2002
mnp,90,2003
mnp,90,2004
mnp,90,2005
mnp,90,2006
mnp,90,2007
nor,68,1996
nor,67,1997
nor,34,1998
nor,16,1999
nor,28,2000
nor,47,2001
nor,25,2002
nor,43,2003
nor,42,2004
nor,40,2005
nor,39,2006
nor,33,2007
omn,121,1996
omn,121,1997
omn,121,1998
omn,91,1999
omn,123,2000
omn,112,2001
omn,117,2002
omn,85,2003
omn,128,2004
omn,95,2005
omn,129,2006
omn,125,2007
pak,1,1995
pak,2,1996
pak,4,1998
pak,2,1999
pak,3,2000
pak,5,2001
pak,13,2002
pak,17,2003
pak,25,2004
pak,38,2005
pak,50,2006
pak,67,2007
plw,90,1995
plw,90,1996
plw,90,1997
plw,90,2002
plw,90,2003
plw,90,2004
plw,90,2005
plw,90,2006
plw,90,2007
pan,12,1998
pan,8,1999
pan,32,2000
pan,70,2001
pan,80,2002
pan,74,2003
pan,106,2004
pan,105,2005
pan,103,2006
pan,98,2007
png,1,1997
png,7,1998
png,8,1999
png,7,2000
png,8,2001
png,15,2002
png,17,2003
png,18,2004
png,20,2005
png,22,2006
png,15,2007
pry,14,1995
pry,56,1996
pry,4,2000
pry,9,2001
pry,8,2002
pry,19,2003
pry,20,2004
pry,33,2005
pry,62,2006
pry,58,2007
per,102,1995
per,88,1996
per,94,1997
per,99,1998
per,91,1999
per,88,2000
per,88,2001
per,87,2002
per,82,2003
per,84,2004
per,89,2005
per,97,2006
per,93,2007
phl,0,1995
phl,0,1996
phl,3,1997
phl,9,1998
phl,18,1999
phl,44,2000
phl,52,2001
phl,57,2002
phl,64,2003
phl,69,2004
phl,71,2005
phl,75,2006
phl,75,2007
pol,2,1998
pol,3,1999
pol,4,2000
pol,3,2001
pol,56,2002
pol,57,2003
pol,57,2004
pol,62,2005
pol,64,2006
pol,66,2007
prt,79,1995
prt,78,1996
prt,67,1997
prt,87,1998
prt,83,1999
prt,92,2000
prt,102,2001
prt,102,2002
prt,95,2003
prt,91,2004
prt,84,2005
prt,89,2006
prt,87,2007
pri,58,1996
pri,72,1997
pri,66,1998
pri,76,1999
pri,67,2000
pri,72,2001
pri,88,2002
pri,70,2003
pri,76,2004
pri,71,2005
pri,88,2006
pri,77,2007
qat,33,1995
qat,27,1996
qat,24,1997
qat,43,1998
qat,33,1999
qat,29,2000
qat,41,2001
qat,34,2002
qat,52,2003
qat,38,2004
qat,46,2005
qat,49,2006
qat,44,2007
kor,30,1995
kor,60,1996
kor,56,1997
kor,62,1998
kor,26,2003
kor,23,2004
kor,20,2005
kor,18,2006
kor,14,2007
mda,41,2001
mda,22,2002
mda,41,2003
mda,63,2004
mda,70,2005
mda,70,2006
mda,67,2007
rou,87,1998
rou,4,1999
rou,10,2000
rou,10,2001
rou,43,2002
rou,40,2003
rou,43,2004
rou,83,2005
rou,82,2006
rou,85,2007
rus,0,1996
rus,1,1997
rus,1,1998
rus,2,1999
rus,5,2000
rus,6,2001
rus,8,2002
rus,9,2003
rus,15,2004
rus,34,2005
rus,45,2006
rus,49,2007
rwa,34,1995
rwa,35,1996
rwa,41,1997
rwa,54,1998
rwa,44,1999
rwa,32,2000
rwa,25,2001
rwa,28,2002
rwa,30,2003
rwa,27,2004
rwa,26,2005
rwa,27,2006
rwa,25,2007
kna,165,1998
kna,82,1999
kna,0,2000
kna,0,2001
kna,40,2002
kna,0,2005
kna,39,2006
kna,155,2007
lca,113,1997
lca,80,1998
lca,72,1999
lca,56,2000
lca,48,2001
lca,63,2002
lca,63,2003
lca,86,2004
lca,86,2005
lca,101,2006
lca,139,2007
vct,18,1998
vct,55,2000
vct,18,2001
vct,0,2002
vct,37,2003
vct,30,2004
vct,37,2005
vct,49,2006
wsm,73,1995
wsm,45,1996
wsm,71,1997
wsm,89,1999
wsm,70,2000
wsm,60,2001
wsm,107,2002
wsm,69,2003
wsm,65,2004
wsm,66,2005
wsm,80,2006
smr,0,1996
smr,101,1997
smr,0,1998
smr,0,1999
smr,113,2000
smr,0,2001
smr,0,2002
smr,0,2003
smr,0,2004
sau,21,1999
sau,36,2000
sau,38,2001
sau,39,2002
sau,38,2003
sau,38,2004
sau,38,2005
sau,39,2006
sau,39,2007
sen,62,1995
sen,65,1996
sen,57,1997
sen,55,1998
sen,48,1999
sen,53,2000
sen,54,2001
sen,49,2002
sen,53,2003
sen,50,2004
sen,50,2005
sen,49,2006
sen,48,2007
syc,82,1996
syc,97,1997
syc,67,1998
syc,83,2000
syc,90,2001
syc,68,2002
syc,38,2003
syc,100,2004
syc,62,2005
sle,29,1995
sle,41,1996
sle,40,1997
sle,36,1998
sle,33,2000
sle,33,2001
sle,32,2002
sle,31,2003
sle,34,2004
sle,36,2005
sle,35,2006
sle,37,2007
sgp,62,1995
sgp,27,1996
sgp,16,2000
sgp,28,2001
sgp,51,2002
sgp,57,2003
sgp,87,2004
sgp,102,2005
sgp,101,2006
sgp,96,2007
svk,80,1995
svk,85,1996
svk,34,1997
svk,40,1998
svk,35,1999
svk,37,2000
svk,37,2001
svk,34,2002
svk,38,2003
svk,34,2004
svk,39,2005
svk,39,2006
svk,44,2007
svn,79,1996
svn,58,1997
svn,65,1998
svn,74,1999
svn,71,2000
svn,73,2001
svn,75,2002
svn,75,2003
svn,63,2004
svn,84,2005
svn,67,2006
svn,77,2007
slb,24,1996
slb,30,1997
slb,39,1998
slb,26,1999
slb,32,2000
slb,35,2001
slb,33,2002
slb,43,2003
slb,49,2004
slb,56,2005
slb,42,2006
slb,50,2007
som,33,1996
som,43,1997
som,43,1998
som,46,1999
som,48,2000
som,58,2001
som,58,2002
som,61,2003
som,74,2004
som,78,2005
som,74,2006
som,64,2007
zaf,7,1997
zaf,23,1998
zaf,66,1999
zaf,63,2000
zaf,60,2001
zaf,71,2002
zaf,77,2003
zaf,75,2004
zaf,72,2005
zaf,77,2006
zaf,78,2007
esp,0,2003
esp,0,2005
esp,0,2007
lka,62,1995
lka,60,1996
lka,70,1997
lka,75,1998
lka,77,1999
lka,67,2000
lka,72,2001
lka,71,2002
lka,71,2003
lka,76,2004
lka,93,2005
lka,85,2006
lka,85,2007
sdn,2,1996
sdn,1,1997
sdn,27,1998
sdn,27,1999
sdn,32,2000
sdn,29,2001
sdn,31,2002
sdn,31,2003
sdn,33,2004
sdn,34,2005
sdn,31,2006
sdn,31,2007
swz,35,2002
swz,36,2003
swz,41,2004
swz,46,2005
swz,52,2006
swz,55,2007
swe,56,2001
swe,59,2002
swe,58,2003
swe,56,2004
swe,58,2005
swe,0,2007
che,0,2003
che,0,2005
che,0,2007
syr,16,1997
syr,40,1998
syr,56,1999
syr,84,2000
syr,88,2001
syr,87,2002
syr,96,2003
syr,100,2004
syr,89,2005
syr,91,2006
syr,80,2007
tjk,2,2002
tjk,11,2004
tjk,23,2005
tjk,32,2006
tjk,30,2007
tha,0,1996
tha,5,1997
tha,22,1998
tha,41,1999
tha,48,2000
tha,76,2001
tha,68,2002
tha,74,2003
tha,74,2004
tha,77,2005
tha,74,2006
tha,72,2007
mkd,54,2001
mkd,49,2002
mkd,49,2003
mkd,72,2004
mkd,65,2005
mkd,66,2006
mkd,74,2007
tls,84,2002
tls,74,2003
tls,69,2004
tls,67,2005
tls,56,2006
tls,61,2007
tgo,13,1995
tgo,13,1996
tgo,12,1998
tgo,11,1999
tgo,12,2000
tgo,4,2002
tgo,13,2003
tgo,16,2004
tgo,17,2005
tgo,19,2006
tgo,15,2007
tkl,0,2003
ton,67,1995
ton,106,1996
ton,85,1997
ton,126,1998
ton,80,1999
ton,123,2000
ton,67,2001
