geo,government_health_spending_per_person_us,time
blz,61.0,1999
blz,69.45,2000
blz,87.99,2001
blz,87.23,2002
blz,95.42,2003
blz,96.5,2004
blz,105.0,2005
blz,113.2,2006
blz,133.1,2007
blz,137.9,2008
blz,154.2,2009
blz,149.7,2010
ben,8.108,1995
ben,8.239,1996
ben,6.873,1997
ben,7.738,1998
ben,8.297,1999
ben,6.94,2000
ben,8.583,2001
ben,7.643,2002
ben,10.98,2003
ben,11.91,2004
ben,13.43,2005
ben,14.26,2006
ben,16.0,2007
ben,17.0,2008
ben,18.0,2009
ben,15.0,2010
btn,12.87,1995
btn,19.2,1996
btn,24.42,1997
btn,25.03,1998
btn,38.19,1999
btn,40.93,2000
btn,39.29,2001
btn,58.55,2002
btn,37.34,2003
btn,34.94,2004
btn,43.95,2005
btn,56.17,2006
btn,73.81,2007
btn,80.92,2008
btn,78.46,2009
btn,94.2,2010
bol,25.64,1995
bol,28.84,1996
bol,29.65,1997
bol,33.29,1998
bol,36.68,1999
bol,36.91,2000
bol,35.96,2001
bol,37.5,2002
bol,30.69,2003
bol,32.6,2004
bol,38.56,2005
bol,41.25,2006
bol,44.36,2007
bol,55.6,2008
bol,58.37,2009
bol,60.65,2010
bih,30.03,1995
bih,41.48,1996
bih,39.52,1997
bih,40.72,1998
bih,61.85,1999
bih,60.89,2000
bih,67.07,2001
bih,78.79,2002
bih,123.1,2003
bih,138.9,2004
bih,144.5,2005
bih,169.4,2006
bih,222.7,2007
bih,294.2,2008
bih,303.5,2009
bih,306.5,2010
bwa,65.34,1995
bwa,65.6,1996
bwa,77.71,1997
bwa,71.29,1998
bwa,75.48,1999
bwa,94.38,2000
bwa,126.3,2001
bwa,145.2,2002
bwa,180.4,2003
bwa,346.1,2004
bwa,310.9,2005
bwa,290.8,2006
bwa,386.0,2007
bwa,407.2,2008
bwa,442.0,2009
bwa,445.8,2010
bra,135.9,1995
bra,141.9,1996
bra,152.7,1997
bra,143.1,1998
bra,103.4,1999
bra,106.8,2000
bra,96.3,2001
bra,90.66,2002
bra,94.77,2003
bra,121.0,2004
bra,155.6,2005
bra,205.0,2006
bra,255.1,2007
bra,305.7,2008
bra,319.8,2009
bra,465.7,2010
brn,375.1,1995
brn,519.2,1996
brn,514.5,1997
brn,482.2,1998
brn,458.1,1999
brn,476.8,2000
brn,431.6,2001
brn,439.1,2002
brn,487.7,2003
brn,557.9,2004
brn,581.8,2005
brn,597.5,2006
brn,661.5,2007
brn,754.3,2008
brn,709.7,2009
brn,748.3,2010
bgr,60.52,1995
bgr,38.45,1996
bgr,45.77,1997
bgr,57.82,1998
bgr,63.89,1999
bgr,59.53,2000
bgr,75.45,2001
bgr,94.32,2002
bgr,124.7,2003
bgr,144.7,2004
bgr,166.7,2005
bgr,169.4,2006
bgr,218.1,2007
bgr,277.6,2008
bgr,256.1,2009
bgr,237.0,2010
bfa,4.153,1995
bfa,4.551,1996
bfa,4.479,1997
bfa,4.976,1998
bfa,5.469,1999
bfa,4.32,2000
bfa,4.105,2001
bfa,5.56,2002
bfa,8.174,2003
bfa,12.15,2004
bfa,15.75,2005
bfa,14.87,2006
bfa,17.96,2007
bfa,21.56,2008
bfa,19.31,2009
bfa,20.27,2010
bdi,3.01,1995
bdi,2.865,1996
bdi,2.41,1997
bdi,2.333,1998
bdi,2.077,1999
bdi,2.014,2000
bdi,2.301,2001
bdi,2.014,2002
bdi,1.649,2003
bdi,3.44,2004
bdi,4.668,2005
bdi,6.175,2006
bdi,6.652,2007
bdi,6.808,2008
bdi,6.721,2009
bdi,7.909,2010
khm,3.215,1995
khm,7.428,1996
khm,5.567,1997
khm,3.289,1998
khm,3.231,1999
khm,3.808,2000
khm,5.266,2001
khm,6.58,2002
khm,8.418,2003
khm,9.259,2004
khm,7.218,2005
khm,7.985,2006
khm,10.29,2007
khm,12.66,2008
khm,14.97,2009
khm,16.82,2010
cmr,5.86,1995
cmr,5.97,1996
cmr,6.104,1997
cmr,5.149,1998
cmr,5.453,1999
cmr,5.525,2000
cmr,6.782,2001
cmr,8.556,2002
cmr,10.81,2003
cmr,10.38,2004
cmr,10.58,2005
cmr,10.76,2006
cmr,11.87,2007
cmr,13.05,2008
cmr,15.65,2009
cmr,18.17,2010
can,1297.0,1995
can,1294.0,1996
can,1313.0,1997
can,1304.0,1998
can,1355.0,1999
can,1470.0,2000
can,1504.0,2001
can,1564.0,2002
can,1878.0,2003
can,2132.0,2004
can,2426.0,2005
can,2730.0,2006
can,3048.0,2007
can,3258.0,2008
can,3191.0,2009
can,3681.0,2010
cpv,50.74,1995
cpv,47.3,1996
cpv,44.55,1997
cpv,47.5,1998
cpv,45.98,1999
cpv,42.02,2000
cpv,48.17,2001
cpv,51.9,2002
cpv,59.8,2003
cpv,78.64,2004
cpv,75.63,2005
cpv,95.12,2006
cpv,103.0,2007
cpv,113.9,2008
cpv,111.2,2009
cpv,116.0,2010
caf,4.863,1995
caf,3.483,1996
caf,4.054,1997
caf,3.396,1998
caf,3.897,1999
