geo,malaria_deaths_per_100000_reported,time
dza,0.006746,1998
dza,0.01995,1999
dza,0.003278,2000
dza,0.003231,2001
dza,0.0,2002
ago,188.3,1999
ago,96.02,2000
ago,66.16,2001
ago,97.94,2002
ago,254.3,2003
ago,79.68,2004
ago,85.54,2005
ago,61.73,2006
ben,10.02,1998
ben,7.761,1999
ben,10.24,2000
ben,6.273,2001
ben,9.175,2002
ben,7.034,2003
ben,11.48,2004
ben,3.793,2005
ben,15.89,2006
bwa,8.609,1997
bwa,1.377,1998
bwa,2.88,1999
bwa,1.735,2000
bwa,1.54,2001
bwa,1.296,2002
bwa,1.003,2003
bwa,1.047,2004
bwa,0.5991,2005
bwa,2.26,2006
bfa,23.45,1998
bfa,24.36,1999
bfa,23.06,2000
bfa,34.52,2001
bfa,31.84,2002
bfa,37.15,2003
bfa,31.13,2004
bfa,37.49,2005
bfa,56.29,2006
bdi,8.683,2000
bdi,6.097,2001
bdi,6.852,2002
bdi,5.827,2003
bdi,9.345,2004
bdi,24.71,2005
bdi,5.31,2006
cmr,4.698,2005
cmr,5.117,2006
cpv,0.0,2001
cpv,0.2117,2002
cpv,0.4135,2003
cpv,0.4039,2004
cpv,0.1973,2005
cpv,1.35,2006
caf,10.08,1998
caf,12.77,1999
caf,13.6,2001
caf,10.27,2003
caf,20.83,2004
caf,15.94,2005
caf,20.28,2006
tcd,10.66,2001
tcd,10.35,2002
tcd,10.25,2003
tcd,7.786,2006
com,7.353,1999
com,11.73,2000
com,2.227,2001
com,3.601,2004
com,11.53,2005
com,6.842,2006
cog,6.858,2006
civ,8.213,1998
civ,5.84,1999
civ,4.282,2000
cod,5.011,2000
cod,3.601,2002
cod,29.9,2003
cod,40.15,2006
eri,11.75,1998
eri,4.757,1999
eri,2.551,2000
eri,3.365,2001
eri,2.125,2002
eri,1.676,2003
eri,0.3675,2004
eri,0.7069,2005
eri,0.3623,2006
eth,1.592,2000
eth,2.359,2001
eth,2.197,2002
eth,2.849,2003
eth,4.321,2004
eth,1.375,2005
eth,1.675,2006
gab,7.55,2001
gab,36.72,2005
gab,6.027,2006
gha,14.54,1998
gha,14.35,1999
gha,16.03,2000
gha,8.328,2001
gha,9.088,2002
gha,7.787,2003
gha,5.712,2004
gha,7.806,2005
gha,12.31,2006
gin,0.1648,1998
gin,0.1616,1999
gin,5.376,2000
gin,6.185,2001
gin,5.168,2002
gin,6.758,2003
gin,5.978,2004
gin,5.443,2005
gnb,77.71,2000
gnb,44.97,2001
gnb,53.58,2002
gnb,75.71,2003
gnb,36.48,2004
gnb,35.38,2005
gnb,30.81,2006
ken,2.241,1998
ken,5.073,1999
ken,2.185,2000
ken,0.4102,2002
lbr,1.191,2005
lbr,24.5,2006
mdg,4.072,1999
mdg,3.651,2000
mdg,7.802,2001
mdg,7.396,2002
mdg,6.186,2003
mdg,6.584,2004
mdg,7.547,2005
mdg,3.079,2006
mwi,610.3,1990
mwi,339.2,1997
mwi,42.06,1999
mwi,61.42,2000
mwi,28.09,2001
mwi,47.1,2002
mwi,37.91,2003
mwi,26.81,2004
