geo,urban_population,time
afg,769300,1960
afg,814900,1961
afg,858500,1962
afg,903900,1963
afg,951200,1964
afg,1001000,1965
afg,1059000,1966
afg,1119000,1967
afg,1182000,1968
afg,1249000,1969
afg,1320000,1970
afg,1409000,1971
afg,1502000,1972
afg,1599000,1973
afg,1696000,1974
afg,1793000,1975
afg,1905000,1976
afg,2021000,1977
afg,2142000,1978
afg,2268000,1979
afg,2399000,1980
afg,2493000,1981
afg,2591000,1982
afg,2692000,1983
afg,2796000,1984
afg,2903000,1985
afg,3007000,1986
afg,3114000,1987
afg,3224000,1988
afg,3337000,1989
afg,3454000,1990
afg,3618000,1991
afg,3789000,1992
afg,3967000,1993
afg,4153000,1994
afg,4347000,1995
afg,4531000,1996
afg,4723000,1997
afg,4921000,1998
afg,5127000,1999
afg,5341000,2000
afg,5564000,2001
afg,5796000,2002
afg,6036000,2003
afg,6285000,2004
afg,6544000,2005
afg,6813000,2006
afg,7091000,2007
afg,7380000,2008
afg,7680000,2009
afg,7991000,2010
afg,8317000,2011
alb,494400,1960
alb,511800,1961
alb,529400,1962
alb,547400,1963
alb,565600,1964
alb,584000,1965
alb,602500,1966
alb,621200,1967
alb,640000,1968
alb,658900,1969
alb,677800,1970
alb,698900,1971
alb,720200,1972
alb,741700,1973
alb,763400,1974
alb,785400,1975
alb,808000,1976
alb,831000,1977
alb,854300,1978
alb,877900,1979
alb,901900,1980
alb,927200,1981
alb,952400,1982
alb,978500,1983
alb,1007000,1984
alb,1038000,1985
alb,1072000,1986
alb,1110000,1987
alb,1147000,1988
alb,1177000,1989
alb,1198000,1990
alb,1215000,1991
alb,1223000,1992
alb,1223000,1993
alb,1221000,1994
alb,1222000,1995
alb,1229000,1996
alb,1238000,1997
alb,1250000,1998
alb,1265000,1999
alb,1282000,2000
alb,1316000,2001
alb,1352000,2002
alb,1391000,2003
alb,1431000,2004
alb,1470000,2005
alb,1512000,2006
alb,1553000,2007
alb,1594000,2008
alb,1635000,2009
alb,1677000,2010
alb,1717000,2011
dza,3294000,1960
dza,3515000,1961
dza,3740000,1962
dza,3973000,1963
dza,4221000,1964
dza,4488000,1965
dza,4649000,1966
dza,4826000,1967
dza,5017000,1968
dza,5219000,1969
dza,5430000,1970
dza,5619000,1971
dza,5816000,1972
dza,6021000,1973
dza,6235000,1974
dza,6460000,1975
dza,6774000,1976
dza,7103000,1977
dza,7448000,1978
dza,7810000,1979
dza,8191000,1980
dza,8638000,1981
dza,9106000,1982
dza,9592000,1983
dza,10090000,1984
dza,10600000,1985
dza,11100000,1986
dza,11610000,1987
dza,12120000,1988
dza,12650000,1989
dza,13180000,1990
dza,13710000,1991
dza,14250000,1992
dza,14790000,1993
dza,15320000,1994
dza,15840000,1995
dza,16400000,1996
dza,16940000,1997
dza,17470000,1998
dza,18010000,1999
dza,18560000,2000
dza,19200000,2001
dza,19850000,2002
dza,20530000,2003
dza,21220000,2004
dza,21930000,2005
dza,22630000,2006
dza,23340000,2007
dza,24060000,2008
dza,24800000,2009
dza,25550000,2010
dza,26220000,2011
asm,13660,1961
asm,14170,1962
asm,14760,1963
asm,15400,1964
asm,16040,1965
asm,16690,1966
asm,17350,1967
asm,18000,1968
asm,18620,1969
asm,19210,1970
asm,19750,1971
asm,20260,1972
asm,20740,1973
asm,21190,1974
asm,21630,1975
asm,22050,1976
asm,22450,1977
asm,22900,1978
asm,23460,1979
asm,24180,1980
asm,25170,1981
asm,26340,1982
asm,27660,1983
asm,29060,1984
asm,30520,1985
asm,32010,1986
asm,33550,1987
asm,35090,1988
asm,36620,1989
asm,38090,1990
asm,39600,1991
asm,41050,1992
asm,42440,1993
asm,43800,1994
asm,45130,1995
asm,46340,1996
asm,47530,1997
asm,48710,1998
asm,49910,1999
asm,51150,2000
asm,52340,2001
asm,53580,2002
asm,54860,2003
asm,56170,2004
asm,57470,2005
asm,58680,2006
asm,59890,2007
asm,61120,2008
asm,62360,2009
asm,63620,2010
asm,64820,2011
and,8724,1961
and,9700,1962
and,10750,1963
and,11870,1964
and,13050,1965
and,14220,1966
and,15440,1967
and,16730,1968
and,18090,1969
and,19530,1970
and,20930,1971
and,22410,1972
and,23940,1973
and,25480,1974
and,27020,1975
and,28370,1976
and,29680,1977
and,31040,1978
and,32570,1979
and,34370,1980
and,36360,1981
and,38620,1982
and,40980,1983
and,43210,1984
and,45120,1985
and,46250,1986
and,47020,1987
and,47670,1988
and,48580,1989
and,49980,1990
and,51970,1991
and,54470,1992
and,57080,1993
and,59240,1994
and,60600,1995
and,60930,1996
and,60460,1997
and,59690,1998
and,59280,1999
and,59720,2000
and,61060,2001
and,63210,2002
and,65800,2003
and,68300,2004
and,70330,2005
and,71730,2006
and,72680,2007
and,73340,2008
and,73900,2009
and,74530,2010
and,75210,2011
ago,521200,1960
ago,548300,1961
ago,579700,1962
ago,612100,1963
ago,645300,1964
ago,679100,1965
ago,717800,1966
ago,757500,1967
ago,798500,1968
ago,841300,1969
ago,886400,1970
ago,955000,1971
ago,1027000,1972
ago,1104000,1973
ago,1184000,1974
ago,1270000,1975
ago,1373000,1976
ago,1482000,1977
ago,1597000,1978
ago,1722000,1979
ago,1856000,1980
ago,2016000,1981
ago,2188000,1982
ago,2371000,1983
ago,2560000,1984
ago,2750000,1985
ago,2955000,1986
ago,3161000,1987
ago,3373000,1988
ago,3597000,1989
ago,3839000,1990
ago,4103000,1991
ago,4388000,1992
ago,4691000,1993
ago,5005000,1994
ago,5325000,1995
ago,5602000,1996
ago,5883000,1997
ago,6173000,1998
ago,6484000,1999
ago,6822000,2000
ago,7191000,2001
ago,7590000,2002
ago,8012000,2003
ago,8450000,2004
ago,8895000,2005
ago,9327000,2006
ago,9765000,2007
ago,10210000,2008
ago,10670000,2009
ago,11140000,2010
ago,11600000,2011
atg,21700,1960
atg,21640,1961
atg,21660,1962
atg,21740,1963
atg,21830,1964
atg,21910,1965
atg,22000,1966
atg,22090,1967
atg,22150,1968
atg,22180,1969
atg,22180,1970
atg,22560,1971
atg,22910,1972
atg,23220,1973
atg,23500,1974
atg,23750,1975
atg,23980,1976
atg,24170,1977
atg,24300,1978
atg,24360,1979
atg,24310,1980
atg,24160,1981
atg,23930,1982
atg,23630,1983
atg,23310,1984
atg,22980,1985
atg,22650,1986
atg,22340,1987
atg,22100,1988
atg,21980,1989
atg,22040,1990
atg,22050,1991
atg,22230,1992
atg,22540,1993
atg,22910,1994
atg,23310,1995
atg,23670,1996
atg,24030,1997
atg,24380,1998
atg,24690,1999
atg,24950,2000
atg,25200,2001
atg,25380,2002
atg,25520,2003
atg,25620,2004
atg,25710,2005
atg,25900,2006
atg,26070,2007
atg,26220,2008
atg,26370,2009
atg,26510,2010
atg,26770,2011
arg,15220000,1960
arg,15550000,1961
arg,15910000,1962
arg,16280000,1963
arg,16650000,1964
arg,17030000,1965
arg,17390000,1966
arg,17750000,1967
arg,18120000,1968
arg,18510000,1969
arg,18920000,1970
arg,19330000,1971
arg,19760000,1972
arg,20210000,1973
arg,20660000,1974
arg,21120000,1975
arg,21550000,1976
arg,21990000,1977
arg,22420000,1978
arg,22860000,1979
arg,23320000,1980
arg,23800000,1981
arg,24290000,1982
arg,24790000,1983
arg,25300000,1984
arg,25810000,1985
arg,26320000,1986
arg,26830000,1987
arg,27350000,1988
arg,27870000,1989
arg,28390000,1990
arg,28900000,1991
arg,29400000,1992
arg,29900000,1993
arg,30400000,1994
arg,30900000,1995
arg,31390000,1996
arg,31870000,1997
arg,32350000,1998
arg,32830000,1999
arg,33280000,2000
arg,33710000,2001
arg,34130000,2002
arg,34540000,2003
arg,34940000,2004
arg,35350000,2005
arg,35740000,2006
arg,36130000,2007
arg,36520000,2008
arg,36920000,2009
arg,37320000,2010
arg,37710000,2011
arm,958000,1960
arm,1009000,1961
arm,1061000,1962
arm,1116000,1963
arm,1171000,1964
arm,1226000,1965
arm,1282000,1966
arm,1337000,1967
arm,1393000,1968
arm,1450000,1969
arm,1508000,1970
arm,1564000,1971
arm,1622000,1972
arm,1680000,1973
arm,1739000,1974
arm,1797000,1975
arm,1848000,1976
arm,1898000,1977
arm,1947000,1978
arm,1996000,1979
arm,2045000,1980
arm,2084000,1981
arm,2122000,1982
arm,2160000,1983
arm,2199000,1984
arm,2240000,1985
arm,2281000,1986
arm,2324000,1987
arm,2362000,1988
arm,2386000,1989
arm,2390000,1990
arm,2358000,1991
arm,2307000,1992
arm,2245000,1993
arm,2183000,1994
arm,2129000,1995
arm,2087000,1996
arm,2053000,1997
arm,2028000,1998
arm,2007000,1999
arm,1989000,2000
arm,1980000,2001
arm,1974000,2002
arm,1970000,2003
arm,1969000,2004
arm,1968000,2005
arm,1970000,2006
arm,1972000,2007
arm,1974000,2008
arm,1977000,2009
arm,1981000,2010
arm,1988000,2011
abw,25000,1960
abw,28140,1961
abw,28530,1962
abw,28760,1963
abw,28920,1964
abw,29080,1965
abw,29250,1966
abw,29410,1967
abw,29580,1968
abw,29740,1969
abw,29900,1970
abw,30080,1971
abw,30280,1972
abw,30470,1973
abw,30600,1974
abw,30660,1975
abw,30620,1976
abw,30500,1977
abw,30360,1978
abw,30280,1979
abw,30330,1980
abw,30560,1981
abw,30940,1982
abw,31370,1983
abw,31670,1984
abw,31760,1985
abw,31560,1986
abw,31140,1987
abw,30750,1988
abw,30720,1989
abw,31270,1990
abw,32330,1991
abw,33940,1992
abw,35840,1993
abw,37670,1994
abw,39170,1995
abw,40160,1996
abw,40820,1997
abw,41270,1998
abw,41670,1999
abw,42160,2000
abw,43120,2001
abw,44140,2002
abw,45180,2003
abw,46180,2004
abw,47060,2005
abw,47900,2006
abw,48640,2007
abw,49290,2008
abw,49830,2009
abw,50280,2010
abw,50690,2011
aus,8375000,1960
aus,8588000,1961
aus,8842000,1962
aus,9056000,1963
aus,9279000,1964
aus,9507000,1965
aus,9768000,1966
aus,9934000,1967
aus,10150000,1968
aus,10410000,1969
aus,10660000,1970
aus,11050000,1971
aus,11270000,1972
aus,11460000,1973
aus,11770000,1974
aus,11940000,1975
aus,12050000,1976
aus,12180000,1977
aus,12320000,1978
aus,12450000,1979
aus,12600000,1980
aus,12790000,1981
aus,13000000,1982
aus,13150000,1983
aus,13290000,1984
aus,13470000,1985
aus,13690000,1986
aus,13900000,1987
aus,14120000,1988
aus,14360000,1989
aus,14570000,1990
aus,14780000,1991
aus,14990000,1992
aus,15160000,1993
aus,15350000,1994
aus,15560000,1995
aus,15810000,1996
aus,16020000,1997
aus,16230000,1998
aus,16460000,1999
aus,16690000,2000
aus,16960000,2001
aus,17210000,2002
aus,17460000,2003
aus,17710000,2004
aus,17980000,2005
aus,18290000,2006
aus,18650000,2007
aus,19070000,2008
aus,19510000,2009
aus,19860000,2010
aus,20180000,2011
aut,4560000,1960
aut,4590000,1961
aut,4623000,1962
aut,4657000,1963
aut,4692000,1964
aut,4727000,1965
aut,4764000,1966
aut,4803000,1967
aut,4832000,1968
aut,4852000,1969
aut,4873000,1970
aut,4896000,1971
aut,4926000,1972
aut,4954000,1973
aut,4964000,1974
aut,4952000,1975
aut,4944000,1976
aut,4947000,1977
aut,4944000,1978
aut,4936000,1979
aut,4937000,1980
aut,4952000,1981
aut,4958000,1982
aut,4953000,1983
aut,4955000,1984
aut,4960000,1985
aut,4966000,1986
aut,4972000,1987
aut,4982000,1988
aut,5008000,1989
aut,5049000,1990
aut,5101000,1991
aut,5158000,1992
aut,5201000,1993
aut,5221000,1994
aut,5230000,1995
aut,5237000,1996
aut,5243000,1997
aut,5249000,1998
aut,5259000,1999
aut,5272000,2000
aut,5304000,2001
aut,5342000,2002
aut,5380000,2003
aut,5425000,2004
aut,5474000,2005
aut,5517000,2006
aut,5553000,2007
aut,5593000,2008
aut,5627000,2009
aut,5659000,2010
aut,5697000,2011
aze,1858000,1960
aze,2108000,1961
aze,2168000,1962
aze,2227000,1963
aze,2285000,1964
aze,2340000,1965
aze,2395000,1966
aze,2447000,1967
aze,2496000,1968
aze,2542000,1969
aze,2586000,1970
aze,2661000,1971
aze,2735000,1972
aze,2808000,1973
aze,2880000,1974
aze,2952000,1975
aze,3013000,1976
aze,3074000,1977
aze,3133000,1978
aze,3196000,1979
aze,3254000,1980
aze,3316000,1981
aze,3376000,1982
aze,3438000,1983
aze,3502000,1984
aze,3568000,1985
aze,3630000,1986
aze,3695000,1987
aze,3758000,1988
aze,3805000,1989
aze,3848000,1990
aze,3886000,1991
aze,3922000,1992
aze,3959000,1993
aze,3990000,1994
aze,4012000,1995
aze,4040000,1996
aze,4066000,1997
aze,4092000,1998
aze,4115000,1999
aze,4136000,2000
aze,4184000,2001
aze,4232000,2002
aze,4281000,2003
aze,4335000,2004
aze,4396000,2005
aze,4462000,2006
aze,4530000,2007
aze,4644000,2008
aze,4760000,2009
aze,4835000,2010
aze,4918000,2011
bhs,65460,1960
bhs,69500,1961
bhs,73990,1962
bhs,78730,1963
bhs,83640,1964
bhs,88630,1965
bhs,93640,1966
bhs,98680,1967
bhs,103700,1968
bhs,108500,1969
bhs,113000,1970
bhs,117200,1971
bhs,121000,1972
bhs,124700,1973
bhs,128300,1974
bhs,132200,1975
bhs,136200,1976
bhs,140400,1977
bhs,144800,1978
bhs,149300,1979
bhs,154000,1980
bhs,158900,1981
bhs,164100,1982
bhs,169400,1983
bhs,174600,1984
bhs,179800,1985
bhs,184800,1986
bhs,189600,1987
bhs,194400,1988
bhs,199300,1989
bhs,204500,1990
bhs,208800,1991
bhs,213400,1992
bhs,217900,1993
bhs,222400,1994
bhs,226500,1995
bhs,230300,1996
bhs,233800,1997
bhs,237100,1998
bhs,240500,1999
bhs,244200,2000
bhs,248000,2001
bhs,252100,2002
bhs,256400,2003
bhs,260800,2004
bhs,265300,2005
bhs,269800,2006
bhs,274500,2007
bhs,279200,2008
bhs,283800,2009
bhs,288200,2010
bhs,292500,2011
bhr,128500,1960
bhr,137700,1961
bhr,142000,1962
bhr,146000,1963
bhr,149900,1964
bhr,153700,1965
bhr,157800,1966
bhr,162000,1967
bhr,166400,1968
bhr,171500,1969
bhr,177500,1970
bhr,184400,1971
bhr,192300,1972
bhr,201500,1973
bhr,212400,1974
bhr,225300,1975
bhr,240500,1976
bhr,257600,1977
bhr,275600,1978
bhr,292800,1979
bhr,308200,1980
bhr,321100,1981
bhr,332100,1982
bhr,341900,1983
bhr,352000,1984
bhr,363400,1985
bhr,376400,1986
bhr,390600,1987
bhr,405500,1988
bhr,420400,1989
bhr,434400,1990
bhr,446800,1991
bhr,458600,1992
bhr,470000,1993
bhr,481700,1994
bhr,494100,1995
bhr,508100,1996
bhr,524100,1997
bhr,540200,1998
bhr,553900,1999
bhr,564000,2000
bhr,567900,2001
bhr,567500,2002
bhr,572100,2003
bhr,593900,2004
bhr,640900,2005
bhr,717800,2006
bhr,819300,2007
bhr,931700,2008
bhr,1036000,2009
bhr,1118000,2010
bhr,1174000,2011
bgd,2761000,1960
bgd,2757000,1961
bgd,2948000,1962
bgd,3149000,1963
bgd,3362000,1964
bgd,3589000,1965
bgd,3872000,1966
bgd,4173000,1967
bgd,4485000,1968
bgd,4791000,1969
bgd,5078000,1970
bgd,5456000,1971
bgd,5813000,1972
bgd,6162000,1973
bgd,6531000,1974
bgd,6942000,1975
bgd,7810000,1976
bgd,8753000,1977
bgd,9771000,1978
bgd,10850000,1979
bgd,11970000,1980
bgd,12750000,1981
bgd,13550000,1982
bgd,14380000,1983
bgd,15240000,1984
bgd,16150000,1985
bgd,17030000,1986
bgd,17950000,1987
bgd,18900000,1988
bgd,19870000,1989
bgd,20850000,1990
bgd,21760000,1991
bgd,22670000,1992
bgd,23590000,1993
bgd,24530000,1994
bgd,25490000,1995
bgd,26470000,1996
bgd,27470000,1997
bgd,28490000,1998
bgd,29530000,1999
bgd,30570000,2000
bgd,31670000,2001
bgd,32770000,2002
bgd,33880000,2003
bgd,34970000,2004
bgd,36040000,2005
bgd,37140000,2006
bgd,38200000,2007
bgd,39270000,2008
bgd,40350000,2009
bgd,41480000,2010
bgd,42730000,2011
brb,84880,1960
brb,85330,1961
brb,85840,1962
brb,86380,1963
brb,86910,1964
brb,87380,1965
brb,87810,1966
brb,88190,1967
brb,88580,1968
brb,89020,1969
brb,89570,1970
brb,90550,1971
brb,91640,1972
brb,92780,1973
brb,93870,1974
brb,94870,1975
brb,95680,1976
brb,96390,1977
brb,97050,1978
brb,97730,1979
brb,98480,1980
brb,97040,1981
brb,95660,1982
brb,94300,1983
brb,92930,1984
brb,91530,1985
brb,90260,1986
brb,88970,1987
brb,87650,1988
brb,86290,1989
brb,84910,1990
brb,86620,1991
brb,88330,1992
brb,90030,1993
brb,91740,1994
brb,93470,1995
brb,95270,1996
brb,97100,1997
brb,98930,1998
brb,100800,1999
brb,102600,2000
brb,104400,2001
brb,106100,2002
brb,107900,2003
brb,109600,2004
brb,111400,2005
brb,113100,2006
brb,114800,2007
brb,116500,2008
brb,118200,2009
brb,120000,2010
brb,121600,2011
blr,2656000,1960
blr,2775000,1961
blr,2897000,1962
blr,3024000,1963
blr,3152000,1964
blr,3283000,1965
blr,3418000,1966
blr,3556000,1967
blr,3697000,1968
blr,3838000,1969
blr,3979000,1970
blr,4132000,1971
blr,4287000,1972
blr,4441000,1973
blr,4593000,1974
blr,4741000,1975
blr,4874000,1976
blr,5012000,1977
blr,5157000,1978
blr,5302000,1979
blr,5448000,1980
blr,5590000,1981
blr,5732000,1982
blr,5876000,1983
blr,6022000,1984
blr,6168000,1985
blr,6293000,1986
blr,6420000,1987
blr,6522000,1988
blr,6626000,1989
blr,6723000,1990
blr,6766000,1991
blr,6820000,1992
blr,6875000,1993
blr,6907000,1994
blr,6924000,1995
blr,6943000,1996
blr,6955000,1997
blr,6963000,1998
blr,6981000,1999
blr,7001000,2000
blr,7024000,2001
blr,7039000,2002
blr,7050000,2003
blr,7062000,2004
blr,7073000,2005
blr,7086000,2006
blr,7108000,2007
blr,7078000,2008
blr,7051000,2009
blr,7081000,2010
blr,7107000,2011
bel,8435000,1960
bel,8504000,1961
bel,8550000,1962
bel,8627000,1963
bel,8722000,1964
bel,8814000,1965
bel,8887000,1966
bel,8951000,1967
bel,8999000,1968
bel,9039000,1969
bel,9061000,1970
bel,9090000,1971
bel,9138000,1972
bel,9179000,1973
bel,9221000,1974
bel,9260000,1975
bel,9294000,1976
bel,9323000,1977
bel,9350000,1978
bel,9376000,1979
bel,9404000,1980
bel,9414000,1981
bel,9423000,1982
bel,9433000,1983
bel,9443000,1984
bel,9457000,1985
bel,9469000,1986
bel,9486000,1987
bel,9525000,1988
bel,9569000,1989
bel,9606000,1990
bel,9650000,1991
bel,9697000,1992
bel,9743000,1993
bel,9781000,1994
bel,9810000,1995
bel,9836000,1996
bel,9867000,1997
bel,9895000,1998
bel,9925000,1999
bel,9956000,2000
bel,9994000,2001
bel,10040000,2002
bel,10090000,2003
bel,10140000,2004
bel,10190000,2005
bel,10270000,2006
bel,10340000,2007
bel,10430000,2008
bel,10520000,2009
bel,10620000,2010
bel,10730000,2011
blz,49160,1960
blz,50630,1961
blz,52170,1962
blz,53730,1963
blz,55220,1964
blz,56540,1965
blz,57730,1966
blz,58790,1967
blz,59710,1968
blz,60490,1969
blz,61140,1970
blz,61840,1971
blz,62400,1972
blz,62940,1973
blz,63630,1974
blz,64560,1975
blz,65720,1976
blz,67140,1977
blz,68740,1978
blz,70420,1979
blz,72090,1980
blz,73720,1981
blz,75370,1982
blz,76610,1983
blz,78740,1984
blz,80470,1985
blz,82180,1986
blz,84160,1987
blz,86030,1988
blz,87310,1989
blz,89710,1990
blz,92090,1991
blz,94470,1992
blz,97330,1993
blz,100200,1994
blz,102800,1995
blz,105500,1996
blz,109400,1997
blz,113500,1998
blz,115800,1999
blz,119100,2000
blz,121900,2001
blz,125000,2002
blz,128200,2003
blz,131600,2004
blz,135100,2005
blz,138800,2006
blz,142600,2007
blz,146600,2008
blz,150700,2009
blz,155000,2010
blz,159700,2011
ben,211000,1960
ben,243200,1961
ben,262800,1962
ben,283000,1963
ben,304000,1964
ben,325800,1965
ben,353400,1966
ben,382000,1967
ben,411900,1968
ben,443000,1969
ben,475600,1970
ben,515800,1971
ben,557900,1972
ben,602100,1973
ben,648400,1974
ben,697000,1975
ben,749500,1976
ben,804600,1977
ben,862500,1978
ben,923300,1979
ben,987100,1980
ben,1040000,1981
ben,1095000,1982
ben,1152000,1983
ben,1213000,1984
ben,1275000,1985
ben,1342000,1986
ben,1411000,1987
ben,1484000,1988
ben,1562000,1989
ben,1646000,1990
ben,1724000,1991
ben,1808000,1992
ben,1897000,1993
ben,1987000,1994
ben,2077000,1995
ben,2158000,1996
ben,2239000,1997
ben,2321000,1998
ben,2406000,1999
ben,2498000,2000
ben,2612000,2001
ben,2734000,2002
ben,2861000,2003
ben,2994000,2004
ben,3130000,2005
ben,3279000,2006
ben,3432000,2007
ben,3589000,2008
ben,3751000,2009
ben,3917000,2010
ben,4087000,2011
bmu,44400,1960
bmu,45500,1961
bmu,46600,1962
bmu,47700,1963
bmu,48900,1964
bmu,50100,1965
bmu,51000,1966
bmu,52000,1967
bmu,53000,1968
bmu,54000,1969
bmu,55000,1970
bmu,54600,1971
bmu,54200,1972
bmu,53800,1973
bmu,53400,1974
bmu,53000,1975
bmu,53200,1976
bmu,53400,1977
bmu,53600,1978
bmu,53800,1979
bmu,54000,1980
bmu,54400,1981
bmu,54800,1982
bmu,55200,1983
bmu,55600,1984
bmu,56000,1985
bmu,56900,1986
bmu,57800,1987
bmu,58700,1988
bmu,59600,1989
bmu,60500,1990
bmu,61000,1991
bmu,61000,1992
bmu,61000,1993
bmu,61300,1994
bmu,61700,1995
bmu,61800,1996
bmu,61900,1997
bmu,62000,1998
bmu,62000,1999
bmu,62100,2000
bmu,62500,2001
bmu,62800,2002
bmu,63000,2003
bmu,63300,2004
bmu,63600,2005
bmu,63800,2006
bmu,64000,2007
bmu,64200,2008
bmu,64400,2009
bmu,64240,2010
bmu,64700,2011
btn,8064,1960
btn,8849,1961
btn,9605,1962
btn,10400,1963
btn,11240,1964
btn,12120,1965
btn,13220,1966
btn,14380,1967
btn,15620,1968
btn,16950,1969
btn,18380,1970
btn,20170,1971
btn,22100,1972
btn,24160,1973
btn,26340,1974
btn,28640,1975
btn,31400,1976
btn,34300,1977
btn,37320,1978
btn,40440,1979
btn,43630,1980
btn,47340,1981
btn,51080,1982
btn,54930,1983
btn,59030,1984
btn,63470,1985
btn,69030,1986
btn,75050,1987
btn,81190,1988
btn,86840,1989
btn,91530,1990
btn,95690,1991
btn,98600,1992
btn,100800,1993
btn,103200,1994
btn,106500,1995
btn,112000,1996
btn,118800,1997
btn,126800,1998
btn,135700,1999
btn,145200,2000
btn,156000,2001
btn,167500,2002
btn,179500,2003
btn,191800,2004
btn,204200,2005
btn,214100,2006
btn,223800,2007
btn,233300,2008
btn,242800,2009
btn,252600,2010
btn,262600,2011
bol,1233000,1960
bol,1271000,1961
bol,1310000,1962
bol,1351000,1963
bol,1393000,1964
bol,1436000,1965
bol,1481000,1966
bol,1527000,1967
bol,1575000,1968
bol,1625000,1969
bol,1677000,1970
bol,1731000,1971
bol,1788000,1972
bol,1846000,1973
bol,1906000,1974
bol,1967000,1975
bol,2055000,1976
bol,2146000,1977
bol,2240000,1978
bol,2335000,1979
bol,2433000,1980
bol,2542000,1981
bol,2654000,1982
bol,2768000,1983
bol,2887000,1984
bol,3010000,1985
bol,3137000,1986
bol,3270000,1987
bol,3408000,1988
bol,3551000,1989
bol,3701000,1990
bol,3839000,1991
bol,3983000,1992
bol,4131000,1993
bol,4283000,1994
bol,4438000,1995
bol,4574000,1996
bol,4712000,1997
bol,4851000,1998
bol,4993000,1999
bol,5137000,2000
bol,5281000,2001
bol,5428000,2002
bol,5576000,2003
bol,5724000,2004
bol,5871000,2005
bol,6015000,2006
bol,6158000,2007
bol,6302000,2008
bol,6446000,2009
bol,6593000,2010
bol,6740000,2011
bih,604200,1960
bih,638500,1961
bih,672100,1962
bih,706300,1963
bih,740600,1964
bih,775000,1965
bih,813300,1966
bih,851700,1967
bih,890300,1968
bih,929400,1969
bih,969500,1970
bih,1009000,1971
bih,1049000,1972
bih,1090000,1973
bih,1131000,1974
bih,1172000,1975
bih,1215000,1976
bih,1258000,1977
bih,1301000,1978
bih,1345000,1979
bih,1391000,1980
bih,1420000,1981
bih,1449000,1982
bih,1479000,1983
bih,1512000,1984
bih,1549000,1985
bih,1591000,1986
bih,1637000,1987
bih,1678000,1988
bih,1700000,1989
bih,1691000,1990
bih,1646000,1991
bih,1571000,1992
bih,1482000,1993
bih,1408000,1994
bih,1367000,1995
bih,1369000,1996
bih,1407000,1997
bih,1469000,1998
bih,1535000,1999
bih,1589000,2000
bih,1629000,2001
bih,1658000,2002
bih,1678000,2003
bih,1695000,2004
bih,1711000,2005
bih,1730000,2006
bih,1748000,2007
bih,1764000,2008
bih,1780000,2009
bih,1795000,2010
bih,1811000,2011
bwa,16240,1960
bwa,17250,1961
bwa,18540,1962
bwa,19900,1963
bwa,21340,1964
bwa,22870,1965
bwa,28430,1966
bwa,34320,1967
bwa,40580,1968
bwa,47220,1969
bwa,54290,1970
bwa,61870,1971
bwa,69930,1972
bwa,78530,1973
bwa,87750,1974
bwa,97680,1975
bwa,109300,1976
bwa,121800,1977
bwa,135200,1978
bwa,149300,1979
bwa,164200,1980
bwa,191400,1981
bwa,220100,1982
bwa,250400,1983
bwa,282400,1984
bwa,316100,1985
bwa,363700,1986
bwa,413800,1987
bwa,466500,1988
bwa,521700,1989
bwa,579700,1990
bwa,617000,1991
bwa,655600,1992
bwa,695200,1993
bwa,735700,1994
bwa,776700,1995
bwa,809100,1996
bwa,841500,1997
bwa,873600,1998
bwa,905100,1999
bwa,935600,2000
bwa,964300,2001
bwa,991900,2002
bwa,1019000,2003
bwa,1047000,2004
bwa,1075000,2005
bwa,1104000,2006
bwa,1133000,2007
bwa,1163000,2008
