geo,murdered_men_per_100000_people,time
afg,6.548,2004
alb,11.47,2004
dza,13.78,2004
and,1.061,2004
ago,84.5,2004
atg,12.67,2004
arg,7.856,1966
arg,10.01,1967
arg,11.59,1968
arg,12.39,1969
arg,12.49,1970
arg,15.39,1977
arg,9.442,1978
arg,5.914,1979
arg,5.805,1980
arg,6.389,1981
arg,6.929,1982
arg,6.988,1983
arg,8.126,1984
arg,8.901,1985
arg,9.942,1986
arg,9.665,1987
arg,10.02,1988
arg,10.65,1989
arg,9.087,1990
arg,7.825,1991
arg,8.07,1992
arg,7.834,1993
arg,7.683,1994
arg,7.418,1995
arg,8.138,1996
arg,8.556,1997
arg,8.451,1998
arg,9.563,1999
arg,10.32,2000
arg,12.48,2001
arg,13.76,2002
arg,13.24,2003
arg,10.35,2004
arm,6.001,2004
aus,1.256,1950
aus,1.58,1951
aus,1.906,1952
aus,1.468,1953
aus,1.639,1954
aus,1.674,1955
aus,1.755,1956
aus,1.626,1957
aus,1.792,1958
aus,1.866,1959
aus,1.946,1960
aus,1.599,1961
aus,1.981,1962
aus,1.531,1963
aus,1.833,1964
aus,1.573,1965
aus,1.631,1966
aus,1.714,1967
aus,1.781,1968
aus,1.68,1969
aus,1.738,1970
aus,2.447,1971
aus,2.448,1972
aus,2.415,1973
aus,2.429,1974
aus,2.165,1975
aus,2.589,1976
aus,2.417,1977
aus,2.064,1978
aus,2.482,1979
aus,2.276,1980
aus,2.6,1981
aus,2.459,1982
aus,2.222,1983
aus,2.459,1984
aus,2.533,1985
aus,2.341,1986
aus,2.524,1987
aus,2.376,1988
aus,2.265,1989
aus,2.688,1990
aus,2.211,1991
aus,2.034,1992
aus,2.351,1993
aus,2.253,1994
aus,1.978,1995
aus,2.365,1996
aus,2.245,1997
aus,2.12,1998
aus,2.115,1999
aus,1.968,2000
aus,2.094,2001
aus,1.965,2002
aus,1.768,2003
aus,1.004,2004
aut,1.038,1955
aut,1.817,1956
aut,1.571,1957
aut,1.273,1958
aut,1.386,1959
aut,1.73,1960
aut,1.426,1961
aut,1.122,1962
aut,1.087,1963
aut,1.131,1964
aut,1.126,1965
aut,1.073,1966
aut,0.9497,1967
aut,1.188,1968
aut,1.419,1969
aut,1.782,1970
aut,1.689,1971
aut,1.615,1972
aut,1.826,1973
aut,1.91,1974
aut,2.143,1975
aut,1.415,1976
aut,1.423,1977
aut,1.67,1978
aut,1.381,1979
aut,1.463,1980
aut,1.175,1981
aut,1.778,1982
aut,1.939,1983
aut,2.047,1984
aut,1.588,1985
aut,1.083,1986
aut,1.379,1987
aut,1.392,1988
aut,1.317,1989
aut,1.836,1990
aut,1.455,1991
aut,1.625,1992
aut,1.518,1993
aut,0.8698,1994
aut,1.108,1995
aut,1.207,1996
aut,0.7581,1997
aut,1.295,1998
aut,0.7895,1999
aut,0.6862,2000
aut,0.7413,2001
aut,0.7024,2002
aut,0.7126,2003
aut,0.6668,2004
aze,5.94,1981
aze,5.747,1982
aze,4.292,1985
aze,5.063,1986
aze,3.71,1987
aze,5.252,1988
aze,4.327,1989
aze,11.2,1990
aze,9.617,1991
aze,96.61,1992
aze,77.43,1993
aze,116.4,1994
aze,16.61,1995
aze,13.71,1996
aze,10.78,1997
aze,9.977,1998
aze,8.741,1999
aze,5.144,2000
