geo,colonandrectum_cancer_deaths_per_100000_men,time
aut,18.83,1960
aut,18.49,1961
aut,17.75,1962
aut,17.99,1963
aut,18.3,1964
aut,19.7,1965
aut,19.74,1966
aut,20.79,1967
aut,20.33,1968
aut,22.46,1971
aut,23.58,1972
aut,23.14,1973
aut,23.25,1974
aut,22.95,1975
aut,23.48,1976
aut,24.35,1977
aut,24.92,1978
aut,22.4,1979
aut,23.04,1980
aut,22.04,1981
aut,22.92,1982
aut,22.32,1983
aut,22.77,1984
aut,21.51,1985
aut,21.46,1986
aut,22.2,1987
aut,22.96,1988
aut,22.16,1989
aut,22.56,1990
aut,23.19,1991
aut,23.19,1992
aut,23.79,1993
aut,22.43,1994
aut,21.25,1995
aut,22.09,1996
aut,20.94,1997
aut,19.3,1998
aut,19.63,1999
aut,18.22,2000
aut,18.19,2001
aut,18.7,2002
aze,7.43,1981
aze,7.95,1982
aze,7.32,1985
aze,10.13,1986
aze,8.37,1987
aze,7.07,1988
aze,6.48,1989
aze,5.95,1990
aze,4.71,1991
aze,7.55,1992
aze,6.43,1993
aze,6.4,1994
aze,6.21,1995
aze,6.22,1996
aze,4.55,1997
aze,4.57,1998
aze,5.36,1999
aze,5.08,2000
aze,4.94,2001
aze,5.14,2002
bhs,8.6,2002
bhr,8.0,2002
bgd,0.6,2002
brb,14.9,2002
blr,9.44,1981
blr,10.09,1982
blr,12.99,1985
blr,13.21,1986
blr,12.32,1987
blr,14.5,1988
blr,13.49,1989
blr,14.72,1990
blr,15.02,1991
blr,15.01,1992
blr,16.2,1993
blr,16.67,1994
blr,17.53,1995
blr,18.13,1997
blr,17.36,1998
blr,18.41,1999
blr,18.81,2000
blr,18.25,2001
blr,18.58,2002
bel,18.7,2002
blz,1.74,1983
blz,1.7,1984
blz,4.48,1986
blz,3.62,1987
blz,2.02,1989
blz,0.93,1991
blz,1.76,1993
blz,3.6,1994
blz,8.2,1995
blz,1.83,1996
blz,2.76,1997
blz,3.09,1998
blz,3.53,1999
blz,1.47,2000
blz,1.47,2001
blz,3.2,2002
ben,4.7,2002
btn,3.0,2002
bol,10.3,2002
bih,18.9,2002
bwa,5.7,2002
bra,4.07,1979
bra,4.26,1980
bra,4.18,1981
bra,4.12,1982
bra,4.26,1983
bra,4.2,1984
bra,4.2,1985
bra,4.29,1986
bra,4.32,1987
bra,4.47,1988
bra,4.39,1989
bra,4.43,1990
bra,4.63,1991
bra,4.66,1992
bra,4.89,1993
bra,4.83,1994
bra,4.83,1995
bra,5.03,1996
bra,5.21,1997
bra,5.34,1998
bra,5.32,1999
bra,5.55,2000
bra,5.68,2001
bra,5.9,2002
brn,10.2,2002
bgr,6.69,1966
bgr,6.63,1967
bgr,7.34,1968
bgr,7.75,1969
bgr,7.71,1970
bgr,7.72,1971
bgr,7.65,1972
bgr,8.42,1973
bgr,8.47,1974
bgr,9.61,1975
bgr,9.33,1976
bgr,10.42,1977
bgr,9.75,1978
bgr,11.56,1979
bgr,11.15,1980
bgr,12.38,1981
bgr,12.13,1982
bgr,12.46,1983
bgr,13.83,1984
bgr,14.13,1985
bgr,14.11,1986
bgr,14.82,1987
bgr,14.42,1988
bgr,16.19,1989
bgr,14.81,1990
bgr,15.27,1991
bgr,15.42,1992
bgr,15.95,1993
bgr,17.22,1994
bgr,16.53,1995
bgr,18.09,1996
bgr,17.07,1997
bgr,17.87,1998
bgr,16.82,1999
bgr,16.78,2000
bgr,17.33,2001
bgr,17.51,2002
bfa,3.7,2002
bdi,6.1,2002
khm,6.9,2002
cmr,4.0,2002
can,21.09,1955
can,20.63,1956
can,21.52,1957
can,20.96,1958
can,20.15,1959
can,20.98,1960
can,20.4,1961
can,20.97,1962
can,20.56,1963
can,20.25,1964
can,19.96,1965
can,21.59,1966
can,20.88,1967
can,21.56,1968
can,20.86,1969
can,21.72,1970
can,20.4,1971
can,21.24,1972
can,21.43,1973
can,19.93,1974
can,20.38,1975
can,20.64,1976
can,20.0,1977
can,21.02,1978
can,18.63,1979
can,18.73,1980
can,18.91,1981
can,18.32,1982
can,17.87,1983
can,18.24,1984
can,18.28,1985
can,17.66,1986
can,17.82,1987
can,17.84,1988
can,17.4,1989
can,16.9,1990
can,16.43,1991
can,16.86,1992
can,16.13,1993
can,16.21,1994
can,16.39,1995
can,15.75,1996
can,15.28,1997
can,15.35,1998
can,15.53,1999
can,15.52,2000
can,14.56,2001
can,15.5,2002
cpv,4.7,2002
caf,2.2,2002
tcd,2.2,2002
chl,3.01,1955
chl,4.2,1956
chl,6.26,1957
chl,4.98,1958
chl,5.83,1959
chl,5.22,1960
chl,5.07,1961
chl,4.15,1962
chl,5.72,1963
chl,5.44,1964
chl,6.42,1965
chl,6.07,1966
chl,5.79,1967
chl,6.78,1980
chl,7.18,1981
chl,7.0,1982
chl,6.82,1983
chl,6.54,1984
chl,7.2,1985
chl,6.63,1986
chl,6.83,1987
chl,6.77,1988
chl,7.1,1989
chl,5.68,1990
chl,6.67,1991
chl,6.33,1992
chl,7.01,1993
chl,6.95,1994
chl,7.12,1995
chl,6.85,1996
chl,7.52,1997
chl,6.88,1998
chl,7.31,1999
chl,7.36,2000
chl,8.18,2001
chl,7.51,2002
chn,7.9,2002
col,4.1,1984
col,4.14,1985
col,3.5,1986
col,3.93,1987
col,4.04,1988
col,4.12,1989
col,4.04,1990
col,4.15,1991
col,4.74,1992
col,4.76,1993
col,4.62,1994
col,5.28,1995
col,4.97,1996
col,5.48,1997
col,4.88,1998
col,5.28,1999
col,5.36,2001
col,5.65,2002
com,6.1,2002
cod,0.9,2002
cog,3.9,2002
cri,4.13,1966
cri,3.23,1967
cri,3.89,1980
cri,3.84,1981
cri,4.17,1982
cri,4.79,1983
cri,5.58,1984
cri,7.21,1985
cri,5.72,1986
cri,4.71,1987
cri,4.57,1988
cri,5.8,1989
cri,5.67,1990
cri,6.65,1991
cri,6.05,1992
cri,6.07,1993
cri,6.36,1994
cri,6.92,1995
cri,7.62,1996
cri,6.78,1997
cri,6.79,1998
cri,8.53,1999
cri,6.25,2000
cri,7.7,2001
cri,6.84,2002
civ,3.4,2002
hrv,15.5,1985
hrv,18.31,1986
hrv,17.13,1987
hrv,18.98,1988
hrv,19.2,1989
hrv,18.8,1990
hrv,18.03,1991
hrv,19.59,1992
hrv,19.77,1993
hrv,18.8,1994
hrv,19.41,1995
hrv,21.15,1996
hrv,21.34,1997
hrv,22.21,1998
hrv,23.66,1999
hrv,23.98,2000
hrv,21.74,2001
hrv,24.34,2002
cub,8.81,1979
cub,8.84,1980
cub,9.4,1981
cub,8.77,1982
cub,8.29,1983
cub,9.23,1984
cub,8.44,1985
cub,9.31,1986
cub,8.46,1987
cub,9.57,1988
cub,10.07,1989
cub,9.39,1990
cub,9.73,1991
cub,9.41,1992
cub,9.15,1993
cub,9.26,1994
cub,9.0,1995
cub,9.53,1996
cub,9.79,1997
cub,8.7,1998
cub,8.87,1999
cub,9.08,2000
cub,8.56,2001
cub,8.98,2002
cyp,15.2,2002
cze,33.7,1986
cze,31.64,1987
cze,33.31,1988
cze,33.98,1989
cze,34.35,1990
cze,35.35,1991
cze,34.82,1992
cze,34.48,1993
cze,35.52,1994
cze,34.32,1995
cze,33.93,1996
cze,34.08,1997
cze,34.26,1998
cze,33.55,1999
cze,33.92,2000
cze,32.82,2001
cze,33.22,2002
cheslo,13.77,1955
cheslo,13.99,1956
cheslo,14.29,1957
cheslo,14.14,1958
cheslo,14.69,1959
cheslo,14.34,1960
cheslo,14.83,1961
cheslo,14.94,1962
cheslo,15.49,1963
cheslo,15.13,1964
cheslo,16.38,1965
cheslo,17.64,1966
cheslo,17.96,1967
cheslo,20.18,1968
cheslo,18.88,1969
cheslo,19.18,1970
cheslo,19.89,1971
cheslo,20.16,1972
cheslo,21.63,1973
cheslo,21.77,1974
cheslo,22.9,1975
cheslo,22.69,1976
cheslo,24.01,1977
cheslo,23.51,1978
cheslo,24.46,1979
cheslo,24.33,1980
cheslo,25.38,1981
cheslo,26.07,1982
cheslo,26.86,1983
cheslo,25.71,1984
cheslo,27.01,1985
cheslo,29.59,1986
cheslo,28.45,1987
cheslo,30.29,1988
cheslo,30.95,1989
cheslo,30.8,1990
cheslo,32.06,1991
dnk,23.58,1955
dnk,23.03,1956
dnk,23.39,1957
dnk,23.97,1958
dnk,26.92,1959
dnk,25.39,1960
dnk,23.34,1961
dnk,24.98,1962
dnk,24.83,1963
dnk,25.55,1964
dnk,24.33,1965
dnk,22.67,1966
dnk,21.54,1967
dnk,21.16,1968
dnk,22.12,1969
dnk,21.58,1970
dnk,21.16,1971
dnk,22.61,1972
dnk,23.07,1973
dnk,22.1,1974
dnk,21.84,1975
dnk,23.52,1976
dnk,22.39,1977
dnk,25.17,1978
dnk,23.16,1979
dnk,22.65,1980
dnk,24.58,1981
dnk,22.92,1982
dnk,23.94,1983
dnk,22.84,1984
dnk,23.7,1985
dnk,23.55,1986
dnk,22.86,1987
dnk,22.92,1988
dnk,21.71,1989
dnk,22.92,1990
dnk,22.16,1991
dnk,22.78,1992
dnk,22.95,1993
dnk,23.79,1994
dnk,22.35,1995
dnk,21.86,1996
dnk,22.79,1997
dnk,22.25,1998
dnk,21.02,1999
dnk,20.27,2000
dnk,20.84,2001
dnk,20.55,2002
dji,6.1,2002
dom,2.83,1980
dom,2.61,1981
dom,2.68,1982
dom,3.76,1983
dom,3.35,1984
dom,3.55,1985
dom,2.44,1986
dom,2.88,1987
dom,1.97,1988
dom,2.66,1989
dom,2.3,1990
dom,2.34,1991
dom,2.57,1992
dom,1.85,1994
dom,2.33,1995
dom,2.27,1996
dom,2.67,1997
dom,2.33,1998
dom,3.03,1999
dom,2.51,2000
dom,2.82,2001
dom,2.87,2002
ecu,2.07,1979
ecu,1.98,1980
ecu,1.8,1981
ecu,2.42,1982
ecu,2.21,1983
ecu,3.0,1984
ecu,2.26,1985
ecu,3.09,1986
ecu,2.87,1987
ecu,2.5,1988
ecu,2.99,1989
ecu,2.47,1990
ecu,2.27,1991
ecu,2.73,1992
ecu,2.5,1993
ecu,2.74,1994
ecu,2.49,1995
ecu,2.89,1996
ecu,2.84,1997
ecu,2.99,1998
ecu,2.79,1999
ecu,2.94,2000
ecu,2.98,2001
ecu,2.76,2002
egy,3.9,2002
slv,1.11,1981
slv,1.0,1982
slv,0.4,1983
slv,1.22,1984
slv,1.15,1990
slv,1.63,1991
slv,1.68,1992
slv,1.27,1993
slv,1.46,1995
slv,1.57,1996
slv,1.83,1997
slv,1.28,1998
slv,1.99,1999
slv,2.73,2000
slv,2.7,2001
slv,2.31,2002
gnq,2.2,2002
eri,6.1,2002
est,14.18,1981
est,16.13,1982
est,15.31,1985
est,17.9,1986
est,15.98,1987
est,18.15,1988
est,16.57,1989
est,15.86,1990
est,17.89,1991
est,20.31,1992
est,19.13,1993
est,17.01,1994
est,19.33,1995
est,18.85,1996
est,17.3,1997
est,18.53,1998
est,18.13,1999
est,17.31,2000
est,18.8,2001
est,19.02,2002
eth,7.1,2002
fji,2.4,2002
fin,8.8,1955
fin,9.37,1956
fin,7.42,1957
fin,9.15,1958
fin,7.95,1959
fin,9.5,1960
fin,9.52,1961
fin,9.61,1962
fin,10.52,1963
fin,10.84,1964
fin,11.18,1965
fin,11.27,1966
fin,10.49,1967
fin,10.02,1968
fin,10.0,1969
fin,13.71,1970
fin,11.37,1971
fin,11.55,1972
fin,10.9,1973
fin,10.72,1974
fin,11.14,1975
fin,12.26,1976
fin,12.63,1977
fin,11.25,1978
fin,12.4,1979
fin,12.1,1980
fin,10.9,1981
fin,11.5,1982
fin,11.85,1983
fin,13.37,1984
fin,12.6,1985
fin,11.52,1986
fin,11.67,1987
fin,12.14,1988
fin,12.5,1989
fin,12.29,1990
fin,11.89,1991
fin,13.23,1992
fin,12.32,1993
fin,12.92,1994
fin,11.22,1995
fin,12.46,1996
fin,11.45,1997
fin,11.08,1998
fin,12.11,1999
fin,11.18,2000
fin,11.73,2001
fin,11.16,2002
fra,17.71,1955
fra,17.77,1956
fra,18.03,1957
fra,18.54,1958
fra,18.45,1959
fra,18.41,1960
fra,18.61,1961
fra,18.1,1962
fra,19.08,1963
fra,19.11,1964
fra,18.99,1965
fra,19.16,1966
fra,19.41,1967
fra,19.97,1968
fra,19.74,1969
fra,19.5,1970
fra,19.92,1971
fra,20.57,1972
fra,20.42,1973
fra,20.64,1974
fra,20.73,1975
fra,20.73,1976
fra,20.76,1977
fra,20.36,1978
fra,18.78,1979
fra,18.73,1980
fra,18.83,1981
fra,18.82,1982
fra,18.22,1983
fra,18.45,1984
fra,18.15,1985
fra,18.68,1986
fra,18.83,1987
fra,18.2,1988
fra,17.92,1989
fra,17.58,1990
fra,18.09,1991
fra,17.88,1992
fra,17.59,1993
fra,16.62,1994
fra,16.66,1995
fra,16.33,1996
fra,16.25,1997
fra,16.19,1998
fra,16.44,1999
fra,15.48,2000
fra,15.58,2001
fra,15.41,2002
pyf,9.7,2002
gab,4.6,2002
gmb,1.3,2002
geo,6.79,1981
geo,7.21,1982
geo,6.65,1985
geo,7.45,1986
geo,7.34,1987
geo,6.7,1988
geo,6.91,1989
geo,7.6,1990
geo,7.16,1991
geo,5.48,1992
geo,3.92,1994
geo,4.47,1995
geo,5.07,1996
geo,4.06,1997
geo,4.71,1998
geo,5.0,1999
geo,5.86,2000
geo,7.18,2001
geo,7.6,2002
deu,21.54,1976
deu,21.1,1980
deu,20.6,1981
deu,20.58,1982
deu,20.78,1983
deu,20.69,1984
deu,20.96,1985
deu,20.6,1986
deu,21.03,1987
deu,21.02,1988
deu,21.27,1989
deu,20.72,1990
deu,21.29,1991
deu,21.83,1992
deu,21.41,1993
deu,21.04,1994
deu,20.75,1995
deu,21.0,1996
deu,20.38,1997
deu,20.01,1998
deu,19.26,1999
deu,19.16,2000
deu,18.49,2001
deu,18.78,2002
gha,4.7,2002
grc,4.99,1966
grc,4.75,1967
grc,5.0,1968
grc,5.04,1969
grc,5.44,1970
grc,5.14,1971
grc,5.89,1972
grc,5.74,1973
grc,6.14,1974
grc,6.46,1975
grc,5.97,1976
grc,6.53,1977
grc,6.61,1978
grc,5.5,1979
grc,5.23,1980
grc,5.46,1981
grc,6.39,1982
grc,5.4,1983
grc,5.93,1984
grc,5.54,1985
grc,6.0,1986
grc,6.32,1987
grc,6.44,1988
grc,7.1,1989
grc,6.95,1990
grc,6.43,1991
grc,7.79,1992
grc,7.55,1993
grc,8.25,1994
grc,8.14,1995
grc,7.98,1996
grc,8.28,1997
grc,8.19,1998
grc,10.13,1999
grc,8.72,2000
grc,9.01,2001
grc,9.06,2002
gum,9.8,2002
gtm,0.98,1979
gtm,1.13,1980
gtm,1.35,1981
gtm,0.34,1984
gtm,1.37,1986
gtm,1.07,1987
gtm,1.46,1988
gtm,0.85,1989
gtm,1.23,1990
gtm,0.99,1991
gtm,1.43,1992
gtm,1.61,1993
gtm,1.13,1994
gtm,1.45,1995
gtm,1.22,1996
gtm,1.82,1997
gtm,2.75,1998
gtm,2.04,1999
gtm,2.49,2000
gtm,1.99,2001
gtm,2.51,2002
gin,2.9,2002
gnb,4.7,2002
guy,9.6,2002
hti,7.3,2002
hnd,5.2,2002
hkg,11.44,1966
hkg,14.17,1967
hkg,13.02,1968
hkg,12.67,1969
hkg,13.54,1970
hkg,12.34,1971
hkg,12.26,1972
hkg,12.35,1973
hkg,12.55,1974
hkg,13.53,1975
hkg,12.56,1976
hkg,13.81,1977
hkg,15.45,1978
hkg,13.94,1979
hkg,12.96,1980
hkg,13.23,1981
hkg,12.81,1982
hkg,14.93,1983
hkg,15.48,1984
hkg,13.28,1985
hkg,15.13,1986
hkg,15.46,1987
hkg,14.13,1988
hkg,15.46,1989
hkg,16.22,1990
hkg,14.38,1991
hkg,16.25,1992
hkg,16.17,1993
hkg,17.43,1994
hkg,18.36,1995
hkg,15.85,1996
hkg,16.91,1997
hkg,16.23,1998
hkg,15.99,1999
hkg,16.31,2000
hkg,17.78,2001
hkg,17.19,2002
hun,16.77,1970
hun,17.94,1971
hun,17.91,1972
hun,19.41,1973
hun,19.83,1974
hun,20.9,1975
hun,20.01,1976
hun,21.17,1977
hun,22.22,1978
hun,22.11,1979
hun,23.04,1980
hun,24.27,1981
hun,23.75,1982
hun,24.85,1983
hun,25.17,1984
hun,25.94,1985
hun,26.87,1986
hun,27.75,1987
hun,27.2,1988
hun,29.7,1989
hun,29.67,1990
hun,30.29,1991
hun,32.05,1992
hun,30.96,1993
hun,32.13,1994
hun,32.2,1995
hun,33.05,1996
hun,34.55,1997
hun,34.26,1998
hun,34.8,1999
hun,33.35,2000
hun,34.28,2001
hun,34.07,2002
isl,18.5,1971
isl,21.88,1972
isl,11.32,1973
isl,11.81,1974
isl,8.44,1975
isl,13.3,1976
isl,11.98,1977
isl,11.59,1978
isl,10.26,1979
isl,12.45,1980
isl,13.97,1981
isl,15.99,1982
isl,13.45,1983
isl,12.22,1984
isl,11.75,1985
isl,9.1,1986
isl,11.29,1987
isl,17.06,1988
isl,21.05,1989
isl,11.33,1990
isl,10.5,1991
isl,8.61,1992
isl,13.48,1993
isl,10.96,1994
isl,11.46,1995
isl,12.4,1996
isl,18.19,1997
isl,11.74,1998
isl,11.72,1999
isl,11.84,2000
isl,17.95,2001
isl,14.27,2002
ind,3.4,2002
idn,7.6,2002
irn,5.2,2002
irq,3.4,2002
irl,20.79,1955
irl,19.87,1956
irl,19.64,1957
irl,19.18,1958
irl,20.24,1959
irl,19.07,1960
irl,17.72,1961
irl,18.9,1962
irl,20.04,1963
irl,17.36,1964
irl,21.9,1965
irl,20.51,1966
irl,17.92,1967
irl,21.02,1968
irl,21.95,1969
irl,20.23,1970
irl,22.19,1971
irl,22.14,1972
irl,22.55,1973
irl,21.3,1974
irl,24.46,1975
irl,25.51,1976
irl,21.71,1977
irl,22.27,1978
irl,21.84,1979
irl,21.83,1980
irl,22.61,1981
irl,22.43,1982
irl,21.4,1983
irl,20.87,1984
irl,23.67,1985
irl,22.85,1986
irl,23.53,1987
irl,23.91,1988
irl,24.6,1989
irl,20.99,1990
irl,21.96,1991
irl,21.88,1992
irl,22.47,1993
irl,21.89,1994
irl,22.95,1995
irl,20.77,1996
irl,21.55,1997
irl,20.37,1998
irl,22.36,1999
irl,19.18,2000
irl,21.4,2001
irl,19.04,2002
isr,13.59,1975
isr,15.18,1976
isr,16.42,1977
isr,16.33,1978
isr,16.84,1979
isr,15.18,1980
isr,14.32,1981
isr,14.4,1982
isr,15.95,1983
isr,15.05,1984
isr,15.72,1985
isr,13.89,1986
isr,15.33,1987
isr,15.33,1988
isr,14.37,1989
isr,15.14,1990
isr,16.99,1991
isr,16.0,1992
isr,16.92,1993
isr,18.46,1994
isr,18.56,1995
isr,17.33,1996
isr,18.19,1997
isr,16.32,1998
isr,16.51,1999
isr,16.82,2000
isr,17.3,2001
isr,16.61,2002
ita,9.11,1955
ita,10.07,1956
ita,10.51,1957
ita,10.34,1958
ita,11.19,1959
ita,11.6,1960
ita,11.9,1961
ita,12.34,1962
ita,12.85,1963
ita,13.0,1964
ita,13.13,1965
ita,13.83,1966
ita,14.16,1967
ita,14.58,1968
ita,14.94,1969
ita,15.5,1970
ita,15.68,1971
ita,15.95,1972
ita,16.69,1973
ita,16.71,1974
ita,16.71,1975
ita,17.03,1976
ita,17.55,1977
ita,17.35,1978
ita,14.16,1979
ita,14.46,1980
ita,14.38,1981
ita,14.96,1982
ita,15.65,1983
ita,15.37,1984
ita,15.85,1985
ita,15.4,1986
ita,15.66,1987
ita,15.59,1988
ita,14.98,1989
ita,15.07,1990
ita,14.67,1991
ita,15.1,1992
ita,15.86,1993
ita,16.22,1994
ita,15.77,1995
ita,16.1,1996
ita,15.6,1997
ita,15.89,1998
ita,15.31,1999
ita,15.18,2000
ita,15.05,2001
ita,15.15,2002
jam,8.6,2002
jpn,6.45,1955
jpn,6.66,1956
jpn,6.51,1957
jpn,6.61,1958
jpn,6.9,1959
jpn,6.63,1960
jpn,7.03,1961
jpn,7.05,1962
jpn,7.33,1963
jpn,7.71,1964
jpn,7.93,1965
jpn,7.78,1966
jpn,8.19,1967
jpn,8.61,1968
jpn,8.87,1969
jpn,9.04,1970
jpn,9.28,1971
jpn,9.52,1972
jpn,10.18,1973
jpn,10.72,1974
jpn,10.61,1975
jpn,11.02,1976
jpn,11.34,1977
jpn,11.44,1978
jpn,11.97,1979
jpn,12.21,1980
jpn,12.66,1981
jpn,12.77,1982
jpn,12.93,1983
jpn,13.35,1984
jpn,13.56,1985
jpn,13.78,1986
jpn,14.27,1987
jpn,14.5,1988
jpn,14.97,1989
jpn,15.35,1990
jpn,15.49,1991
jpn,16.15,1992
jpn,15.97,1993
jpn,15.99,1994
jpn,16.94,1995
jpn,17.2,1996
jpn,16.94,1997
jpn,17.04,1998
jpn,16.8,1999
jpn,16.65,2000
jpn,16.46,2001
jpn,16.16,2002
jor,6.6,2002
kaz,10.81,1981
kaz,10.43,1982
kaz,10.58,1985
kaz,11.52,1986
kaz,11.19,1987
kaz,10.95,1988
kaz,11.62,1989
kaz,11.95,1990
kaz,12.22,1991
kaz,11.61,1992
kaz,13.0,1993
kaz,13.31,1994
kaz,12.16,1995
kaz,12.05,1996
kaz,13.57,1997
kaz,11.21,1998
kaz,12.38,1999
kaz,12.59,2000
kaz,13.19,2001
kaz,11.76,2002
ken,6.9,2002
prk,10.9,2002
kor,3.89,1985
kor,3.99,1986
kor,4.31,1987
kor,4.0,1988
kor,5.3,1989
kor,5.41,1990
kor,5.21,1991
kor,6.1,1992
kor,7.21,1993
kor,7.43,1994
kor,7.82,1995
kor,8.26,1996
kor,9.03,1997
kor,8.53,1998
kor,10.01,1999
kor,10.75,2000
kor,11.15,2001
kor,12.31,2002
kwt,3.92,1976
kwt,7.0,1977
kwt,2.44,1978
kwt,2.43,1979
kwt,2.47,1980
kwt,5.2,1981
kwt,3.62,1982
kwt,2.15,1983
kwt,5.34,1984
kwt,5.4,1985
kwt,2.33,1986
kwt,2.38,1987
kwt,5.32,1993
kwt,5.58,1994
kwt,1.54,1995
kwt,4.63,1996
kwt,4.52,1997
kwt,5.98,1998
kwt,3.82,1999
kwt,4.08,2000
kwt,8.03,2001
kwt,4.86,2002
kgz,6.47,1981
kgz,6.7,1982
kgz,7.17,1985
kgz,8.13,1986
kgz,6.49,1987
kgz,7.41,1988
kgz,6.97,1989
kgz,8.78,1990
kgz,7.03,1991
kgz,8.2,1992
kgz,8.49,1993
kgz,7.83,1994
kgz,6.84,1995
kgz,5.9,1996
kgz,6.32,1997
kgz,6.82,1998
kgz,5.6,1999
kgz,7.21,2000
kgz,6.71,2001
kgz,7.27,2002
lao,4.7,2002
lva,14.67,1980
lva,13.57,1981
lva,15.2,1982
lva,14.52,1983
lva,15.33,1984
lva,15.29,1985
lva,13.91,1986
lva,17.46,1987
lva,17.48,1988
lva,18.29,1989
lva,17.03,1990
lva,18.01,1991
lva,18.81,1992
lva,18.51,1993
lva,18.81,1994
lva,18.04,1995
lva,17.84,1996
lva,18.67,1997
lva,17.17,1998
lva,19.74,1999
lva,16.93,2000
lva,17.29,2001
lva,18.33,2002
lbn,3.0,2002
lso,4.2,2002
lbr,4.4,2002
lby,4.5,2002
ltu,12.23,1981
ltu,12.79,1982
ltu,15.58,1985
ltu,14.2,1986
ltu,14.61,1987
ltu,16.01,1988
ltu,15.35,1989
ltu,17.05,1990
ltu,16.67,1991
ltu,17.98,1992
ltu,16.87,1993
ltu,18.12,1994
ltu,17.75,1995
ltu,19.29,1996
ltu,18.26,1997
ltu,19.2,1998
ltu,17.16,1999
ltu,18.89,2000
ltu,18.17,2001
ltu,18.11,2002
lux,21.02,1979
lux,24.56,1980
lux,23.51,1981
lux,32.5,1982
lux,21.68,1983
lux,19.04,1984
lux,23.88,1985
lux,21.24,1986
lux,28.14,1987
lux,26.3,1988
lux,21.56,1989
lux,22.26,1990
lux,17.3,1991
lux,20.02,1992
lux,18.96,1993
lux,17.38,1994
lux,21.05,1995
lux,18.58,1996
lux,18.26,1997
lux,21.9,1998
lux,14.44,1999
lux,17.2,2000
lux,15.38,2001
lux,16.28,2002
mkd,10.05,1991
mkd,9.48,1992
mkd,8.46,1993
mkd,10.75,1994
mkd,10.8,1995
mkd,11.34,1996
mkd,11.35,1997
mkd,12.31,1998
mkd,10.95,1999
mkd,13.32,2000
mkd,13.43,2001
mkd,15.21,2002
mdg,6.1,2002
mwi,2.4,2002
mys,12.5,2002
mli,4.7,2002
mlt,15.66,1978
mlt,13.3,1979
mlt,13.11,1980
mlt,9.64,1981
mlt,10.06,1982
mlt,10.42,1983
mlt,12.24,1984
mlt,10.33,1985
mlt,14.52,1986
mlt,15.44,1987
mlt,12.82,1988
mlt,12.42,1989
mlt,12.62,1990
mlt,14.86,1991
mlt,13.17,1992
mlt,14.82,1993
mlt,22.26,1994
mlt,19.98,1995
mlt,13.42,1996
mlt,16.72,1997
mlt,16.57,1998
mlt,16.76,1999
mlt,15.35,2000
mlt,16.2,2001
mlt,18.36,2002
mrt,4.7,2002
mus,7.63,1969
mus,8.91,1970
mus,7.01,1971
mus,9.33,1972
mus,14.24,1973
mus,7.6,1974
mus,8.35,1975
mus,15.47,1976
mus,7.22,1977
mus,6.42,1978
mus,5.77,1979
mus,8.24,1980
mus,7.79,1981
mus,4.46,1982
mus,5.64,1983
mus,4.16,1984
mus,6.25,1985
mus,3.42,1986
mus,3.94,1987
mus,4.05,1988
mus,5.36,1989
