geo,colonandrectum_cancer_deaths_per_100000_men,time
afg,3.3,2002
alb,2.22,1987
alb,4.04,1988
alb,3.42,1989
alb,2.01,1992
alb,2.63,1993
alb,2.42,1994
alb,3.81,1995
alb,3.66,1996
alb,2.54,1997
alb,2.88,1998
alb,3.27,1999
alb,2.6,2000
alb,2.88,2001
alb,3.27,2002
dza,5.1,2002
ago,4.0,2002
arg,14.41,1979
arg,13.27,1980
arg,14.51,1981
arg,13.05,1982
arg,12.96,1983
arg,13.46,1984
arg,13.63,1985
arg,13.36,1986
arg,13.96,1987
arg,13.85,1988
arg,14.1,1989
arg,14.1,1990
arg,13.4,1991
arg,13.75,1992
arg,13.54,1993
arg,13.96,1994
arg,14.0,1995
arg,14.27,1996
arg,14.49,1997
arg,14.21,1998
arg,14.62,1999
arg,14.7,2000
arg,14.86,2001
arg,13.76,2002
arm,6.95,1981
arm,6.96,1982
arm,8.53,1985
arm,8.78,1986
arm,9.23,1987
arm,8.74,1988
arm,9.27,1989
arm,9.33,1990
arm,10.3,1991
arm,9.56,1992
arm,8.43,1993
arm,7.18,1994
arm,7.02,1995
arm,8.43,1996
arm,9.19,1997
arm,7.86,1998
arm,8.95,1999
arm,8.15,2000
arm,8.37,2001
arm,9.64,2002
aus,18.25,1955
aus,18.99,1956
aus,19.83,1957
aus,18.62,1958
aus,19.95,1959
aus,18.44,1960
aus,17.48,1961
aus,17.9,1962
aus,18.78,1963
aus,18.05,1964
aus,17.88,1965
aus,18.03,1966
aus,17.67,1967
aus,19.74,1968
aus,18.44,1969
aus,18.44,1970
aus,18.9,1971
aus,19.86,1972
aus,19.96,1973
aus,21.21,1974
aus,21.41,1975
aus,20.69,1976
aus,20.98,1977
aus,21.46,1978
aus,21.03,1979
aus,20.29,1980
aus,21.32,1981
aus,21.73,1982
aus,22.46,1983
aus,21.8,1984
aus,22.57,1985
aus,22.13,1986
aus,22.58,1987
aus,22.06,1988
aus,21.46,1989
aus,20.44,1990
aus,20.19,1991
aus,20.38,1992
aus,20.2,1993
aus,21.14,1994
aus,19.34,1995
aus,19.63,1996
aus,19.58,1997
aus,18.49,1998
aus,17.91,1999
aus,18.01,2000
aus,17.48,2001
aus,15.64,2002
aut,20.29,1955
aut,18.94,1956
aut,18.53,1957
aut,18.64,1958
aut,17.06,1959
