co2_intensity_of_economic_output_kg_co2_per_2005_ppp_of_gdp,geo,time
0.02301,afg,2002
0.03266,afg,2003
0.03604,afg,2004
0.03131,afg,2005
0.02801,afg,2006
0.02587,afg,2007
0.02848,afg,2008
0.4563,alb,1980
0.6127,alb,1981
0.5925,alb,1982
0.6119,alb,1983
0.6354,alb,1984
0.6287,alb,1985
0.6084,alb,1986
0.5666,alb,1987
0.5657,alb,1988
0.6316,alb,1989
0.5821,alb,1990
0.4385,alb,1991
0.284,alb,1992
0.2544,alb,1993
0.1933,alb,1994
0.1846,alb,1995
0.1636,alb,1996
0.1394,alb,1997
0.1405,alb,1998
0.2178,alb,1999
0.2054,alb,2000
0.2048,alb,2001
0.2311,alb,2002
0.25,alb,2003
0.2204,alb,2004
0.2401,alb,2005
0.2102,alb,2006
0.2102,alb,2007
0.1819,alb,2008
0.5562,dza,1980
0.377,dza,1981
0.2996,dza,1982
0.3809,dza,1983
0.4874,dza,1984
0.4811,dza,1985
0.5022,dza,1986
0.5577,dza,1987
0.5622,dza,1988
0.5135,dza,1989
0.5021,dza,1990
0.5247,dza,1991
0.5205,dza,1992
0.533,dza,1993
0.5631,dza,1994
0.5949,dza,1995
0.5828,dza,1996
0.5265,dza,1997
0.6082,dza,1998
0.507,dza,1999
0.4735,dza,2000
0.4424,dza,2001
0.4555,dza,2002
0.434,dza,2003
0.3989,dza,2004
0.4544,dza,2005
0.4462,dza,2006
0.4552,dza,2007
0.4388,dza,2008
0.1621,ago,1985
0.1563,ago,1986
0.1808,ago,1987
0.151,ago,1988
0.1468,ago,1989
0.1302,ago,1990
0.13,ago,1991
0.1412,ago,1992
0.2463,ago,1993
0.1596,ago,1994
0.4091,ago,1995
0.3505,ago,1996
0.2286,ago,1997
0.2119,ago,1998
0.2571,ago,1999
0.2601,ago,2000
0.2572,ago,2001
0.2924,ago,2002
0.2026,ago,2003
0.3777,ago,2004
0.3192,ago,2005
0.3129,ago,2006
0.2881,ago,2007
0.2453,ago,2008
0.2778,atg,1980
0.1984,atg,1981
0.5465,atg,1982
0.1501,atg,1983
0.2379,atg,1984
0.3744,atg,1985
0.3322,atg,1986
0.3384,atg,1987
0.3338,atg,1988
0.3156,atg,1989
0.3236,atg,1990
0.3094,atg,1991
0.3068,atg,1992
0.3056,atg,1993
0.2909,atg,1994
0.3143,atg,1995
0.2944,atg,1996
0.2935,atg,1997
0.278,atg,1998
0.2788,atg,1999
0.2718,atg,2000
0.2659,atg,2001
0.2732,atg,2002
0.2784,atg,2003
0.2723,atg,2004
0.2638,atg,2005
0.2412,atg,2006
0.2236,atg,2007
0.2276,atg,2008
0.3836,arg,1980
0.3817,arg,1981
0.4071,arg,1982
0.3987,arg,1983
0.3949,arg,1984
0.4036,arg,1985
0.3875,arg,1986
0.4154,arg,1987
0.4505,arg,1988
0.4694,arg,1989
0.4626,arg,1990
0.4266,arg,1991
0.3955,arg,1992
0.3647,arg,1993
0.3584,arg,1994
0.3665,arg,1995
0.3662,arg,1996
0.353,arg,1997
0.3475,arg,1998
0.3801,arg,1999
0.3715,arg,2000
0.387,arg,2001
0.4063,arg,2002
0.4044,arg,2003
0.4038,arg,2004
0.3792,arg,2005
0.3862,arg,2006
0.372,arg,2007
0.3649,arg,2008
0.6879,arm,1992
0.6003,arm,1993
0.5767,arm,1994
0.6348,arm,1995
0.4478,arm,1996
0.545,arm,1997
0.5278,arm,1998
0.4587,arm,1999
0.4908,arm,2000
0.4579,arm,2001
0.343,arm,2002
0.3434,arm,2003
0.3305,arm,2004
0.3463,arm,2005
0.308,arm,2006
0.3127,arm,2007
0.3209,arm,2008
0.76,aus,1980
0.767,aus,1981
0.7551,aus,1982
0.7429,aus,1983
0.7469,aus,1984
0.7243,aus,1985
0.6892,aus,1986
0.7172,aus,1987
0.6908,aus,1988
0.7069,aus,1989
0.706,aus,1990
0.6934,aus,1991
0.7219,aus,1992
0.7116,aus,1993
0.6887,aus,1994
0.6701,aus,1995
0.6889,aus,1996
0.6714,aus,1997
0.6675,aus,1998
0.5956,aus,1999
0.5802,aus,2000
0.5602,aus,2001
0.5666,aus,2002
0.5568,aus,2003
0.5388,aus,2004
0.5506,aus,2005
0.5486,aus,2006
0.5346,aus,2007
0.5397,aus,2008
0.33,aut,1980
0.3547,aut,1981
0.3339,aut,1982
0.3129,aut,1983
0.3282,aut,1984
0.3212,aut,1985
0.3104,aut,1986
0.327,aut,1987
0.2936,aut,1988
0.2872,aut,1989
0.3105,aut,1990
0.3248,aut,1991
0.2929,aut,1992
0.2806,aut,1993
0.2716,aut,1994
0.2781,aut,1995
0.2733,aut,1996
0.2685,aut,1997
0.2679,aut,1998
0.2515,aut,1999
0.2427,aut,2000
0.2479,aut,2001
0.2494,aut,2002
0.2746,aut,2003
0.2669,aut,2004
0.2689,aut,2005
0.2515,aut,2006
0.2313,aut,2007
0.2245,aut,2008
1.689,aze,1992
2.152,aze,1993
2.624,aze,1994
2.358,aze,1995
2.187,aze,1996
1.963,aze,1997
1.881,aze,1998
1.624,aze,1999
1.524,aze,2000
1.337,aze,2001
1.232,aze,2002
1.15,aze,2003
1.081,aze,2004
0.9142,aze,2005
0.7748,aze,2006
0.6656,aze,2007
0.6704,aze,2008
1.457,bhs,1980
0.5627,bhs,1981
0.4259,bhs,1982
0.3665,bhs,1983
0.2953,bhs,1984
0.2294,bhs,1985
0.2105,bhs,1986
0.206,bhs,1987
0.218,bhs,1988
0.2582,bhs,1989
0.2629,bhs,1990
0.2507,bhs,1991
0.2622,bhs,1992
0.2502,bhs,1993
0.2431,bhs,1994
0.2344,bhs,1995
0.2249,bhs,1996
0.2217,bhs,1997
0.218,bhs,1998
0.2039,bhs,1999
0.1958,bhs,2000
0.1907,bhs,2001
0.2153,bhs,2002
0.1958,bhs,2003
0.2085,bhs,2004
0.2116,bhs,2005
0.2093,bhs,2006
0.2074,bhs,2007
0.2109,bhs,2008
1.042,bhr,1980
1.19,bhr,1981
1.485,bhr,1982
1.168,bhr,1983
1.245,bhr,1984
1.447,bhr,1985
1.545,bhr,1986
1.452,bhr,1987
1.444,bhr,1988
1.389,bhr,1989
1.346,bhr,1990
1.172,bhr,1991
1.011,bhr,1992
1.281,bhr,1993
1.293,bhr,1994
1.307,bhr,1995
1.224,bhr,1996
1.316,bhr,1997
1.335,bhr,1998
1.253,bhr,1999
1.231,bhr,2000
0.8794,bhr,2001
0.9417,bhr,2002
0.9215,bhr,2003
0.9154,bhr,2004
0.914,bhr,2005
0.93,bhr,2006
0.9134,bhr,2007
0.8992,bhr,2008
0.14,bgd,1980
0.14,bgd,1981
0.1483,bgd,1982
0.1365,bgd,1983
0.1438,bgd,1984
0.1563,bgd,1985
0.1679,bgd,1986
0.1675,bgd,1987
0.1872,bgd,1988
0.1812,bgd,1989
0.1975,bgd,1990
0.1961,bgd,1991
0.2079,bgd,1992
0.195,bgd,1993
0.2041,bgd,1994
0.234,bgd,1995
0.2356,bgd,1996
0.2332,bgd,1997
0.2125,bgd,1998
0.2127,bgd,1999
0.2217,bgd,2000
0.2453,bgd,2001
0.2439,bgd,2002
0.2326,bgd,2003
0.2571,bgd,2004
0.23,bgd,2005
0.2672,bgd,2006
0.2526,bgd,2007
0.2358,bgd,2008
0.1815,brb,1980
0.1906,brb,1981
0.1889,brb,1982
0.2003,brb,1983
0.2114,brb,1984
0.2382,brb,1985
0.2355,brb,1986
0.2397,brb,1987
0.2265,brb,1988
0.2256,brb,1989
0.2572,brb,1990
0.2975,brb,1991
0.2541,brb,1992
0.2865,brb,1993
0.1849,brb,1994
0.2018,brb,1995
0.2034,brb,1996
0.2027,brb,1997
0.2462,brb,1998
0.2546,brb,1999
0.2444,brb,2000
0.2645,brb,2001
0.2759,brb,2002
0.2793,brb,2003
0.2749,brb,2004
0.2784,brb,2005
0.2729,brb,2006
0.2672,brb,2007
0.2675,brb,2008
1.494,blr,1992
1.376,blr,1993
1.38,blr,1994
1.451,blr,1995
1.367,blr,1996
1.214,blr,1997
1.084,blr,1998
1.016,blr,1999
0.9198,blr,2000
0.864,blr,2001
0.8193,blr,2002
0.7848,blr,2003
0.7632,blr,2004
0.7072,blr,2005
0.673,blr,2006
0.6039,blr,2007
0.571,blr,2008
0.66,bel,1980
0.6066,bel,1981
0.5716,bel,1982
0.4926,bel,1983
0.4987,bel,1984
0.4861,bel,1985
0.4702,bel,1986
0.4607,bel,1987
0.4281,bel,1988
0.4431,bel,1989
0.4336,bel,1990
0.4616,bel,1991
0.4422,bel,1992
0.4253,bel,1993
0.4285,bel,1994
0.4173,bel,1995
0.4357,bel,1996
0.4083,bel,1997
0.4105,bel,1998
0.3854,bel,1999
0.3713,bel,2000
0.3653,bel,2001
0.3377,bel,2002
0.3578,bel,2003
0.3357,bel,2004
0.3177,bel,2005
0.3084,bel,2006
0.2877,bel,2007
0.2915,bel,2008
0.3908,blz,1980
0.371,blz,1981
0.3497,blz,1982
0.3572,blz,1983
0.3504,blz,1984
0.3836,blz,1985
0.395,blz,1986
0.3932,blz,1987
0.3948,blz,1988
0.421,blz,1989
0.3944,blz,1990
0.4116,blz,1991
0.3636,blz,1992
0.3633,blz,1993
0.3592,blz,1994
0.3604,blz,1995
0.2898,blz,1996
0.3532,blz,1997
0.3244,blz,1998
0.4842,blz,1999
0.491,blz,2000
0.4827,blz,2001
0.232,blz,2002
0.2209,blz,2003
0.2153,blz,2004
0.217,blz,2005
0.2131,blz,2006
