food_supply_kilocalories_per_person_and_day,geo,time
2234,alb,1961
2248,alb,1962
2163,alb,1963
2276,alb,1964
2258,alb,1965
2259,alb,1966
2266,alb,1967
2346,alb,1968
2408,alb,1969
2419,alb,1970
2366,alb,1971
2395,alb,1972
2445,alb,1973
2513,alb,1974
2522,alb,1975
2716,alb,1976
2819,alb,1977
2737,alb,1978
2660,alb,1979
2660,alb,1980
2748,alb,1981
2692,alb,1982
2841,alb,1983
2759,alb,1984
2608,alb,1985
2739,alb,1986
2552,alb,1987
2647,alb,1988
2630,alb,1989
2656,alb,1990
2389,alb,1991
2650,alb,1992
2855,alb,1993
2939,alb,1994
2826,alb,1995
2979,alb,1996
2747,alb,1997
2791,alb,1998
2892,alb,1999
2832,alb,2000
2861,alb,2001
2865,alb,2002
2838,alb,2003
2849,alb,2004
2917,alb,2005
2915,alb,2006
2880,alb,2007
1700,dza,1961
1658,dza,1962
1624,dza,1963
1644,dza,1964
1704,dza,1965
1686,dza,1966
1767,dza,1967
1832,dza,1968
1826,dza,1969
1790,dza,1970
1833,dza,1971
1965,dza,1972
1959,dza,1973
2092,dza,1974
2163,dza,1975
2144,dza,1976
2306,dza,1977
2438,dza,1978
2537,dza,1979
2657,dza,1980
2685,dza,1981
2656,dza,1982
2638,dza,1983
2584,dza,1984
2701,dza,1985
2718,dza,1986
2725,dza,1987
2795,dza,1988
2863,dza,1989
2856,dza,1990
2835,dza,1991
2973,dza,1992
2972,dza,1993
2865,dza,1994
2891,dza,1995
2894,dza,1996
2844,dza,1997
2904,dza,1998
2958,dza,1999
2929,dza,2000
3004,dza,2001
3034,dza,2002
3073,dza,2003
3090,dza,2004
3059,dza,2005
3101,dza,2006
3153,dza,2007
1785,ago,1961
1804,ago,1962
1838,ago,1963
1846,ago,1964
1856,ago,1965
1866,ago,1966
1891,ago,1967
1821,ago,1968
1905,ago,1969
1920,ago,1970
1954,ago,1971
1910,ago,1972
1869,ago,1973
1832,ago,1974
1814,ago,1975
1842,ago,1976
1903,ago,1977
1940,ago,1978
1915,ago,1979
1915,ago,1980
1836,ago,1981
1711,ago,1982
1682,ago,1983
1628,ago,1984
1641,ago,1985
1599,ago,1986
1587,ago,1987
1560,ago,1988
1541,ago,1989
1590,ago,1990
1562,ago,1991
1576,ago,1992
1511,ago,1993
1590,ago,1994
1634,ago,1995
1674,ago,1996
1677,ago,1997
1701,ago,1998
1758,ago,1999
1763,ago,2000
1784,ago,2001
1834,ago,2002
1858,ago,2003
1894,ago,2004
1916,ago,2005
1959,ago,2006
1973,ago,2007
1972,atg,1961
2147,atg,1962
2017,atg,1963
2090,atg,1964
2150,atg,1965
2104,atg,1966
1869,atg,1967
1916,atg,1968
1935,atg,1969
2111,atg,1970
2012,atg,1971
1796,atg,1972
1712,atg,1973
1633,atg,1974
1686,atg,1975
1649,atg,1976
1576,atg,1977
1562,atg,1978
1697,atg,1979
1916,atg,1980
2016,atg,1981
1896,atg,1982
1965,atg,1983
2183,atg,1984
2126,atg,1985
2180,atg,1986
2196,atg,1987
2364,atg,1988
2489,atg,1989
2474,atg,1990
2557,atg,1991
2511,atg,1992
2323,atg,1993
2234,atg,1994
2184,atg,1995
2170,atg,1996
2179,atg,1997
2183,atg,1998
2200,atg,1999
2179,atg,2000
2078,atg,2001
2073,atg,2002
2078,atg,2003
2161,atg,2004
2295,atg,2005
2294,atg,2006
2368,atg,2007
3100,arg,1961
3073,arg,1962
3027,arg,1963
3074,arg,1964
3180,arg,1965
3136,arg,1966
3214,arg,1967
3266,arg,1968
3306,arg,1969
3336,arg,1970
3181,arg,1971
3070,arg,1972
3022,arg,1973
3212,arg,1974
3268,arg,1975
3196,arg,1976
3175,arg,1977
3228,arg,1978
3201,arg,1979
3222,arg,1980
3201,arg,1981
3065,arg,1982
3000,arg,1983
3047,arg,1984
3131,arg,1985
3044,arg,1986
3113,arg,1987
3029,arg,1988
2980,arg,1989
2925,arg,1990
3025,arg,1991
3088,arg,1992
3123,arg,1993
3163,arg,1994
3168,arg,1995
3163,arg,1996
3136,arg,1997
3167,arg,1998
3267,arg,1999
3272,arg,2000
3183,arg,2001
2966,arg,2002
3060,arg,2003
3030,arg,2004
3092,arg,2005
2969,arg,2006
2941,arg,2007
1834,arm,1992
1868,arm,1993
1946,arm,1994
1951,arm,1995
1971,arm,1996
2170,arm,1997
2175,arm,1998
2164,arm,1999
2133,arm,2000
2150,arm,2001
2151,arm,2002
2295,arm,2003
2150,arm,2004
2270,arm,2005
2200,arm,2006
2280,arm,2007
3087,aus,1961
3095,aus,1962
3133,aus,1963
3103,aus,1964
3054,aus,1965
3133,aus,1966
3089,aus,1967
3133,aus,1968
3157,aus,1969
3202,aus,1970
3244,aus,1971
3295,aus,1972
3162,aus,1973
3106,aus,1974
3165,aus,1975
3171,aus,1976
3114,aus,1977
3061,aus,1978
3040,aus,1979
3068,aus,1980
3079,aus,1981
3109,aus,1982
3049,aus,1983
3100,aus,1984
3134,aus,1985
3089,aus,1986
3114,aus,1987
3122,aus,1988
3142,aus,1989
3178,aus,1990
3109,aus,1991
3117,aus,1992
3044,aus,1993
3039,aus,1994
3082,aus,1995
3057,aus,1996
3091,aus,1997
3015,aus,1998
3013,aus,1999
3003,aus,2000
3080,aus,2001
3073,aus,2002
3134,aus,2003
3067,aus,2004
3138,aus,2005
3193,aus,2006
3227,aus,2007
3192,aut,1961
3196,aut,1962
3251,aut,1963
3273,aut,1964
3223,aut,1965
3236,aut,1966
3198,aut,1967
3225,aut,1968
3157,aut,1969
3233,aut,1970
3237,aut,1971
3217,aut,1972
3306,aut,1973
3213,aut,1974
3155,aut,1975
3253,aut,1976
3215,aut,1977
3216,aut,1978
3282,aut,1979
3352,aut,1980
3345,aut,1981
3398,aut,1982
3358,aut,1983
3362,aut,1984
3375,aut,1985
3429,aut,1986
3417,aut,1987
3416,aut,1988
3477,aut,1989
3509,aut,1990
3559,aut,1991
3555,aut,1992
3522,aut,1993
3585,aut,1994
3607,aut,1995
3642,aut,1996
3592,aut,1997
3727,aut,1998
3791,aut,1999
3809,aut,2000
3817,aut,2001
3744,aut,2002
3714,aut,2003
3716,aut,2004
3701,aut,2005
3760,aut,2006
3819,aut,2007
2304,aze,1992
2218,aze,1993
2100,aze,1994
2148,aze,1995
2265,aze,1996
2084,aze,1997
2133,aze,1998
2296,aze,1999
2406,aze,2000
2480,aze,2001
2648,aze,2002
2747,aze,2003
2895,aze,2004
3001,aze,2005
