geo,meningitis_deaths_in_children_1_59_months_per_1000_births,time
afg,5.957,2008
alb,0.1519,2008
dza,0.4437,2008
ago,3.47,2008
arg,0.1204,2008
arm,1.38,2008
aus,0.0449,2008
aut,0.09228,2008
aze,1.038,2008
bhs,0.1771,2008
bhr,0.0,2008
bgd,1.141,2008
brb,0.0,2008
blr,0.2596,2008
bel,0.1681,2008
blz,0.1345,2008
ben,2.947,2008
btn,2.984,2008
bol,1.366,2008
bih,0.08731,2008
bwa,2.944,2008
bra,0.2989,2008
brn,0.1286,2008
bgr,0.1788,2008
bfa,1.952,2008
bdi,3.693,2008
khm,3.191,2008
cmr,3.415,2008
can,0.04248,2008
cpv,1.08,2008
caf,3.131,2008
tcd,3.074,2008
chl,0.09951,2008
chn,0.4105,2008
col,0.2874,2008
com,4.15,2008
cog,2.447,2008
cri,0.06628,2008
civ,2.663,2008
hrv,0.02371,2008
cub,0.0851,2008
cyp,0.0,2008
cze,0.07333,2008
prk,1.938,2008
cod,3.677,2008
dnk,0.01604,2008
dji,1.447,2008
dom,0.3435,2008
ecu,0.5484,2008
egy,0.9146,2008
slv,0.8043,2008
gnq,2.434,2008
eri,1.044,2008
est,0.06276,2008
eth,2.197,2008
fji,0.1131,2008
fin,0.03389,2008
fra,0.04656,2008
gab,1.846,2008
gmb,1.097,2008
geo,0.4983,2008
deu,0.07058,2008
gha,0.7852,2008
grc,0.01875,2008
grd,0.0,2008
gtm,1.109,2008
gin,2.591,2008
gnb,5.463,2008
guy,0.8075,2008
hti,1.794,2008
hnd,0.6996,2008
hun,0.1318,2008
isl,0.2163,2008
ind,1.11,2008
idn,0.7183,2008
irn,0.3236,2008
irq,1.031,2008
irl,0.1447,2008
isr,0.05004,2008
ita,0.03664,2008
jam,0.4771,2008
jpn,0.01257,2008
jor,0.2868,2008
kaz,0.6672,2008
ken,2.439,2008
kwt,0.0,2008
kgz,1.347,2008
lao,2.568,2008
lva,0.04324,2008
lbn,0.3791,2008
lso,2.106,2008
lbr,2.386,2008
lby,0.06814,2008
ltu,0.1273,2008
lux,0.0,2008
mdg,2.916,2008
mwi,2.656,2008
mys,0.02361,2008
mdv,0.6987,2008
mli,1.958,2008
mlt,0.2717,2008
mrt,2.538,2008
mus,0.2211,2008
mex,0.06297,2008
fsm,1.793,2008
mng,1.491,2008
mne,0.0,2008
mar,0.4935,2008
moz,2.955,2008
mmr,1.933,2008
nam,0.8512,2008
npl,1.073,2008
nld,0.07024,2008
nzl,0.1201,2008
nic,0.7359,2008
ner,3.586,2008
nga,2.926,2008
nor,0.06888,2008
omn,0.06518,2008
pak,1.165,2008
pan,0.2709,2008
png,3.18,2008
pry,0.4815,2008
per,0.757,2008
phl,1.11,2008
pol,0.04836,2008
prt,0.04779,2008
qat,0.0,2008
kor,0.02657,2008
mda,0.2893,2008
rou,0.07022,2008
rus,0.1805,2008
rwa,2.866,2008
lca,0.0,2008
vct,0.0,2008
wsm,0.7123,2008
stp,3.498,2008
sau,0.07958,2008
sen,0.9804,2008
srb,0.07859,2008
sle,2.783,2008
sgp,0.02689,2008
svk,0.07279,2008
svn,0.0,2008
slb,1.671,2008
som,3.331,2008
zaf,0.5562,2008
esp,0.09567,2008
lka,0.09029,2008
sdn,1.914,2008
sur,0.7162,2008
swz,1.798,2008
swe,0.0466,2008
che,0.01378,2008
syr,0.2169,2008
tjk,1.939,2008
tha,0.03788,2008
mkd,0.0,2008
tgo,1.763,2008
ton,0.0,2008
tto,0.0,2008
tun,0.9291,2008
tur,0.5237,2008
tkm,1.148,2008
uga,2.798,2008
ukr,0.3313,2008
are,0.06393,2008
gbr,0.09287,2008
tza,3.056,2008
usa,0.0366,2008
ury,0.139,2008
uzb,1.139,2008
vut,1.274,2008
ven,0.1754,2008
vnm,0.4787,2008
yem,1.329,2008
zmb,2.817,2008
zwe,2.108,2008
