geo,breast_cancer_new_cases_per_100000_women,time
afg,26.8,2002
alb,57.4,2002
dza,23.5,2002
ago,23.1,2002
arg,73.9,2002
arm,51.6,2002
aus,83.2,2002
aut,70.5,2002
aze,31.5,2002
bhs,54.4,2002
bhr,40.2,2002
bgd,16.6,2002
brb,62.5,2002
blr,36.0,2002
bel,92.0,2002
blz,29.8,2002
ben,28.1,2002
btn,21.8,2002
bol,24.7,2002
bih,58.9,2002
bwa,33.4,2002
bra,46.0,2002
brn,20.6,2002
bgr,46.2,2002
bfa,30.6,2002
bdi,19.5,2002
khm,21.5,2002
cmr,29.7,2002
can,69.6,1983
can,69.94,1984
can,71.82,1985
can,68.8,1986
can,70.93,1987
can,76.3,1988
can,74.85,1989
can,74.9,1990
can,78.42,1991
can,79.85,1992
can,77.6,1993
can,77.3,1994
can,77.59,1995
can,78.02,1996
can,80.45,1997
can,84.3,2002
cpv,28.1,2002
caf,16.5,2002
tcd,16.5,2002
chl,43.9,2002
chn,18.7,2002
col,30.3,2002
com,19.5,2002
cod,10.3,2002
cog,20.6,2002
cri,31.93,1980
cri,28.03,1981
cri,27.51,1982
cri,29.29,1983
cri,27.45,1984
cri,26.15,1985
cri,26.45,1986
cri,25.36,1987
cri,27.29,1988
cri,28.83,1989
cri,25.55,1990
cri,28.03,1991
cri,27.93,1992
cri,31.49,1993
cri,27.08,1994
cri,29.86,1995
cri,32.0,1996
cri,30.56,1997
cri,30.9,2002
civ,26.0,2002
hrv,62.1,2002
cub,31.2,2002
cyp,67.2,2002
cze,39.04,1983
cze,41.28,1984
cze,40.32,1985
cze,41.23,1986
cze,45.3,1987
cze,42.85,1988
cze,44.54,1989
cze,43.33,1990
cze,47.33,1991
cze,49.23,1992
cze,50.58,1993
cze,55.49,1994
cze,54.26,1995
cze,53.24,1996
cze,53.3,1997
cze,58.4,2002
dnk,46.67,1953
dnk,40.22,1954
dnk,44.5,1955
dnk,46.41,1956
dnk,43.24,1957
dnk,42.77,1958
dnk,45.09,1959
dnk,46.08,1960
dnk,47.11,1961
dnk,47.56,1962
dnk,47.06,1963
dnk,48.72,1964
dnk,50.54,1965
dnk,49.87,1966
dnk,53.54,1967
dnk,55.39,1968
dnk,52.05,1969
dnk,54.85,1970
dnk,54.75,1971
dnk,56.26,1972
dnk,56.09,1973
dnk,58.2,1974
dnk,62.83,1975
dnk,62.97,1976
dnk,64.68,1977
dnk,66.58,1978
dnk,62.05,1979
dnk,60.81,1980
dnk,65.39,1981
dnk,66.23,1982
dnk,70.62,1983
dnk,65.43,1984
dnk,65.98,1985
dnk,70.25,1986
dnk,71.79,1987
dnk,74.58,1988
dnk,74.01,1989
dnk,71.54,1990
dnk,75.76,1991
dnk,83.41,1992
dnk,76.87,1993
dnk,78.12,1994
dnk,79.77,1995
dnk,82.94,1996
dnk,82.14,1997
dnk,88.7,2002
dji,19.5,2002
dom,36.1,2002
ecu,23.5,2002
egy,24.2,2002
slv,13.6,2002
gnq,16.5,2002
eri,19.5,2002
est,22.09,1968
est,21.11,1969
est,23.59,1970
est,25.42,1971
est,26.58,1972
est,23.53,1973
est,26.66,1974
est,28.21,1975
est,28.45,1976
est,25.94,1977
est,29.99,1978
est,27.5,1979
est,31.95,1980
est,28.54,1981
est,31.92,1982
est,29.16,1983
est,35.73,1984
est,32.61,1985
est,33.29,1986
est,34.81,1987
est,34.0,1988
est,36.4,1989
est,36.61,1990
est,37.89,1991
est,34.17,1992
est,38.62,1993
est,40.72,1994
est,40.85,1995
est,45.93,1996
est,45.05,1997
est,47.7,2002
eth,24.7,2002
fji,31.2,2002
fin,25.28,1953
fin,23.97,1954
fin,24.32,1955
fin,26.74,1956
fin,27.94,1957
fin,27.1,1958
fin,24.75,1959
fin,26.89,1960
fin,24.77,1961
fin,28.55,1962
fin,28.38,1963
fin,29.19,1964
fin,30.33,1965
fin,30.92,1966
fin,31.55,1967
fin,31.45,1968
fin,35.21,1969
fin,33.49,1970
fin,36.53,1971
fin,35.26,1972
fin,39.13,1973
fin,42.08,1974
fin,39.21,1975
fin,41.98,1976
fin,41.56,1977
fin,42.47,1978
fin,42.46,1979
fin,45.98,1980
fin,45.79,1981
fin,46.32,1982
fin,48.96,1983
fin,49.82,1984
fin,50.89,1985
fin,56.32,1986
fin,59.53,1987
fin,60.55,1988
fin,61.53,1989
fin,61.97,1990
fin,65.2,1991
fin,65.42,1992
fin,66.08,1993
fin,66.57,1994
fin,70.77,1995
fin,73.05,1996
fin,71.44,1997
fin,84.7,2002
fra,91.9,2002
pyf,34.2,2002
gab,18.2,2002
gmb,6.4,2002
geo,51.8,2002
deu,79.8,2002
gha,28.1,2002
grc,51.6,2002
gum,50.4,2002
gtm,25.9,2002
gin,15.3,2002
gnb,28.1,2002
guy,29.5,2002
hti,4.4,2002
hnd,25.9,2002
hkg,32.45,1983
hkg,31.03,1984
hkg,33.12,1985
hkg,34.17,1986
hkg,30.86,1987
hkg,33.59,1988
hkg,33.98,1989
hkg,34.58,1990
hkg,34.49,1991
hkg,33.52,1992
hkg,33.22,1993
hkg,34.99,1994
hkg,36.14,1995
hkg,38.32,1996
hkg,38.82,1997
hun,63.0,2002
isl,36.77,1958
isl,48.19,1959
isl,29.66,1960
isl,40.71,1961
isl,41.37,1962
isl,44.11,1963
isl,52.8,1964
isl,52.39,1965
isl,44.55,1966
isl,44.66,1967
isl,48.73,1968
isl,47.44,1969
isl,40.31,1970
isl,51.38,1971
isl,47.12,1972
isl,50.63,1973
isl,62.71,1974
isl,59.9,1975
isl,49.57,1976
isl,60.53,1977
isl,57.4,1978
isl,57.48,1979
isl,60.15,1980
isl,69.11,1981
isl,61.35,1982
isl,57.22,1983
isl,66.37,1984
isl,71.98,1985
isl,66.31,1986
isl,80.88,1987
isl,92.99,1988
isl,80.25,1989
isl,76.4,1990
isl,57.51,1991
isl,70.93,1992
isl,70.83,1993
isl,81.26,1994
isl,73.01,1995
isl,59.23,1996
isl,84.26,1997
isl,90.0,2002
ind,19.1,2002
idn,26.1,2002
irn,17.1,2002
irq,31.7,2002
irl,74.9,2002
isr,90.8,2002
ita,74.4,2002
jam,43.5,2002
jpn,32.7,2002
jor,33.0,2002
kaz,38.7,2002
ken,25.2,2002
prk,20.4,2002
kor,20.4,2002
kwt,31.8,2002
kgz,23.0,2002
lao,10.9,2002
lva,44.3,2002
lbn,52.5,2002
lso,13.1,2002
lbr,18.8,2002
lby,23.4,2002
ltu,38.5,2002
lux,82.5,2002
mkd,52.1,2002
mdg,19.5,2002
mwi,10.5,2002
mys,30.8,2002
mli,18.2,2002
mlt,76.1,2002
mrt,28.1,2002
mus,31.6,2002
mex,26.4,2002
mda,49.6,2002
mng,6.6,2002
mar,22.5,2002
moz,3.9,2002
mmr,20.2,2002
nam,24.7,2002
npl,21.8,2002
nld,86.7,2002
nzl,61.09,1983
nzl,65.91,1984
nzl,60.44,1985
nzl,68.59,1986
nzl,66.07,1987
nzl,70.72,1988
nzl,77.4,1989
nzl,81.26,1990
nzl,75.04,1991
nzl,72.63,1992
nzl,68.65,1993
nzl,77.68,1994
nzl,75.89,1995
nzl,77.51,1996
nzl,78.72,1997
nzl,91.9,2002
nic,23.9,2002
ner,23.3,2002
nga,31.2,2002
nor,36.21,1953
nor,35.28,1954
nor,37.74,1955
nor,37.74,1956
nor,36.49,1957
nor,36.19,1958
nor,38.72,1959
nor,38.95,1960
nor,39.41,1961
nor,38.98,1962
nor,39.78,1963
nor,41.9,1964
nor,40.85,1965
nor,41.86,1966
nor,44.78,1967
nor,43.86,1968
nor,42.9,1969
nor,42.93,1970
nor,45.94,1971
nor,46.06,1972
nor,45.8,1973
nor,49.31,1974
nor,49.27,1975
nor,52.15,1976
nor,48.39,1977
nor,48.61,1978
nor,51.78,1979
nor,52.02,1980
nor,49.02,1981
nor,52.65,1982
nor,52.96,1983
nor,52.12,1984
nor,55.69,1985
nor,57.44,1986
nor,52.31,1987
nor,54.36,1988
nor,53.58,1989
nor,53.82,1990
nor,59.41,1991
nor,57.66,1992
nor,60.74,1993
nor,61.88,1994
nor,64.12,1995
nor,72.57,1996
nor,75.49,1997
nor,74.8,2002
omn,13.2,2002
pak,50.1,2002
pan,29.0,2002
png,17.3,2002
pry,34.4,2002
per,35.1,2002
phl,46.6,2002
pol,50.3,2002
prt,55.5,2002
pri,50.4,2002
qat,33.3,2002
rou,44.3,2002
rus,38.8,2002
rwa,8.8,2002
wsm,34.2,2002
sau,24.7,2002
sen,18.4,2002
scg,58.4,2002
sle,28.1,2002
sgp,48.7,2002
svk,30.28,1968
svk,27.3,1969
svk,28.8,1970
svk,29.84,1971
svk,29.27,1972
svk,25.17,1973
svk,26.31,1974
svk,30.16,1975
svk,28.67,1976
svk,30.64,1977
svk,29.93,1978
svk,29.96,1979
svk,31.95,1980
svk,29.71,1981
svk,32.59,1982
svk,31.54,1983
svk,33.44,1984
svk,34.3,1985
svk,35.1,1986
svk,35.71,1987
svk,35.99,1988
svk,37.46,1989
svk,34.92,1990
svk,40.45,1991
svk,41.76,1992
svk,39.68,1993
svk,40.78,1994
svk,40.39,1995
svk,45.14,1996
svk,43.8,1997
svk,48.0,2002
svn,24.08,1963
svn,21.05,1964
svn,28.42,1965
svn,24.36,1966
svn,27.68,1967
svn,25.88,1968
svn,28.53,1969
svn,31.02,1970
svn,29.19,1971
svn,33.22,1972
svn,33.29,1973
svn,36.78,1974
svn,35.26,1975
svn,30.37,1976
svn,37.04,1977
svn,35.68,1978
svn,37.81,1979
svn,40.36,1980
svn,39.26,1981
svn,40.14,1982
svn,37.1,1983
svn,38.24,1984
svn,44.16,1985
svn,45.05,1986
svn,46.54,1987
svn,47.1,1988
svn,46.94,1989
svn,48.47,1990
svn,42.64,1991
svn,49.11,1992
svn,48.29,1993
svn,47.7,1994
svn,51.4,1995
svn,53.42,1996
svn,57.75,1997
svn,58.9,2002
slb,29.8,2002
som,19.5,2002
zaf,35.0,2002
