geo,debt_servicing_costs_percent_of_exports_and_net_income_from_abroad,time
bgr,6.571,1991
bgr,8.751,1992
bgr,6.576,1993
bgr,13.04,1994
bgr,16.46,1995
bgr,19.78,1996
bgr,15.63,1997
bgr,21.93,1998
bgr,20.17,1999
bgr,17.7,2000
bgr,17.22,2001
bgr,16.46,2002
bgr,9.86,2003
bgr,15.16,2004
bgr,22.43,2005
bgr,12.45,2006
bgr,15.27,2007
bgr,16.83,2008
bgr,21.3,2009
bfa,4.479,1974
bfa,5.501,1975
bfa,4.393,1976
bfa,4.619,1977
bfa,5.257,1978
bfa,5.074,1979
bfa,9.837,1980
bfa,9.392,1981
bfa,10.76,1982
bfa,11.53,1983
bfa,12.36,1984
bfa,17.59,1985
bfa,18.22,1986
bfa,12.53,1987
bfa,13.65,1988
bfa,15.19,1989
bfa,9.351,1990
bfa,12.95,1991
bfa,10.34,1992
bfa,12.11,1993
bfa,15.27,1994
bfa,18.57,2000
bfa,13.69,2001
bdi,20.42,1985
bdi,24.5,1986
bdi,41.33,1987
bdi,33.29,1988
bdi,36.43,1989
bdi,43.42,1990
bdi,29.94,1991
bdi,36.53,1992
bdi,36.19,1993
bdi,39.48,1994
bdi,27.65,1995
bdi,53.95,1996
bdi,30.33,1997
bdi,42.34,1998
bdi,47.51,1999
bdi,39.44,2000
bdi,49.71,2001
bdi,59.19,2002
bdi,63.55,2003
bdi,134.1,2004
bdi,39.85,2005
bdi,18.86,2006
bdi,19.4,2007
bdi,13.27,2008
khm,4.146,1992
khm,9.89,1993
khm,0.3535,1994
khm,0.7463,1995
khm,1.078,1996
khm,0.9703,1997
khm,1.141,1998
khm,2.202,1999
khm,1.665,2000
khm,1.024,2001
khm,0.8858,2002
khm,0.9509,2003
khm,0.8087,2004
khm,0.7578,2005
khm,0.6022,2006
khm,0.5265,2007
khm,0.6515,2008
khm,0.8267,2009
cmr,6.914,1977
cmr,9.56,1978
cmr,10.35,1979
cmr,13.33,1980
cmr,16.59,1981
cmr,21.51,1982
cmr,19.04,1983
cmr,20.41,1984
cmr,30.23,1985
cmr,26.11,1986
cmr,30.78,1987
cmr,29.1,1988
cmr,17.29,1989
cmr,20.52,1990
cmr,17.65,1991
cmr,16.51,1992
cmr,24.57,1993
cmr,21.3,1994
cmr,21.01,1995
cmr,20.09,1996
cmr,20.27,1997
cmr,21.14,1998
cmr,24.73,1999
cmr,21.45,2000
cmr,12.23,2001
cmr,11.86,2002
cmr,13.47,2003
cmr,15.5,2004
cmr,19.18,2005
cmr,10.51,2006
cmr,8.015,2007
cmr,6.419,2008
cmr,7.351,2009
cpv,1.153,1981
cpv,4.403,1982
cpv,7.755,1983
cpv,16.22,1984
cpv,15.65,1985
cpv,12.62,1986
cpv,16.23,1987
cpv,17.03,1988
cpv,11.46,1989
cpv,9.084,1990
cpv,14.74,1991
cpv,18.85,1992
cpv,12.35,1993
cpv,14.33,1994
cpv,11.15,1995
cpv,7.634,1996
cpv,10.48,1997
cpv,16.09,1998
cpv,15.12,1999
cpv,10.47,2000
cpv,7.66,2001
cpv,11.22,2002
cpv,6.894,2003
cpv,7.55,2004
cpv,9.381,2005
cpv,6.285,2006
cpv,4.865,2007
cpv,4.172,2008
caf,3.312,1977
caf,3.577,1978
caf,2.349,1979
caf,4.864,1980
caf,6.088,1981
caf,5.054,1982
caf,12.84,1983
caf,16.27,1984
caf,14.22,1985
caf,15.08,1986
caf,14.07,1987
caf,13.78,1988
caf,15.67,1989
caf,13.21,1990
caf,8.32,1991
caf,9.257,1992
caf,4.963,1993
caf,12.93,1994
tcd,2.605,1977
tcd,5.398,1978
tcd,3.903,1979
tcd,8.39,1980
tcd,8.707,1981
tcd,2.797,1982
tcd,1.055,1983
tcd,5.188,1984
tcd,17.52,1985
tcd,5.39,1986
tcd,4.117,1987
tcd,4.242,1988
tcd,5.869,1989
tcd,4.31,1990
tcd,4.308,1991
tcd,4.107,1992
tcd,6.703,1993
tcd,8.036,1994
tcd,6.03,2003
tcd,1.706,2004
tcd,1.68,2005
tcd,1.527,2006
tcd,1.797,2007
tcd,3.161,2008
tcd,2.767,2009
chl,34.56,1975
chl,40.44,1976
chl,46.16,1977
chl,53.56,1978
chl,44.01,1979
chl,43.11,1980
chl,64.77,1981
chl,71.33,1982
chl,54.47,1983
chl,59.88,1984
chl,48.35,1985
chl,40.65,1986
chl,36.29,1987
chl,25.78,1988
chl,27.07,1989
chl,25.89,1990
chl,23.18,1991
chl,20.84,1992
chl,23.08,1993
chl,18.89,1994
chl,24.54,1995
chl,28.34,1996
chl,17.4,1997
chl,17.52,1998
chl,22.46,1999
chl,24.8,2000
chl,27.84,2001
chl,32.63,2002
chl,28.5,2003
chl,23.59,2004
chl,14.92,2005
chl,20.81,2006
chl,13.81,2007
chl,19.02,2008
chl,22.61,2009
chn,8.592,1982
chn,10.88,1983
chn,7.954,1984
chn,8.36,1985
chn,9.691,1986
chn,9.594,1987
chn,9.634,1988
chn,11.36,1989
chn,11.69,1990
chn,11.92,1991
chn,10.21,1992
chn,11.14,1993
chn,8.914,1994
chn,9.884,1995
chn,8.802,1996
chn,8.662,1997
chn,8.655,1998
chn,11.71,1999
chn,9.274,2000
chn,7.945,2001
chn,8.317,2002
chn,7.382,2003
chn,3.438,2004
chn,3.124,2005
chn,2.462,2006
chn,2.258,2007
chn,2.055,2008
chn,2.901,2009
col,28.19,1970
col,27.1,1971
col,26.56,1972
col,22.38,1973
col,21.34,1974
col,14.48,1975
col,13.11,1976
col,10.81,1977
col,11.67,1978
col,14.47,1979
col,16.23,1980
col,22.35,1981
col,29.98,1982
col,39.0,1983
col,30.47,1984
col,42.71,1985
col,34.04,1986
col,40.04,1987
col,47.05,1988
col,51.32,1989
col,43.09,1990
col,39.57,1991
col,41.34,1992
col,35.27,1993
col,49.15,1994
col,33.49,1995
col,38.93,1996
col,29.8,1997
col,31.48,1998
col,44.32,1999
col,30.29,2000
col,39.48,2001
col,45.74,2002
col,53.1,2003
col,38.16,2004
col,40.21,2005
col,34.4,2006
col,23.93,2007
col,17.81,2008
col,22.42,2009
com,2.873,1980
com,4.342,1981
com,3.751,1982
com,6.449,1983
com,26.01,1984
com,10.65,1985
com,7.591,1986
com,5.852,1987
com,2.577,1988
com,3.833,1989
com,2.907,1990
com,15.41,1991
com,11.03,1992
com,3.881,1993
com,6.606,1994
com,1.96,1995
cog,5.371,1978
cog,13.34,1979
cog,10.56,1980
cog,20.44,1981
cog,19.89,1982
cog,28.56,1983
cog,26.65,1984
cog,34.32,1985
cog,46.24,1986
cog,45.03,1987
cog,46.07,1988
cog,27.93,1989
cog,34.57,1990
cog,26.11,1991
cog,14.72,1992
cog,13.34,1993
cog,51.98,1994
cog,13.49,1995
cog,19.5,1996
cog,6.662,1997
cog,3.068,1998
cog,1.51,1999
cog,1.684,2000
cog,4.232,2001
cog,1.202,2002
cog,2.311,2003
cog,5.784,2004
cog,2.246,2005
cog,1.37,2006
cog,1.744,2007
cri,21.58,1977
cri,39.86,1978
cri,34.89,1979
cri,29.08,1980
cri,27.61,1981
cri,21.4,1982
cri,59.73,1983
cri,32.33,1984
cri,41.46,1985
cri,34.71,1986
cri,22.41,1987
cri,24.27,1988
cri,17.72,1989
cri,24.11,1990
cri,18.34,1991
cri,20.27,1992
cri,18.4,1993
cri,14.79,1994
cri,14.18,1995
cri,12.09,1996
cri,10.3,1997
cri,7.797,1998
cri,6.612,1999
cri,8.124,2000
cri,9.932,2001
cri,9.249,2002
cri,9.963,2003
cri,10.41,2004
cri,7.998,2005
cri,6.47,2006
cri,6.674,2007
cri,10.97,2008
cri,9.615,2009
civ,9.463,1975
civ,11.26,1976
civ,10.93,1977
civ,15.32,1978
civ,20.11,1979
civ,38.66,1980
civ,52.58,1981
civ,54.15,1982
civ,49.94,1983
civ,37.55,1984
civ,34.82,1985
civ,35.45,1986
civ,38.4,1987
civ,32.39,1988
civ,33.23,1989
civ,35.44,1990
civ,37.86,1991
civ,32.08,1992
civ,33.22,1993
civ,35.17,1994
civ,23.11,1995
civ,26.53,1996
civ,26.19,1997
civ,25.67,1998
civ,26.78,1999
civ,22.61,2000
civ,13.26,2001
civ,13.83,2002
civ,8.608,2003
civ,4.962,2004
civ,3.501,2005
civ,2.808,2006
civ,4.369,2007
civ,9.008,2008
civ,9.459,2009
dji,4.025,1991
dji,4.71,1992
dji,3.617,1993
dji,4.666,1994
dji,5.05,1995
dji,5.422,1996
dji,3.132,1997
dji,2.202,1998
dji,4.331,1999
dji,6.07,2000
dji,4.454,2001
dji,4.935,2002
dji,5.63,2003
dji,6.315,2004
dji,4.885,2005
dji,6.19,2006
dji,6.617,2007
dji,6.154,2008
dma,2.484,1981
dma,2.813,1982
dma,5.631,1983
dma,9.893,1984
dma,9.917,1985
dma,7.693,1986
dma,11.19,1987
dma,8.022,1988
dma,8.951,1989
dma,6.17,1990
dma,5.992,1991
dma,5.649,1992
dma,7.115,1993
dma,7.158,1994
dma,6.146,1995
dma,5.604,1996
dma,7.512,1997
dma,6.661,1998
dma,6.579,1999
dma,7.225,2000
dma,12.85,2001
dma,9.582,2002
dma,12.42,2003
dma,12.23,2004
dma,12.0,2005
dma,11.82,2006
dma,12.36,2007
dma,10.77,2008
dma,12.03,2009
dom,17.3,1970
dom,16.97,1971
dom,13.42,1972
dom,15.3,1973
dom,9.151,1974
dom,10.66,1975
dom,12.62,1976
dom,14.88,1977
dom,19.63,1978
dom,27.63,1979
dom,28.85,1980
dom,25.99,1981
dom,34.53,1982
dom,29.88,1983
dom,19.22,1984
dom,22.48,1985
dom,26.13,1986
dom,19.51,1987
dom,17.77,1988
dom,15.55,1989
dom,12.1,1990
dom,13.59,1991
dom,17.59,1992
dom,6.675,1993
dom,9.433,1994
dom,6.981,1995
dom,7.087,1996
dom,6.334,1997
dom,4.899,1998
dom,4.61,1999
dom,5.618,2000
dom,7.185,2001
dom,7.855,2002
dom,9.955,2003
dom,8.109,2004
dom,9.616,2005
dom,11.31,2006
dom,10.82,2007
dom,11.23,2008
dom,12.15,2009
ecu,10.62,1976
ecu,12.08,1977
ecu,19.38,1978
ecu,45.32,1979
ecu,33.89,1980
ecu,46.64,1981
ecu,78.43,1982
ecu,29.59,1983
ecu,37.69,1984
ecu,32.96,1985
ecu,43.11,1986
ecu,33.92,1987
ecu,39.76,1988
ecu,35.55,1989
ecu,32.97,1990
ecu,32.16,1991
ecu,26.03,1992
ecu,24.01,1993
ecu,21.22,1994
ecu,26.55,1995
ecu,23.03,1996
ecu,30.45,1997
ecu,34.15,1998
ecu,41.23,1999
ecu,31.42,2000
ecu,34.94,2001
ecu,34.79,2002
ecu,32.86,2003
ecu,41.54,2004
ecu,36.3,2005
ecu,29.25,2006
ecu,22.58,2007
ecu,13.14,2008
ecu,40.81,2009
egy,13.79,1977
egy,15.94,1978
egy,11.83,1979
egy,18.96,1980
egy,22.37,1981
egy,23.74,1982
egy,28.63,1983
egy,32.83,1984
egy,38.68,1985
egy,42.26,1986
egy,22.92,1987
egy,32.09,1988
egy,36.47,1989
egy,28.58,1990
egy,22.08,1991
egy,21.79,1992
egy,17.55,1993
egy,16.56,1994
egy,16.05,1995
egy,14.58,1996
egy,12.41,1997
egy,13.02,1998
egy,12.85,1999
egy,9.779,2000
egy,11.31,2001
egy,12.12,2002
egy,12.99,2003
egy,7.999,2004
egy,7.062,2005
egy,6.291,2006
egy,6.159,2007
egy,5.611,2008
egy,6.451,2009
slv,10.51,1976
slv,13.08,1977
slv,10.65,1978
slv,7.679,1979
slv,7.539,1980
slv,9.554,1981
slv,14.89,1982
slv,21.7,1983
slv,24.86,1984
slv,27.21,1985
slv,27.1,1986
slv,27.36,1987
slv,21.04,1988
slv,18.22,1989
slv,20.73,1990
slv,26.61,1991
slv,23.15,1992
slv,20.99,1993
slv,20.35,1994
slv,13.38,1995
slv,13.89,1996
slv,9.21,1997
slv,14.23,1998
slv,10.22,1999
slv,9.701,2000
slv,10.1,2001
slv,11.83,2002
slv,19.07,2003
slv,21.85,2004
slv,17.88,2005
slv,21.97,2006
slv,18.12,2007
slv,15.81,2008
slv,25.19,2009
eri,0.1053,1995
eri,0.2227,1997
eri,2.925,1998
eri,4.255,1999
eri,2.781,2000
eth,5.761,1977
eth,6.727,1978
eth,5.334,1979
eth,7.821,1980
eth,10.9,1981
eth,13.08,1982
eth,18.78,1983
eth,20.74,1984
eth,24.56,1985
eth,29.75,1986
eth,36.94,1987
eth,44.91,1988
eth,40.78,1989
eth,38.98,1990
eth,30.63,1991
eth,23.83,1992
eth,18.92,1993
eth,15.82,1994
eth,18.5,1995
eth,41.62,1996
eth,9.965,1997
eth,12.23,1998
eth,16.27,1999
eth,13.68,2000
eth,18.36,2001
eth,7.916,2002
eth,7.244,2003
eth,5.886,2004
eth,4.735,2005
eth,6.159,2006
eth,4.874,2007
eth,3.138,2008
eth,3.062,2009
fji,3.904,1979
fji,6.003,1980
fji,5.42,1981
fji,6.811,1982
fji,7.977,1983
fji,10.2,1984
fji,11.72,1985
fji,11.48,1986
fji,11.81,1987
fji,10.14,1988
fji,8.498,1989
fji,9.146,1990
fji,9.403,1991
fji,6.946,1992
fji,5.942,1993
fji,6.246,1994
fji,3.719,1995
fji,2.127,1996
fji,1.614,1997
fji,2.109,1998
fji,2.507,1999
fji,2.408,2000
fji,1.709,2001
fji,1.65,2002
fji,1.186,2003
fji,0.8148,2004
fji,0.8654,2005
fji,0.8903,2006
fji,1.597,2007
fji,1.23,2008
gab,18.45,1978
gab,16.07,1979
gab,17.75,1980
gab,13.5,1981
gab,13.03,1982
gab,10.82,1983
gab,12.77,1984
gab,11.62,1985
gab,16.65,1986
gab,6.86,1987
gab,9.372,1988
gab,7.543,1989
gab,6.394,1990
gab,11.98,1991
gab,16.31,1992
gab,5.875,1993
gab,10.29,1994
gab,15.31,1995
gab,10.62,1996
gab,13.09,1997
gab,14.05,1998
gab,18.76,1999
gab,9.912,2000
gab,16.2,2001
gab,15.28,2002
gab,11.0,2003
gab,5.573,2004
gab,3.424,2005
gab,2.727,2006
gab,36.8,2007
gab,8.947,2008
gab,8.139,2009
gmb,4.736,1978
gmb,6.465,1979
gmb,6.237,1980
gmb,10.48,1981
gmb,20.16,1982
gmb,16.99,1983
gmb,10.86,1984
gmb,10.28,1985
gmb,33.24,1986
gmb,20.44,1987
gmb,15.63,1988
gmb,14.16,1989
gmb,22.23,1990
gmb,13.42,1991
gmb,12.75,1992
gmb,11.54,1993
gmb,14.13,1994
gmb,15.49,1995
gmb,12.38,1996
gmb,11.45,1997
gmb,12.27,2003
gmb,20.23,2004
gmb,15.46,2005
gmb,15.37,2006
gmb,14.09,2007
gmb,7.59,2008
geo,6.098,1997
geo,23.39,1998
geo,14.32,1999
geo,13.95,2000
geo,8.527,2001
geo,10.99,2002
geo,12.33,2003
geo,12.31,2004
geo,7.641,2005
geo,9.256,2006
geo,4.934,2007
geo,4.551,2008
geo,7.261,2009
gha,6.377,1975
gha,5.809,1976
gha,3.715,1977
gha,7.414,1978
gha,8.895,1979
gha,13.11,1980
gha,14.25,1981
gha,15.56,1982
gha,30.41,1983
gha,21.72,1984
gha,23.56,1985
gha,28.32,1986
gha,45.79,1987
gha,56.64,1988
gha,50.53,1989
gha,38.37,1990
gha,27.4,1991
gha,27.32,1992
gha,24.54,1993
gha,24.63,1994
gha,24.22,1995
gha,25.4,1996
gha,30.0,1997
gha,18.7,1998
gha,17.07,1999
gha,15.81,2000
gha,11.58,2001
gha,6.888,2002
gha,14.11,2003
gha,7.027,2004
gha,7.117,2005
gha,4.51,2006
gha,2.873,2007
gha,3.202,2008
gha,2.943,2009
grd,2.03,1977
grd,3.235,1978
grd,4.728,1979
grd,5.957,1980
grd,3.677,1981
grd,7.112,1982
grd,11.63,1983
grd,12.18,1984
grd,11.38,1985
grd,8.236,1986
grd,7.138,1987
grd,7.943,1988
grd,3.817,1989
grd,3.44,1990
grd,3.658,1991
grd,5.992,1992
grd,7.65,1993
grd,7.077,1994
grd,6.135,1995
grd,6.088,1996
grd,5.088,1997
grd,6.683,1998
grd,5.313,1999
grd,6.001,2000
grd,8.566,2001
grd,16.07,2002
grd,16.94,2003
grd,14.45,2004
grd,6.48,2005
grd,8.785,2006
grd,8.747,2007
grd,11.08,2008
grd,10.92,2009
gtm,3.868,1977
gtm,5.868,1978
gtm,7.279,1979
gtm,7.9,1980
gtm,8.933,1981
gtm,11.31,1982
gtm,15.68,1983
gtm,21.67,1984
gtm,28.12,1985
gtm,32.33,1986
gtm,30.59,1987
gtm,28.51,1988
gtm,21.04,1989
gtm,14.92,1990
gtm,18.04,1991
gtm,26.82,1992
gtm,15.65,1993
gtm,13.74,1994
gtm,12.5,1995
gtm,13.44,1996
gtm,11.15,1997
gtm,10.06,1998
gtm,10.64,1999
gtm,9.566,2000
gtm,9.958,2001
gtm,10.18,2002
gtm,10.71,2003
gtm,18.57,2004
gtm,17.75,2005
gtm,18.23,2006
gtm,19.12,2007
gtm,17.11,2008
gtm,18.37,2009
gin,12.65,1986
gin,27.21,1987
gin,22.07,1988
gin,16.08,1989
gin,20.0,1990
gin,16.02,1991
gin,12.6,1992
gin,10.98,1993
gin,14.36,1994
gin,24.85,1995
gin,14.93,1996
gin,21.09,1997
gin,19.8,1998
gin,17.34,1999
gin,20.67,2000
gin,12.65,2001
gin,13.17,2002
gin,15.06,2003
gin,21.86,2004
gin,11.94,2007
gin,9.636,2008
gnb,32.61,1982
gnb,33.28,1983
gnb,28.38,1984
gnb,51.97,1985
gnb,77.2,1986
gnb,69.78,1987
gnb,61.03,1988
gnb,54.23,1989
gnb,32.3,1990
gnb,68.64,1991
gnb,36.86,1992
gnb,14.74,1993
gnb,19.79,1994
gnb,52.41,1995
gnb,38.89,1996
gnb,15.34,1997
gnb,7.05,2001
gnb,5.887,2002
gnb,10.74,2003
gnb,11.59,2004
gnb,7.253,2007
gnb,5.54,2008
guy,12.65,1977
guy,16.96,1978
guy,31.51,1979
guy,22.77,1980
guy,25.98,1981
guy,20.88,1982
guy,24.24,1983
guy,24.17,1984
guy,27.66,1985
guy,20.67,1992
guy,17.22,1993
guy,16.39,1994
guy,17.0,1995
guy,14.38,1996
guy,17.3,1997
guy,19.22,1998
guy,12.79,1999
guy,10.1,2000
guy,6.783,2001
guy,9.594,2002
guy,8.623,2003
guy,6.375,2004
guy,4.918,2005
guy,4.288,2006
guy,3.077,2007
guy,2.576,2008
hti,12.44,1971
hti,8.948,1972
hti,9.03,1973
hti,7.608,1974
hti,8.18,1975
hti,11.5,1976
hti,17.62,1977
hti,12.37,1978
hti,10.04,1979
hti,9.494,1980
hti,14.06,1981
hti,10.17,1982
hti,8.71,1983
hti,10.63,1984
hti,13.96,1985
hti,16.89,1986
hti,19.81,1987
hti,22.17,1988
hti,23.07,1989
hti,11.12,1990
hti,13.22,1991
hti,7.186,1992
hti,6.509,1993
hti,5.819,1994
hti,50.98,1995
hti,15.45,1996
hti,9.898,1997
hti,8.742,1998
hti,9.501,1999
hti,8.796,2000
hti,5.913,2001
hti,6.8,2002
hti,11.44,2003
hti,19.22,2004
hti,9.448,2005
hti,8.409,2006
hti,10.29,2007
hti,6.718,2008
hti,4.64,2009
hnd,9.993,1974
hnd,13.21,1975
hnd,28.57,1976
hnd,17.9,1977
hnd,18.62,1978
hnd,20.84,1979
hnd,21.44,1980
hnd,26.07,1981
hnd,31.11,1982
hnd,24.93,1983
hnd,22.88,1984
hnd,24.7,1985
hnd,29.15,1986
hnd,35.38,1987
hnd,35.21,1988
hnd,13.11,1989
hnd,36.93,1990
hnd,29.11,1991
hnd,34.17,1992
hnd,30.15,1993
hnd,34.56,1994
hnd,34.66,1995
hnd,31.06,1996
hnd,24.89,1997
hnd,22.26,1998
hnd,21.0,1999
hnd,9.798,2000
hnd,8.542,2001
hnd,9.017,2002
hnd,9.39,2003
hnd,6.092,2004
hnd,6.53,2005
hnd,5.363,2006
hnd,5.191,2007
hnd,5.156,2008
hnd,6.779,2009
ind,15.29,1975
ind,18.12,1976
ind,15.67,1977
ind,15.49,1978
ind,12.49,1979
ind,11.61,1980
ind,13.13,1981
