murdered_15_29_per_100000_people,geo,time
6.15,arg,1966
8.336,arg,1967
9.196,arg,1968
10.22,arg,1969
10.55,arg,1970
16.44,arg,1977
9.195,arg,1978
4.489,arg,1979
4.581,arg,1980
4.807,arg,1981
5.108,arg,1982
5.019,arg,1983
6.88,arg,1984
7.383,arg,1985
8.407,arg,1986
8.528,arg,1987
8.729,arg,1988
9.474,arg,1989
7.518,arg,1990
6.327,arg,1991
6.59,arg,1992
6.332,arg,1993
6.168,arg,1994
5.831,arg,1995
6.853,arg,1996
7.455,arg,1997
7.864,arg,1998
8.742,arg,1999
10.42,arg,2000
12.55,arg,2001
13.49,arg,2002
12.37,arg,2003
9.548,arg,2004
9.074,arg,2005
8.469,arg,2006
7.185,arg,2007
0.9991,aus,1950
1.291,aus,1951
1.715,aus,1952
0.9231,aus,1953
1.529,aus,1954
1.002,aus,1955
1.081,aus,1956
1.565,aus,1957
1.325,aus,1958
1.527,aus,1959
1.652,aus,1960
1.639,aus,1961
1.155,aus,1962
1.363,aus,1963
1.707,aus,1964
1.464,aus,1965
1.55,aus,1966
1.701,aus,1967
1.649,aus,1968
1.589,aus,1969
1.565,aus,1970
2.385,aus,1971
1.633,aus,1972
2.807,aus,1973
1.972,aus,1974
1.923,aus,1975
2.564,aus,1976
2.267,aus,1977
2.263,aus,1978
2.354,aus,1979
2.727,aus,1980
2.03,aus,1981
2.469,aus,1982
2.337,aus,1983
2.697,aus,1984
2.926,aus,1985
2.28,aus,1986
3.474,aus,1987
2.715,aus,1988
2.435,aus,1989
3.029,aus,1990
2.763,aus,1991
2.471,aus,1992
2.504,aus,1993
2.227,aus,1994
2.133,aus,1995
2.595,aus,1996
2.453,aus,1997
2.052,aus,1998
2.064,aus,1999
2.224,aus,2000
1.823,aus,2001
2.35,aus,2002
1.917,aus,2003
0.9639,aus,2004
1.038,aus,2006
0.8727,aut,1955
0.9982,aut,1956
1.218,aut,1957
1.214,aut,1958
1.459,aut,1959
1.18,aut,1960
1.432,aut,1961
0.9661,aut,1962
0.7084,aut,1963
1.118,aut,1964
0.902,aut,1965
1.411,aut,1966
0.696,aut,1967
1.192,aut,1968
0.7388,aut,1969
1.717,aut,1970
1.176,aut,1971
1.76,aut,1972
2.229,aut,1973
2.03,aut,1974
1.783,aut,1975
1.628,aut,1976
1.341,aut,1977
2.026,aut,1978
1.629,aut,1979
1.652,aut,1980
1.483,aut,1981
1.547,aut,1982
2.005,aut,1983
1.037,aut,1984
1.437,aut,1985
1.141,aut,1986
0.8192,aut,1987
1.152,aut,1988
0.824,aut,1989
1.379,aut,1990
