geo,math_achievement_4th_grade,time
dza,378,2007
arm,456,2003
arm,500,2007
aus,495,1995
aus,499,2003
aus,516,2007
aut,531,1995
aut,505,2007
can,514,1995
can,509,2003
can,515,2007
col,355,2007
cze,541,1995
cze,486,2007
dnk,523,2007
slv,330,2007
geo,438,2007
deu,525,2007
hkg,557,1995
hkg,575,2003
hkg,607,2007
hun,521,1995
hun,529,2003
hun,510,2007
irn,387,1995
irn,389,2003
irn,402,2007
ita,503,2003
ita,507,2007
jpn,567,1995
jpn,565,2003
jpn,568,2007
kaz,549,2007
kwt,316,2007
lva,499,1995
lva,533,2003
lva,537,2007
ltu,534,2003
ltu,530,2007
mar,347,2003
mar,341,2007
nld,549,1995
nld,540,2003
nld,535,2007
nzl,469,1995
nzl,496,2003
nzl,492,2007
nor,476,1995
nor,451,2003
nor,473,2007
qat,296,2007
rus,532,2003
rus,544,2007
sgp,590,1995
sgp,594,2003
sgp,599,2007
svk,496,2007
svn,462,1995
svn,479,2003
svn,502,2007
swe,503,2007
twn,564,2003
twn,576,2007
tun,339,2003
tun,327,2007
ukr,469,2007
are,444,2007
gbr,485,1995
gbr,527,2003
gbr,537,2007
usa,518,1995
usa,518,2003
usa,529,2007
yem,224,2007
