geo,time,income_share_of_poorest_10percent
alb,1997,3.74
alb,2002,3.86
alb,2005,3.24
dza,1988,2.56
dza,1995,2.8
ago,2000,0.6
arg,1986,1.8
arg,1992,1.74
arg,1996,1.42
arg,1998,1.29
arg,2002,1.11
arg,2005,1.18
arm,1996,2.14
arm,1999,3.12
arm,2002,3.32
arm,2003,3.65
aus,1994,2.03
aut,2000,3.346
aze,1995,2.63
aze,2001,3.09
aze,2005,6.11
bgd,1992,4.3
bgd,1996,4.17
bgd,2000,4.18
bgd,2005,4.26
blr,1988,4.47
blr,1993,4.76
blr,1997,4.18
blr,1998,3.37
blr,2000,3.51
blr,2002,3.43
blr,2005,3.6
bel,2000,3.421
ben,2003,2.87
btn,2003,2.3
bol,1991,2.25
bol,1997,0.66
bol,1999,0.16
bol,2002,0.31
bol,2005,0.47
bih,2001,3.8
bih,2004,2.77
bwa,1986,1.43
bwa,1994,1.19
bwa,1995,1.28
bra,1981,1.11
bra,1982,1.05
bra,1983,1.11
bra,1984,1.16
bra,1985,1.05
bra,1986,1.08
bra,1987,0.93
bra,1988,0.86
bra,1989,0.82
bra,1990,0.88
bra,1992,0.94
bra,1993,0.95
bra,1995,1.0
bra,1996,0.94
bra,1997,0.94
bra,1998,0.99
bra,1999,1.04
bra,2001,1.01
bra,2002,1.08
bra,2003,1.07
bra,2005,1.05
bra,2007,1.06
bgr,1989,4.46
bgr,1994,4.27
bgr,1997,4.32
bgr,2001,2.33
bgr,2003,3.46
bfa,1994,2.25
bfa,1998,2.67
bfa,2003,3.01
bdi,1992,3.41
bdi,1998,1.83
bdi,2006,4.14
khm,1994,3.67
khm,2004,3.07
khm,2007,2.984
cmr,1996,2.5
cmr,2001,2.37
can,2000,2.627
cpv,2001,1.88
caf,1993,0.69
caf,2003,2.1
tcd,2003,2.61
chl,1987,1.4
chl,1990,1.3
chl,1994,1.31
chl,1996,1.35
chl,1998,1.28
chl,2000,1.34
chl,2003,1.39
chl,2006,1.59
chn,2005,2.37
col,1995,1.02
col,1996,0.91
col,1999,0.83
col,2000,0.8
col,2003,0.9
col,2006,0.76
com,2004,0.91
cod,2006,2.29
cog,2005,2.08
cri,1981,1.07
cri,1986,1.68
cri,1990,1.28
cri,1993,1.36
cri,1996,1.32
cri,1998,1.4
cri,2000,1.44
cri,2001,1.32
cri,2003,1.03
cri,2005,1.52
civ,1985,2.29
civ,1987,2.74
civ,1988,2.82
civ,1993,3.0
civ,1995,3.05
civ,1998,2.31
civ,2002,1.96
hrv,1988,4.5
hrv,1998,3.85
hrv,1999,3.79
hrv,2001,3.41
hrv,2005,3.6
cze,1988,5.41
cze,1993,4.64
cze,1996,4.32
dnk,1997,2.621
dji,1996,2.37
dji,2002,2.42
dom,1986,1.38
dom,1989,1.63
dom,1992,1.61
dom,1996,1.52
dom,2000,1.28
dom,2003,1.41
dom,2005,1.53
ecu,1987,0.8
ecu,1994,0.9
ecu,1998,1.25
ecu,2003,0.89
ecu,2005,1.13
ecu,2007,1.23
egy,1991,3.85
egy,1996,4.18
egy,2000,3.88
egy,2005,3.85
slv,1989,0.24
slv,1995,1.19
slv,1996,1.08
slv,1998,1.18
slv,2000,0.8
slv,2002,0.72
slv,2003,0.84
slv,2005,0.96
est,1988,4.2
est,1993,2.5
est,1995,3.27
est,1998,2.84
est,2000,2.56
est,2002,2.62
est,2004,2.67
eth,1982,3.68
eth,1995,2.97
eth,2000,3.87
eth,2005,4.07
fin,2000,4.019
fra,1995,2.75
gab,2005,2.46
gmb,1998,1.62
gmb,2003,1.95
geo,1996,2.19
geo,1999,2.22
geo,2002,2.04
geo,2005,1.92
deu,2000,3.219
gha,1988,2.82
gha,1989,2.87
gha,1992,2.79
gha,1998,2.24
gha,2006,2.03
grc,2000,2.547
gtm,1987,1.0
gtm,1989,0.68
gtm,1998,1.02
gtm,2000,1.14
gtm,2002,0.96
gtm,2006,1.25
gin,1991,1.02
gin,1994,2.65
gin,2003,2.39
gnb,1991,0.5
gnb,1993,2.11
gnb,2002,2.93
guy,1993,1.47
guy,1998,1.33
hti,2001,0.88
hnd,1990,1.02
hnd,1992,1.05
hnd,1994,1.13
hnd,1997,1.07
hnd,1999,1.1
hnd,2003,1.33
hnd,2005,0.74
hnd,2006,0.71
hkg,1996,1.966
hun,1987,4.96
hun,1989,4.52
hun,1993,4.1
hun,1998,4.17
hun,1999,3.98
hun,2002,4.05
hun,2004,3.53
ind,2005,3.64
idn,2005,2.998
irn,1986,1.71
irn,1990,1.95
irn,1994,2.15
irn,1998,2.0
irn,2005,2.55
irl,2000,2.91
isr,2001,2.144
ita,2000,2.303
jam,1988,2.03
jam,1990,2.4
jam,1993,2.61
jam,1996,2.53
jam,1999,2.09
jam,2002,1.85
jam,2004,2.1
jpn,1993,4.78
jor,1987,3.11
jor,1992,2.41
jor,1997,3.11
jor,2003,2.74
jor,2006,3.01
kaz,1988,4.05
kaz,1993,3.07
kaz,1996,2.69
kaz,2001,3.42
kaz,2002,2.94
kaz,2003,3.05
ken,1992,1.24
ken,1994,2.11
ken,1997,2.5
ken,2005,1.77
kor,1998,2.886
kgz,1988,5.14
kgz,1993,0.71
kgz,1998,3.05
kgz,1999,3.07
kgz,2002,3.65
kgz,2004,3.56
lao,1992,4.16
lao,1997,3.56
lao,2002,3.78
lao,2003,3.67
lva,1988,4.46
lva,1993,4.2
lva,1996,2.62
lva,1998,2.82
lva,2002,2.7
lva,2004,2.67
lso,1987,1.04
lso,1993,1.01
lso,1995,0.46
lso,2003,0.99
lbr,2007,2.35
ltu,1988,4.52
ltu,1993,3.14
ltu,1996,3.08
ltu,1998,3.35
ltu,2002,3.11
ltu,2004,2.66
lux,2000,3.496
mkd,1998,3.26
mkd,2000,2.53
mkd,2002,2.36
mkd,2003,2.39
mdg,1980,2.02
mdg,1993,1.94
mdg,1999,2.44
mdg,2001,2.1
mdg,2005,2.62
mwi,1998,1.87
mwi,2004,3.02
mys,1984,1.73
mys,1987,1.89
mys,1989,2.01
mys,1992,1.83
mys,1995,1.73
mys,1997,1.66
mys,2004,2.6
mli,1994,1.96
mli,2001,2.57
mli,2006,2.73
mrt,1987,1.42
mrt,1993,2.05
mrt,1996,2.54
mrt,2000,2.54
mex,1984,1.87
mex,1989,1.13
mex,1992,1.51
mex,1994,1.56
mex,1996,1.63
mex,1998,1.48
mex,2000,1.41
mex,2002,1.63
mex,2004,1.53
mex,2006,1.81
mda,1988,4.27
mda,1992,2.72
mda,1997,2.48
mda,1999,2.77
mda,2002,2.85
mda,2004,2.98
mng,1995,3.06
mng,1998,3.04
mng,2002,3.08
mng,2005,2.9
mar,1985,2.65
mar,1991,2.73
mar,1999,2.65
mar,2001,2.65
mar,2007,2.66
moz,1997,2.21
moz,2003,2.12
nam,1993,0.61
npl,1996,3.34
npl,2004,2.74
nld,1999,2.49
nzl,1997,2.219
nic,1993,0.86
nic,1998,1.03
nic,2001,1.66
nic,2005,1.35
ner,1992,3.0
ner,1994,2.5
ner,2005,2.33
nga,1986,2.47
nga,1993,1.42
nga,1996,2.03
nga,2004,1.99
nor,2000,3.86
pak,1987,3.64
pak,1991,3.46
pak,1993,4.23
pak,1997,4.52
pak,1999,3.75
pak,2002,4.1
pak,2005,3.93
pan,1979,1.49
pan,1991,0.59
pan,1995,0.7
pan,1996,0.72
pan,1997,1.19
pan,2000,0.76
pan,2002,0.87
pan,2004,0.95
pan,2006,0.83
png,1996,1.9
pry,1990,2.31
pry,1995,0.71
pry,1998,0.49
pry,1999,0.63
pry,2002,0.64
pry,2005,0.98
pry,2007,1.09
per,1986,1.84
per,1990,2.17
per,1994,1.91
per,1996,1.52
per,2002,1.08
per,2005,1.42
per,2006,1.45
phl,1985,2.77
phl,1988,2.83
phl,1991,2.55
phl,1994,2.56
phl,1997,2.28
phl,2000,2.3
phl,2003,2.31
phl,2006,2.41
pol,1985,4.12
pol,1987,4.08
pol,1989,3.85
pol,1993,1.98
pol,1996,3.45
pol,1999,3.27
pol,2002,3.12
pol,2005,3.03
prt,1997,1.995
rou,1989,4.08
rou,1992,3.75
rou,1994,3.59
rou,1998,3.57
rou,2000,3.29
rou,2002,3.14
rou,2005,3.34
rus,1988,4.22
rus,1993,1.52
rus,1996,1.46
rus,1999,2.41
rus,2002,2.74
rus,2005,2.57
rwa,1985,4.41
rwa,2000,2.09
lca,1995,2.01
sen,1991,1.36
sen,1995,2.79
sen,2001,2.84
sen,2005,2.54
sle,1990,1.22
sle,2003,2.63
sgp,1998,1.855
svk,1988,5.34
svk,1992,4.96
svk,1996,3.06
svn,1987,4.55
svn,1993,3.97
svn,1998,3.79
svn,2002,3.58
svn,2004,3.38
zaf,1993,1.25
zaf,1995,1.53
zaf,2000,1.28
esp,2000,2.575
lka,1985,3.59
lka,1991,3.75
