geo,stomach_cancer_deaths_per_100000_women,time
bgr,8.22,1996
bgr,8.17,1997
bgr,8.05,1998
bgr,7.48,1999
bgr,7.12,2000
bgr,6.55,2001
bgr,7.34,2002
bfa,3.4,2002
bdi,5.2,2002
khm,4.3,2002
cmr,2.8,2002
can,13.58,1950
can,13.21,1951
can,13.14,1952
can,13.46,1953
can,12.68,1954
can,11.68,1955
can,11.57,1956
can,10.85,1957
can,10.66,1958
can,10.3,1959
can,10.52,1960
can,9.18,1961
can,8.92,1962
can,8.72,1963
can,8.36,1964
can,8.01,1965
can,7.93,1966
can,7.23,1967
can,7.16,1968
can,6.54,1969
can,7.32,1970
can,6.72,1971
can,6.41,1972
can,6.09,1973
can,5.82,1974
can,5.46,1975
can,5.45,1976
can,4.81,1977
can,4.75,1978
can,4.64,1979
can,4.32,1980
can,4.76,1981
can,4.34,1982
can,4.17,1983
can,3.62,1984
can,3.74,1985
can,3.96,1986
can,3.63,1987
can,3.24,1988
can,3.5,1989
can,3.12,1990
can,3.18,1991
can,3.13,1992
can,2.89,1993
can,2.93,1994
can,3.03,1995
can,2.8,1996
can,2.49,1997
can,2.44,1998
can,2.61,1999
can,2.52,2000
can,2.17,2001
can,2.27,2002
cpv,3.4,2002
caf,12.0,2002
tcd,12.0,2002
chl,43.2,1955
chl,41.33,1956
chl,44.18,1957
chl,40.53,1958
chl,37.95,1959
chl,41.48,1960
chl,39.09,1961
chl,37.81,1962
chl,39.48,1963
chl,38.64,1964
chl,33.71,1965
chl,31.94,1966
chl,31.68,1967
chl,32.01,1968
chl,33.85,1969
chl,31.45,1970
chl,30.69,1971
chl,28.77,1972
chl,28.04,1973
chl,26.64,1974
chl,24.59,1975
chl,22.12,1976
chl,20.96,1977
chl,19.85,1978
chl,20.36,1979
chl,19.35,1980
chl,17.62,1981
chl,15.83,1982
chl,15.62,1983
chl,14.79,1984
chl,14.38,1985
chl,14.03,1986
chl,13.27,1987
chl,13.67,1988
chl,13.64,1989
chl,13.81,1990
chl,11.92,1991
chl,13.39,1992
chl,12.12,1993
chl,11.74,1994
chl,11.59,1995
chl,10.73,1996
chl,12.0,1997
chl,11.48,1998
chl,11.04,1999
chl,10.36,2000
chl,9.69,2001
chl,10.29,2002
chn,15.1,2002
col,14.36,1953
col,12.91,1954
col,11.07,1955
col,13.72,1956
col,12.72,1957
col,13.28,1958
col,12.93,1959
col,16.14,1960
col,14.41,1961
col,15.17,1962
col,16.64,1963
col,17.31,1964
col,17.17,1965
col,17.58,1966
col,17.85,1967
col,17.96,1968
col,14.76,1969
col,17.22,1972
col,16.66,1974
col,16.76,1975
col,16.59,1976
col,16.54,1977
col,14.75,1984
col,15.57,1985
col,14.24,1986
col,15.19,1987
col,13.47,1988
col,13.51,1989
col,13.04,1990
col,13.08,1991
col,12.39,1992
col,12.58,1993
col,11.97,1994
col,11.87,1995
col,11.09,1996
col,10.27,1997
col,9.99,1998
col,10.14,1999
col,9.67,2001
col,9.345,2002
com,5.2,2002
cod,16.8,2002
cog,1.2,2002
cri,24.79,1961
cri,22.53,1962
cri,23.69,1963
cri,24.78,1964
cri,22.3,1965
cri,22.97,1966
cri,22.18,1967
cri,23.49,1968
cri,19.88,1969
cri,22.72,1970
cri,23.23,1971
cri,26.22,1972
cri,20.17,1973
cri,19.63,1974
cri,19.2,1975
cri,17.98,1976
cri,14.6,1977
cri,19.0,1978
cri,19.65,1979
cri,14.06,1980
cri,16.89,1981
cri,14.59,1982
cri,19.75,1983
cri,18.93,1984
cri,20.5,1985
cri,20.78,1986
cri,17.49,1987
cri,18.84,1988
cri,19.4,1989
cri,13.85,1990
cri,17.3,1991
cri,15.42,1992
cri,16.89,1993
cri,15.82,1994
cri,16.7,1995
cri,15.93,1996
cri,12.24,1997
cri,14.24,1998
cri,12.93,1999
cri,11.98,2000
cri,13.41,2001
cri,10.84,2002
civ,3.4,2002
hrv,11.72,1985
hrv,12.0,1986
hrv,11.71,1987
hrv,10.82,1988
hrv,10.44,1989
hrv,10.81,1990
hrv,9.58,1991
hrv,8.11,1992
hrv,8.28,1993
hrv,8.11,1994
hrv,7.99,1995
hrv,7.98,1996
hrv,7.93,1997
hrv,7.66,1998
hrv,6.53,1999
hrv,6.74,2000
hrv,6.87,2001
hrv,7.35,2002
cub,8.39,1964
cub,6.52,1968
cub,6.17,1969
cub,6.06,1970
cub,6.22,1971
cub,6.15,1972
cub,5.65,1973
cub,5.62,1974
cub,5.17,1975
cub,5.09,1976
cub,4.57,1977
cub,4.76,1978
cub,4.65,1979
cub,4.5,1980
cub,4.29,1981
cub,4.57,1982
cub,4.05,1983
cub,4.19,1984
cub,3.53,1985
cub,3.28,1986
cub,3.53,1987
cub,3.47,1988
cub,3.79,1989
cub,3.52,1990
cub,3.72,1991
cub,3.59,1992
cub,3.44,1993
cub,3.12,1994
cub,3.18,1995
cub,3.25,1996
cub,3.32,1997
cub,3.24,1998
cub,3.71,1999
cub,3.04,2000
cub,3.22,2001
cub,3.02,2002
cyp,3.6,2002
cze,9.96,1986
cze,9.32,1987
cze,9.36,1988
cze,9.06,1989
cze,8.65,1990
cze,8.26,1991
cze,7.55,1992
cze,7.89,1993
cze,7.38,1994
cze,7.77,1995
cze,6.92,1996
cze,6.79,1997
cze,5.94,1998
cze,5.92,1999
cze,5.78,2000
cze,5.63,2001
cze,5.56,2002
cheslo,26.86,1953
cheslo,26.55,1954
cheslo,25.92,1955
cheslo,24.72,1956
cheslo,26.01,1957
cheslo,25.38,1958
cheslo,24.41,1959
cheslo,24.5,1960
cheslo,23.42,1961
cheslo,23.69,1962
cheslo,23.1,1963
cheslo,22.95,1964
cheslo,21.98,1965
cheslo,21.87,1966
cheslo,20.73,1967
cheslo,20.9,1968
cheslo,18.84,1969
cheslo,18.89,1970
cheslo,17.78,1971
cheslo,16.91,1972
cheslo,17.24,1973
cheslo,16.06,1974
cheslo,14.85,1975
cheslo,14.25,1976
cheslo,13.78,1977
cheslo,13.38,1978
cheslo,12.54,1979
cheslo,12.5,1980
cheslo,11.27,1981
cheslo,11.09,1982
cheslo,10.38,1983
cheslo,11.46,1984
cheslo,9.93,1985
cheslo,9.51,1986
cheslo,9.03,1987
cheslo,8.93,1988
cheslo,8.9,1989
cheslo,8.98,1990
cheslo,7.97,1991
dnk,22.62,1951
dnk,21.57,1952
dnk,21.71,1953
dnk,23.14,1954
dnk,19.72,1955
dnk,19.07,1956
dnk,19.11,1957
dnk,17.55,1958
dnk,16.54,1959
dnk,16.42,1960
dnk,16.46,1961
dnk,14.98,1962
dnk,14.53,1963
dnk,14.14,1964
dnk,13.01,1965
dnk,11.83,1966
dnk,10.26,1967
dnk,10.05,1968
dnk,9.41,1969
dnk,10.04,1970
dnk,8.76,1971
dnk,8.53,1972
dnk,8.2,1973
dnk,8.45,1974
dnk,7.56,1975
dnk,7.04,1976
dnk,6.67,1977
dnk,7.48,1978
dnk,6.2,1979
dnk,6.29,1980
dnk,5.67,1981
dnk,5.19,1982
dnk,5.32,1983
dnk,5.07,1984
dnk,4.5,1985
dnk,5.41,1986
dnk,4.6,1987
dnk,4.0,1988
dnk,4.29,1989
dnk,3.86,1990
dnk,4.49,1991
dnk,3.87,1992
dnk,3.4,1993
dnk,3.01,1994
dnk,3.17,1995
dnk,3.01,1996
dnk,2.85,1997
dnk,2.69,1998
dnk,2.83,1999
dnk,2.1,2000
dnk,2.76,2001
dnk,2.725,2002
dji,5.2,2002
dom,1.6,1965
dom,1.36,1966
dom,2.41,1967
dom,2.42,1968
dom,1.91,1969
dom,1.57,1970
dom,2.56,1971
dom,2.12,1972
dom,1.59,1973
dom,2.11,1974
dom,1.93,1975
dom,1.66,1976
dom,2.1,1977
dom,1.75,1978
dom,2.69,1979
dom,2.15,1980
dom,2.5,1981
dom,2.35,1982
dom,2.92,1983
dom,3.48,1984
dom,3.3,1985
dom,3.26,1986
dom,2.56,1987
dom,2.08,1988
dom,3.06,1989
dom,2.34,1990
dom,2.35,1991
dom,2.44,1992
dom,2.45,1994
dom,2.02,1995
dom,2.57,1996
dom,3.13,1997
dom,3.34,1998
dom,2.66,1999
dom,2.75,2000
dom,2.68,2001
dom,2.652,2002
ecu,10.17,1961
ecu,9.57,1963
ecu,11.22,1964
ecu,10.79,1968
ecu,11.8,1969
ecu,13.2,1970
ecu,11.75,1971
ecu,11.41,1972
ecu,12.75,1973
ecu,12.09,1974
ecu,14.49,1975
ecu,13.6,1977
ecu,13.95,1978
ecu,15.39,1979
ecu,16.19,1980
ecu,15.45,1981
ecu,17.25,1982
ecu,15.26,1983
ecu,16.58,1984
ecu,16.14,1985
ecu,17.39,1986
ecu,16.38,1987
ecu,17.9,1988
ecu,15.55,1989
ecu,15.22,1990
ecu,14.6,1991
ecu,16.42,1992
ecu,14.19,1993
ecu,13.87,1994
ecu,15.41,1995
ecu,15.39,1996
ecu,14.27,1997
ecu,13.55,1998
ecu,13.08,1999
ecu,11.77,2000
ecu,12.08,2001
ecu,12.45,2002
egy,1.9,2002
slv,7.01,1950
slv,9.83,1951
slv,5.17,1952
slv,5.98,1953
slv,6.74,1954
slv,7.57,1955
slv,5.24,1956
slv,6.79,1957
slv,8.45,1958
slv,9.35,1959
slv,8.15,1960
slv,6.92,1961
slv,7.38,1962
slv,7.97,1963
slv,9.19,1964
slv,6.73,1965
slv,5.93,1966
slv,5.74,1967
slv,5.7,1968
slv,5.98,1969
slv,6.22,1970
slv,5.2,1971
slv,5.34,1972
slv,6.24,1973
slv,5.46,1974
slv,4.1,1981
slv,3.48,1982
slv,4.98,1983
slv,4.39,1984
slv,8.55,1990
slv,8.43,1991
slv,10.91,1992
slv,9.56,1993
slv,9.81,1995
slv,10.67,1996
slv,12.03,1997
slv,10.29,1998
slv,9.66,1999
slv,9.71,2000
slv,8.51,2001
slv,8.56,2002
gnq,12.0,2002
eri,5.2,2002
est,15.22,1981
est,17.22,1982
est,15.86,1985
est,16.01,1986
est,13.37,1987
est,12.86,1988
est,15.23,1989
est,14.37,1990
est,13.73,1991
est,13.61,1992
est,12.81,1993
est,13.46,1994
est,10.51,1995
est,12.64,1996
est,10.05,1997
est,11.06,1998
est,12.05,1999
est,9.5,2000
est,9.3,2001
est,9.48,2002
eth,4.8,2002
fji,6.6,2002
fin,40.36,1952
fin,40.89,1953
fin,37.24,1954
fin,33.81,1955
fin,33.01,1956
fin,31.73,1957
fin,30.81,1958
fin,29.3,1959
fin,27.22,1960
fin,26.52,1961
fin,24.47,1962
fin,22.49,1963
fin,21.19,1964
fin,19.93,1965
fin,20.54,1966
fin,17.74,1967
fin,17.78,1968
fin,16.58,1969
fin,15.97,1970
fin,14.44,1971
fin,14.22,1972
fin,14.06,1973
fin,12.8,1974
fin,12.2,1975
fin,11.3,1976
fin,11.34,1977
fin,11.01,1978
fin,11.13,1979
fin,10.56,1980
fin,10.53,1981
fin,9.09,1982
fin,9.33,1983
fin,9.28,1984
fin,9.04,1985
fin,8.71,1986
fin,8.01,1987
fin,7.34,1988
fin,7.9,1989
fin,6.46,1990
fin,6.14,1991
fin,5.83,1992
fin,5.83,1993
fin,4.64,1994
fin,4.83,1995
fin,5.01,1996
fin,4.93,1997
fin,4.13,1998
fin,3.64,1999
fin,3.86,2000
fin,3.91,2001
fin,4.1,2002
fra,15.78,1950
fra,15.93,1952
fra,15.19,1953
fra,14.68,1954
fra,14.88,1955
fra,14.5,1956
fra,13.64,1957
fra,13.67,1958
fra,13.85,1959
fra,12.74,1960
fra,12.4,1961
fra,11.74,1962
fra,11.77,1963
fra,11.25,1964
fra,10.59,1965
fra,10.28,1966
fra,9.93,1967
fra,9.41,1968
fra,8.99,1969
fra,8.51,1970
fra,8.02,1971
fra,8.0,1972
fra,7.69,1973
fra,7.23,1974
fra,6.97,1975
fra,6.6,1976
fra,6.25,1977
fra,6.03,1978
fra,5.65,1979
fra,5.5,1980
fra,5.18,1981
fra,5.03,1982
fra,4.77,1983
fra,4.77,1984
fra,4.43,1985
fra,4.08,1986
fra,3.91,1987
fra,3.93,1988
fra,3.62,1989
fra,3.54,1990
fra,3.27,1991
fra,3.18,1992
fra,3.15,1993
fra,2.8,1994
fra,2.7,1995
fra,2.58,1996
fra,2.5,1997
fra,2.47,1998
fra,2.42,1999
fra,2.4,2000
fra,2.23,2001
fra,2.25,2002
pyf,9.9,2002
gab,0.5,2002
gmb,1.9,2002
geo,7.6,2002
deu,14.31,1973
deu,13.9,1974
deu,13.58,1975
deu,12.96,1976
deu,12.46,1977
deu,11.81,1978
deu,10.79,1980
deu,10.55,1981
deu,10.26,1982
deu,9.75,1983
deu,9.26,1984
deu,8.94,1985
deu,8.64,1986
deu,8.39,1987
deu,8.08,1988
deu,7.76,1989
deu,7.63,1990
deu,7.62,1991
deu,7.16,1992
deu,6.96,1993
deu,6.71,1994
deu,6.35,1995
deu,6.35,1996
deu,5.74,1997
deu,5.67,1998
deu,5.18,1999
deu,5.22,2000
deu,4.83,2001
deu,4.72,2002
gha,3.4,2002
grc,9.78,1961
grc,11.0,1962
grc,9.7,1963
grc,10.6,1964
grc,9.98,1965
grc,9.02,1966
grc,8.58,1967
grc,8.86,1968
grc,7.82,1969
grc,7.86,1970
grc,7.8,1971
grc,8.04,1972
grc,7.08,1973
grc,7.65,1974
grc,8.03,1975
grc,7.77,1976
grc,7.79,1977
grc,6.98,1978
grc,7.02,1979
grc,6.36,1980
grc,6.73,1981
grc,6.09,1982
grc,5.58,1983
grc,5.6,1984
grc,5.45,1985
grc,5.7,1986
grc,5.46,1987
grc,5.14,1988
grc,4.96,1989
grc,4.96,1990
grc,4.76,1991
grc,4.75,1992
grc,4.29,1993
grc,4.27,1994
grc,4.18,1995
grc,4.52,1996
grc,4.22,1997
grc,3.92,1998
grc,3.67,1999
grc,3.76,2000
grc,4.01,2001
grc,3.89,2002
gum,3.9,2002
gtm,14.53,1963
gtm,17.16,1964
gtm,11.1,1965
gtm,11.27,1966
gtm,12.3,1967
gtm,11.3,1968
gtm,13.75,1969
gtm,11.5,1970
gtm,9.9,1971
gtm,12.1,1974
gtm,12.92,1975
gtm,10.4,1976
gtm,10.71,1977
gtm,13.38,1978
gtm,15.48,1979
gtm,14.43,1980
gtm,12.42,1981
gtm,18.19,1984
gtm,13.2,1986
gtm,13.08,1987
gtm,14.15,1988
gtm,15.02,1989
gtm,14.56,1990
gtm,13.14,1991
gtm,14.01,1992
gtm,14.37,1993
gtm,18.65,1994
gtm,16.56,1995
gtm,17.17,1996
gtm,18.54,1997
gtm,17.67,1998
gtm,17.91,1999
gtm,17.09,2000
gtm,16.53,2001
gtm,16.97,2002
gin,3.4,2002
gnb,3.4,2002
guy,6.6,2002
hti,6.1,2002
hnd,9.4,2002
hkg,10.84,1960
hkg,10.12,1961
hkg,13.41,1962
hkg,10.4,1963
hkg,11.84,1964
hkg,12.89,1965
hkg,11.38,1966
hkg,9.43,1967
hkg,9.0,1968
hkg,10.35,1969
hkg,8.25,1970
hkg,7.85,1971
hkg,9.18,1972
hkg,8.76,1973
hkg,8.22,1974
hkg,7.6,1975
hkg,7.06,1976
hkg,6.99,1977
hkg,7.52,1978
hkg,6.86,1979
hkg,6.57,1980
hkg,6.95,1981
hkg,6.13,1982
hkg,7.18,1983
hkg,5.4,1984
hkg,6.07,1985
hkg,7.11,1986
hkg,6.6,1987
hkg,5.04,1988
hkg,5.61,1989
hkg,5.54,1990
hkg,5.28,1991
hkg,5.62,1992
hkg,4.92,1993
hkg,5.69,1994
hkg,5.01,1995
hkg,4.42,1996
hkg,5.03,1997
hkg,4.86,1998
hkg,5.04,1999
hkg,5.02,2000
hkg,4.8,2001
hkg,4.0,2002
hun,27.38,1955
hun,27.35,1956
hun,26.67,1957
hun,26.76,1958
hun,26.07,1959
hun,27.03,1960
hun,25.1,1961
hun,23.89,1962
hun,22.49,1963
hun,23.01,1964
hun,23.24,1965
hun,22.03,1966
hun,22.65,1967
hun,20.71,1968
hun,21.04,1969
hun,20.78,1970
hun,20.18,1971
hun,18.67,1972
hun,18.16,1973
hun,17.47,1974
hun,16.88,1975
hun,16.72,1976
hun,16.24,1977
hun,15.2,1978
hun,14.54,1979
hun,13.48,1980
hun,13.42,1981
hun,12.88,1982
hun,12.51,1983
hun,11.22,1984
hun,10.92,1985
hun,11.53,1986
hun,10.65,1987
hun,10.44,1988
hun,10.66,1989
hun,9.96,1990
hun,10.03,1991
hun,9.85,1992
hun,9.72,1993
hun,9.47,1994
hun,9.41,1995
hun,8.48,1996
hun,8.61,1997
hun,8.04,1998
hun,7.58,1999
hun,7.34,2000
hun,6.56,2001
hun,6.83,2002
isl,37.25,1951
isl,31.21,1952
isl,26.9,1953
isl,33.18,1954
isl,34.28,1955
isl,35.95,1956
isl,26.66,1957
isl,23.17,1958
isl,28.11,1959
isl,42.04,1960
isl,34.63,1961
isl,24.78,1962
isl,24.3,1963
isl,14.78,1964
isl,21.12,1965
isl,21.42,1966
isl,19.75,1967
isl,14.49,1968
isl,13.77,1969
isl,7.56,1970
isl,8.92,1971
isl,10.43,1972
isl,18.89,1973
isl,13.29,1974
isl,13.36,1975
isl,18.01,1976
isl,12.34,1977
isl,10.17,1978
isl,8.27,1979
isl,5.76,1980
isl,8.84,1981
isl,7.67,1982
isl,8.78,1983
isl,7.24,1984
isl,5.54,1985
isl,6.1,1986
isl,3.54,1987
isl,5.93,1988
isl,12.76,1989
isl,5.7,1990
isl,6.6,1991
isl,5.09,1992
isl,7.92,1993
isl,4.01,1994
isl,4.75,1995
isl,5.43,1996
isl,5.63,1997
isl,3.08,1998
isl,3.32,1999
isl,4.48,2000
isl,1.99,2001
isl,2.04,2002
ind,2.4,2002
idn,1.8,2002
irn,9.4,2002
irq,3.2,2002
irl,22.74,1950
irl,21.54,1951
irl,19.11,1952
irl,18.15,1953
irl,20.01,1954
irl,19.84,1955
irl,17.8,1956
irl,20.07,1957
irl,17.03,1958
irl,18.28,1959
irl,18.03,1960
irl,15.4,1961
irl,15.25,1962
irl,17.06,1963
irl,16.29,1964
irl,15.97,1965
irl,16.41,1966
irl,15.0,1967
irl,15.57,1968
irl,16.15,1969
irl,14.09,1970
irl,14.39,1971
irl,13.44,1972
irl,12.41,1973
irl,13.0,1974
irl,12.13,1975
irl,9.87,1976
irl,10.68,1977
irl,10.58,1978
irl,9.52,1979
irl,8.19,1980
irl,8.43,1981
irl,7.15,1982
irl,7.73,1983
irl,7.9,1984
irl,7.04,1985
irl,7.57,1986
irl,5.49,1987
irl,6.31,1988
irl,5.87,1989
irl,5.83,1990
irl,7.06,1991
irl,4.84,1992
irl,5.15,1993
irl,5.49,1994
irl,4.64,1995
irl,4.96,1996
irl,4.52,1997
irl,3.92,1998
irl,4.29,1999
irl,4.15,2000
irl,4.28,2001
irl,3.6,2002
isr,8.9,1975
isr,7.35,1976
isr,6.42,1977
isr,7.78,1978
isr,7.15,1979
isr,7.31,1980
isr,7.14,1981
isr,6.27,1982
isr,6.25,1983
isr,5.54,1984
isr,4.67,1985
isr,4.67,1986
isr,4.76,1987
isr,4.56,1988
isr,4.04,1989
isr,3.95,1990
isr,6.0,1991
isr,4.21,1992
isr,4.25,1993
isr,5.16,1994
isr,4.75,1995
isr,5.55,1996
isr,4.47,1997
isr,4.24,1998
isr,4.47,1999
isr,4.12,2000
isr,3.65,2001
isr,4.49,2002
ita,21.27,1951
ita,21.25,1952
ita,21.82,1953
ita,20.84,1954
ita,20.59,1955
ita,19.91,1956
ita,19.97,1957
ita,19.43,1958
ita,18.76,1959
ita,19.16,1960
ita,18.18,1961
ita,18.41,1962
ita,18.24,1963
ita,17.89,1964
ita,17.77,1965
ita,17.03,1966
ita,16.31,1967
ita,15.61,1968
ita,15.87,1969
ita,15.02,1970
ita,14.41,1971
ita,14.09,1972
ita,13.53,1973
ita,13.2,1974
ita,12.5,1975
ita,12.21,1976
ita,11.84,1977
ita,11.34,1978
ita,11.25,1979
ita,10.74,1980
ita,10.81,1981
ita,10.37,1982
ita,10.3,1983
ita,10.14,1984
ita,9.7,1985
ita,9.35,1986
ita,8.9,1987
ita,8.88,1988
ita,8.2,1989
ita,7.86,1990
ita,7.63,1991
ita,7.31,1992
ita,7.12,1993
ita,7.13,1994
ita,6.5,1995
ita,6.35,1996
ita,6.1,1997
ita,5.91,1998
ita,5.38,1999
ita,5.41,2000
ita,5.03,2001
ita,5.16,2002
jam,9.2,2002
jpn,35.44,1950
jpn,35.41,1951
jpn,36.21,1952
jpn,36.1,1953
jpn,36.55,1954
jpn,36.97,1955
jpn,37.63,1956
jpn,36.69,1957
jpn,36.95,1958
jpn,37.27,1959
jpn,37.09,1960
jpn,36.92,1961
jpn,36.39,1962
jpn,36.26,1963
jpn,35.72,1964
jpn,35.36,1965
jpn,34.57,1966
jpn,34.8,1967
jpn,35.05,1968
jpn,33.89,1969
jpn,32.76,1970
jpn,32.32,1971
jpn,31.37,1972
jpn,31.06,1973
jpn,29.61,1974
jpn,28.24,1975
jpn,27.48,1976
jpn,26.83,1977
jpn,25.43,1978
jpn,25.04,1979
jpn,23.96,1980
jpn,22.69,1981
jpn,21.63,1982
jpn,20.69,1983
jpn,19.99,1984
jpn,19.15,1985
jpn,17.83,1986
jpn,17.2,1987
jpn,16.52,1988
jpn,15.95,1989
jpn,15.04,1990
jpn,14.56,1991
jpn,14.03,1992
jpn,13.29,1993
jpn,12.66,1994
jpn,12.82,1995
jpn,12.19,1996
