trade_balance_us_not_inflation_adjusted,geo,time
-15560000.0,afg,1960
-20000000.0,afg,1961
-24440000.0,afg,1962
-57780000.0,afg,1963
-73330000.0,afg,1964
-102200000.0,afg,1965
-140000000.0,afg,1966
-124400000.0,afg,1967
-86670000.0,afg,1968
-68890000.0,afg,1969
-37780000.0,afg,1970
-95560000.0,afg,1971
-53330000.0,afg,1972
-31110000.0,afg,1973
-17780000.0,afg,1974
-37780000.0,afg,1975
-42220000.0,afg,1976
-93330000.0,afg,1977
-100000000.0,afg,1978
-1347000000.0,afg,2002
-2331000000.0,afg,2003
-2698000000.0,afg,2004
-3139000000.0,afg,2005
-3360000000.0,afg,2006
-3978000000.0,afg,2007
-3831000000.0,afg,2008
-6096000000.0,afg,2009
-6565000000.0,afg,2010
-37800000.0,alb,1984
-43520000.0,alb,1985
-8912000.0,alb,1986
-2075000.0,alb,1987
-60290000.0,alb,1988
-64880000.0,alb,1989
-175000000.0,alb,1990
-232000000.0,alb,1991
-546400000.0,alb,1992
-575600000.0,alb,1993
-548000000.0,alb,1994
-534300000.0,alb,1995
-690500000.0,alb,1996
-576900000.0,alb,1997
-644100000.0,alb,1998
-506300000.0,alb,1999
-676700000.0,alb,2000
-744200000.0,alb,2001
-1170000000.0,alb,2002
-1427000000.0,alb,2003
-1625000000.0,alb,2004
-2015000000.0,alb,2005
-2197000000.0,alb,2006
-2803000000.0,alb,2007
-3451000000.0,alb,2008
-3089000000.0,alb,2009
-2591000000.0,alb,2010
-765400000.0,dza,1960
-517600000.0,dza,1961
-20510000.0,dza,1962
-328200000.0,dza,1963
-126700000.0,dza,1964
-101300000.0,dza,1965
40510000.0,dza,1966
60760000.0,dza,1967
-40510000.0,dza,1968
-182300000.0,dza,1969
-344300000.0,dza,1970
-468200000.0,dza,1971
-356800000.0,dza,1972
-530400000.0,dza,1973
430500000.0,dza,1974
-1443000000.0,dza,1975
-720500000.0,dza,1976
-2339000000.0,dza,1977
-3858000000.0,dza,1978
-570900000.0,dza,1979
1694000000.0,dza,1980
1645000000.0,dza,1981
871000000.0,dza,1982
1044000000.0,dza,1983
-943100000.0,dza,1984
-1830000000.0,dza,1985
-6572000000.0,dza,1986
-2763000000.0,dza,1987
-4193000000.0,dza,1988
-5493000000.0,dza,1989
-926500000.0,dza,1990
2523000000.0,dza,1991
696100000.0,dza,1992
-676800000.0,dza,1993
-1499000000.0,dza,1994
-1170000000.0,dza,1995
2730000000.0,dza,1996
4610000000.0,dza,1997
30000000.0,dza,1998
1520000000.0,dza,1999
10860000000.0,dza,2000
8082000000.0,dza,2001
5521000000.0,dza,2002
9789000000.0,dza,2003
12260000000.0,dza,2004
23920000000.0,dza,2005
31740000000.0,dza,2006
31660000000.0,dza,2007
39950000000.0,dza,2008
6172000000.0,dza,2009
15120000000.0,dza,2010
706500000.0,ago,1985
407800000.0,ago,1986
244000000.0,ago,1987
868300000.0,ago,1988
1363000000.0,ago,1989
1845000000.0,ago,1990
391400000.0,ago,1991
-112000000.0,ago,1992
-66330000.0,ago,1993
386000000.0,ago,1994
1062000000.0,ago,1996
32180000.0,ago,1997
-1049000000.0,ago,1998
-393900000.0,ago,1999
2446000000.0,ago,2000
150400000.0,ago,2001
1296000000.0,ago,2002
915000000.0,ago,2003
3158000000.0,ago,2004
9142000000.0,ago,2005
17060000000.0,ago,2006
18400000000.0,ago,2007
21120000000.0,ago,2008
4531000000.0,ago,2009
11460000000.0,ago,2010
-3259000.0,atg,1977
2659000.0,atg,1978
5841000.0,atg,1979
-21320000.0,atg,1980
-27820000.0,atg,1981
-54230000.0,atg,1982
-23180000.0,atg,1983
-17800000.0,atg,1984
-35520000.0,atg,1985
-53230000.0,atg,1986
-68240000.0,atg,1987
-39130000.0,atg,1988
-36440000.0,atg,1989
7752000.0,atg,1990
-2426000.0,atg,1991
11900000.0,atg,1992
25140000.0,atg,1993
7667000.0,atg,1994
-50930000.0,atg,1995
-123900000.0,atg,1996
-35000000.0,atg,1997
-24020000.0,atg,1998
-56490000.0,atg,1999
-31610000.0,atg,2000
-41250000.0,atg,2001
-46580000.0,atg,2002
-72110000.0,atg,2003
-85280000.0,atg,2004
-173700000.0,atg,2005
-305800000.0,atg,2006
-372700000.0,atg,2007
-334300000.0,atg,2008
-219200000.0,atg,2009
-118000000.0,atg,2010
-1147000000.0,arg,1962
402.8,arg,1963
398.0,arg,1964
588200000.0,arg,1965
476200000.0,arg,1966
606100000.0,arg,1967
285700000.0,arg,1968
0.0,arg,1969
273400000.0,arg,1970
-200000000.0,arg,1971
125000000.0,arg,1972
1000000000.0,arg,1973
444400000.0,arg,1974
-81080000.0,arg,1975
1665000000.0,arg,1976
1300000000.0,arg,1977
1680000000.0,arg,1978
125400000.0,arg,1979
-1094000000.0,arg,1980
-354700000.0,arg,1981
2166000000.0,arg,1982
3447000000.0,arg,1983
2241000000.0,arg,1984
4830000000.0,arg,1985
2039000000.0,arg,1986
330500000.0,arg,1987
4190000000.0,arg,1988
4965000000.0,arg,1989
8097000000.0,arg,1990
3030000000.0,arg,1991
-3511000000.0,arg,1992
-5693000000.0,arg,1993
-7925000000.0,arg,1994
-1101000000.0,arg,1995
-1822000000.0,arg,1996
-6572000000.0,arg,1997
-7613000000.0,arg,1998
-4951000000.0,arg,1999
-1801000000.0,arg,2000
3543000000.0,arg,2001
15190000000.0,arg,2002
13960000000.0,arg,2003
10860000000.0,arg,2004
10770000000.0,arg,2005
11830000000.0,arg,2006
11190000000.0,arg,2007
12500000000.0,arg,2008
16430000000.0,arg,2009
12190000000.0,arg,2010
-255700000.0,arm,1990
-400800000.0,arm,1991
-272800000.0,arm,1992
-162600000.0,arm,1993
-444200000.0,arm,1994
-561800000.0,arm,1995
-523000000.0,arm,1996
-623000000.0,arm,1997
-640800000.0,arm,1998
-536000000.0,arm,1999
-519300000.0,arm,2000
-438100000.0,arm,2001
-409500000.0,arm,2002
-502000000.0,arm,2003
-556800000.0,arm,2004
-706700000.0,arm,2005
-1015000000.0,arm,2006
-1838000000.0,arm,2007
-2986000000.0,arm,2008
-2381000000.0,arm,2009
-2268000000.0,arm,2010
-524000000.0,abw,1991
-198300000.0,abw,1992
-187200000.0,abw,1993
-82120000.0,abw,1994
-249200000.0,abw,1995
-301700000.0,abw,1996
-391100000.0,abw,1997
-353600000.0,abw,1998
-198200000.0,aus,1960
-515200000.0,aus,1961
260900000.0,aus,1962
-178100000.0,aus,1963
278900000.0,aus,1964
-530900000.0,aus,1965
-599200000.0,aus,1966
-306900000.0,aus,1967
-714500000.0,aus,1968
-505100000.0,aus,1969
-100800000.0,aus,1970
-124300000.0,aus,1971
412400000.0,aus,1972
1958000000.0,aus,1973
-104600000.0,aus,1974
-477900000.0,aus,1975
113500000.0,aus,1976
-730700000.0,aus,1977
-1181000000.0,aus,1978
-1468000000.0,aus,1979
723100000.0,aus,1980
-3307000000.0,aus,1981
-6495000000.0,aus,1982
-3704000000.0,aus,1983
-2876000000.0,aus,1984
-3779000000.0,aus,1985
