number_of_child_deaths,geo,time
73980,afg,1800
73980,afg,1801
73980,afg,1802
73980,afg,1803
73980,afg,1804
73980,afg,1805
74200,afg,1806
74200,afg,1807
74200,afg,1808
74200,afg,1809
74200,afg,1810
74220,afg,1811
74260,afg,1812
74310,afg,1813
74380,afg,1814
74470,afg,1815
74800,afg,1816
74920,afg,1817
75070,afg,1818
75230,afg,1819
75410,afg,1820
75610,afg,1821
75830,afg,1822
76070,afg,1823
76320,afg,1824
76600,afg,1825
77120,afg,1826
77440,afg,1827
77770,afg,1828
78120,afg,1829
78500,afg,1830
78890,afg,1831
79280,afg,1832
79680,afg,1833
80080,afg,1834
80470,afg,1835
81120,afg,1836
81520,afg,1837
81930,afg,1838
82340,afg,1839
82750,afg,1840
83160,afg,1841
83580,afg,1842
84000,afg,1843
84420,afg,1844
85090,afg,1845
85520,afg,1846
85940,afg,1847
86370,afg,1848
86800,afg,1849
87240,afg,1850
87610,afg,1851
87980,afg,1852
88350,afg,1853
88720,afg,1854
89360,afg,1855
89740,afg,1856
90120,afg,1857
90500,afg,1858
90880,afg,1859
91260,afg,1860
91660,afg,1861
92070,afg,1862
92490,afg,1863
92920,afg,1864
93640,afg,1865
94100,afg,1866
94560,afg,1867
95050,afg,1868
95540,afg,1869
96050,afg,1870
96570,afg,1871
97100,afg,1872
97580,afg,1873
98140,afg,1874
99020,afg,1875
99610,afg,1876
100200,afg,1877
100800,afg,1878
101500,afg,1879
102100,afg,1880
102800,afg,1881
103400,afg,1882
104100,afg,1883
104700,afg,1884
105700,afg,1885
106400,afg,1886
107100,afg,1887
107800,afg,1888
108400,afg,1889
109100,afg,1890
109800,afg,1891
110600,afg,1892
111300,afg,1893
112300,afg,1894
113000,afg,1895
113700,afg,1896
114400,afg,1897
115100,afg,1898
115800,afg,1899
116400,afg,1900
117100,afg,1901
117700,afg,1902
118300,afg,1903
119300,afg,1904
119900,afg,1905
120400,afg,1906
121000,afg,1907
121500,afg,1908
122000,afg,1909
122500,afg,1910
123000,afg,1911
123500,afg,1912
124100,afg,1913
125200,afg,1914
126000,afg,1915
126800,afg,1916
127600,afg,1917
128500,afg,1918
129500,afg,1919
130500,afg,1920
131400,afg,1921
132400,afg,1922
133400,afg,1923
134800,afg,1924
135700,afg,1925
137300,afg,1926
138700,afg,1927
140200,afg,1928
141800,afg,1929
143300,afg,1930
144700,afg,1931
146100,afg,1932
148000,afg,1933
149500,afg,1934
150900,afg,1935
152300,afg,1936
153700,afg,1937
155100,afg,1938
156500,afg,1939
157900,afg,1940
159200,afg,1941
160600,afg,1942
162400,afg,1943
163800,afg,1944
165100,afg,1945
166500,afg,1946
167800,afg,1947
169100,afg,1948
170400,afg,1949
171700,afg,1950
171600,afg,1951
170300,afg,1952
169100,afg,1953
168100,afg,1954
167200,afg,1955
166400,afg,1956
165700,afg,1957
166100,afg,1958
166700,afg,1959
167500,afg,1960
157300,afg,1961
157500,afg,1962
157200,afg,1963
157300,afg,1964
157800,afg,1965
158700,afg,1966
159500,afg,1967
160600,afg,1968
162000,afg,1969
163700,afg,1970
165100,afg,1971
166100,afg,1972
166800,afg,1973
166800,afg,1974
166400,afg,1975
166900,afg,1976
166700,afg,1977
164900,afg,1978
161000,afg,1979
154300,afg,1980
148200,afg,1981
140300,afg,1982
131600,afg,1983
123700,afg,1984
117900,afg,1985
110300,afg,1986
103800,afg,1987
99490,afg,1988
98110,afg,1989
100400,afg,1990
101400,afg,1991
104900,afg,1992
109600,afg,1993
113800,afg,1994
116200,afg,1995
119600,afg,1996
121800,afg,1997
122900,afg,1998
124000,afg,1999
125600,afg,2000
126400,afg,2001
126900,afg,2002
127100,afg,2003
126500,afg,2004
124800,afg,2005
123700,afg,2006
122000,afg,2007
119900,afg,2008
117300,afg,2009
114600,afg,2010
110600,afg,2011
106200,afg,2012
101800,afg,2013
97690,afg,2014
94260,afg,2015
5068,alb,1800
5084,alb,1801
5100,alb,1802
5116,alb,1803
5132,alb,1804
5148,alb,1805
5164,alb,1806
5180,alb,1807
5197,alb,1808
5213,alb,1809
5230,alb,1810
5247,alb,1811
5264,alb,1812
5282,alb,1813
5300,alb,1814
5318,alb,1815
5337,alb,1816
5356,alb,1817
5376,alb,1818
5396,alb,1819
5416,alb,1820
5437,alb,1821
5459,alb,1822
5481,alb,1823
5503,alb,1824
5525,alb,1825
5548,alb,1826
5572,alb,1827
5596,alb,1828
5620,alb,1829
5646,alb,1830
5671,alb,1831
5696,alb,1832
5722,alb,1833
5748,alb,1834
5774,alb,1835
5799,alb,1836
5826,alb,1837
5852,alb,1838
5878,alb,1839
5905,alb,1840
5933,alb,1841
5962,alb,1842
5993,alb,1843
6026,alb,1844
6061,alb,1845
6097,alb,1846
6135,alb,1847
6174,alb,1848
6216,alb,1849
6259,alb,1850
6307,alb,1851
6357,alb,1852
6408,alb,1853
6462,alb,1854
6518,alb,1855
6575,alb,1856
6635,alb,1857
6696,alb,1858
6760,alb,1859
6826,alb,1860
6893,alb,1861
6961,alb,1862
7030,alb,1863
7100,alb,1864
7170,alb,1865
7241,alb,1866
7313,alb,1867
7385,alb,1868
7459,alb,1869
7532,alb,1870
7606,alb,1871
7681,alb,1872
7755,alb,1873
7832,alb,1874
7909,alb,1875
7987,alb,1876
8064,alb,1877
8143,alb,1878
8223,alb,1879
8304,alb,1880
8384,alb,1881
8466,alb,1882
8549,alb,1883
8632,alb,1884
8717,alb,1885
8803,alb,1886
8888,alb,1887
8977,alb,1888
9067,alb,1889
9158,alb,1890
9250,alb,1891
9344,alb,1892
9438,alb,1893
9534,alb,1894
9631,alb,1895
9727,alb,1896
9823,alb,1897
9918,alb,1898
10010,alb,1899
10100,alb,1900
10190,alb,1901
10280,alb,1902
10370,alb,1903
10450,alb,1904
10530,alb,1905
10620,alb,1906
10690,alb,1907
10770,alb,1908
10850,alb,1909
10930,alb,1910
11010,alb,1911
11090,alb,1912
11150,alb,1913
11200,alb,1914
11240,alb,1915
11280,alb,1916
11320,alb,1917
11350,alb,1918
11380,alb,1919
11410,alb,1920
11450,alb,1921
11480,alb,1922
11510,alb,1923
11540,alb,1924
11570,alb,1925
11200,alb,1926
10850,alb,1927
10480,alb,1928
10100,alb,1929
10100,alb,1930
10090,alb,1931
10060,alb,1932
10030,alb,1933
9977,alb,1934
9916,alb,1935
9845,alb,1936
9762,alb,1937
9669,alb,1938
9605,alb,1939
9496,alb,1940
9378,alb,1941
9250,alb,1942
9113,alb,1943
8968,alb,1944
8815,alb,1945
8654,alb,1946
8484,alb,1947
8308,alb,1948
8122,alb,1949
7932,alb,1950
7973,alb,1951
8202,alb,1952
8401,alb,1953
8571,alb,1954
8714,alb,1955
8828,alb,1956
8914,alb,1957
8971,alb,1958
8993,alb,1959
8976,alb,1960
8918,alb,1961
8817,alb,1962
8677,alb,1963
8503,alb,1964
8308,alb,1965
8105,alb,1966
7906,alb,1967
7721,alb,1968
7553,alb,1969
7404,alb,1970
7268,alb,1971
7140,alb,1972
7014,alb,1973
6890,alb,1974
6771,alb,1975
6657,alb,1976
6552,alb,1977
6618,alb,1978
6104,alb,1979
5653,alb,1980
5269,alb,1981
4932,alb,1982
4627,alb,1983
4373,alb,1984
4166,alb,1985
4005,alb,1986
3887,alb,1987
3768,alb,1988
3601,alb,1989
3388,alb,1990
3173,alb,1991
2910,alb,1992
2632,alb,1993
2362,alb,1994
2140,alb,1995
1937,alb,1996
1767,alb,1997
1632,alb,1998
1504,alb,1999
1380,alb,2000
1252,alb,2001
1128,alb,2002
1019,alb,2003
918,alb,2004
823,alb,2005
737,alb,2006
662,alb,2007
598,alb,2008
559,alb,2009
540,alb,2010
543,alb,2011
567,alb,2012
593,alb,2013
613,alb,2014
618,alb,2015
55380,dza,1800
55580,dza,1801
55780,dza,1802
55980,dza,1803
56180,dza,1804
56380,dza,1805
56580,dza,1806
56780,dza,1807
56990,dza,1808
57190,dza,1809
57410,dza,1810
57630,dza,1811
57850,dza,1812
58090,dza,1813
58330,dza,1814
58590,dza,1815
58850,dza,1816
59130,dza,1817
59420,dza,1818
59710,dza,1819
60020,dza,1820
60340,dza,1821
60670,dza,1822
61010,dza,1823
61370,dza,1824
61730,dza,1825
62110,dza,1826
62490,dza,1827
62890,dza,1828
63300,dza,1829
63720,dza,1830
64160,dza,1831
64600,dza,1832
65040,dza,1833
65480,dza,1834
65920,dza,1835
66370,dza,1836
66820,dza,1837
67280,dza,1838
67740,dza,1839
68200,dza,1840
68660,dza,1841
69130,dza,1842
69600,dza,1843
70080,dza,1844
70560,dza,1845
71040,dza,1846
71520,dza,1847
72010,dza,1848
72500,dza,1849
72990,dza,1850
73500,dza,1851
74010,dza,1852
74530,dza,1853
75050,dza,1854
75570,dza,1855
76100,dza,1856
76630,dza,1857
77160,dza,1858
77700,dza,1859
78240,dza,1860
78790,dza,1861
79360,dza,1862
79930,dza,1863
80520,dza,1864
81120,dza,1865
81740,dza,1866
82360,dza,1867
83000,dza,1868
83650,dza,1869
84310,dza,1870
84990,dza,1871
85680,dza,1872
86330,dza,1873
87050,dza,1874
87780,dza,1875
88530,dza,1876
89260,dza,1877
90050,dza,1878
90850,dza,1879
91660,dza,1880
92460,dza,1881
93280,dza,1882
94120,dza,1883
94940,dza,1884
95790,dza,1885
96640,dza,1886
97490,dza,1887
98360,dza,1888
99240,dza,1889
100100,dza,1890
101000,dza,1891
101900,dza,1892
102800,dza,1893
103700,dza,1894
104700,dza,1895
105600,dza,1896
106500,dza,1897
107400,dza,1898
108300,dza,1899
109200,dza,1900
110100,dza,1901
110900,dza,1902
111800,dza,1903
112600,dza,1904
113500,dza,1905
114300,dza,1906
115100,dza,1907
115900,dza,1908
116700,dza,1909
117400,dza,1910
118200,dza,1911
119000,dza,1912
119900,dza,1913
121000,dza,1914
122300,dza,1915
123600,dza,1916
125000,dza,1917
126300,dza,1918
127600,dza,1919
129000,dza,1920
130300,dza,1921
131700,dza,1922
133100,dza,1923
133300,dza,1924
133900,dza,1925
135100,dza,1926
135800,dza,1927
136700,dza,1928
137500,dza,1929
138800,dza,1930
140000,dza,1931
140800,dza,1932
142000,dza,1933
142700,dza,1934
143400,dza,1935
143600,dza,1936
144200,dza,1937
144700,dza,1938
145200,dza,1939
145700,dza,1940
146200,dza,1941
148000,dza,1942
149800,dza,1943
151600,dza,1944
148300,dza,1945
145100,dza,1946
141900,dza,1947
138700,dza,1948
135600,dza,1949
132500,dza,1950
128900,dza,1951
126300,dza,1952
124100,dza,1953
118500,dza,1954
121500,dza,1955
124000,dza,1956
124400,dza,1957
124100,dza,1958
123900,dza,1959
125500,dza,1960
128200,dza,1961
133000,dza,1962
139300,dza,1963
145600,dza,1964
151300,dza,1965
155900,dza,1966
158500,dza,1967
159800,dza,1968
160500,dza,1969
161000,dza,1970
161100,dza,1971
160600,dza,1972
159600,dza,1973
157700,dza,1974
154800,dza,1975
150800,dza,1976
145600,dza,1977
139100,dza,1978
131400,dza,1979
122100,dza,1980
110400,dza,1981
97220,dza,1982
83670,dza,1983
70860,dza,1984
60270,dza,1985
52370,dza,1986
46760,dza,1987
43020,dza,1988
40480,dza,1989
38690,dza,1990
37340,dza,1991
36180,dza,1992
34880,dza,1993
33370,dza,1994
31630,dza,1995
29730,dza,1996
27660,dza,1997
25770,dza,1998
24230,dza,1999
23110,dza,2000
22270,dza,2001
21740,dza,2002
21520,dza,2003
21580,dza,2004
21840,dza,2005
22340,dza,2006
23030,dza,2007
23740,dza,2008
24340,dza,2009
24680,dza,2010
24900,dza,2011
24980,dza,2012
24920,dza,2013
24680,dza,2014
24270,dza,2015
4,and,1990
4,and,1991
4,and,1992
4,and,1993
4,and,1994
4,and,1995
4,and,1996
4,and,1997
3,and,1998
3,and,1999
3,and,2000
3,and,2001
3,and,2002
3,and,2003
3,and,2004
3,and,2005
2,and,2006
2,and,2007
2,and,2008
2,and,2009
2,and,2010
2,and,2011
2,and,2012
2,and,2013
2,and,2014
2,and,2015
36300,ago,1800
36300,ago,1801
36300,ago,1802
36300,ago,1803
36300,ago,1804
36300,ago,1805
36300,ago,1806
36340,ago,1807
36340,ago,1808
36340,ago,1809
36340,ago,1810
36360,ago,1811
36380,ago,1812
36420,ago,1813
36470,ago,1814
36540,ago,1815
36610,ago,1816
36700,ago,1817
36810,ago,1818
36920,ago,1819
37050,ago,1820
37250,ago,1821
37400,ago,1822
37570,ago,1823
37760,ago,1824
37960,ago,1825
38170,ago,1826
38400,ago,1827
38640,ago,1828
38900,ago,1829
39170,ago,1830
39450,ago,1831
39740,ago,1832
40030,ago,1833
40320,ago,1834
40660,ago,1835
40960,ago,1836
41260,ago,1837
41560,ago,1838
41860,ago,1839
42160,ago,1840
42470,ago,1841
42780,ago,1842
43090,ago,1843
43400,ago,1844
43720,ago,1845
44040,ago,1846
44360,ago,1847
44680,ago,1848
45060,ago,1849
45390,ago,1850
45760,ago,1851
46120,ago,1852
46490,ago,1853
46860,ago,1854
47240,ago,1855
47610,ago,1856
47990,ago,1857
48380,ago,1858
48760,ago,1859
49150,ago,1860
49540,ago,1861
49940,ago,1862
50400,ago,1863
50810,ago,1864
51210,ago,1865
51620,ago,1866
52030,ago,1867
52450,ago,1868
52870,ago,1869
53290,ago,1870
53710,ago,1871
54140,ago,1872
54570,ago,1873
55000,ago,1874
55440,ago,1875
55880,ago,1876
56390,ago,1877
56840,ago,1878
57300,ago,1879
57750,ago,1880
58210,ago,1881
58670,ago,1882
59140,ago,1883
59600,ago,1884
60080,ago,1885
60560,ago,1886
61030,ago,1887
61520,ago,1888
62010,ago,1889
62500,ago,1890
63080,ago,1891
63590,ago,1892
64090,ago,1893
64600,ago,1894
65110,ago,1895
65620,ago,1896
66130,ago,1897
66630,ago,1898
67120,ago,1899
67610,ago,1900
68090,ago,1901
68560,ago,1902
69020,ago,1903
69480,ago,1904
70020,ago,1905
70460,ago,1906
70880,ago,1907
71300,ago,1908
71720,ago,1909
72130,ago,1910
72530,ago,1911
72940,ago,1912
73340,ago,1913
73750,ago,1914
74150,ago,1915
74560,ago,1916
74970,ago,1917
75320,ago,1918
75780,ago,1919
76150,ago,1920
76510,ago,1921
76880,ago,1922
77250,ago,1923
77620,ago,1924
77990,ago,1925
78360,ago,1926
78630,ago,1927
79010,ago,1928
79280,ago,1929
80700,ago,1930
82110,ago,1931
83510,ago,1932
84910,ago,1933
86300,ago,1934
87680,ago,1935
89040,ago,1936
90410,ago,1937
91760,ago,1938
93110,ago,1939
94450,ago,1940
95240,ago,1941
96000,ago,1942
96740,ago,1943
97170,ago,1944
97860,ago,1945
98550,ago,1946
99210,ago,1947
99540,ago,1948
100200,ago,1949
100800,ago,1950
100800,ago,1951
101000,ago,1952
101000,ago,1953
100800,ago,1954
100500,ago,1955
99980,ago,1956
99270,ago,1957
98390,ago,1958
97470,ago,1959
96490,ago,1960
95500,ago,1961
94460,ago,1962
93420,ago,1963
92390,ago,1964
91370,ago,1965
90400,ago,1966
89460,ago,1967
88720,ago,1968
88190,ago,1969
87890,ago,1970
88830,ago,1971
89930,ago,1972
91180,ago,1973
92580,ago,1974
94120,ago,1975
95800,ago,1976
97600,ago,1977
99500,ago,1978
101500,ago,1979
94590,ago,1980
97440,ago,1981
100300,ago,1982
103000,ago,1983
105700,ago,1984
108300,ago,1985
111100,ago,1986
113600,ago,1987
116100,ago,1988
119000,ago,1989
122500,ago,1990
126100,ago,1991
130100,ago,1992
134000,ago,1993
137900,ago,1994
141500,ago,1995
145200,ago,1996
148100,ago,1997
150700,ago,1998
153600,ago,1999
156900,ago,2000
160100,ago,2001
163600,ago,2002
167000,ago,2003
170500,ago,2004
173700,ago,2005
176300,ago,2006
177700,ago,2007
178400,ago,2008
178400,ago,2009
178100,ago,2010
177000,ago,2011
175400,ago,2012
173500,ago,2013
171600,ago,2014
169300,ago,2015
621,atg,1800
616,atg,1801
610,atg,1802
605,atg,1803
600,atg,1804
594,atg,1805
590,atg,1806
583,atg,1807
579,atg,1808
574,atg,1809
569,atg,1810
564,atg,1811
559,atg,1812
554,atg,1813
550,atg,1814
544,atg,1815
539,atg,1816
535,atg,1817
530,atg,1818
526,atg,1819
521,atg,1820
516,atg,1821
512,atg,1822
508,atg,1823
503,atg,1824
499,atg,1825
494,atg,1826
490,atg,1827
486,atg,1828
481,atg,1829
477,atg,1830
474,atg,1831
469,atg,1832
465,atg,1833
460,atg,1834
457,atg,1835
453,atg,1836
449,atg,1837
445,atg,1838
441,atg,1839
437,atg,1840
433,atg,1841
429,atg,1842
426,atg,1843
422,atg,1844
418,atg,1845
415,atg,1846
411,atg,1847
407,atg,1848
404,atg,1849
400,atg,1850
397,atg,1851
393,atg,1852
389,atg,1853
386,atg,1854
382,atg,1855
378,atg,1856
374,atg,1857
370,atg,1858
366,atg,1859
362,atg,1860
357,atg,1861
354,atg,1862
350,atg,1863
345,atg,1864
342,atg,1865
338,atg,1866
334,atg,1867
330,atg,1868
326,atg,1869
322,atg,1870
319,atg,1871
315,atg,1872
311,atg,1873
308,atg,1874
305,atg,1875
302,atg,1876
299,atg,1877
296,atg,1878
295,atg,1879
292,atg,1880
290,atg,1881
289,atg,1882
287,atg,1883
285,atg,1884
284,atg,1885
282,atg,1886
281,atg,1887
280,atg,1888
278,atg,1889
276,atg,1890
273,atg,1891
271,atg,1892
268,atg,1893
265,atg,1894
262,atg,1895
259,atg,1896
254,atg,1897
251,atg,1898
247,atg,1899
243,atg,1900
239,atg,1901
235,atg,1902
232,atg,1903
228,atg,1904
224,atg,1905
220,atg,1906
216,atg,1907
212,atg,1908
208,atg,1909
205,atg,1910
201,atg,1911
198,atg,1912
195,atg,1913
192,atg,1914
189,atg,1915
186,atg,1916
183,atg,1917
180,atg,1918
178,atg,1919
175,atg,1920
173,atg,1921
173,atg,1922
174,atg,1923
175,atg,1924
176,atg,1925
176,atg,1926
177,atg,1927
178,atg,1928
179,atg,1929
182,atg,1930
186,atg,1931
189,atg,1932
192,atg,1933
195,atg,1934
198,atg,1935
201,atg,1936
204,atg,1937
207,atg,1938
210,atg,1939
213,atg,1940
214,atg,1941
215,atg,1942
217,atg,1943
217,atg,1944
218,atg,1945
219,atg,1946
220,atg,1947
221,atg,1948
221,atg,1949
222,atg,1950
218,atg,1951
213,atg,1952
208,atg,1953
202,atg,1954
195,atg,1955
189,atg,1956
181,atg,1957
173,atg,1958
166,atg,1959
159,atg,1960
152,atg,1961
147,atg,1962
142,atg,1963
137,atg,1964
133,atg,1965
129,atg,1966
124,atg,1967
119,atg,1968
113,atg,1969
108,atg,1970
101,atg,1971
94,atg,1972
87,atg,1973
79,atg,1974
72,atg,1975
66,atg,1976
60,atg,1977
56,atg,1978
52,atg,1979
49,atg,1980
46,atg,1981
44,atg,1982
42,atg,1983
40,atg,1984
38,atg,1985
36,atg,1986
34,atg,1987
32,atg,1988
31,atg,1989
29,atg,1990
26,atg,1991
25,atg,1992
24,atg,1993
24,atg,1994
24,atg,1995
24,atg,1996
25,atg,1997
25,atg,1998
25,atg,1999
25,atg,2000
24,atg,2001
23,atg,2002
21,atg,2003
20,atg,2004
19,atg,2005
18,atg,2006
17,atg,2007
16,atg,2008
15,atg,2009
15,atg,2010
14,atg,2011
13,atg,2012
13,atg,2013
12,atg,2014
12,atg,2015
10070,arg,1800
10070,arg,1801
10070,arg,1802
10070,arg,1803
10070,arg,1804
10070,arg,1805
10070,arg,1806
10070,arg,1807
10070,arg,1808
10070,arg,1809
10070,arg,1810
10080,arg,1811
10100,arg,1812
10140,arg,1813
10180,arg,1814
10250,arg,1815
10320,arg,1816
10410,arg,1817
10510,arg,1818
10630,arg,1819
10760,arg,1820
10900,arg,1821
11060,arg,1822
11240,arg,1823
11430,arg,1824
11640,arg,1825
11870,arg,1826
12110,arg,1827
