geo,internal_renewable_water_cu_meters_per_person,time
rwa,1719.0,1982
rwa,1399.0,1987
rwa,1438.0,1992
rwa,1493.0,1997
rwa,1084.0,2002
rwa,1004.0,2007
kna,470.9,1962
kna,506.6,1967
kna,541.4,1972
kna,546.4,1977
kna,561.7,1982
kna,581.4,1987
kna,580.7,1992
kna,542.1,1997
kna,507.7,2002
kna,482.2,2007
stp,33810.0,1962
stp,32230.0,1967
stp,28350.0,1972
stp,25050.0,1977
stp,22130.0,1982
stp,20090.0,1987
stp,18030.0,1992
stp,16420.0,1997
stp,15020.0,2002
stp,14050.0,2007
sau,553.7,1962
sau,467.7,1967
sau,383.2,1972
sau,297.1,1977
sau,221.7,1982
sau,167.7,1987
sau,140.0,1992
sau,125.0,1997
sau,109.5,2002
sau,99.27,2007
sen,7448.0,1962
sen,6430.0,1967
sen,5510.0,1972
sen,4770.0,1977
sen,4150.0,1982
sen,3573.0,1987
sen,3089.0,1992
sen,2702.0,1997
sen,2369.0,2002
sen,2137.0,2007
scg,4219.0,1992
scg,4039.0,1997
scg,4127.0,2002
scg,4202.0,2007
sle,68590.0,1962
sle,62720.0,1967
sle,57270.0,1972
sle,52360.0,1977
sle,47670.0,1982
sle,42090.0,1987
sle,38690.0,1992
sle,37950.0,1997
sle,32490.0,2002
sle,27860.0,2007
sgp,344.2,1962
sgp,305.9,1967
sgp,278.7,1972
sgp,258.9,1977
sgp,238.1,1982
sgp,212.5,1987
sgp,188.6,1992
sgp,162.0,1997
sgp,144.1,2002
sgp,136.9,2007
svk,2341.0,1997
svk,2339.0,2002
svk,2338.0,2007
svn,9460.0,1997
svn,9378.0,2002
svn,9331.0,2007
slb,356000.0,1962
slb,306300.0,1967
slb,258900.0,1972
slb,216300.0,1977
slb,181900.0,1982
slb,155000.0,1987
slb,134600.0,1992
slb,116800.0,1997
slb,102100.0,2002
slb,92350.0,2007
som,2033.0,1962
som,1793.0,1967
som,1632.0,1972
som,1184.0,1977
som,898.5,1982
som,913.5,1987
som,920.8,1992
som,932.7,1997
som,800.6,2002
som,710.4,2007
zaf,2445.0,1962
zaf,2149.0,1967
zaf,1887.0,1972
zaf,1659.0,1977
zaf,1463.0,1982
zaf,1304.0,1987
zaf,1164.0,1992
zaf,1036.0,1997
zaf,961.8,2002
zaf,927.9,2007
esp,3580.0,1962
esp,3398.0,1967
esp,3221.0,1972
esp,3048.0,1977
esp,2927.0,1982
esp,2880.0,1987
esp,2847.0,1992
esp,2812.0,1997
esp,2687.0,2002
esp,2534.0,2007
lka,4903.0,1962
lka,4344.0,1967
lka,3882.0,1972
lka,3522.0,1977
lka,3251.0,1982
lka,3039.0,1987
lka,2852.0,1992
lka,2721.0,1997
lka,2647.0,2002
lka,2603.0,2007
sdn,2506.0,1962
sdn,2232.0,1967
sdn,1957.0,1972
sdn,1681.0,1977
sdn,1428.0,1982
sdn,1239.0,1987
sdn,1100.0,1992
sdn,966.4,1997
sdn,863.2,2002
sdn,795.6,2007
sur,287100.0,1962
sur,250500.0,1967
sur,235600.0,1972
sur,245500.0,1977
sur,241400.0,1982
sur,224200.0,1987
sur,215900.0,1992
sur,207700.0,1997
sur,198400.0,2002
sur,193300.0,2007
swz,7126.0,1962
swz,6317.0,1967
swz,5488.0,1972
swz,4703.0,1977
swz,4052.0,1982
swz,3405.0,1987
swz,2911.0,1992
swz,2643.0,1997
swz,2424.0,2002
swz,2329.0,2007
swe,22580.0,1962
swe,21750.0,1967
swe,21060.0,1972
swe,20740.0,1977
swe,20550.0,1982
swe,20330.0,1987
swe,19700.0,1992
swe,19310.0,1997
swe,19170.0,2002
swe,18840.0,2007
che,7266.0,1962
che,6719.0,1967
che,6441.0,1972
che,6383.0,1977
che,6333.0,1982
che,6075.0,1987
che,5800.0,1992
che,5613.0,1997
che,5516.0,2002
che,5419.0,2007
syr,1452.0,1962
syr,1237.0,1967
syr,1047.0,1972
syr,884.1,1977
syr,737.2,1982
syr,615.9,1987
syr,529.0,1992
syr,464.9,1997
syr,409.6,2002
syr,367.5,2007
tjk,14550.0,1987
tjk,12010.0,1992
tjk,11170.0,1997
tjk,10490.0,2002
tjk,9985.0,2007
tha,7134.0,1962
tha,6130.0,1967
tha,5352.0,1972
tha,4763.0,1977
tha,4331.0,1982
tha,4019.0,1987
tha,3777.0,1992
tha,3570.0,1997
tha,3405.0,2002
tha,3310.0,2007
mkd,2792.0,1992
mkd,2723.0,1997
mkd,2671.0,2002
mkd,2652.0,2007
tgo,7130.0,1962
tgo,6145.0,1967
tgo,5056.0,1972
tgo,4485.0,1977
tgo,3845.0,1982
tgo,3192.0,1987
tgo,2760.0,1992
tgo,2373.0,1997
tgo,2002.0,2002
tgo,1794.0,2007
tto,4419.0,1962
tto,4148.0,1967
tto,3883.0,1972
tto,3710.0,1977
tto,3423.0,1982
tto,3197.0,1987
tto,3091.0,1992
tto,2991.0,1997
tto,2931.0,2002
tto,2891.0,2007
tun,958.6,1962
tun,870.0,1967
tun,787.6,1972
tun,704.0,1977
tun,616.8,1982
tun,545.4,1987
tun,491.1,1992
tun,454.7,1997
tun,428.9,2002
tun,410.7,2007
tur,7640.0,1962
tur,6756.0,1967
tur,5950.0,1972
tur,5254.0,1977
tur,4668.0,1982
tur,4182.0,1987
tur,3817.0,1992
tur,3495.0,1997
tur,3237.0,2002
tur,3071.0,2007
tkm,421.7,1987
tkm,350.1,1992
tkm,313.8,1997
tkm,293.7,2002
tkm,277.6,2007
uga,5388.0,1962
uga,4549.0,1967
uga,3897.0,1972
uga,3374.0,1977
uga,2902.0,1982
uga,2449.0,1987
uga,2033.0,1992
uga,1727.0,1997
uga,1484.0,2002
uga,1304.0,2007
ukr,1031.0,1992
ukr,1057.0,1997
ukr,1106.0,2002
ukr,1141.0,2007
are,1380.0,1962
are,920.6,1967
are,473.1,1972
are,208.8,1977
are,127.1,1982
are,94.79,1987
are,72.46,1992
are,54.86,1997
are,41.63,2002
are,35.31,2007
gbr,2729.0,1962
gbr,2637.0,1967
gbr,2591.0,1972
gbr,2576.0,1977
gbr,2573.0,1982
gbr,2553.0,1987
gbr,2521.0,1992
gbr,2488.0,1997
gbr,2442.0,2002
gbr,2396.0,2007
tza,7865.0,1962
tza,6774.0,1967
tza,5794.0,1972
tza,4938.0,1977
tza,4224.0,1982
tza,3619.0,1987
tza,3084.0,1992
tza,2667.0,1997
tza,2359.0,2002
tza,2129.0,2007
usa,14600.0,1962
usa,13730.0,1967
usa,13080.0,1972
usa,12480.0,1977
usa,11880.0,1982
usa,11280.0,1987
usa,10700.0,1992
usa,10140.0,1997
usa,9628.0,2002
usa,9246.0,2007
ury,22670.0,1962
ury,21460.0,1967
ury,20920.0,1972
ury,20660.0,1977
ury,19990.0,1982
ury,19370.0,1987
ury,18730.0,1992
ury,18070.0,1997
ury,17740.0,2002
ury,17710.0,2007
uzb,759.7,1992
uzb,689.8,1997
uzb,642.0,2002
uzb,605.6,2007
ven,88420.0,1962
ven,74350.0,1967
ven,62960.0,1972
ven,52870.0,1977
ven,45190.0,1982
ven,39550.0,1987
ven,34940.0,1992
ven,31400.0,1997
ven,28520.0,2002
ven,26570.0,2007
vnm,10370.0,1962
vnm,9166.0,1967
vnm,8158.0,1972
vnm,7339.0,1977
vnm,6627.0,1982
vnm,5925.0,1987
vnm,5302.0,1992
vnm,4839.0,1997
vnm,4500.0,2002
vnm,4251.0,2007
yem,385.6,1962
yem,348.0,1967
yem,316.6,1972
yem,278.6,1977
yem,232.4,1982
yem,192.4,1987
yem,154.9,1992
yem,126.2,1997
yem,108.8,2002
yem,96.63,2007
zmb,24100.0,1962
zmb,20690.0,1967
zmb,17580.0,1972
zmb,14870.0,1977
zmb,12640.0,1982
zmb,10790.0,1987
zmb,9354.0,1992
zmb,8232.0,1997
zmb,7378.0,2002
zmb,6857.0,2007
zwe,3062.0,1962
zwe,2600.0,1967
zwe,2201.0,1972
zwe,1864.0,1977
zwe,1558.0,1982
zwe,1288.0,1987
zwe,1108.0,1992
zwe,1005.0,1997
zwe,953.4,2002
zwe,926.8,2007
