geo,population_aged_20_39_years_both_sexes_percent,time
afg,28.3,1950
afg,28.43,1955
afg,28.49,1960
afg,28.49,1965
afg,28.56,1970
afg,28.05,1975
afg,27.6,1980
afg,27.21,1985
afg,26.79,1990
afg,26.74,1995
afg,26.71,2000
afg,26.96,2005
afg,27.53,2010
afg,28.26,2015
afg,29.06,2020
afg,29.72,2025
afg,30.16,2030
afg,30.76,2035
afg,31.51,2040
afg,32.33,2045
afg,33.06,2050
alb,26.61,1950
alb,26.88,1955
alb,27.56,1960
alb,27.61,1965
alb,26.94,1970
alb,27.49,1975
alb,29.37,1980
alb,31.27,1985
alb,33.13,1990
alb,31.82,1995
alb,28.62,2000
alb,28.4,2005
alb,29.66,2010
alb,31.48,2015
alb,32.23,2020
alb,29.85,2025
alb,26.92,2030
alb,24.77,2035
alb,23.65,2040
alb,24.15,2045
alb,23.86,2050
dza,27.86,1950
dza,27.7,1955
dza,26.9,1960
dza,25.84,1965
dza,23.28,1970
dza,23.74,1975
dza,24.67,1980
dza,26.7,1985
dza,28.76,1990
dza,30.51,1995
dza,33.32,2000
dza,35.84,2005
dza,36.89,2010
dza,36.35,2015
dza,33.45,2020
dza,30.37,2025
dza,28.45,2030
dza,27.63,2035
dza,28.14,2040
dza,27.93,2045
dza,26.76,2050
ago,28.94,1950
ago,28.43,1955
ago,27.67,1960
ago,26.77,1965
ago,25.88,1970
ago,25.85,1975
ago,25.99,1980
ago,26.25,1985
ago,26.55,1990
ago,26.43,1995
ago,26.8,2000
ago,27.18,2005
ago,28.09,2010
ago,29.14,2015
ago,29.83,2020
ago,30.77,2025
ago,31.25,2030
ago,31.84,2035
ago,32.51,2040
ago,32.74,2045
ago,32.85,2050
arg,32.7,1950
arg,31.7,1955
arg,30.48,1960
arg,29.36,1965
arg,28.74,1970
arg,28.72,1975
arg,28.49,1980
arg,28.36,1985
arg,28.01,1990
arg,28.06,1995
arg,29.26,2000
arg,30.0,2005
arg,30.66,2010
arg,30.85,2015
arg,29.92,2020
arg,29.13,2025
arg,28.47,2030
arg,27.79,2035
arg,27.15,2040
arg,26.59,2045
arg,25.79,2050
arm,26.78,1950
arm,28.53,1955
arm,32.55,1960
arm,29.75,1965
arm,26.85,1970
arm,28.02,1975
arm,29.6,1980
arm,33.37,1985
arm,33.8,1990
arm,30.63,1995
arm,28.31,2000
arm,27.8,2005
arm,30.54,2010
arm,32.13,2015
arm,30.54,2020
arm,28.09,2025
arm,25.33,2030
arm,24.39,2035
arm,25.36,2040
arm,25.17,2045
arm,24.03,2050
abw,32.43,1950
abw,30.23,1955
abw,28.0,1960
abw,26.92,1965
abw,27.59,1970
abw,32.2,1975
abw,33.33,1980
abw,38.46,1985
abw,34.92,1990
abw,35.0,1995
abw,31.46,2000
abw,29.29,2005
abw,25.93,2010
abw,25.45,2015
abw,25.89,2020
abw,26.55,2025
abw,25.66,2030
abw,24.11,2035
abw,22.73,2040
abw,22.73,2045
abw,23.58,2050
aus,31.21,1950
aus,29.03,1955
aus,27.51,1960
aus,26.39,1965
aus,27.67,1970
aus,29.37,1975
aus,31.37,1980
aus,32.52,1985
aus,32.11,1990
aus,31.43,1995
aus,29.57,2000
aus,28.43,2005
aus,27.61,2010
aus,26.79,2015
