geo,all_forms_of_tb_new_cases_per_100000_reported,time
afg,471,1980
afg,475,1981
afg,282,1982
afg,363,1983
afg,133,1984
afg,77,1985
afg,104,1986
afg,133,1987
afg,117,1988
afg,103,1989
afg,34,1990
afg,171,1991
afg,7,1997
afg,16,1998
afg,16,1999
afg,34,2000
afg,47,2001
afg,62,2002
afg,60,2003
afg,76,2004
afg,87,2005
afg,98,2006
afg,106,2007
alb,39,1980
alb,35,1981
alb,35,1982
alb,31,1983
alb,34,1984
alb,31,1985
alb,33,1986
alb,29,1987
alb,24,1988
alb,21,1989
alb,20,1990
alb,19,1991
alb,22,1994
alb,20,1995
alb,24,1996
alb,21,1997
alb,22,1998
alb,24,1999
alb,20,2000
alb,18,2001
alb,19,2002
alb,17,2003
alb,17,2004
alb,16,2005
alb,15,2006
alb,14,2007
dza,14,1980
dza,69,1982
dza,66,1983
dza,61,1984
dza,63,1985
dza,57,1986
dza,48,1987
dza,47,1988
dza,45,1989
dza,46,1990
dza,44,1991
dza,43,1992
dza,49,1993
dza,48,1994
dza,48,1995
dza,53,1996
dza,57,1997
dza,52,1998
dza,55,1999
dza,61,2000
dza,59,2001
dza,60,2002
dza,62,2003
dza,61,2004
dza,65,2005
dza,63,2006
dza,63,2007
asm,6,1980
asm,18,1981
asm,17,1982
asm,22,1983
asm,32,1984
asm,13,1985
asm,19,1986
asm,21,1987
asm,29,1988
asm,11,1989
asm,19,1990
asm,6,1991
asm,2,1992
asm,8,1993
asm,8,1994
asm,0,1996
asm,11,1997
asm,5,1998
asm,7,1999
asm,5,2000
asm,5,2001
asm,3,2002
asm,5,2003
asm,8,2004
asm,9,2005
asm,6,2006
asm,4,2007
and,24,1989
and,44,1990
and,44,1991
and,36,1992
and,25,1993
and,38,1994
and,26,1996
and,29,1997
and,12,1998
and,15,1999
and,18,2000
and,15,2001
and,7,2002
and,14,2003
and,10,2004
and,14,2005
and,16,2006
and,7,2007
ago,129,1980
ago,93,1981
ago,94,1982
ago,76,1983
ago,113,1984
ago,93,1985
ago,98,1986
ago,87,1987
ago,82,1988
ago,94,1989
ago,98,1990
ago,103,1991
ago,100,1992
ago,71,1993
ago,60,1994
ago,42,1995
ago,122,1996
ago,116,1997
ago,108,1998
ago,105,1999
ago,115,2000
ago,152,2001
ago,204,2002
ago,238,2003
ago,227,2004
ago,231,2005
ago,305,2006
ago,243,2007
aia,0,1980
aia,0,1981
aia,57,1982
aia,0,1983
aia,0,1984
aia,14,1985
aia,0,1986
aia,0,1987
aia,0,1988
aia,0,1989
aia,0,1990
aia,0,1991
aia,0,1992
aia,19,1995
aia,0,1997
aia,0,2001
aia,0,2002
aia,0,2003
aia,0,2004
aia,0,2006
aia,0,2007
atg,13,1980
atg,5,1981
atg,0,1982
atg,2,1983
atg,5,1984
atg,3,1985
atg,11,1986
atg,0,1987
atg,5,1988
atg,5,1989
atg,2,1990
atg,0,1991
atg,10,1992
atg,0,1995
atg,4,1996
atg,6,1997
atg,5,1998
atg,4,1999
atg,5,2000
atg,1,2001
atg,5,2002
atg,1,2003
atg,7,2005
atg,5,2006
atg,2,2007
arg,58,1980
arg,59,1981
arg,60,1982
arg,59,1983
arg,55,1984
arg,53,1985
arg,48,1986
arg,43,1987
arg,42,1988
arg,39,1989
arg,38,1990
arg,37,1991
arg,38,1992
arg,41,1993
arg,40,1994
arg,39,1995
arg,38,1996
arg,35,1997
arg,34,1998
arg,33,1999
arg,32,2000
arg,31,2001
arg,31,2002
arg,28,2003
arg,28,2004
arg,25,2005
arg,24,2006
arg,25,2007
arm,24,1980
arm,29,1981
arm,24,1982
arm,22,1983
arm,24,1984
arm,23,1985
arm,24,1986
arm,22,1987
arm,19,1988
arm,18,1989
arm,17,1990
arm,21,1991
arm,7,1992
arm,17,1993
arm,23,1994
arm,36,1995
arm,29,1996
arm,33,1997
arm,47,1998
arm,48,1999
arm,43,2000
arm,45,2001
arm,47,2002
arm,51,2003
arm,55,2004
arm,73,2005
arm,59,2006
arm,56,2007
aus,10,1980
aus,9,1981
aus,8,1982
aus,8,1983
aus,8,1984
aus,7,1985
aus,6,1986
aus,6,1987
aus,6,1988
aus,6,1989
aus,6,1990
aus,6,1991
aus,6,1992
aus,6,1993
aus,6,1994
aus,6,1995
aus,6,1997
aus,5,1998
aus,6,1999
aus,5,2000
aus,5,2001
aus,5,2002
aus,5,2003
aus,5,2004
aus,5,2005
aus,6,2006
aus,5,2007
aut,29,1980
aut,27,1981
aut,26,1982
aut,24,1983
aut,23,1984
aut,19,1985
aut,18,1986
aut,18,1987
aut,18,1988
aut,17,1989
aut,20,1990
aut,18,1991
aut,17,1992
aut,16,1993
aut,16,1994
aut,18,1995
aut,16,1996
aut,17,1997
aut,16,1998
aut,13,1999
aut,15,2000
aut,12,2001
aut,13,2002
aut,12,2003
aut,11,2004
aut,11,2005
aut,10,2006
aut,10,2007
aze,50,1980
aze,51,1981
aze,51,1982
aze,49,1983
aze,53,1984
aze,57,1985
aze,56,1986
aze,53,1987
aze,48,1988
aze,42,1989
aze,36,1990
aze,38,1991
aze,38,1992
aze,40,1993
aze,37,1994
aze,21,1995
aze,31,1996
aze,58,1997
aze,58,1998
aze,58,1999
aze,64,2000
aze,60,2001
aze,62,2002
aze,46,2003
aze,65,2004
aze,72,2005
aze,68,2006
aze,65,2007
bhs,33,1980
bhs,31,1981
bhs,25,1982
bhs,26,1983
bhs,23,1984
bhs,27,1985
bhs,22,1986
bhs,18,1987
bhs,21,1988
bhs,21,1989
bhs,18,1990
bhs,20,1991
bhs,24,1992
bhs,22,1993
bhs,28,1994
bhs,20,1995
bhs,21,1996
bhs,30,1997
bhs,25,1998
bhs,25,1999
bhs,27,2000
bhs,14,2002
bhs,12,2003
bhs,17,2004
bhs,14,2007
bhr,63,1980
bhr,73,1981
bhr,42,1982
bhr,60,1983
bhr,52,1984
bhr,47,1985
bhr,36,1986
bhr,27,1987
bhr,31,1988
bhr,26,1989
bhr,24,1990
bhr,28,1991
bhr,27,1992
bhr,21,1993
bhr,7,1995
bhr,8,1996
bhr,7,1997
bhr,13,1998
bhr,23,1999
bhr,32,2000
bhr,28,2001
bhr,28,2002
bhr,38,2003
bhr,34,2004
bhr,39,2005
bhr,38,2006
bhr,39,2007
bgd,48,1980
bgd,51,1981
bgd,58,1982
bgd,60,1983
bgd,50,1984
bgd,45,1985
bgd,48,1986
bgd,47,1987
bgd,45,1988
bgd,44,1989
bgd,43,1990
bgd,48,1991
bgd,27,1992
bgd,45,1993
bgd,39,1994
bgd,45,1995
bgd,49,1996
bgd,48,1997
bgd,54,1998
bgd,58,1999
bgd,54,2000
bgd,54,2001
bgd,57,2002
bgd,60,2003
bgd,65,2004
bgd,80,2005
bgd,93,2006
bgd,93,2007
brb,26,1980
brb,1,1981
brb,12,1982
brb,7,1983
brb,6,1984
brb,5,1985
brb,3,1986
brb,1,1987
brb,2,1988
brb,2,1989
brb,2,1990
brb,2,1991
brb,2,1992
brb,1,1995
brb,1,1996
brb,2,1997
brb,2,1998
brb,1,1999
brb,1,2000
brb,2,2001
brb,2,2002
brb,7,2004
brb,2,2006
brb,5,2007
blr,62,1980
blr,64,1981
blr,56,1982
