geo,population_aged_60plus_years_female_percent,time
bgd,19.88,2045
bgd,22.58,2050
brb,11.4,1950
brb,11.67,1955
brb,12.31,1960
brb,12.7,1965
brb,14.17,1970
brb,15.62,1975
brb,15.38,1980
brb,15.27,1985
brb,14.93,1990
brb,15.04,1995
brb,14.73,2000
brb,15.91,2005
brb,18.05,2010
brb,20.45,2015
brb,25.37,2020
brb,29.1,2025
brb,31.58,2030
brb,33.59,2035
brb,35.66,2040
brb,38.58,2045
brb,38.52,2050
blr,14.13,1950
blr,13.82,1955
blr,13.56,1960
blr,14.64,1965
blr,15.86,1970
blr,17.53,1975
blr,17.37,1980
blr,18.59,1985
blr,20.49,1990
blr,21.71,1995
blr,23.1,2000
blr,22.21,2005
blr,22.45,2010
blr,23.81,2015
blr,26.46,2020
blr,29.01,2025
blr,30.6,2030
blr,32.64,2035
blr,34.72,2040
blr,37.54,2045
blr,40.35,2050
bel,17.17,1950
bel,18.22,1955
bel,19.51,1960
bel,20.57,1965
bel,21.35,1970
bel,21.72,1975
bel,21.11,1980
bel,22.46,1985
bel,23.49,1990
bel,24.28,1995
bel,24.78,2000
bel,24.57,2005
bel,25.71,2010
bel,27.24,2015
bel,29.18,2020
bel,31.21,2025
bel,32.76,2030
bel,33.84,2035
bel,34.43,2040
bel,34.73,2045
bel,34.86,2050
blz,5.882,1950
blz,5.128,1955
blz,6.383,1960
blz,5.556,1965
blz,6.349,1970
blz,7.463,1975
blz,5.714,1980
blz,5.063,1985
blz,5.435,1990
blz,6.481,1995
blz,5.645,2000
blz,5.674,2005
blz,5.769,2010
blz,7.514,2015
blz,8.021,2020
blz,9.548,2025
blz,12.15,2030
blz,13.39,2035
blz,16.03,2040
blz,17.7,2045
blz,20.16,2050
ben,11.6,1950
ben,10.17,1955
ben,9.508,1960
ben,8.979,1965
ben,8.409,1970
ben,7.816,1975
ben,7.302,1980
ben,6.682,1985
ben,6.224,1990
ben,5.876,1995
ben,5.842,2000
ben,5.903,2005
ben,5.88,2010
ben,5.815,2015
ben,5.965,2020
ben,6.296,2025
ben,6.81,2030
ben,7.392,2035
ben,8.141,2040
ben,9.069,2045
ben,10.13,2050
btn,3.75,1950
btn,4.167,1955
btn,3.704,1960
btn,4.724,1965
btn,4.795,1970
btn,4.094,1975
btn,4.878,1980
btn,4.762,1985
btn,5.576,1990
btn,6.4,1995
btn,6.475,2000
btn,7.143,2005
btn,7.186,2010
btn,7.735,2015
btn,8.718,2020
btn,9.662,2025
btn,10.83,2030
btn,12.61,2035
btn,14.62,2040
btn,17.49,2045
