geo,median_age_years,time
bgd,39.15,2050
brb,24.56,1950
brb,24.27,1955
brb,22.32,1960
brb,20.65,1965
brb,21.21,1970
brb,23.69,1975
brb,24.49,1980
brb,26.32,1985
brb,28.35,1990
brb,30.7,1995
brb,33.27,2000
brb,35.53,2005
brb,37.77,2010
brb,39.99,2015
brb,41.72,2020
brb,43.5,2025
brb,45.28,2030
brb,46.88,2035
brb,48.06,2040
brb,48.66,2045
brb,48.61,2050
blr,27.22,1950
blr,27.73,1955
blr,28.2,1960
blr,28.81,1965
blr,30.09,1970
blr,30.47,1975
blr,31.27,1980
blr,31.94,1985
blr,33.01,1990
blr,34.64,1995
blr,36.26,2000
blr,37.34,2005
blr,38.22,2010
blr,39.36,2015
blr,40.77,2020
blr,42.61,2025
blr,44.63,2030
blr,46.66,2035
blr,48.16,2040
blr,48.8,2045
blr,48.55,2050
bel,35.53,1950
bel,34.71,1955
bel,35.25,1960
bel,34.75,1965
bel,34.58,1970
bel,34.04,1975
bel,34.21,1980
bel,34.9,1985
bel,36.3,1990
bel,37.6,1995
bel,39.08,2000
bel,40.23,2005
bel,41.3,2010
bel,42.38,2015
bel,43.17,2020
bel,43.74,2025
bel,44.23,2030
bel,44.63,2035
bel,44.92,2040
bel,44.88,2045
bel,44.68,2050
blz,20.79,1950
blz,18.6,1955
blz,17.61,1960
blz,16.45,1965
blz,16.33,1970
blz,16.15,1975
blz,16.55,1980
blz,17.21,1985
blz,17.91,1990
blz,18.48,1995
blz,19.23,2000
blz,20.62,2005
blz,22.27,2010
blz,23.99,2015
blz,25.9,2020
blz,27.88,2025
blz,29.91,2030
blz,31.98,2035
blz,33.93,2040
blz,35.71,2045
blz,37.41,2050
ben,24.17,1950
ben,22.64,1955
ben,21.39,1960
ben,20.47,1965
ben,19.32,1970
ben,18.33,1975
ben,17.67,1980
ben,17.33,1985
ben,17.16,1990
ben,17.49,1995
ben,17.52,2000
ben,17.98,2005
ben,18.36,2010
ben,18.79,2015
ben,19.43,2020
ben,20.33,2025
ben,21.56,2030
ben,22.89,2035
ben,24.27,2040
ben,25.72,2045
ben,27.21,2050
btn,17.99,1950
btn,19.01,1955
btn,19.2,1960
btn,19.19,1965
btn,19.28,1970
btn,19.59,1975
btn,19.52,1980
btn,18.95,1985
btn,18.68,1990
btn,18.01,1995
btn,19.23,2000
btn,21.9,2005
btn,24.23,2010
btn,26.45,2015
btn,28.52,2020
btn,30.61,2025
btn,32.52,2030
btn,34.34,2035
btn,36.05,2040
btn,37.49,2045
btn,38.79,2050
bol,19.21,1950
bol,19.01,1955
bol,18.72,1960
bol,18.48,1965
bol,18.42,1970
bol,18.35,1975
bol,18.59,1980
bol,18.87,1985
bol,19.2,1990
bol,19.59,1995
bol,20.09,2000
bol,20.83,2005
bol,21.89,2010
bol,23.22,2015
bol,24.76,2020
bol,26.45,2025
bol,28.23,2030
bol,30.1,2035
bol,32.04,2040
bol,33.98,2045
bol,35.89,2050
bih,20.04,1950
bih,20.85,1955
bih,21.65,1960
bih,21.5,1965
bih,22.57,1970
bih,23.99,1975
bih,25.94,1980
bih,27.95,1985
bih,29.7,1990
bih,32.23,1995
bih,35.1,2000
bih,37.33,2005
bih,39.29,2010
bih,41.05,2015
bih,42.77,2020
bih,44.53,2025
bih,46.49,2030
bih,48.47,2035
bih,50.38,2040
bih,51.39,2045
bih,52.2,2050
bwa,19.18,1950
bwa,18.56,1955
bwa,17.23,1960
bwa,15.87,1965
bwa,15.92,1970
bwa,16.22,1975
bwa,16.52,1980
bwa,16.59,1985
bwa,17.29,1990
bwa,18.57,1995
bwa,19.95,2000
bwa,21.32,2005
bwa,22.78,2010
bwa,23.99,2015
bwa,25.06,2020
bwa,25.98,2025
bwa,26.79,2030
bwa,27.69,2035
bwa,28.75,2040
bwa,29.92,2045
bwa,31.21,2050
bra,19.21,1950
bra,18.9,1955
bra,18.55,1960
bra,18.16,1965
bra,18.58,1970
bra,19.41,1975
bra,20.31,1980
bra,21.32,1985
bra,22.53,1990
bra,23.94,1995
bra,25.31,2000
