geo,smoking_women_percent_of_women_over_age_15,time
dza,0.3,2000
dza,0.3,2002
dza,0.3,2005
bfa,11.2,2000
bfa,11.2,2002
bfa,11.2,2005
cmr,2.2,2000
cmr,2.2,2002
cmr,2.2,2005
tcd,2.6,2000
tcd,2.6,2002
tcd,2.6,2005
com,13.5,2000
com,13.5,2002
com,13.5,2005
cog,1.0,2000
cog,1.0,2002
cog,1.0,2005
civ,2.4,2000
civ,2.4,2002
civ,2.4,2005
cod,2.6,2000
cod,2.6,2002
cod,2.6,2005
eri,1.2,2000
eri,1.2,2002
eri,1.2,2005
eth,0.9,2000
eth,0.9,2002
eth,0.9,2005
gmb,2.9,2000
gmb,2.9,2002
gmb,2.9,2005
gha,0.8,2000
gha,0.8,2002
gha,0.8,2005
ken,2.2,2000
ken,2.2,2002
ken,2.2,2005
mwi,6.2,2000
mwi,6.2,2002
mwi,6.2,2005
mli,2.8,2000
mli,2.8,2002
mli,2.8,2005
mrt,3.7,2000
mrt,3.7,2002
mrt,3.7,2005
mus,1.1,2000
mus,1.1,2002
mus,1.1,2005
moz,3.4,2000
moz,3.4,2002
moz,3.4,2005
nam,10.9,2000
nam,10.9,2002
nam,10.9,2005
nga,1.2,2000
nga,1.2,2002
nga,1.2,2005
stp,10.6,2000
stp,10.6,2002
stp,10.6,2005
sen,1.5,2000
sen,1.5,2002
sen,1.5,2005
syc,7.0,2000
syc,7.0,2002
syc,7.0,2005
zaf,9.1,2000
zaf,9.1,2002
zaf,9.1,2005
swz,3.2,2000
swz,3.2,2002
swz,3.2,2005
uga,3.2,2000
uga,3.2,2002
uga,3.2,2005
tza,4.3,2000
tza,4.3,2002
tza,4.3,2005
zmb,5.0,2000
zmb,5.0,2002
zmb,5.0,2005
zwe,4.4,2000
zwe,4.4,2002
zwe,4.4,2005
arg,25.4,2000
arg,25.4,2002
arg,25.4,2005
brb,3.0,2000
brb,3.0,2002
brb,3.0,2005
bol,29.2,2000
bol,29.2,2002
bol,29.2,2005
can,18.9,2000
can,18.9,2002
can,18.9,2005
chl,33.6,2000
chl,33.6,2002
chl,33.6,2005
cri,7.3,2000
cri,7.3,2002
cri,7.3,2005
cub,28.3,2000
cub,28.3,2002
cub,28.3,2005
dom,13.3,2000
dom,13.3,2002
dom,13.3,2005
ecu,5.8,2000
ecu,5.8,2002
ecu,5.8,2005
gtm,4.1,2000
gtm,4.1,2002
gtm,4.1,2005
hnd,3.4,2000
hnd,3.4,2002
hnd,3.4,2005
jam,9.2,2000
jam,9.2,2002
jam,9.2,2005
mex,12.4,2000
mex,12.4,2002
mex,12.4,2005
pry,14.8,2000
pry,14.8,2002
pry,14.8,2005
lca,12.1,2000
lca,12.1,2002
lca,12.1,2005
tto,7.6,2000
tto,7.6,2002
tto,7.6,2005
usa,21.5,2000
usa,21.5,2002
usa,21.5,2005
ury,28.0,2000
ury,28.0,2002
ury,28.0,2005
ven,27.0,2000
ven,27.0,2002
ven,27.0,2005
bhr,2.9,2000
bhr,2.9,2002
bhr,2.9,2005
egy,1.3,2000
egy,1.3,2002
egy,1.3,2005
irn,5.5,2000
irn,5.5,2002
irn,5.5,2005
irq,2.5,2000
irq,2.5,2002
irq,2.5,2005
jor,9.8,2000
jor,9.8,2002
jor,9.8,2005
lbn,7.0,2000
lbn,7.0,2002
lbn,7.0,2005
mar,0.3,2000
mar,0.3,2002
mar,0.3,2005
omn,1.3,2000
omn,1.3,2002
omn,1.3,2005
