geo,females_aged_15_64_labour_force_participation_rate_percent,time
afg,31.1,1980
afg,30.9,1981
afg,30.7,1982
afg,30.5,1983
afg,30.4,1984
afg,30.2,1985
afg,30.0,1986
afg,29.9,1987
afg,29.8,1988
afg,29.6,1989
afg,29.4,1990
afg,29.1,1991
afg,28.9,1992
afg,28.7,1993
afg,28.5,1994
afg,28.3,1995
afg,28.2,1996
afg,28.1,1997
afg,28.0,1998
afg,28.0,1999
afg,28.0,2000
afg,28.2,2001
afg,28.4,2002
afg,28.6,2003
afg,28.9,2004
afg,29.2,2005
afg,29.6,2006
afg,29.5,2007
alb,73.7,1980
alb,73.1,1981
alb,72.8,1982
alb,72.2,1983
alb,71.7,1984
alb,71.8,1985
alb,71.4,1986
alb,72.2,1987
alb,73.0,1988
alb,71.8,1989
alb,73.6,1990
alb,54.1,1991
alb,53.8,1992
alb,54.3,1993
alb,54.8,1994
alb,55.1,1995
alb,55.5,1996
alb,55.0,1997
alb,55.4,1998
alb,55.6,1999
alb,55.7,2000
alb,55.7,2001
alb,55.7,2002
alb,55.7,2003
alb,55.7,2004
alb,55.6,2005
alb,55.6,2006
alb,56.1,2007
dza,19.8,1980
dza,19.9,1981
dza,20.1,1982
dza,20.1,1983
dza,20.3,1984
dza,20.4,1985
dza,21.0,1986
dza,21.7,1987
dza,22.4,1988
dza,23.1,1989
dza,23.8,1990
dza,24.6,1991
dza,25.4,1992
dza,26.2,1993
dza,27.1,1994
dza,27.9,1995
dza,28.7,1996
dza,29.5,1997
dza,30.4,1998
dza,31.3,1999
dza,32.1,2000
dza,33.0,2001
dza,33.8,2002
dza,34.7,2003
dza,35.5,2004
dza,36.2,2005
dza,36.9,2006
dza,38.1,2007
ago,74.3,1980
ago,74.3,1981
ago,74.5,1982
ago,74.6,1983
ago,74.8,1984
ago,74.9,1985
ago,75.0,1986
ago,75.2,1987
ago,76.0,1988
ago,75.9,1989
ago,76.0,1990
ago,75.7,1991
ago,76.7,1992
ago,75.0,1993
ago,76.3,1994
ago,74.4,1995
ago,74.5,1996
ago,74.4,1997
ago,74.7,1998
ago,75.1,1999
ago,74.7,2000
ago,74.6,2001
ago,75.0,2002
ago,74.9,2003
ago,75.2,2004
ago,75.5,2005
ago,76.2,2006
ago,76.4,2007
arg,32.8,1980
arg,32.1,1981
arg,31.6,1982
arg,31.3,1983
arg,31.6,1984
arg,32.1,1985
arg,32.2,1986
arg,32.4,1987
arg,32.9,1988
arg,33.4,1989
arg,33.7,1990
arg,45.1,1991
arg,45.6,1992
arg,46.0,1993
arg,46.5,1994
arg,47.1,1995
arg,48.0,1996
arg,48.9,1997
arg,49.9,1998
arg,50.8,1999
arg,51.7,2000
arg,52.6,2001
arg,53.5,2002
arg,54.4,2003
arg,55.3,2004
arg,56.2,2005
arg,57.1,2006
arg,57.1,2007
arm,76.7,1980
arm,75.7,1981
arm,75.1,1982
arm,74.2,1983
arm,73.3,1984
arm,72.6,1985
arm,73.0,1986
arm,73.2,1987
arm,72.4,1988
arm,72.8,1989
arm,73.1,1990
arm,62.7,1991
