geo,population_aged_15_19_years_female_percent,time
afg,10.15,1950
afg,10.27,1955
afg,10.38,1960
afg,10.67,1965
afg,10.09,1970
afg,10.17,1975
afg,10.27,1980
afg,10.38,1985
afg,10.42,1990
afg,10.4,1995
afg,10.51,2000
afg,10.68,2005
afg,10.99,2010
afg,11.15,2015
afg,11.02,2020
afg,10.71,2025
afg,10.79,2030
afg,10.9,2035
afg,10.86,2040
afg,10.62,2045
afg,10.2,2050
alb,9.967,1950
alb,10.38,1955
alb,9.387,1960
alb,8.846,1965
alb,9.934,1970
alb,11.11,1975
alb,11.07,1980
alb,10.19,1985
alb,9.857,1990
alb,8.81,1995
alb,9.592,2000
alb,9.739,2005
alb,9.21,2010
alb,8.162,2015
alb,6.062,2020
alb,5.95,2025
alb,6.357,2030
alb,6.479,2035
alb,6.117,2040
alb,5.475,2045
alb,5.024,2050
dza,10.14,1950
dza,10.26,1955
dza,9.991,1960
dza,9.946,1965
dza,9.735,1970
dza,9.919,1975
dza,10.72,1980
dza,10.84,1985
dza,10.84,1990
dza,11.31,1995
dza,12.06,2000
dza,11.24,2005
dza,9.919,2010
dza,7.672,2015
dza,7.538,2020
dza,7.812,2025
dza,7.873,2030
dza,7.541,2035
dza,6.843,2040
dza,6.146,2045
dza,5.762,2050
ago,9.891,1950
ago,9.701,1955
ago,9.514,1960
ago,9.23,1965
ago,10.0,1970
ago,10.24,1975
ago,10.37,1980
ago,10.3,1985
ago,10.15,1990
ago,10.36,1995
ago,10.6,2000
ago,10.86,2005
ago,11.11,2010
ago,10.8,2015
ago,11.07,2020
ago,10.61,2025
ago,10.72,2030
ago,10.61,2035
ago,10.31,2040
ago,9.858,2045
ago,9.406,2050
arg,9.273,1950
arg,8.578,1955
arg,8.378,1960
arg,8.59,1965
arg,8.72,1970
arg,8.515,1975
arg,8.083,1980
arg,7.855,1985
arg,8.218,1990
arg,9.176,1995
arg,8.452,2000
arg,8.284,2005
arg,8.133,2010
arg,7.724,2015
arg,7.224,2020
arg,7.139,2025
arg,6.957,2030
arg,6.676,2035
arg,6.346,2040
arg,6.024,2045
arg,5.734,2050
arm,10.39,1950
arm,12.27,1955
arm,6.412,1960
arm,7.502,1965
arm,9.79,1970
arm,11.68,1975
arm,11.21,1980
arm,8.622,1985
arm,7.346,1990
arm,7.965,1995
arm,9.202,2000
arm,9.725,2005
arm,7.823,2010
arm,5.257,2015
arm,5.565,2020
arm,6.046,2025
arm,6.298,2030
arm,5.939,2035
arm,5.295,2040
arm,5.003,2045
arm,5.06,2050
abw,11.11,1950
abw,9.524,1955
abw,8.333,1960
abw,11.54,1965
abw,10.34,1970
abw,10.34,1975
abw,9.677,1980
abw,9.091,1985
abw,6.061,1990
abw,5.128,1995
abw,6.522,2000
abw,5.769,2005
abw,7.143,2010
abw,7.018,2015
abw,5.357,2020
abw,5.263,2025
abw,5.085,2030
abw,5.357,2035
abw,5.263,2040
abw,5.172,2045
abw,5.357,2050
aus,6.701,1950
aus,6.577,1955
aus,7.417,1960
aus,8.781,1965
aus,8.727,1970
aus,8.812,1975
aus,8.714,1980
aus,8.085,1985
aus,7.991,1990
aus,6.819,1995
aus,6.728,2000
aus,6.655,2005
aus,6.518,2010
aus,6.09,2015
aus,5.801,2020
aus,5.833,2025
aus,5.761,2030
aus,5.699,2035
aus,5.643,2040
aus,5.546,2045
aus,5.457,2050
aut,5.999,1950
aut,6.482,1955
aut,7.152,1960
aut,6.362,1965
aut,6.179,1970
aut,7.205,1975
aut,8.112,1980
aut,7.706,1985
aut,6.305,1990
aut,5.503,1995
aut,5.76,2000
aut,5.696,2005
aut,5.73,2010
aut,5.043,2015
aut,4.782,2020
aut,4.575,2025
aut,4.515,2030
aut,4.627,2035
aut,4.663,2040
aut,4.661,2045
aut,4.598,2050
aze,10.77,1950
aze,12.22,1955
aze,6.108,1960
aze,6.379,1965
aze,8.565,1970
aze,11.53,1975
aze,12.43,1980
aze,10.4,1985
aze,9.098,1990
aze,8.62,1995
aze,9.554,2000
aze,10.49,2005
aze,9.47,2010
aze,6.839,2015
aze,6.089,2020
aze,7.011,2025
aze,7.242,2030
aze,6.73,2035
aze,5.917,2040
aze,5.431,2045
aze,5.435,2050
bhs,9.524,1950
