geo,motorcycle_deaths_per_100000_people,time
est,0.186,2002
est,0.601,2003
est,0.294,2004
est,0.564,2005
est,0.639,2006
est,1.018,2007
est,0.814,2008
fin,0.744,1996
fin,0.567,1997
fin,0.654,1998
fin,0.508,1999
fin,0.454,2000
fin,0.567,2001
fin,0.748,2002
fin,0.787,2003
fin,0.728,2004
fin,0.869,2005
fin,0.918,2006
fin,1.097,2007
fin,0.952,2008
fra,6.845,1997
fra,7.743,1998
fra,8.715,1999
fra,5.043,2000
fra,5.045,2001
fra,4.364,2002
fra,3.968,2003
fra,3.841,2004
fra,4.02,2005
fra,3.513,2006
fra,3.776,2007
guf,8.654,2001
guf,18.07,2003
guf,18.38,2004
guf,17.14,2005
guf,3.906,2006
geo,0.039,1998
geo,0.029,2000
deu,1.363,1998
deu,1.613,1999
deu,1.515,2000
deu,1.511,2001
deu,1.506,2002
deu,1.561,2003
deu,1.405,2004
deu,1.439,2005
deu,1.248,2006
grc,4.261,1998
grc,5.657,1999
grc,4.662,2000
grc,4.258,2001
grc,3.523,2002
grc,4.414,2003
grc,4.225,2004
grc,4.136,2005
grc,4.425,2006
glp,19.41,2000
glp,9.027,2001
glp,5.626,2002
glp,9.38,2003
glp,11.56,2004
glp,3.939,2005
glp,12.49,2006
gtm,0.202,2005
gtm,0.402,2006
hti,0.205,1999
hti,0.662,2001
hkg,0.324,2001
hkg,0.28,2002
hkg,0.267,2003
hkg,0.273,2004
hkg,0.238,2005
hkg,0.222,2006
hkg,0.192,2007
hun,1.056,1996
hun,1.351,1997
hun,1.296,1998
hun,1.029,1999
hun,0.89,2000
hun,1.131,2001
hun,0.986,2002
hun,1.255,2003
hun,1.0,2004
hun,1.572,2005
hun,1.484,2006
hun,1.621,2007
hun,1.436,2008
isl,0.398,1997
isl,0.387,1999
isl,0.385,2000
isl,0.71,2001
isl,0.95,2004
isl,0.397,2005
isl,0.934,2006
isl,1.07,2007
isl,0.382,2008
irl,1.664,1996
irl,1.555,1997
irl,0.953,1998
irl,0.98,1999
irl,0.913,2000
irl,1.214,2001
irl,1.107,2002
irl,1.171,2003
irl,0.867,2004
irl,0.913,2005
irl,0.568,2007
irl,0.54,2008
isr,0.021,1997
isr,0.981,1998
isr,0.651,1999
isr,0.949,2000
isr,0.721,2001
isr,0.79,2002
isr,0.853,2003
isr,0.684,2004
isr,0.865,2005
isr,0.83,2006
isr,0.716,2007
ita,4.139,1996
ita,4.011,1997
ita,5.179,1998
ita,4.918,1999
ita,4.513,2000
ita,5.017,2001
ita,4.817,2002
ita,3.29,2003
ita,3.409,2006
ita,3.603,2007
jpn,2.038,1995
jpn,1.865,1996
jpn,1.73,1997
jpn,1.719,1998
jpn,1.605,1999
jpn,1.626,2000
jpn,1.608,2001
jpn,1.488,2002
jpn,1.405,2003
jpn,1.311,2004
jpn,1.155,2005
jpn,1.075,2006
jpn,0.987,2007
jpn,0.941,2008
kwt,18.36,1995
