geo,population_aged_20_39_years_male_percent,time
afg,28.49,1950
afg,28.69,1955
afg,28.79,1960
afg,28.83,1965
afg,28.92,1970
afg,28.42,1975
afg,27.97,1980
afg,27.53,1985
afg,27.08,1990
afg,27.01,1995
afg,26.95,2000
afg,27.19,2005
afg,27.76,2010
afg,28.48,2015
afg,29.26,2020
afg,29.9,2025
afg,30.34,2030
afg,30.94,2035
afg,31.69,2040
afg,32.51,2045
afg,33.24,2050
alb,26.6,1950
alb,27.19,1955
alb,27.44,1960
alb,27.77,1965
alb,27.04,1970
alb,27.57,1975
alb,30.04,1980
alb,31.76,1985
alb,33.31,1990
alb,31.71,1995
alb,27.79,2000
alb,27.38,2005
alb,29.22,2010
alb,31.67,2015
alb,33.11,2020
alb,31.15,2025
alb,28.34,2030
alb,26.08,2035
alb,25.0,2040
alb,25.49,2045
alb,25.22,2050
dza,28.36,1950
dza,27.75,1955
dza,26.37,1960
dza,25.15,1965
dza,21.7,1970
dza,22.9,1975
dza,24.55,1980
dza,26.78,1985
dza,29.02,1990
dza,30.73,1995
dza,33.51,2000
dza,36.03,2005
dza,37.1,2010
dza,36.57,2015
dza,33.66,2020
dza,30.6,2025
dza,28.7,2030
dza,27.93,2035
dza,28.51,2040
dza,28.36,2045
dza,27.24,2050
ago,29.04,1950
ago,28.57,1955
ago,27.8,1960
ago,26.9,1965
ago,25.97,1970
ago,25.88,1975
ago,25.95,1980
ago,26.19,1985
ago,26.49,1990
ago,26.4,1995
ago,26.8,2000
ago,27.23,2005
ago,28.16,2010
ago,29.23,2015
ago,29.89,2020
ago,30.8,2025
ago,31.26,2030
ago,31.84,2035
ago,32.54,2040
ago,32.8,2045
ago,32.94,2050
arg,32.43,1950
arg,31.43,1955
arg,30.28,1960
arg,29.28,1965
arg,28.88,1970
arg,29.08,1975
arg,29.03,1980
arg,28.98,1985
arg,28.66,1990
arg,28.76,1995
arg,30.01,2000
arg,30.8,2005
arg,31.51,2010
arg,31.73,2015
arg,30.79,2020
arg,30.02,2025
arg,29.37,2030
arg,28.73,2035
arg,28.12,2040
arg,27.59,2045
arg,26.81,2050
arm,26.01,1950
arm,28.95,1955
arm,33.26,1960
arm,30.19,1965
arm,26.75,1970
arm,28.06,1975
arm,29.69,1980
arm,33.48,1985
arm,33.84,1990
arm,30.43,1995
arm,27.8,2000
arm,27.48,2005
arm,30.74,2010
arm,32.92,2015
arm,32.12,2020
arm,30.21,2025
arm,27.87,2030
arm,27.19,2035
arm,28.15,2040
arm,27.73,2045
arm,26.29,2050
abw,25.0,1950
abw,26.32,1955
abw,26.09,1960
abw,25.93,1965
abw,29.63,1970
abw,30.0,1975
abw,32.26,1980
abw,36.67,1985
abw,34.38,1990
abw,37.5,1995
abw,31.82,2000
abw,28.57,2005
abw,26.0,2010
abw,25.0,2015
abw,26.42,2020
abw,27.45,2025
abw,26.42,2030
abw,25.49,2035
abw,22.64,2040
abw,22.64,2045
abw,24.0,2050
aus,31.56,1950
aus,29.65,1955
aus,28.29,1960
aus,27.06,1965
aus,28.4,1970
aus,29.95,1975
aus,31.89,1980
aus,32.99,1985
aus,32.41,1990
aus,31.76,1995
aus,29.8,2000
aus,28.7,2005
aus,27.98,2010
aus,27.28,2015
aus,26.89,2020
aus,26.13,2025
aus,25.56,2030
aus,25.06,2035
aus,24.9,2040
aus,24.9,2045
aus,24.73,2050
aut,25.97,1950
aut,25.25,1955
aut,27.3,1960
aut,28.2,1965
aut,28.23,1970
aut,28.99,1975
aut,30.21,1980
aut,31.67,1985
aut,33.44,1990
aut,33.76,1995
aut,31.37,2000
aut,29.12,2005
aut,27.18,2010
aut,26.52,2015
aut,25.94,2020
aut,24.7,2025
aut,23.5,2030
aut,22.37,2035
