arms_exports_us_inflation_adjusted,geo,time
14610000000,usa,1997
16180000000,usa,1998
11600000000,usa,1999
7398000000,usa,2000
5908000000,usa,2001
5229000000,usa,2002
5698000000,usa,2003
6866000000,usa,2004
6700000000,usa,2005
7453000000,usa,2006
8003000000,usa,2007
6288000000,usa,2008
6658000000,usa,2009
8641000000,usa,2010
6000000,ury,1960
1000000,ury,2000
252000000,uzb,2003
126000000,uzb,2004
4000000,uzb,2005
90000000,uzb,2009
90000000,uzb,2010
17000000,ven,1969
12000000,ven,1975
0,ven,1987
1000000,ven,2004
7000000,ven,2006
3000000,ven,2008
40000000,ven,2009
5000000,vnm,1972
12000000,vnm,2006
2000000,zmb,1990
7000000,zwe,1964
3000000,zwe,2001
