geo,cervical_cancer_number_of_new_female_cases,time
afg,511,2002
alb,389,2002
dza,1726,2002
ago,1158,2002
arg,4924,2002
arm,380,2002
aus,835,2002
aut,610,2002
aze,345,2002
bhs,25,2002
bhr,17,2002
bgd,12930,2002
brb,46,2002
blr,1086,2002
bel,667,2002
blz,40,2002
ben,561,2002
btn,200,2002
bol,1831,2002
bih,545,2002
bwa,156,2002
bra,19600,2002
brn,26,2002
bgr,979,2002
bfa,921,2002
bdi,899,2002
khm,1768,2002
cmr,1759,2002
can,1502,2002
cpv,47,2002
caf,374,2002
tcd,681,2002
chl,2163,2002
chn,45690,2002
col,6815,2002
com,97,2002
cod,3709,2002
cog,303,2002
cri,392,2002
civ,1497,2002
hrv,431,2002
cub,1346,2002
cyp,53,2002
cze,1160,2002
dnk,439,2002
dji,113,2002
dom,1032,2002
ecu,1978,2002
egy,2713,2002
slv,1213,2002
gnq,45,2002
eri,548,2002
est,156,2002
eth,7619,2002
fji,113,2002
fin,164,2002
fra,4149,2002
pyf,72,2002
gab,164,2002
gmb,157,2002
geo,580,2002
deu,6133,2002
gha,1958,2002
grc,578,2002
gum,6,2002
gtm,1153,2002
gin,1444,2002
gnb,124,2002
guy,160,2002
hti,2774,2002
hnd,664,2002
hun,1042,2002
isl,13,2002
ind,132100,2002
idn,15050,2002
irn,1118,2002
irq,252,2002
irl,164,2002
isr,160,2002
ita,3418,2002
jam,383,2002
jpn,7772,2002
jor,60,2002
kaz,1955,2002
ken,2635,2002
prk,2150,2002
kor,4949,2002
kwt,34,2002
kgz,522,2002
lao,317,2002
lva,291,2002
lbn,262,2002
lso,479,2002
lbr,320,2002
lby,218,2002
ltu,446,2002
lux,24,2002
mkd,167,2002
mdg,2238,2002
mwi,1766,2002
mys,1492,2002
mli,1336,2002
mlt,14,2002
mrt,259,2002
mus,111,2002
mex,12520,2002
mda,476,2002
mng,171,2002
mar,1550,2002
moz,2058,2002
mmr,5017,2002
nam,133,2002
npl,2185,2002
nzl,228,2002
nic,809,2002
ner,679,2002
nga,9922,2002
nor,291,2002
omn,46,2002
pak,2962,2002
pan,375,2002
png,637,2002
pry,1131,2002
per,5400,2002
phl,6000,2002
pol,4901,2002
prt,956,2002
pri,223,2002
qat,5,2002
rou,3448,2002
rus,12220,2002
rwa,1087,2002
wsm,16,2002
sau,271,2002
sen,804,2002
scg,1816,2002
sle,452,2002
sgp,323,2002
svk,654,2002
svn,207,2002
slb,58,2002
som,1134,2002
zaf,6742,2002
esp,2103,2002
lka,1544,2002
sdn,1664,2002
sur,51,2002
swz,186,2002
swe,485,2002
che,389,2002
syr,118,2002
tjk,232,2002
tza,7515,2002
tha,6243,2002
nld,753,2002
tgo,435,2002
tto,186,2002
tun,284,2002
tur,1364,2002
tkm,274,2002
uga,2429,2002
ukr,4885,2002
are,73,2002
gbr,3181,2002
usa,13160,2002
ury,392,2002
uzb,1149,2002
vut,14,2002
ven,3845,2002
vnm,6224,2002
yem,370,2002
zmb,1650,2002
zwe,1817,2002
