geo,electricity_use_total,time
aut,36430000000,1983
aut,38290000000,1984
aut,39920000000,1985
aut,40290000000,1986
aut,41990000000,1987
aut,43480000000,1988
aut,45010000000,1989
aut,46880000000,1990
aut,49000000000,1991
aut,48440000000,1992
aut,48110000000,1993
aut,48990000000,1994
aut,50350000000,1995
aut,52600000000,1996
aut,52780000000,1997
aut,53490000000,1998
aut,55670000000,1999
aut,56640000000,2000
aut,58950000000,2001
aut,60040000000,2002
aut,62590000000,2003
aut,63910000000,2004
aut,65680000000,2005
aut,68040000000,2006
aut,67980000000,2007
aut,68330000000,2008
aut,66590000000,2009
aut,70140000000,2010
aze,18640000000,1990
aze,18860000000,1991
aze,16520000000,1992
aze,15540000000,1993
aze,15670000000,1994
aze,14820000000,1995
aze,14970000000,1996
aze,14300000000,1997
aze,16210000000,1998
aze,16250000000,1999
aze,16550000000,2000
aze,17250000000,2001
aze,17410000000,2002
aze,19730000000,2003
aze,20670000000,2004
aze,20670000000,2005
aze,21870000000,2006
aze,18680000000,2007
aze,18250000000,2008
aze,14690000000,2009
aze,14730000000,2010
bhr,430000000,1971
bhr,450000000,1972
bhr,500000000,1973
bhr,575000000,1974
bhr,700000000,1975
bhr,900000000,1976
bhr,1110000000,1977
bhr,1212000000,1978
bhr,1474000000,1979
bhr,1660000000,1980
bhr,1814000000,1981
bhr,2009000000,1982
bhr,2216000000,1983
bhr,2093000000,1984
bhr,2429000000,1985
bhr,2887000000,1986
bhr,2708000000,1987
bhr,2954000000,1988
bhr,3093000000,1989
bhr,3240000000,1990
bhr,3163000000,1991
bhr,3700000000,1992
bhr,4044000000,1993
bhr,4386000000,1994
bhr,4550000000,1995
bhr,4800000000,1996
bhr,4955000000,1997
bhr,5313000000,1998
bhr,5563000000,1999
bhr,5740000000,2000
bhr,6203000000,2001
bhr,6735000000,2002
bhr,7465000000,2003
bhr,8051000000,2004
bhr,8456000000,2005
bhr,9317000000,2006
bhr,10760000000,2007
bhr,10190000000,2008
bhr,10780000000,2009
bhr,12380000000,2010
bgd,710000000,1971
bgd,710000000,1972
bgd,1042000000,1973
bgd,1178000000,1974
bgd,1211000000,1975
bgd,1261000000,1976
bgd,1367000000,1977
bgd,1651000000,1978
bgd,1661000000,1979
bgd,1522000000,1980
bgd,1867000000,1981
bgd,2168000000,1982
bgd,2537000000,1983
bgd,2867000000,1984
bgd,3041000000,1985
bgd,3535000000,1986
bgd,3769000000,1987
bgd,4174000000,1988
bgd,5094000000,1989
bgd,5136000000,1990
bgd,5324000000,1991
bgd,6523000000,1992
bgd,7414000000,1993
bgd,8013000000,1994
bgd,9010000000,1995
bgd,9640000000,1996
bgd,10060000000,1997
bgd,10900000000,1998
bgd,12160000000,1999
bgd,13350000000,2000
bgd,14980000000,2001
bgd,16290000000,2002
bgd,17440000000,2003
bgd,22650000000,2004
bgd,24540000000,2005
bgd,28100000000,2006
bgd,29680000000,2007
bgd,33270000000,2008
bgd,37000000000,2009
bgd,41470000000,2010
blr,44950000000,1990
blr,45520000000,1991
blr,40300000000,1992
blr,35540000000,1993
blr,31580000000,1994
blr,28660000000,1995
blr,28750000000,1996
blr,30130000000,1997
blr,30640000000,1998
blr,30350000000,1999
blr,30060000000,2000
blr,30000000000,2001
blr,29720000000,2002
blr,30140000000,2003
blr,31030000000,2004
blr,31520000000,2005
blr,32480000000,2006
blr,32540000000,2007
blr,33450000000,2008
blr,31790000000,2009
blr,34200000000,2010
bel,14430000000,1960
bel,14990000000,1961
bel,16250000000,1962
bel,17550000000,1963
bel,19360000000,1964
bel,20420000000,1965
bel,21380000000,1966
bel,22440000000,1967
bel,24810000000,1968
bel,27150000000,1969
bel,29180000000,1970
bel,31080000000,1971
bel,35030000000,1972
bel,38360000000,1973
bel,40360000000,1974
bel,38050000000,1975
bel,41660000000,1976
bel,43280000000,1977
bel,45480000000,1978
bel,48300000000,1979
bel,48190000000,1980
bel,48350000000,1981
bel,48260000000,1982
bel,49620000000,1983
bel,51980000000,1984
bel,54150000000,1985
bel,55350000000,1986
bel,58010000000,1987
bel,59940000000,1988
bel,61570000000,1989
bel,63480000000,1990
bel,66400000000,1991
bel,68540000000,1992
bel,69030000000,1993
bel,72180000000,1994
bel,74390000000,1995
bel,76020000000,1996
bel,77890000000,1997
bel,80150000000,1998
bel,80620000000,1999
bel,83930000000,2000
bel,84420000000,2001
bel,85230000000,2002
bel,86670000000,2003
bel,88820000000,2004
bel,88620000000,2005
bel,90960000000,2006
bel,90790000000,2007
bel,90350000000,2008
bel,84250000000,2009
bel,89850000000,2010
ben,32000000,1971
ben,36000000,1972
ben,58000000,1973
ben,54000000,1974
ben,59000000,1975
ben,65000000,1976
ben,73000000,1977
ben,135000000,1984
ben,225000000,1994
ben,271000000,1996
ben,301000000,1997
ben,290000000,1998
ben,346000000,1999
ben,399000000,2000
ben,617000000,2006
ben,674000000,2007
ben,751000000,2008
bol,760000000,1971
bol,815000000,1972
bol,832000000,1973
bol,889000000,1974
bol,948000000,1975
bol,1021000000,1976
bol,1131000000,1977
bol,1216000000,1978
bol,1296000000,1979
bol,1414000000,1980
bol,1516000000,1981
bol,1541000000,1982
bol,1508000000,1983
bol,1529000000,1984
bol,1514000000,1985
bol,1483000000,1986
bol,1505000000,1987
bol,1617000000,1988
bol,1733000000,1989
bol,1827000000,1990
bol,1967000000,1991
bol,2077000000,1992
bol,2286000000,1993
bol,2485000000,1994
bol,2680000000,1995
bol,2877000000,1996
bol,3082000000,1997
bol,3280000000,1998
bol,3453000000,1999
bol,3501000000,2000
bol,3558000000,2001
bol,3741000000,2002
bol,3874000000,2003
bol,4034000000,2004
bol,4367000000,2005
bol,4727000000,2006
bol,5114000000,2007
bol,5187000000,2008
bol,5458000000,2009
bol,6121000000,2010
bih,13110000000,1990
bih,9202000000,1991
bih,4705000000,1992
bih,2887000000,1993
bih,3519000000,1994
bih,3673000000,1995
bih,4240000000,1996
bih,5173000000,1997
bih,6627000000,1998
bih,6867000000,1999
bih,7616000000,2000
bih,7768000000,2001
bih,7865000000,2002
bih,8403000000,2003
bih,8740000000,2004
bih,8998000000,2005
bih,8979000000,2006
bih,8965000000,2007
bih,11210000000,2008
bih,10800000000,2009
bih,11690000000,2010
bwa,546000000,1981
bwa,604000000,1982
bwa,623000000,1983
bwa,661000000,1984
bwa,710000000,1985
bwa,837000000,1986
bwa,978000000,1987
bwa,863000000,1988
bwa,908000000,1989
bwa,990000000,1990
bwa,1131000000,1991
bwa,1262000000,1992
bwa,1290000000,1993
bwa,1381000000,1994
bwa,1375000000,1995
bwa,1448000000,1996
bwa,1585000000,1997
bwa,1728000000,1998
bwa,1728000000,1999
bwa,1592000000,2000
bwa,2023000000,2001
bwa,2252000000,2002
bwa,2408000000,2003
bwa,2526000000,2004
bwa,2666000000,2005
bwa,2737000000,2006
bwa,2872000000,2007
bwa,2956000000,2008
bwa,2989000000,2009
bwa,3184000000,2010
bra,44830000000,1971
bra,49830000000,1972
bra,56720000000,1973
bra,63340000000,1974
bra,69850000000,1975
bra,79280000000,1976
bra,88840000000,1977
bra,99040000000,1978
bra,111000000000,1979
bra,122700000000,1980
bra,126200000000,1981
bra,133600000000,1982
bra,143900000000,1983
bra,160000000000,1984
bra,173600000000,1985
bra,187100000000,1986
bra,192800000000,1987
bra,203900000000,1988
bra,212200000000,1989
bra,217700000000,1990
bra,225400000000,1991
bra,230500000000,1992
bra,241200000000,1993
bra,249800000000,1994
bra,264800000000,1995
bra,277700000000,1996
bra,294700000000,1997
bra,307000000000,1998
bra,315800000000,1999
bra,331600000000,2000
bra,309700000000,2001
bra,324400000000,2002
bra,342200000000,2003
bra,359900000000,2004
bra,375200000000,2005
bra,390000000000,2006
bra,412100000000,2007
bra,428300000000,2008
bra,426000000000,2009
bra,464700000000,2010
brn,238000000,1971
brn,238000000,1972
brn,235000000,1973
brn,239000000,1974
brn,239000000,1975
brn,239000000,1976
brn,239000000,1977
brn,239000000,1978
brn,239000000,1979
brn,328000000,1980
brn,453000000,1981
brn,543000000,1982
brn,653000000,1983
brn,718000000,1984
brn,733000000,1985
brn,743000000,1986
brn,996000000,1987
brn,1047000000,1988
brn,1081000000,1989
brn,1119000000,1990
brn,1191000000,1991
brn,1320000000,1992
brn,1484000000,1993
brn,1615000000,1994
brn,1897000000,1995
brn,2080000000,1996
brn,2378000000,1997
brn,2475000000,1998
brn,2406000000,1999
brn,2514000000,2000
brn,2272000000,2001
brn,2361000000,2002
brn,2799000000,2003
brn,3142000000,2004
brn,3149000000,2005
brn,3122000000,2006
brn,3230000000,2007
brn,3259000000,2008
brn,3394000000,2009
brn,3494000000,2010
bgr,19580000000,1971
bgr,21360000000,1972
bgr,23180000000,1973
bgr,24670000000,1974
bgr,26470000000,1975
bgr,28430000000,1976
bgr,30200000000,1977
bgr,32140000000,1978
bgr,33330000000,1979
bgr,35210000000,1980
bgr,36670000000,1981
bgr,39210000000,1982
bgr,40960000000,1983
bgr,42730000000,1984
bgr,41920000000,1985
bgr,41620000000,1986
bgr,43270000000,1987
bgr,44060000000,1988
bgr,44060000000,1989
bgr,41970000000,1990
bgr,38130000000,1991
bgr,32320000000,1992
bgr,32560000000,1993
bgr,32320000000,1994
bgr,35190000000,1995
bgr,35990000000,1996
bgr,32550000000,1997
bgr,31970000000,1998
bgr,29150000000,1999
bgr,29410000000,2000
bgr,30630000000,2001
bgr,30300000000,2002
bgr,31150000000,2003
bgr,30680000000,2004
bgr,31900000000,2005
bgr,33150000000,2006
bgr,34040000000,2007
bgr,34880000000,2008
bgr,33190000000,2009
bgr,33550000000,2010
khm,144000000,1995
khm,220000000,1996
khm,274000000,1997
khm,309000000,1998
khm,359000000,1999
khm,398000000,2000
khm,453000000,2001
khm,636000000,2002
khm,662000000,2003
khm,728000000,2004
khm,886000000,2005
khm,1088000000,2006
