geo,hiv_deaths_in_children_1_59_months_total_deaths,time
afg,17,2008
alb,0,2008
dza,39,2008
ago,2951,2008
arg,15,2008
arm,4,2008
aus,0,2008
aut,0,2008
aze,10,2008
bhs,1,2008
bhr,0,2008
bgd,60,2008
brb,1,2008
blr,0,2008
bel,0,2008
blz,6,2008
ben,530,2008
btn,0,2008
bol,28,2008
bih,0,2008
bwa,0,2008
bra,149,2008
brn,0,2008
bgr,0,2008
bfa,995,2008
bdi,1095,2008
khm,107,2008
cmr,4362,2008
can,0,2008
cpv,0,2008
caf,1758,2008
tcd,2850,2008
chl,3,2008
chn,1191,2008
col,48,2008
com,0,2008
cog,727,2008
cri,0,2008
civ,3247,2008
hrv,0,2008
cub,1,2008
cyp,0,2008
cze,0,2008
prk,14,2008
cod,6281,2008
dnk,0,2008
dji,136,2008
dom,96,2008
ecu,64,2008
egy,33,2008
slv,88,2008
gnq,107,2008
eri,449,2008
est,1,2008
eth,9080,2008
fji,2,2008
fin,0,2008
fra,0,2008
gab,294,2008
gmb,84,2008
geo,4,2008
deu,2,2008
gha,1437,2008
grc,0,2008
grd,0,2008
gtm,427,2008
gin,1014,2008
gnb,231,2008
guy,48,2008
hti,873,2008
hnd,84,2008
hun,0,2008
isl,0,2008
ind,8585,2008
idn,635,2008
irn,242,2008
irq,0,2008
irl,0,2008
isr,0,2008
ita,0,2008
jam,61,2008
jpn,0,2008
jor,0,2008
kaz,16,2008
ken,8855,2008
kwt,0,2008
kgz,12,2008
lao,10,2008
lva,0,2008
lbn,6,2008
lso,774,2008
lbr,568,2008
lby,0,2008
ltu,0,2008
lux,0,2008
mdg,81,2008
mwi,7693,2008
mys,131,2008
mdv,0,2008
mli,1116,2008
mlt,0,2008
mrt,67,2008
mus,2,2008
mex,79,2008
fsm,0,2008
mng,2,2008
mne,0,2008
mar,22,2008
moz,15500,2008
mmr,663,2008
nam,441,2008
npl,279,2008
nld,0,2008
nzl,0,2008
nic,25,2008
ner,577,2008
nga,29460,2008
nor,0,2008
omn,0,2008
pak,425,2008
pan,11,2008
png,362,2008
pry,43,2008
per,191,2008
phl,32,2008
pol,0,2008
prt,4,2008
qat,0,2008
kor,0,2008
mda,0,2008
rou,0,2008
rus,15,2008
rwa,281,2008
lca,0,2008
vct,0,2008
wsm,0,2008
stp,0,2008
sau,0,2008
sen,710,2008
srb,0,2008
sle,638,2008
sgp,0,2008
svk,0,2008
svn,0,2008
slb,0,2008
som,165,2008
zaf,33150,2008
esp,4,2008
lka,6,2008
sdn,3350,2008
sur,6,2008
swz,1407,2008
swe,1,2008
che,0,2008
syr,0,2008
tjk,27,2008
tha,273,2008
mkd,0,2008
tgo,1152,2008
ton,0,2008
tto,38,2008
tun,0,2008
tur,0,2008
tkm,0,2008
uga,9542,2008
ukr,64,2008
are,0,2008
gbr,1,2008
tza,14890,2008
usa,6,2008
ury,1,2008
uzb,47,2008
vut,0,2008
ven,31,2008
vnm,682,2008
yem,0,2008
zmb,9179,2008
zwe,7541,2008
