geo,traffic_total_deaths,time
can,2889,2006
cpv,43,2002
cpv,76,2004
cpv,133,2007
cym,1,1998
cym,6,1999
cym,3,2000
cym,6,2002
cym,3,2003
cym,4,2004
caf,1320,2002
caf,1393,2004
caf,1399,2007
tcd,2918,2002
tcd,2945,2004
tcd,3696,2007
chl,2614,1997
chl,2704,1998
chl,2051,1999
chl,2513,2000
chl,2366,2001
chl,2311,2002
chl,2345,2003
chl,2139,2004
chl,2344,2005
chl,2280,2006
chn,250000,2002
chn,284800,2004
chn,220800,2007
col,8057,2002
col,8875,2004
col,5409,2007
com,149,2002
com,111,2004
com,254,2007
cod,19020,2002
cod,18920,2004
cod,20180,2007
cog,848,2002
cog,792,2004
cog,1084,2007
cok,2,2002
cok,1,2004
cok,6,2007
cri,646,1997
cri,699,1998
cri,746,1999
cri,773,2000
cri,733,2001
cri,742,2002
cri,721,2003
cri,666,2004
cri,666,2005
cri,804,2006
cri,688,2007
civ,6176,2002
civ,9697,2004
hrv,903,1995
hrv,715,1996
hrv,759,1997
hrv,723,1998
hrv,714,1999
hrv,737,2000
hrv,681,2001
hrv,569,2002
hrv,761,2003
hrv,627,2004
hrv,638,2005
hrv,646,2006
hrv,619,2007
hrv,711,2008
cub,1826,2000
cub,1566,2001
cub,1481,2002
cub,1282,2003
cub,1213,2004
cub,1294,2005
cub,1096,2006
cub,964,2007
cyp,214,2002
cyp,186,2004
cyp,89,2007
cze,1740,1994
cze,1703,1995
cze,1598,1996
cze,1675,1997
cze,1449,1998
cze,1598,1999
cze,1577,2000
cze,1504,2001
cze,1023,2002
cze,1516,2003
cze,1000,2004
cze,1315,2005
cze,1095,2006
cze,1222,2007
cze,1269,2008
dnk,572,1994
dnk,619,1995
dnk,531,1996
dnk,499,1997
dnk,521,1998
dnk,525,1999
dnk,616,2000
dnk,595,2001
dnk,462,2002
dnk,529,2003
dnk,426,2004
dnk,450,2005
dnk,420,2006
dji,230,2002
dji,238,2004
dma,14,2002
dma,4,2004
dom,1232,1996
dom,1532,1997
dom,1546,1998
dom,1726,1999
dom,1469,2000
dom,1494,2001
dom,2080,2002
dom,1605,2003
dom,4053,2004
dom,1691,2007
ecu,1872,2002
ecu,1811,2004
ecu,1559,2007
egy,31440,2007
slv,1910,2002
slv,1958,2004
slv,865,2007
gnq,186,2002
gnq,171,2004
eri,881,2002
eri,725,2004
eri,2350,2007
est,325,1997
est,329,1998
est,264,1999
est,246,2000
est,225,2001
est,206,2002
est,183,2003
est,190,2004
est,187,2005
est,234,2006
est,196,2007
est,157,2008
eth,17970,2002
eth,17360,2004
eth,29110,2007
fji,34,2002
fji,30,2004
fji,59,2007
fin,441,1996
fin,479,1997
fin,439,1998
fin,470,1999
fin,423,2000
fin,476,2001
fin,445,2002
fin,437,2003
fin,391,2004
fin,416,2005
fin,361,2006
fin,380,2007
fin,360,2008
fra,9343,1997
fra,9866,1998
fra,9460,1999
fra,8921,2000
fra,9057,2001
fra,8298,2002
fra,6950,2003
fra,5651,2004
fra,6280,2005
fra,5547,2006
fra,4620,2007
guf,24,2001
guf,33,2002
guf,45,2003
guf,43,2004
guf,47,2005
guf,23,2006
gab,343,2002
gab,330,2004
gmb,417,2002
gmb,348,2004
gmb,625,2007
geo,327,1998
geo,364,1999
geo,329,2000
geo,451,2001
geo,314,2002
geo,334,2004
geo,737,2007
deu,7968,1998
deu,8081,1999
deu,7843,2000
deu,7342,2001
deu,7110,2002
deu,6922,2003
deu,6035,2004
deu,5727,2005
deu,5430,2006
deu,4949,2007
gha,5408,2002
gha,4350,2004
gha,6942,2007
grc,2152,2002
grc,1922,2004
grc,1657,2006
grd,4,2002
grd,4,2003
grd,4,2004
glp,138,2000
glp,88,2001
glp,97,2002
glp,92,2003
glp,86,2004
glp,79,2005
glp,88,2006
gtm,783,2002
gtm,654,2004
gtm,967,2005
gtm,933,2006
gtm,1968,2007
gin,2914,2002
gin,2597,2004
gnb,506,2002
gnb,399,2004
gnb,583,2007
guy,80,2002
guy,200,2004
guy,147,2007
hti,661,2002
hti,529,2004
hnd,1019,2002
hnd,827,2004
hnd,959,2007
hkg,177,2001
hkg,226,2002
hkg,197,2003
hkg,198,2004
hkg,194,2005
hkg,172,2006
hkg,169,2007
hun,1579,1996
hun,1620,1997
hun,1615,1998
hun,1520,1999
hun,1417,2000
hun,1462,2001
hun,1584,2002
hun,1561,2003
hun,1491,2004
hun,1519,2005
hun,1531,2006
hun,1232,2007
hun,1225,2008
isl,10,1996
isl,16,1997
isl,31,1998
isl,19,1999
isl,32,2000
isl,27,2001
isl,21,2002
isl,24,2003
isl,23,2004
isl,16,2005
isl,30,2006
isl,14,2007
isl,15,2008
ind,189000,2002
ind,202300,2004
ind,196400,2007
idn,51880,2002
idn,50600,2004
idn,37440,2007
irn,40520,2002
irn,34380,2004
irn,25490,2007
irq,12920,2002
irq,27670,2004
irq,11060,2007
irl,396,2002
irl,311,2004
irl,365,2006
isr,491,2002
isr,317,2004
isr,398,2007
ita,7630,2002
ita,7078,2004
ita,5669,2006
jam,53,2002
jam,340,2004
jam,334,2007
jpn,15060,1995
jpn,14210,1996
jpn,13960,1997
jpn,13470,1998
jpn,13150,1999
jpn,12920,2000
jpn,12450,2001
jpn,11080,2002
jpn,10930,2003
jpn,9894,2004
jpn,10040,2005
jpn,9231,2006
jpn,6639,2007
jpn,7658,2008
jor,1526,2002
jor,1145,2004
jor,2027,2007
kaz,2479,2002
kaz,3055,2004
kaz,4714,2007
ken,7051,2002
ken,8560,2004
ken,12920,2007
kir,6,1999
kir,7,2001
kir,5,2002
kir,5,2004
kir,7,2007
prk,3037,2002
prk,3173,2004
kor,18160,1995
kor,18280,1996
kor,16110,1997
kor,12940,1998
kor,12980,1999
kor,12600,2000
kor,10830,2001
kor,10610,2002
kor,9560,2003
kor,9150,2004
kor,8237,2005
kor,8240,2006
kor,6166,2007
kwt,324,1995
kwt,333,1996
kwt,379,1997
kwt,356,1998
kwt,400,1999
kwt,397,2000
kwt,388,2001
kwt,379,2002
kwt,411,2004
kwt,482,2006
kwt,518,2008
kgz,636,2002
kgz,1005,2004
kgz,1214,2007
lao,1225,2002
lao,1139,2004
lao,1075,2007
lva,675,1996
lva,641,1997
lva,777,1998
lva,735,1999
lva,720,2000
lva,628,2001
lva,583,2002
lva,558,2003
lva,520,2004
lva,494,2005
lva,407,2006
lva,482,2007
lva,392,2008
lbn,1481,2002
lbn,1630,2004
lbn,1170,2007
lso,426,2002
lso,262,2004
lso,537,2007
lbr,1558,2002
lbr,884,2004
lbr,1235,2007
lby,960,2002
lby,1142,2004
lby,2497,2007
ltu,979,1998
ltu,873,1999
ltu,760,2000
ltu,829,2001
ltu,709,2002
ltu,830,2003
ltu,778,2004
ltu,874,2005
ltu,759,2006
ltu,870,2007
ltu,586,2008
lux,63,1998
lux,61,1999
lux,90,2000
lux,82,2001
lux,62,2002
lux,61,2003
lux,53,2004
lux,48,2005
lux,40,2006
mkd,110,2002
mkd,189,2004
mkd,140,2006
mdg,5143,2002
mdg,3620,2004
mdg,6641,2007
mwi,3242,2002
