geo,population_aged_20_39_years_total_number,time
afg,2306000,1950
afg,2503000,1955
afg,2739000,1960
afg,3023000,1965
afg,3381000,1970
afg,3738000,1975
afg,3849000,1980
afg,3345000,1985
afg,3370000,1990
afg,4836000,1995
afg,5485000,2000
afg,6607000,2005
afg,8015000,2010
afg,9677000,2015
afg,11500000,2020
afg,13360000,2025
afg,15280000,2030
afg,17370000,2035
afg,19630000,2040
afg,22030000,2045
afg,24450000,2050
alb,323000,1950
alb,371000,1955
alb,444000,1960
alb,516000,1965
alb,576000,1970
alb,660000,1975
alb,785000,1980
alb,925000,1985
alb,1090000,1990
alb,997000,1995
alb,878000,2000
alb,883000,2005
alb,940000,2010
alb,1026000,2015
alb,1076000,2020
alb,1014000,2025
alb,920000,2030
alb,844000,2035
alb,800000,2040
alb,809000,2045
alb,788000,2050
dza,2439000,1950
dza,2691000,1955
dza,2905000,1960
dza,3081000,1965
dza,3200000,1970
dza,3803000,1975
dza,4640000,1980
dza,5901000,1985
dza,7272000,1990
dza,8624000,1995
dza,10160000,2000
dza,11770000,2005
dza,13070000,2010
dza,13850000,2015
dza,13590000,2020
dza,13020000,2025
dza,12730000,2030
dza,12780000,2035
dza,13380000,2040
dza,13600000,2045
dza,13280000,2050
ago,1200000,1950
ago,1288000,1955
ago,1386000,1960
ago,1474000,1965
ago,1574000,1970
ago,1761000,1975
ago,2041000,1980
ago,2450000,1985
ago,2831000,1990
ago,3314000,1995
ago,3826000,2000
ago,4516000,2005
ago,5335000,2010
ago,6320000,2015
ago,7310000,2020
ago,8442000,2025
ago,9504000,2030
ago,10630000,2035
ago,11830000,2040
ago,12890000,2045
ago,13880000,2050
arg,5609000,1950
arg,6016000,1955
arg,6304000,1960
arg,6561000,1965
arg,6898000,1970
arg,7470000,1975
arg,8022000,1980
arg,8572000,1985
arg,9102000,1990
arg,9757000,1995
arg,10810000,2000
arg,11620000,2005
arg,12470000,2010
arg,13130000,2015
arg,13250000,2020
arg,13370000,2025
arg,13450000,2030
arg,13450000,2035
arg,13420000,2040
arg,13370000,2045
arg,13140000,2050
arm,362000,1950
arm,446000,1955
arm,608000,1960
arm,656000,1965
arm,676000,1970
arm,792000,1975
arm,917000,1980
arm,1114000,1985
arm,1198000,1990
arm,987000,1995
arm,871000,2000
arm,851000,2005
arm,944000,2010
arm,1009000,2015
arm,970000,2020
arm,894000,2025
arm,803000,2030
arm,768000,2035
arm,791000,2040
arm,775000,2045
arm,725000,2050
abw,12000,1950
abw,13000,1955
abw,14000,1960
abw,14000,1965
abw,16000,1970
abw,19000,1975
abw,20000,1980
abw,25000,1985
abw,22000,1990
abw,28000,1995
abw,28000,2000
abw,29000,2005
abw,28000,2010
abw,28000,2015
abw,29000,2020
abw,30000,2025
abw,29000,2030
abw,27000,2035
abw,25000,2040
abw,25000,2045
abw,25000,2050
aus,2565000,1950
aus,2671000,1955
aus,2827000,1960
aus,3041000,1965
aus,3522000,1970
aus,4002000,1975
aus,4610000,1980
aus,5138000,1985
aus,5488000,1990
aus,5694000,1995
aus,5669000,2000
aus,5798000,2005
aus,5940000,2010
aus,6056000,2015
aus,6235000,2020
aus,6309000,2025
aus,6402000,2030
aus,6484000,2035
aus,6627000,2040
aus,6803000,2045
aus,6924000,2050
aut,1860000,1950
aut,1756000,1955
aut,1861000,1960
aut,1903000,1965
aut,1943000,1970
aut,2039000,1975
aut,2136000,1980
aut,2258000,1985
aut,2424000,1990
aut,2541000,1995
aut,2407000,2000
aut,2313000,2005
aut,2206000,2010
aut,2172000,2015
aut,2140000,2020
aut,2051000,2025
aut,1957000,2030
aut,1864000,2035
aut,1833000,2040
aut,1827000,2045
aut,1834000,2050
aze,776000,1950
aze,956000,1955
aze,1234000,1960
aze,1285000,1965
aze,1274000,1970
aze,1392000,1975
aze,1646000,1980
aze,2129000,1985
aze,2377000,1990
aze,2619000,1995
aze,2642000,2000
aze,2647000,2005
aze,2904000,2010
aze,3146000,2015
aze,3172000,2020
aze,3036000,2025
aze,2886000,2030
aze,2821000,2035
aze,2899000,2040
aze,2915000,2045
aze,2757000,2050
bhs,23000,1950
bhs,25000,1955
bhs,30000,1960
bhs,40000,1965
bhs,48000,1970
bhs,54000,1975
bhs,62000,1980
bhs,76000,1985
bhs,88000,1990
bhs,99000,1995
bhs,103000,2000
bhs,107000,2005
bhs,110000,2010
bhs,114000,2015
bhs,118000,2020
bhs,117000,2025
bhs,118000,2030
bhs,115000,2035
bhs,112000,2040
bhs,112000,2045
bhs,111000,2050
bhr,35000,1950
bhr,40000,1955
bhr,48000,1960
bhr,49000,1965
bhr,58000,1970
bhr,78000,1975
bhr,134000,1980
bhr,180000,1985
bhr,216000,1990
bhr,243000,1995
bhr,265000,2000
bhr,295000,2005
bhr,325000,2010
bhr,333000,2015
bhr,339000,2020
bhr,348000,2025
bhr,350000,2030
bhr,349000,2035
bhr,348000,2040
bhr,344000,2045
bhr,345000,2050
bgd,12780000,1950
bgd,13840000,1955
bgd,15140000,1960
bgd,16390000,1965
bgd,17960000,1970
bgd,20730000,1975
bgd,23950000,1980
bgd,27980000,1985
bgd,32870000,1990
bgd,38300000,1995
bgd,44870000,2000
bgd,51730000,2005
bgd,57620000,2010
bgd,61760000,2015
bgd,64130000,2020
bgd,64860000,2025
bgd,64090000,2030
bgd,63170000,2035
bgd,61930000,2040
bgd,60480000,2045
bgd,59450000,2050
brb,63000,1950
brb,60000,1955
brb,55000,1960
brb,50000,1965
brb,53000,1970
brb,64000,1975
brb,74000,1980
brb,88000,1985
brb,95000,1990
brb,94000,1995
brb,83000,2000
brb,78000,2005
brb,76000,2010
brb,72000,2015
brb,70000,2020
brb,65000,2025
brb,59000,2030
brb,54000,2035
brb,52000,2040
brb,51000,2045
brb,50000,2050
blr,2270000,1950
blr,2374000,1955
blr,2706000,1960
blr,2639000,1965
blr,2534000,1970
blr,2580000,1975
blr,2727000,1980
blr,3069000,1985
blr,3125000,1990
blr,3075000,1995
blr,2931000,2000
blr,2919000,2005
blr,3028000,2010
blr,2904000,2015
blr,2631000,2020
blr,2279000,2025
blr,1963000,2030
blr,1822000,2035
blr,1778000,2040
blr,1706000,2045
blr,1578000,2050
bel,2447000,1950
bel,2438000,1955
bel,2537000,1960
bel,2452000,1965
bel,2515000,1970
bel,2623000,1975
bel,2806000,1980
bel,3030000,1985
bel,3052000,1990
bel,3005000,1995
bel,2854000,2000
bel,2770000,2005
bel,2715000,2010
bel,2671000,2015
bel,2640000,2020
bel,2602000,2025
bel,2597000,2030
bel,2588000,2035
bel,2616000,2040
bel,2650000,2045
bel,2646000,2050
blz,19000,1950
blz,21000,1955
blz,24000,1960
blz,24000,1965
blz,28000,1970
blz,30000,1975
blz,34000,1980
blz,43000,1985
blz,55000,1990
blz,68000,1995
blz,77000,2000
blz,88000,2005
blz,101000,2010
blz,114000,2015
blz,126000,2020
blz,135000,2025
