poisonings_deaths_per_100000_people,geo,time
5.221,afg,2002
4.713,afg,2004
1.288,alb,2002
5.043,alb,2004
4.215,dza,2002
3.6,dza,2004
2.593,and,2002
2.463,and,2004
12.89,ago,2002
12.67,ago,2004
0.701,atg,2002
0.7665,atg,2004
0.5061,arg,2002
0.5656,arg,2004
2.525,arm,2002
2.82,arm,2004
4.185,aus,2002
3.156,aus,2004
0.9908,aut,2002
0.3462,aut,2004
1.247,aze,2002
1.494,aze,2004
0.6582,bhs,2002
0.657,bhs,2004
0.09129,bhr,2002
0.1231,bhr,2004
7.232,bgd,2002
7.067,bgd,2004
0.0,brb,2002
0.2034,brb,2004
35.12,blr,2002
33.57,blr,2004
1.374,bel,2002
1.445,bel,2004
0.0,blz,2002
0.6797,blz,2004
6.832,ben,2002
4.471,ben,2004
9.06,btn,2002
8.007,btn,2004
1.055,bol,2002
0.967,bol,2004
0.5308,bih,2002
0.5396,bih,2004
5.671,bwa,2002
7.253,bwa,2004
0.2134,bra,2002
0.1664,bra,2004
1.06,brn,2002
1.005,brn,2004
1.629,bgr,2002
2.147,bgr,2004
9.018,bfa,2002
5.851,bfa,2004
7.982,bdi,2002
11.62,bdi,2004
0.7264,khm,2002
0.8332,khm,2004
7.053,cmr,2002
5.093,cmr,2004
2.531,can,2002
2.408,can,2004
0.4384,cpv,2002
0.6979,cpv,2004
9.778,caf,2002
10.79,caf,2004
7.466,tcd,2002
5.895,tcd,2004
1.038,chl,2002
0.5275,chl,2004
5.51,chn,2002
4.005,chn,2004
0.3163,col,2002
0.5398,col,2004
3.701,com,2002
2.445,com,2004
7.076,cog,2002
7.422,cog,2004
3.697,cok,2002
3.437,cok,2004
0.3832,cri,2002
0.2053,cri,2004
1.539,hrv,2002
1.723,hrv,2004
0.3207,cub,2002
0.2797,cub,2004
0.1897,cyp,2002
0.1664,cyp,2004
2.614,cze,2002
2.604,cze,2004
10.66,civ,2002
16.47,civ,2004
2.218,prk,2002
2.109,prk,2004
11.65,cod,2002
11.29,cod,2004
2.304,dnk,2002
3.593,dnk,2004
4.949,dji,2002
4.759,dji,2004
0.7849,dma,2002
0.0,dma,2004
0.2899,dom,2002
0.1776,dom,2004
2.388,ecu,2002
1.857,ecu,2004
2.347,egy,2002
2.31,egy,2004
0.259,slv,2002
0.4296,slv,2004
6.832,gnq,2002
5.409,gnq,2004
6.616,eri,2002
6.005,eri,2004
27.94,est,2002
23.41,est,2004
5.053,eth,2002
5.039,eth,2004
5.376,fji,2002
5.036,fji,2004
9.006,fin,2002
11.18,fin,2004
0.7302,fra,2002
1.122,fra,2004
6.953,gab,2002
5.301,gab,2004
6.588,gmb,2002
4.43,gmb,2004
0.9184,geo,2002
0.4516,geo,2004
0.6664,deu,2002
0.8054,deu,2004
5.766,gha,2002
4.458,gha,2004
2.44,grc,2002
3.094,grc,2004
6.075,grd,2002
5.756,grd,2004
0.5229,gtm,2002
1.706,gtm,2004
8.119,gin,2002
6.296,gin,2004
6.219,gnb,2002
4.165,gnb,2004
0.5046,guy,2002
0.3801,guy,2004
0.3349,hti,2002
0.5089,hti,2004
0.8143,hnd,2002
0.7988,hnd,2004
0.7013,hun,2002
1.021,hun,2004
3.028,isl,2002
2.281,isl,2004
9.291,ind,2002
8.902,ind,2004
4.265,idn,2002
3.955,idn,2004
3.557,irn,2002
2.957,irn,2004
5.092,irq,2002
10.62,irq,2004
0.802,irl,2002
0.4664,irl,2004
0.2415,isr,2002
1.36,isr,2004
0.3694,ita,2002
0.3857,ita,2004
0.4594,jam,2002
0.2599,jam,2004
0.3965,jpn,2002
0.5383,jpn,2004
0.7872,jor,2002
2.176,jor,2004
59.83,kaz,2002
22.16,kaz,2004
4.086,ken,2002
5.09,ken,2004
0.0,kir,2002
0.0,kir,2004
0.5195,kwt,2002
0.5845,kwt,2004
17.44,kgz,2002
17.42,kgz,2004
8.758,lao,2002
8.019,lao,2004
13.55,lva,2002
14.07,lva,2004
3.528,lbn,2002
3.239,lbn,2004
6.761,lso,2002
4.742,lso,2004
10.93,lbr,2002
6.216,lbr,2004
2.165,lby,2002
2.517,lby,2004
17.27,ltu,2002
17.09,ltu,2004
4.692,lux,2002
3.194,lux,2004
6.717,mdg,2002
4.155,mdg,2004
1.002,mwi,2002
0.8963,mwi,2004
0.8457,mys,2002
0.8733,mys,2004
4.84,mdv,2002
1.654,mdv,2004
8.923,mli,2002
6.025,mli,2004
1.701,mlt,2002
1.995,mlt,2004
5.902,mhl,2002
5.802,mhl,2004
8.573,mrt,2002
4.971,mrt,2004
0.1813,mus,2002
0.04965,mus,2004
1.012,mex,2002
1.289,mex,2004
3.377,fsm,2002
3.136,fsm,2004
0.5987,mco,2002
0.5876,mco,2004
3.153,mng,2002
2.851,mng,2004
2.263,mar,2002
1.914,mar,2004
2.767,moz,2002
4.876,moz,2004
5.072,mmr,2002
4.558,mmr,2004
0.943,nam,2002
0.7931,nam,2004
1.48,nru,2002
1.281,nru,2004
5.703,npl,2002
5.36,npl,2004
0.5987,nld,2002
0.931,nld,2004
0.2223,nzl,2002
1.122,nzl,2004
1.004,nic,2002
0.7266,nic,2004
9.947,ner,2002
6.506,ner,2004
8.718,nga,2002
7.392,nga,2004
3.449,niu,2002
3.188,niu,2004
1.122,nor,2002
8.033,nor,2004
0.8687,omn,2002
0.8456,omn,2004
6.721,pak,2002
6.231,pak,2004
3.788,plw,2002
3.635,plw,2004
0.4325,pan,2002
1.098,pan,2004
5.652,png,2002
5.453,png,2004
0.3835,pry,2002
0.4237,pry,2004
0.7833,per,2002
0.6636,per,2004
0.4585,phl,2002
0.445,phl,2004
3.674,pol,2002
4.128,pol,2004
0.5915,prt,2002
0.6592,prt,2004
0.0,qat,2002
0.0,qat,2004
1.027,kor,2002
0.5714,kor,2004
11.34,mda,2002
14.97,mda,2004
4.842,rou,2002
4.224,rou,2004
39.64,rus,2002
41.14,rus,2004
1.269,rwa,2002
1.437,rwa,2004
0.0,kna,2002
0.0,kna,2004
0.6054,lca,2002
0.0,lca,2004
0.0,vct,2002
0.0,vct,2004
3.714,wsm,2002
3.766,wsm,2004
2.555,smr,2002
1.684,smr,2004
0.838,stp,2002
1.035,stp,2004
1.432,sau,2002
1.534,sau,2004
7.854,sen,2002
5.195,sen,2004
0.8262,scg,2002
0.3646,scg,2004
0.0,syc,2002
0.0,syc,2004
15.18,sle,2002
11.06,sle,2004
0.1044,sgp,2002
0.1745,sgp,2004
2.612,svk,2002
2.308,svk,2004
1.525,svn,2002
1.24,svn,2004
2.979,slb,2002
2.991,slb,2004
2.095,som,2002
6.904,som,2004
1.324,zaf,2002
1.188,zaf,2004
1.455,esp,2002
1.455,esp,2004
1.09,lka,2002
0.9228,lka,2004
2.068,sdn,2002
3.911,sdn,2004
0.0,sur,2002
0.1413,sur,2004
4.644,swz,2002
8.219,swz,2004
2.305,swe,2002
2.59,swe,2004
0.1347,che,2002
0.2283,che,2004
1.091,syr,2002
0.974,syr,2004
3.565,tjk,2002
2.212,tjk,2004
0.7525,tha,2002
0.4426,tha,2004
0.7766,mkd,2002
1.509,mkd,2004
5.958,tls,2002
4.619,tls,2004
7.253,tgo,2002
4.729,tgo,2004
2.789,ton,2002
2.704,ton,2004
0.3437,tto,2002
0.2677,tto,2004
2.919,tun,2002
2.019,tun,2004
0.8119,tur,2002
0.5045,tur,2004
4.096,tkm,2002
3.639,tkm,2004
7.264,tuv,2002
7.774,tuv,2004
10.2,uga,2002
11.7,uga,2004
29.59,ukr,2002
31.03,ukr,2004
0.3422,are,2002
0.1623,are,2004
1.952,gbr,2002
1.854,gbr,2004
9.041,tza,2002
9.795,tza,2004
4.318,usa,2002
6.753,usa,2004
0.8641,ury,2002
0.5601,ury,2004
2.628,uzb,2002
2.061,uzb,2004
3.497,vut,2002
3.486,vut,2004
0.4268,ven,2002
0.4379,ven,2004
4.325,vnm,2002
3.876,vnm,2004
5.065,yem,2002
5.138,yem,2004
4.346,zmb,2002
7.588,zmb,2004
5.712,zwe,2002
11.12,zwe,2004
