falls_deaths_per_100000_people,geo,time
7.336,pol,2004
4.268,prt,2002
4.641,prt,2004
1.15,qat,2002
1.241,qat,2004
7.421,kor,2002
8.278,kor,2004
4.481,mda,2002
5.94,mda,2004
5.554,rou,2002
5.615,rou,2004
9.34,rus,2002
8.197,rus,2004
4.291,rwa,2002
5.047,rwa,2004
5.072,kna,2002
4.893,kna,2004
3.243,lca,2002
0.3061,lca,2004
7.558,vct,2002
6.105,vct,2004
0.04593,wsm,2002
0.02246,wsm,2004
0.0,smr,2002
0.0,smr,2004
3.594,stp,2002
3.876,stp,2004
6.549,sau,2002
7.03,sau,2004
5.055,sen,2002
4.104,sen,2004
4.826,scg,2002
1.852,scg,2004
1.095,syc,2002
0.9259,syc,2004
8.03,sle,2002
6.217,sle,2004
3.901,sgp,2002
4.118,sgp,2004
7.182,svk,2002
6.906,svk,2004
11.5,svn,2002
10.57,svn,2004
0.1221,slb,2002
0.1601,slb,2004
4.389,som,2002
9.542,som,2004
4.494,zaf,2002
3.476,zaf,2004
2.119,esp,2002
2.296,esp,2004
3.837,lka,2002
3.32,lka,2004
3.941,sdn,2002
5.088,sdn,2004
9.671,sur,2002
4.317,sur,2004
2.762,swz,2002
5.824,swz,2004
2.481,swe,2002
2.894,swe,2004
5.883,che,2002
7.417,che,2004
1.273,syr,2002
1.185,syr,2004
1.155,tjk,2002
1.235,tjk,2004
5.236,tha,2002
4.486,tha,2004
3.306,mkd,2002
1.973,mkd,2004
10.55,tls,2002
8.45,tls,2004
5.39,tgo,2002
3.775,tgo,2004
0.03095,ton,2002
0.02262,ton,2004
3.835,tto,2002
2.599,tto,2004
4.751,tun,2002
3.453,tun,2004
1.676,tur,2002
8.001,tur,2004
2.025,tkm,2002
1.935,tkm,2004
0.15,tuv,2002
0.1166,tuv,2004
4.179,uga,2002
4.59,uga,2004
5.37,ukr,2002
6.722,ukr,2004
3.707,are,2002
1.791,are,2004
4.475,gbr,2002
3.453,gbr,2004
4.008,tza,2002
4.368,tza,2004
3.065,usa,2002
3.96,usa,2004
0.6572,ury,2002
0.9455,ury,2004
1.284,uzb,2002
2.608,uzb,2004
0.07331,vut,2002
0.05871,vut,2004
5.33,ven,2002
4.966,ven,2004
8.69,vnm,2002
7.922,vnm,2004
6.485,yem,2002
6.746,yem,2004
3.544,zmb,2002
4.415,zmb,2004
4.323,zwe,2002
5.279,zwe,2004
