newly_hiv_infected_percent_age_15_49,geo,time
0.06,tjk,1992
0.06,tjk,1993
0.06,tjk,1994
0.06,tjk,1995
0.06,tjk,1996
0.06,tjk,1997
0.06,tjk,1998
0.06,tjk,1999
0.06,tjk,2000
0.06,tjk,2001
0.06,tjk,2002
0.06,tjk,2003
0.06,tjk,2004
0.06,tjk,2005
0.06,tjk,2006
0.06,tjk,2007
0.06,tjk,2008
0.06,tjk,2009
0.06,tjk,2010
0.06,tjk,2011
1.41,tza,1990
1.48,tza,1991
1.47,tza,1992
1.37,tza,1993
1.22,tza,1994
1.06,tza,1995
0.92,tza,1996
0.81,tza,1997
0.73,tza,1998
0.67,tza,1999
0.64,tza,2000
0.62,tza,2001
0.61,tza,2002
0.6,tza,2003
0.6,tza,2004
0.6,tza,2005
0.6,tza,2006
0.59,tza,2007
0.58,tza,2008
0.6,tza,2009
0.59,tza,2010
0.59,tza,2011
0.49,tha,1990
0.49,tha,1991
0.4,tha,1992
0.29,tha,1993
0.2,tha,1994
0.15,tha,1995
0.12,tha,1996
0.1,tha,1997
0.06,tha,1998
0.06,tha,1999
0.06,tha,2000
0.06,tha,2001
0.06,tha,2002
0.1,tha,2003
0.1,tha,2004
0.06,tha,2005
0.06,tha,2006
0.06,tha,2007
0.06,tha,2008
0.06,tha,2009
0.06,tha,2010
0.06,tha,2011
0.27,tgo,1990
0.37,tgo,1991
0.47,tgo,1992
0.55,tgo,1993
0.6,tgo,1994
0.61,tgo,1995
0.58,tgo,1996
0.54,tgo,1997
0.49,tgo,1998
0.44,tgo,1999
0.4,tgo,2000
0.37,tgo,2001
0.35,tgo,2002
0.33,tgo,2003
0.31,tgo,2004
0.3,tgo,2005
0.3,tgo,2006
0.29,tgo,2007
0.28,tgo,2008
0.27,tgo,2009
0.06,tto,1990
0.11,tto,1991
0.13,tto,1992
0.15,tto,1993
0.17,tto,1994
0.18,tto,1995
0.19,tto,1996
0.19,tto,1997
0.19,tto,1998
0.18,tto,1999
0.16,tto,2000
0.15,tto,2001
0.14,tto,2002
0.13,tto,2003
0.13,tto,2004
0.12,tto,2005
0.11,tto,2006
0.11,tto,2007
0.12,tto,2008
0.11,tto,2009
0.1,tto,2010
0.06,tto,2011
0.06,tun,2011
0.06,tur,2011
1.34,uga,1990
1.19,uga,1991
1.04,uga,1992
0.91,uga,1993
0.79,uga,1994
0.7,uga,1995
0.64,uga,1996
0.62,uga,1997
0.62,uga,1998
0.63,uga,1999
0.66,uga,2000
0.69,uga,2001
0.72,uga,2002
0.78,uga,2003
0.81,uga,2004
0.82,uga,2005
0.83,uga,2006
0.87,uga,2007
0.89,uga,2008
0.9,uga,2009
0.88,uga,2010
0.84,uga,2011
0.06,ukr,2011
0.06,gbr,2011
0.06,usa,1990
0.06,usa,1991
0.06,usa,1992
0.06,usa,1993
0.06,usa,1994
0.06,usa,1995
0.06,usa,1996
0.06,usa,1997
0.06,usa,1998
0.06,usa,1999
0.06,usa,2000
0.06,usa,2001
0.06,usa,2002
0.06,usa,2003
0.06,usa,2004
0.06,usa,2005
0.06,usa,2006
0.06,usa,2007
0.06,usa,2008
0.06,usa,2009
0.06,usa,2010
0.06,usa,2011
0.06,ury,2011
0.06,ven,2011
0.06,vnm,2011
0.06,yem,2011
2.27,zmb,1990
2.2,zmb,1991
2.11,zmb,1992
2.0,zmb,1993
1.89,zmb,1994
1.81,zmb,1995
1.76,zmb,1996
1.73,zmb,1997
1.71,zmb,1998
1.71,zmb,1999
1.71,zmb,2000
1.72,zmb,2001
1.72,zmb,2002
1.71,zmb,2003
1.63,zmb,2004
1.51,zmb,2005
1.36,zmb,2006
1.19,zmb,2007
1.14,zmb,2008
1.17,zmb,2009
3.78,zwe,1990
4.03,zwe,1991
4.37,zwe,1992
4.95,zwe,1993
5.27,zwe,1994
4.98,zwe,1995
4.73,zwe,1996
4.41,zwe,1997
3.95,zwe,1998
3.32,zwe,1999
2.6,zwe,2000
2.11,zwe,2001
1.87,zwe,2002
1.6,zwe,2003
1.5,zwe,2004
1.48,zwe,2005
1.43,zwe,2006
1.44,zwe,2007
1.44,zwe,2008
1.36,zwe,2009
1.25,zwe,2010
1.05,zwe,2011
0.33,ssd,2011
