geo,aid_given_2007_us,time
aus,288200000,1967
aus,160200000,1968
aus,272200000,1969
aus,399400000,1970
aus,84640000,1971
aus,123000000,1972
aus,737900000,1973
aus,681100000,1974
aus,616800000,1975
aus,110600000,1976
aus,577500000,1977
aus,387600000,1978
aus,341600000,1979
aus,364000000,1980
aus,391500000,1981
aus,354400000,1982
aus,395500000,1983
aus,710200000,1984
aus,648000000,1985
aus,614300000,1986
aus,562300000,1987
aus,693200000,1988
aus,642400000,1989
aus,627000000,1990
aus,592600000,1991
aus,771600000,1992
aus,809700000,1993
aus,1044000000,1994
aus,1630000000,1995
aus,895700000,1996
aus,891600000,1997
aus,995000000,1998
aus,901000000,1999
aus,1094000000,2000
aus,1067000000,2001
aus,1060000000,2002
aus,1114000000,2003
aus,1128000000,2004
aus,1207000000,2005
aus,1413000000,2006
aus,1673000000,2007
aut,1090000,1968
aut,191500000,1969
aut,62170000,1970
aut,97820000,1971
aut,71050000,1972
aut,54020000,1973
aut,323900000,1974
aut,41960000,1975
aut,33190000,1976
aut,286900000,1977
aut,312600000,1978
aut,110100000,1979
aut,280700000,1980
aut,711600000,1981
aut,763200000,1982
aut,465400000,1983
aut,211500000,1984
aut,161000000,1985
aut,249200000,1986
aut,238800000,1987
aut,557300000,1988
aut,674800000,1989
aut,340800000,1990
aut,529800000,1991
aut,474400000,1992
aut,571400000,1993
aut,448800000,1994
aut,368200000,1995
aut,270500000,1996
aut,305800000,1997
aut,371800000,1998
aut,509700000,1999
aut,317700000,2000
aut,229500000,2001
aut,328400000,2002
aut,249800000,2003
aut,235600000,2004
aut,281000000,2005
aut,296300000,2006
aut,359700000,2007
bel,61260000,1967
bel,63670000,1968
bel,87860000,1969
bel,83110000,1970
bel,466200000,1971
bel,502500000,1972
bel,91830000,1973
bel,70080000,1974
bel,91100000,1975
bel,101500000,1976
bel,117700000,1977
bel,145300000,1978
bel,188600000,1979
bel,179200000,1980
bel,663900000,1981
bel,615900000,1982
bel,183900000,1983
bel,731200000,1984
bel,717000000,1985
bel,703200000,1986
bel,701800000,1987
bel,781100000,1988
bel,577000000,1989
bel,695700000,1990
bel,661800000,1991
bel,645000000,1992
bel,581400000,1993
bel,443900000,1994
bel,431100000,1995
bel,461500000,1996
bel,444900000,1997
bel,415800000,1998
bel,440400000,1999
bel,565000000,2000
bel,592300000,2001
bel,673900000,2002
bel,652700000,2003
bel,641100000,2004
bel,738900000,2005
bel,832500000,2006
bel,716400000,2007
can,311600000,1967
can,76660000,1968
can,708300000,1969
can,694500000,1970
can,864800000,1971
can,921700000,1972
can,1527000000,1973
can,1129000000,1974
can,1212000000,1975
can,1277000000,1976
can,1668000000,1977
can,1981000000,1978
can,1464000000,1979
can,1013000000,1980
can,1618000000,1981
can,1432000000,1982
can,1983000000,1983
can,2255000000,1984
can,1756000000,1985
can,1264000000,1986
can,1874000000,1987
can,1819000000,1988
can,1422000000,1989
can,1233000000,1990
can,1279000000,1991
can,1634000000,1992
can,1046000000,1993
can,1008000000,1994
can,1354000000,1995
can,1308000000,1996
can,955200000,1997
can,1018000000,1998
can,852500000,1999
can,1240000000,2000
can,996100000,2001
can,1383000000,2002
can,1804000000,2003
can,1891000000,2004
can,1866000000,2005
can,1686000000,2006
can,2374000000,2007
dnk,197900000,1971
dnk,200600000,1972
dnk,140900000,1973
dnk,244700000,1974
dnk,251100000,1975
dnk,231100000,1976
dnk,338900000,1977
dnk,455000000,1978
dnk,388500000,1979
dnk,358600000,1980
dnk,284500000,1981
dnk,822900000,1982
dnk,770500000,1983
dnk,700600000,1984
dnk,934100000,1985
dnk,942400000,1986
dnk,617200000,1987
dnk,877200000,1988
dnk,936800000,1989
dnk,636200000,1990
dnk,726400000,1991
dnk,742500000,1992
dnk,882800000,1993
dnk,825900000,1994
dnk,677000000,1995
dnk,1253000000,1996
dnk,1016000000,1997
dnk,454800000,1998
dnk,935500000,1999
dnk,1219000000,2000
dnk,695400000,2001
dnk,926200000,2002
dnk,882800000,2003
dnk,1481000000,2004
dnk,1528000000,2005
dnk,823400000,2006
dnk,946200000,2007
fin,49290000,1973
fin,30650000,1974
fin,50120000,1975
fin,34630000,1976
fin,43250000,1977
fin,93050000,1978
fin,73030000,1979
fin,216800000,1980
fin,157200000,1981
fin,263200000,1982
fin,221000000,1983
fin,307100000,1984
fin,471500000,1985
fin,458100000,1986
fin,347000000,1988
fin,674200000,1989
fin,553000000,1990
fin,670000000,1991
fin,370100000,1992
fin,267000000,1993
fin,186300000,1994
fin,172100000,1995
fin,178500000,1996
fin,213800000,1997
fin,260600000,1998
fin,200500000,1999
fin,220300000,2000
fin,333500000,2001
fin,356800000,2002
fin,361400000,2003
fin,345200000,2004
fin,555100000,2005
fin,443000000,2006
fin,378600000,2007
fra,3441000000,1967
fra,4007000000,1968
fra,2910000000,1969
fra,2817000000,1970
fra,6411000000,1971
fra,6622000000,1972
fra,5911000000,1973
fra,7414000000,1974
fra,7861000000,1975
fra,7228000000,1976
fra,7214000000,1977
fra,8010000000,1978
fra,8550000000,1979
fra,9009000000,1980
fra,9421000000,1981
fra,9900000000,1982
fra,9993000000,1983
fra,11010000000,1984
fra,8709000000,1985
fra,7894000000,1986
fra,8091000000,1987
fra,8562000000,1988
fra,10070000000,1989
fra,10170000000,1990
fra,5850000000,1991
