geo,improved_water_source_overall_access_percent,time
afg,2,1991
afg,2,1992
afg,2,1993
afg,2,1994
afg,2,1995
afg,6,1996
afg,10,1997
afg,14,1998
afg,18,1999
afg,22,2000
afg,26,2001
afg,30,2002
afg,33,2003
afg,38,2004
afg,42,2005
afg,46,2006
afg,50,2007
afg,50,2008
afg,50,2009
afg,50,2010
alb,97,1990
alb,97,1991
alb,98,1992
alb,98,1993
alb,98,1994
alb,98,1995
alb,98,1996
alb,98,1997
alb,98,1998
alb,98,1999
alb,98,2000
alb,98,2001
alb,97,2002
alb,97,2003
alb,96,2004
alb,96,2005
alb,96,2006
alb,95,2007
alb,96,2008
alb,95,2009
alb,95,2010
dza,94,1990
dza,94,1991
dza,94,1992
dza,95,1993
dza,94,1994
dza,93,1995
dza,92,1996
dza,91,1997
dza,91,1998
dza,90,1999
dza,89,2000
dza,88,2001
dza,88,2002
dza,87,2003
dza,86,2004
dza,85,2005
dza,85,2006
dza,84,2007
dza,83,2008
dza,83,2009
dza,83,2010
and,100,1990
and,100,1991
and,100,1992
and,100,1993
and,100,1994
and,100,1995
and,100,1996
and,100,1997
and,100,1998
and,100,1999
and,100,2000
and,100,2001
and,100,2002
and,100,2003
and,100,2004
and,100,2005
and,100,2006
and,100,2007
and,100,2008
and,100,2009
and,100,2010
ago,42,1990
ago,42,1991
ago,42,1992
ago,42,1993
ago,43,1994
ago,43,1995
ago,44,1996
ago,44,1997
ago,45,1998
ago,45,1999
ago,46,2000
ago,46,2001
ago,47,2002
ago,47,2003
ago,47,2004
ago,48,2005
ago,49,2006
ago,50,2007
ago,50,2008
ago,51,2009
ago,51,2010
aia,60,1992
aia,60,1993
aia,60,1994
aia,60,1995
aia,60,1996
aia,60,1997
aia,60,1998
aia,60,1999
aia,60,2000
aia,60,2001
aia,60,2002
aia,60,2003
aia,60,2004
atg,91,1992
atg,91,1993
atg,91,1994
atg,91,1995
atg,91,1996
atg,91,1997
atg,91,1998
atg,91,1999
atg,91,2000
atg,91,2001
atg,91,2002
atg,91,2003
atg,91,2004
arg,94,1990
arg,94,1991
arg,95,1992
arg,95,1993
arg,95,1994
arg,95,1995
arg,96,1996
arg,96,1997
arg,96,1998
arg,96,1999
arg,96,2000
arg,96,2001
arg,96,2002
arg,96,2003
arg,96,2004
arg,96,2005
arg,96,2006
arg,97,2007
arm,90,1992
arm,90,1993
arm,90,1994
arm,90,1995
arm,90,1996
arm,90,1997
arm,91,1998
arm,92,1999
arm,92,2000
arm,93,2001
arm,94,2002
arm,94,2003
arm,95,2004
arm,95,2005
arm,96,2006
arm,96,2007
arm,97,2008
arm,98,2009
arm,98,2010
abw,100,1990
abw,100,1991
abw,100,1992
abw,100,1993
abw,100,1994
abw,100,1995
abw,100,1996
abw,100,1997
abw,100,1998
abw,100,1999
abw,100,2000
abw,100,2001
abw,100,2002
abw,100,2003
abw,100,2004
abw,100,2005
abw,100,2006
abw,100,2007
abw,100,2008
abw,100,2009
abw,100,2010
aus,100,1990
aus,100,1991
aus,100,1992
aus,100,1993
aus,100,1994
aus,100,1995
aus,100,1996
aus,100,1997
aus,100,1998
aus,100,1999
aus,100,2000
aus,100,2001
aus,100,2002
aus,100,2003
aus,100,2004
aus,100,2005
aus,100,2006
aus,100,2007
aus,100,2008
aus,100,2009
aus,100,2010
aut,100,1990
aut,100,1991
aut,100,1992
aut,100,1993
aut,100,1994
aut,100,1995
aut,100,1996
aut,100,1997
aut,100,1998
aut,100,1999
aut,100,2000
aut,100,2001
aut,100,2002
aut,100,2003
aut,100,2004
aut,100,2005
aut,100,2006
aut,100,2007
aut,100,2008
aut,100,2009
aut,100,2010
aze,70,1990
aze,70,1991
aze,70,1992
aze,70,1993
aze,70,1994
aze,71,1995
aze,72,1996
aze,72,1997
aze,72,1998
aze,73,1999
aze,74,2000
aze,75,2001
aze,75,2002
aze,76,2003
aze,77,2004
aze,77,2005
aze,78,2006
aze,79,2007
aze,80,2008
aze,80,2009
aze,80,2010
bhs,96,1992
bhs,96,1993
bhs,96,1994
bhs,96,1995
bhs,96,1996
bhs,96,1997
bhs,96,1998
bhs,96,1999
bhs,96,2000
bhs,96,2001
bhs,96,2002
bhs,96,2003
bhs,96,2004
bgd,77,1990
bgd,77,1991
bgd,77,1992
bgd,78,1993
bgd,78,1994
bgd,78,1995
bgd,78,1996
bgd,78,1997
bgd,78,1998
bgd,79,1999
bgd,79,2000
bgd,79,2001
bgd,80,2002
bgd,80,2003
bgd,80,2004
bgd,81,2005
bgd,81,2006
bgd,81,2007
bgd,81,2008
bgd,81,2009
bgd,81,2010
brb,100,1990
brb,100,1991
brb,100,1992
brb,100,1993
brb,100,1994
brb,100,1995
brb,100,1996
brb,100,1997
brb,100,1998
brb,100,1999
brb,100,2000
brb,100,2001
brb,100,2002
brb,100,2003
brb,100,2004
brb,100,2005
brb,100,2006
brb,100,2007
brb,100,2008
brb,100,2009
brb,100,2010
blr,100,1990
blr,100,1991
blr,100,1992
blr,100,1993
blr,100,1994
blr,100,1995
blr,100,1996
blr,100,1997
blr,100,1998
blr,100,1999
blr,100,2000
blr,100,2001
blr,100,2002
blr,100,2003
blr,100,2004
blr,100,2005
blr,100,2006
blr,100,2007
blr,100,2008
blr,100,2009
blr,100,2010
bel,100,1990
bel,100,1991
bel,100,1992
bel,100,1993
bel,100,1994
bel,100,1995
bel,100,1996
bel,100,1997
bel,100,1998
bel,100,1999
bel,100,2000
bel,100,2001
bel,100,2002
bel,100,2003
bel,100,2004
bel,100,2005
bel,100,2006
bel,100,2007
bel,100,2008
bel,100,2009
bel,100,2010
blz,74,1990
blz,75,1991
blz,76,1992
blz,77,1993
blz,79,1994
blz,80,1995
blz,81,1996
blz,83,1997
blz,84,1998
blz,85,1999
blz,86,2000
blz,88,2001
blz,89,2002
blz,90,2003
blz,91,2004
blz,93,2005
blz,94,2006
blz,95,2007
blz,96,2008
blz,97,2009
blz,98,2010
ben,57,1990
ben,58,1991
ben,59,1992
ben,60,1993
ben,61,1994
ben,62,1995
ben,63,1996
ben,63,1997
ben,65,1998
ben,66,1999
ben,66,2000
ben,67,2001
ben,68,2002
ben,68,2003
ben,69,2004
ben,70,2005
ben,71,2006
ben,72,2007
ben,73,2008
ben,74,2009
ben,75,2010
btn,86,1997
btn,86,1998
btn,86,1999
btn,86,2000
btn,86,2001
btn,87,2002
btn,89,2003
btn,90,2004
btn,91,2005
btn,92,2006
btn,93,2007
btn,94,2008
btn,95,2009
btn,96,2010
bol,70,1990
bol,71,1991
bol,72,1992
bol,74,1993
bol,74,1994
bol,76,1995
bol,76,1996
bol,77,1997
bol,78,1998
bol,79,1999
bol,80,2000
bol,80,2001
bol,81,2002
bol,83,2003
bol,83,2004
bol,84,2005
bol,84,2006
bol,85,2007
bol,86,2008
bol,87,2009
bol,88,2010
bih,97,1990
bih,97,1991
bih,97,1992
bih,97,1993
bih,97,1994
bih,97,1995
bih,97,1996
bih,97,1997
bih,97,1998
bih,97,1999
bih,97,2000
bih,98,2001
bih,98,2002
bih,98,2003
bih,98,2004
bih,98,2005
bih,99,2006
bih,99,2007
bih,99,2008
bih,99,2009
bih,99,2010
bwa,93,1990
bwa,93,1991
bwa,94,1992
bwa,94,1993
bwa,94,1994
bwa,94,1995
bwa,94,1996
bwa,94,1997
bwa,95,1998
bwa,95,1999
bwa,95,2000
bwa,95,2001
bwa,95,2002
bwa,95,2003
bwa,96,2004
bwa,96,2005
bwa,96,2006
bwa,96,2007
bwa,96,2008
bwa,96,2009
bwa,96,2010
