geo,females_aged_15plus_employment_rate_percent,time
afg,26.9,1991
afg,26.6,1992
afg,26.5,1993
afg,26.2,1994
afg,26.1,1995
afg,25.9,1996
afg,25.9,1997
afg,25.8,1998
afg,25.7,1999
afg,25.8,2000
afg,26.1,2001
afg,26.2,2002
afg,25.1,2003
afg,26.3,2004
afg,24.8,2005
afg,26.2,2006
afg,25.6,2007
alb,42.5,1991
alb,41.9,1992
alb,41.9,1993
alb,42.2,1994
alb,42.4,1995
alb,42.3,1996
alb,42.1,1997
alb,42.1,1998
alb,42.1,1999
alb,42.1,2000
alb,42.1,2001
alb,42.2,2002
alb,42.1,2003
alb,42.1,2004
alb,42.0,2005
alb,41.9,2006
alb,42.1,2007
dza,17.9,1991
dza,17.8,1992
dza,18.5,1993
dza,18.8,1994
dza,18.3,1995
dza,19.1,1996
dza,19.9,1997
dza,20.3,1998
dza,20.6,1999
dza,20.6,2000
dza,22.1,2001
dza,23.1,2002
dza,24.4,2003
dza,27.3,2004
dza,28.8,2005
dza,30.5,2006
dza,31.7,2007
ago,68.8,1991
ago,69.6,1992
ago,68.3,1993
ago,69.3,1994
ago,67.7,1995
ago,67.8,1996
ago,67.7,1997
ago,68.1,1998
ago,68.3,1999
ago,68.0,2000
ago,68.0,2001
ago,68.3,2002
ago,68.2,2003
ago,68.4,2004
ago,68.7,2005
ago,69.2,2006
ago,69.4,2007
arg,36.6,1991
arg,36.9,1992
arg,37.0,1993
arg,37.3,1994
arg,37.2,1995
arg,38.4,1996
arg,39.2,1997
arg,39.7,1998
arg,40.0,1999
arg,40.9,2000
arg,41.4,2001
arg,41.7,2002
arg,43.6,2003
arg,44.4,2004
arg,45.1,2005
arg,45.8,2006
arg,45.9,2007
arm,32.4,1991
arm,31.7,1992
arm,31.2,1993
arm,31.0,1994
arm,31.0,1995
arm,32.1,1996
arm,31.5,1997
arm,32.4,1998
arm,31.6,1999
arm,32.2,2000
arm,33.0,2001
arm,33.7,2002
arm,33.9,2003
arm,33.2,2004
arm,33.8,2005
arm,33.7,2006
arm,34.2,2007
aus,47.2,1991
aus,46.7,1992
aus,46.6,1993
aus,47.7,1994
aus,49.4,1995
aus,49.3,1996
aus,49.3,1997
aus,49.9,1998
aus,50.3,1999
aus,51.4,2000
aus,51.6,2001
aus,51.9,2002
aus,52.5,2003
aus,52.6,2004
aus,54.0,2005
aus,54.6,2006
aus,54.6,2007
aut,42.1,1991
aut,43.2,1992
